"Status","Year","Age","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","SEO/HEO","SEO","75","75","37220","37940"
"In post","2021","20-29","Crown Prosecution Service","AA/AO","AO","430","420","21630","21950"
"In post","2021","20-29","Crown Prosecution Service","EO","EO","255","255","26440","26450"
"In post","2021","20-29","Crown Prosecution Service","G6/G7","G7","70","70","50150","50520"
"In post","2021","20-29","Crown Prosecution Service","SEO/HEO","HEO","115","115","35750","38000"
"In post","2021","20-29","Crown Prosecution Service","SEO/HEO","SEO","20","20","39330","39750"
"In post","2021","20-29","Debt Management Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt Management Office","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt Management Office","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","20-29","Debt Management Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Electronics and Components Agency","AA/AO","AA","15","15","18620","18730"
"In post","2021","20-29","Defence Electronics and Components Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Electronics and Components Agency","EO","EO","5","5","[c]","[c]"
"In post","2021","20-29","Defence Electronics and Components Agency","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","EO","EO","1050","1040","22500","21470"
"In post","2021","20-29","Defence Equipment and Support","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","SEO/HEO","HEO","785","780","29180","29650"
"In post","2021","20-29","Defence Equipment and Support","SEO/HEO","SEO","210","210","37680","37400"
"In post","2021","20-29","Defence Science and Technology Laboratory","AA/AO","AA","15","15","16690","16990"
"In post","2021","20-29","Defence Science and Technology Laboratory","AA/AO","AO","60","60","18920","17710"
"In post","2021","20-29","Defence Science and Technology Laboratory","EO","EO","85","85","22600","22780"
"In post","2021","20-29","Defence Science and Technology Laboratory","G6/G7","G7","20","20","43870","46080"
"In post","2021","20-29","Defence Science and Technology Laboratory","SEO/HEO","HEO","535","535","28090","28650"
"In post","2021","20-29","Defence Science and Technology Laboratory","SEO/HEO","SEO","190","185","37370","37320"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","AO","30","30","23900","24900"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","EO","180","180","27790","27680"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G6","25","25","65810","64700"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G7","455","455","55070","53380"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","HEO","710","705","34220","33570"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","SEO","425","420","40850","40050"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","EO","EO","105","100","27510","26180"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","G6/G7","G6","15","15","64560","61980"
