"Status","Year","Ethnicity","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Black","No function","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","No function","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Cabinet Office (excl. agencies)","10","10","[c]","[c]"
"In post","2021","Black","Project Delivery","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Competition and Markets Authority","15","15","[c]","[c]"
"In post","2021","Black","Project Delivery","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Defence Equipment and Support","180","175","32910","32490"
"In post","2021","Black","Project Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","5","5","[c]","[c]"
"In post","2021","Black","Project Delivery","Department for Digital, Culture, Media and Sport","15","15","[c]","[c]"
"In post","2021","Black","Project Delivery","Department for Education (excl. agencies)","15","15","[c]","[c]"
"In post","2021","Black","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","15","15","[c]","[c]"
"In post","2021","Black","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Department for Transport (excl. agencies)","30","30","42270","43360"
"In post","2021","Black","Project Delivery","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","FCDO Services","5","5","[c]","[c]"
"In post","2021","Black","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","60","60","45760","42890"
"In post","2021","Black","Project Delivery","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Government Legal Department","5","5","[c]","[c]"
"In post","2021","Black","Project Delivery","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","HM Courts and Tribunals Service","30","30","36600","31070"
"In post","2021","Black","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","HM Revenue and Customs (excl. agencies)","115","115","43340","38630"
"In post","2021","Black","Project Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Ministry of Defence (excl. agencies)","85","85","38190","38130"
"In post","2021","Black","Project Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","10","10","[c]","[c]"
"In post","2021","Black","Project Delivery","Ministry of Justice (excl. agencies)","15","15","[c]","[c]"
"In post","2021","Black","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Submarine Delivery Agency","10","10","[c]","[c]"
"In post","2021","Black","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","UK Space Agency","5","5","[c]","[c]"
"In post","2021","Black","Project Delivery","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Defence Equipment and Support","5","5","[c]","[c]"
"In post","2021","Black","Property","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Department for Education (excl. agencies)","5","5","[c]","[c]"
"In post","2021","Black","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","5","5","[c]","[c]"
"In post","2021","Black","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","FCDO Services","10","10","[c]","[c]"
"In post","2021","Black","Property","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Ministry of Defence (excl. agencies)","20","20","[c]","[c]"
"In post","2021","Black","Property","Ministry of Justice (excl. agencies)","15","15","[c]","[c]"
"In post","2021","Black","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Valuation Office Agency","50","50","34060","31030"
"In post","2021","Black","Property","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Cabinet Office (excl. agencies)","15","15","[c]","[c]"
"In post","2021","Black","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Foreign, Commonwealth and Development Office (excl. agencies)","15","15","[c]","[c]"
"In post","2021","Black","Security","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","HM Prison and Probation Service","10","10","[c]","[c]"
"In post","2021","Black","Security","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Ministry of Defence (excl. agencies)","60","60","25780","22650"
"In post","2021","Black","Security","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Department for Education (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Black","Unknown","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Department for Work and Pensions (excl. agencies)","3865","3650","29100","30010"
"In post","2021","Black","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","5","5","[c]","[c]"
"In post","2021","Black","Unknown","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Home Office (incl. agencies)","1890","1780","32540","29080"
"In post","2021","Black","Unknown","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Medicines and Healthcare Products Regulatory Agency","80","75","37140","32960"
"In post","2021","Black","Unknown","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Ministry of Defence (excl. agencies)","220","210","30340","25870"
"In post","2021","Black","Unknown","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Scottish Government (excl. agencies)","35","35","41150","38080"
"In post","2021","Black","Unknown","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Welsh Government (excl. agencies)","15","15","[c]","[c]"
"In post","2021","Black","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","5","5","[c]","[c]"
"In post","2021","Chinese","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Department for International Trade","5","5","[c]","[c]"
"In post","2021","Chinese","Analysis","Department for Transport (excl. agencies)","5","5","[c]","[c]"
"In post","2021","Chinese","Analysis","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","HM Revenue and Customs (excl. agencies)","10","10","[c]","[c]"
"In post","2021","Chinese","Analysis","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Ministry of Justice (excl. agencies)","10","10","[c]","[c]"
"In post","2021","Chinese","Analysis","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","United Kingdom Statistics Authority","5","5","[c]","[c]"
"In post","2021","Chinese","Analysis","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Scottish Prison Service","[c]","[c]","[c]","[c]"
