"Status","Year","Disability","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Finance","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Operational Delivery","AO","85","75","21050","21050"
"In post","2021","Declared disabled","Grants Management","Operational Delivery","EO","35","30","25790","25990"
"In post","2021","Declared disabled","Grants Management","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Operational Delivery","HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Operational Delivery","SEO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Human Resources","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Human Resources","AO","115","105","21760","21350"
"In post","2021","Declared disabled","Human Resources","Human Resources","EO","140","130","27340","26780"
"In post","2021","Declared disabled","Human Resources","Human Resources","G6","55","50","67210","65650"
"In post","2021","Declared disabled","Human Resources","Human Resources","G7","130","125","54530","53240"
"In post","2021","Declared disabled","Human Resources","Human Resources","HEO","210","200","33060","32790"
"In post","2021","Declared disabled","Human Resources","Human Resources","SCS level","30","30","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Human Resources","SEO","170","165","42190","40980"
"In post","2021","Declared disabled","Human Resources","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Operational Delivery","AO","35","30","20990","21440"
"In post","2021","Declared disabled","Human Resources","Operational Delivery","EO","30","25","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Operational Delivery","HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Operational Delivery","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Operational Delivery","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Other","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Security","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Tax","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Tax","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Tax","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Tax","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Tax","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Tax","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","AO","35","30","21330","20800"
"In post","2021","Declared disabled","Human Resources","Unknown","EO","35","35","26260","27040"
"In post","2021","Declared disabled","Human Resources","Unknown","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","G7","45","40","54750","54700"
"In post","2021","Declared disabled","Human Resources","Unknown","HEO","35","35","34440","34550"
"In post","2021","Declared disabled","Human Resources","Unknown","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","SEO","30","25","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Internal Audit","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Internal Audit","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Internal Audit","HEO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Internal Audit","SEO","35","35","43990","43830"
"In post","2021","Declared disabled","Internal Audit","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Other","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Legal","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Legal","EO","30","30","28950","29280"
"In post","2021","Declared disabled","Legal","Legal","G6","80","70","70880","69390"
"In post","2021","Declared disabled","Legal","Legal","G7","390","355","57310","55610"
"In post","2021","Declared disabled","Legal","Legal","HEO","70","65","36030","36160"
"In post","2021","Declared disabled","Legal","Legal","SCS level","30","30","[c]","[c]"
"In post","2021","Declared disabled","Legal","Legal","SEO","130","120","43170","43160"
"In post","2021","Declared disabled","Legal","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Operational Delivery","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Legal","Operational Delivery","AO","175","160","22500","21950"
"In post","2021","Declared disabled","Legal","Operational Delivery","EO","160","140","27960","28430"
"In post","2021","Declared disabled","Legal","Operational Delivery","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Legal","Operational Delivery","G7","10","5","[c]","[c]"
"In post","2021","Declared disabled","Legal","Operational Delivery","HEO","40","40","33080","32910"
"In post","2021","Declared disabled","Legal","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Operational Delivery","SEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Legal","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Other","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Legal","Other","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Legal","Other","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Tax","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Tax","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Tax","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Legal","Tax","HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Legal","Tax","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Legal","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Commercial","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","No function","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Commercial","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","No function","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Communications","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","No function","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Counter Fraud","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Counter Fraud","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Counter Fraud","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","No function","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Digital, Data and Technology","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","No function","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Economics","G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","No function","Economics","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","No function","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Finance","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","No function","Finance","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","No function","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Finance","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","No function","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Inspector of Education and Training","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","No function","Inspector of Education and Training","G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","No function","Inspector of Education and Training","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Inspector of Education and Training","SEO","30","30","51200","51360"
"In post","2021","Declared disabled","No function","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Intelligence Analysis","EO","45","45","29030","27380"
"In post","2021","Declared disabled","No function","Intelligence Analysis","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Intelligence Analysis","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Intelligence Analysis","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","No function","Internal Audit","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Internal Audit","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","International Trade","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","No function","International Trade","G6","15","15","[c]","[c]"
"In post","2021","Declared disabled","No function","International Trade","G7","30","30","[c]","[c]"
"In post","2021","Declared disabled","No function","International Trade","HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","No function","International Trade","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","No function","International Trade","SEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","No function","Knowledge and Information Management","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Knowledge and Information Management","AO","15","15","[c]","[c]"
"In post","2021","Declared disabled","No function","Knowledge and Information Management","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","No function","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Knowledge and Information Management","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","No function","Knowledge and Information Management","HEO","25","20","[c]","[c]"
"In post","2021","Declared disabled","No function","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Knowledge and Information Management","SEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","No function","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Legal","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Legal","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Legal","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Medicine","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Medicine","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Medicine","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Medicine","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Medicine","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","No function","Medicine","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Operational Delivery","AA","1210","1050","19790","20070"
"In post","2021","Declared disabled","No function","Operational Delivery","AO","5070","4495","23270","21590"
"In post","2021","Declared disabled","No function","Operational Delivery","EO","2425","2240","27980","27130"
"In post","2021","Declared disabled","No function","Operational Delivery","G6","65","60","71840","66380"
"In post","2021","Declared disabled","No function","Operational Delivery","G7","225","215","55260","53440"
"In post","2021","Declared disabled","No function","Operational Delivery","HEO","1180","1110","33860","33530"
"In post","2021","Declared disabled","No function","Operational Delivery","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","No function","Operational Delivery","SEO","610","585","44870","43360"
"In post","2021","Declared disabled","No function","Operational Delivery","Unknown","2220","2060","30460","30210"
"In post","2021","Declared disabled","No function","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Operational Research","G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","No function","Operational Research","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","No function","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Operational Research","SEO","15","10","[c]","[c]"
"In post","2021","Declared disabled","No function","Other","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Other","AO","30","25","[c]","[c]"
"In post","2021","Declared disabled","No function","Other","EO","35","30","27740","26660"
"In post","2021","Declared disabled","No function","Other","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","No function","Other","G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","No function","Other","HEO","30","25","[c]","[c]"
"In post","2021","Declared disabled","No function","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Other","SEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","No function","Planning","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Planning","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Planning","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Planning","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Planning","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Planning Inspectors","G6","10","5","[c]","[c]"
"In post","2021","Declared disabled","No function","Planning Inspectors","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","No function","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Policy","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Policy","AO","60","55","24820","24370"
"In post","2021","Declared disabled","No function","Policy","EO","220","215","28480","28170"
"In post","2021","Declared disabled","No function","Policy","G6","175","170","65690","65430"
"In post","2021","Declared disabled","No function","Policy","G7","435","425","54330","53600"
"In post","2021","Declared disabled","No function","Policy","HEO","510","500","33520","33570"
"In post","2021","Declared disabled","No function","Policy","SCS level","75","70","86160","76910"
"In post","2021","Declared disabled","No function","Policy","SEO","305","295","40360","40050"
"In post","2021","Declared disabled","No function","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Project Delivery","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","No function","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Project Delivery","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","No function","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Property","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Property","HEO","[c]","[c]","[c]","[c]"
