"Status","Year","Organisation","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Education and Skills Funding Agency","Sheffield","SEO/HEO","HEO","95","90","30190","30090"
"In post","2021","Education and Skills Funding Agency","Sheffield","SEO/HEO","SEO","85","80","37550","36960"
"In post","2021","Education and Skills Funding Agency","Tyneside","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Tyneside","EO","EO","5","5","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Tyneside","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Tyneside","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Tyneside","SEO/HEO","HEO","15","15","30480","30200"
"In post","2021","Education and Skills Funding Agency","Tyneside","SEO/HEO","SEO","15","15","37950","37030"
"In post","2021","Education and Skills Funding Agency","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Westminster","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Westminster","EO","EO","20","20","29310","29500"
"In post","2021","Education and Skills Funding Agency","Westminster","G6/G7","G6","50","45","67420","65370"
"In post","2021","Education and Skills Funding Agency","Westminster","G6/G7","G7","90","90","54920","54400"
"In post","2021","Education and Skills Funding Agency","Westminster","SCS level","SCS level","20","20","83500","74100"
"In post","2021","Education and Skills Funding Agency","Westminster","SEO/HEO","HEO","55","55","34720","33760"
"In post","2021","Education and Skills Funding Agency","Westminster","SEO/HEO","SEO","70","70","42140","40940"
"In post","2021","Education Scotland","Aberdeen City and Aberdeenshire","G6/G7","G6","10","5","[c]","[c]"
"In post","2021","Education Scotland","Aberdeen City and Aberdeenshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Angus and Dundee City","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Education Scotland","Angus and Dundee City","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Angus and Dundee City","G6/G7","G6","20","15","72900","75940"
"In post","2021","Education Scotland","Angus and Dundee City","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Angus and Dundee City","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Angus and Dundee City","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Dumfries and Galloway","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Glasgow City","AA/AO","AA","15","15","21150","21150"
"In post","2021","Education Scotland","Glasgow City","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Glasgow City","EO","EO","5","5","[c]","[c]"
"In post","2021","Education Scotland","Glasgow City","G6/G7","G6","90","85","72030","71160"
"In post","2021","Education Scotland","Glasgow City","G6/G7","G7","30","30","54150","52480"
"In post","2021","Education Scotland","Glasgow City","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Glasgow City","SEO/HEO","HEO","10","10","33130","32880"
"In post","2021","Education Scotland","Glasgow City","SEO/HEO","SEO","30","30","44770","46600"
"In post","2021","Education Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Perth and Kinross and Stirling","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Shetland Islands","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","West Lothian","AA/AO","AA","15","15","22160","22230"
"In post","2021","Education Scotland","West Lothian","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","West Lothian","EO","EO","5","5","[c]","[c]"
"In post","2021","Education Scotland","West Lothian","G6/G7","G6","30","25","73420","75940"
"In post","2021","Education Scotland","West Lothian","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Education Scotland","West Lothian","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","West Lothian","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","West Lothian","SEO/HEO","SEO","10","10","43700","44400"
"In post","2021","ESTYN","Cardiff and Vale of Glamorgan","AA/AO","AO","10","10","23500","23830"
"In post","2021","ESTYN","Cardiff and Vale of Glamorgan","EO","EO","25","20","28240","28850"
"In post","2021","ESTYN","Cardiff and Vale of Glamorgan","G6/G7","G6","65","60","74490","74730"
"In post","2021","ESTYN","Cardiff and Vale of Glamorgan","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Cardiff and Vale of Glamorgan","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Cardiff and Vale of Glamorgan","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","ESTYN","Cardiff and Vale of Glamorgan","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Milton Keynes","AA/AO","AO","100","100","23180","22850"
"In post","2021","FCDO Services","Milton Keynes","EO","EO","165","165","27970","26920"
"In post","2021","FCDO Services","Milton Keynes","G6/G7","G6","25","25","75990","73270"
"In post","2021","FCDO Services","Milton Keynes","G6/G7","G7","120","100","58190","57760"
"In post","2021","FCDO Services","Milton Keynes","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Milton Keynes","SEO/HEO","HEO","140","130","34890","34280"
"In post","2021","FCDO Services","Milton Keynes","SEO/HEO","SEO","170","170","44630","42840"
"In post","2021","FCDO Services","Milton Keynes","Unknown","Unknown","45","45","21930","21600"
"In post","2021","FCDO Services","Overseas","EO","EO","25","25","27130","26950"
"In post","2021","FCDO Services","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Overseas","G6/G7","G7","20","20","56490","55720"
"In post","2021","FCDO Services","Overseas","SEO/HEO","HEO","45","45","36080","33020"
"In post","2021","FCDO Services","Overseas","SEO/HEO","SEO","40","40","43300","41360"
"In post","2021","FCDO Services","Westminster","AA/AO","AO","30","30","30380","29170"
"In post","2021","FCDO Services","Westminster","EO","EO","20","20","32800","32560"
"In post","2021","FCDO Services","Westminster","G6/G7","G6","10","10","81640","77920"
"In post","2021","FCDO Services","Westminster","G6/G7","G7","45","40","61730","61010"
"In post","2021","FCDO Services","Westminster","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Westminster","SEO/HEO","HEO","30","30","38540","38080"
"In post","2021","FCDO Services","Westminster","SEO/HEO","SEO","30","30","46950","45960"
"In post","2021","FCDO Services","Westminster","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Barking & Dagenham and Havering","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Barnsley, Doncaster and Rotherham","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","EO","10","10","26300","26750"
"In post","2021","Food Standards Agency","Bedford","EO","EO","5","5","[c]","[c]"
"In post","2021","Food Standards Agency","Belfast","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Belfast","EO","EO","10","10","26560","26750"
"In post","2021","Food Standards Agency","Belfast","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Belfast","G6/G7","G7","10","10","52200","52070"
"In post","2021","Food Standards Agency","Belfast","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Belfast","SEO/HEO","HEO","20","20","30720","30810"
"In post","2021","Food Standards Agency","Belfast","SEO/HEO","SEO","30","30","38080","37910"
"In post","2021","Food Standards Agency","Birmingham","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Birmingham","EO","EO","5","5","[c]","[c]"
"In post","2021","Food Standards Agency","Birmingham","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Birmingham","G6/G7","G7","15","15","52930","52070"
"In post","2021","Food Standards Agency","Birmingham","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Birmingham","SEO/HEO","HEO","20","20","31140","30810"
"In post","2021","Food Standards Agency","Birmingham","SEO/HEO","SEO","25","25","39100","37910"
"In post","2021","Food Standards Agency","Bradford","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Breckland and South Norfolk","EO","EO","10","10","[c]","[c]"
"In post","2021","Food Standards Agency","Calderdale and Kirklees","EO","EO","5","5","[c]","[c]"
"In post","2021","Food Standards Agency","Cardiff and Vale of Glamorgan","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Cardiff and Vale of Glamorgan","EO","EO","5","5","[c]","[c]"
"In post","2021","Food Standards Agency","Cardiff and Vale of Glamorgan","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Food Standards Agency","Cardiff and Vale of Glamorgan","G6/G7","G7","10","10","52830","52070"
"In post","2021","Food Standards Agency","Cardiff and Vale of Glamorgan","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Cardiff and Vale of Glamorgan","SEO/HEO","HEO","35","35","30740","30810"
"In post","2021","Food Standards Agency","Cardiff and Vale of Glamorgan","SEO/HEO","SEO","45","45","38920","37910"
"In post","2021","Food Standards Agency","Central Bedfordshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Central Valleys","EO","EO","15","15","26860","26750"
"In post","2021","Food Standards Agency","Cheshire East","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Cheshire West and Chester","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Cornwall and Isles of Scilly","EO","EO","10","10","26750","26750"
"In post","2021","Food Standards Agency","Cornwall and Isles of Scilly","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Devon CC","EO","EO","5","5","[c]","[c]"
"In post","2021","Food Standards Agency","Dorset CC","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Dudley","EO","EO","5","5","[c]","[c]"
"In post","2021","Food Standards Agency","Durham CC","EO","EO","5","5","[c]","[c]"
"In post","2021","Food Standards Agency","East Cumbria","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","East Derbyshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","East Lancashire","EO","EO","5","5","[c]","[c]"
"In post","2021","Food Standards Agency","East Riding of Yorkshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Essex Haven Gateway","EO","EO","5","5","[c]","[c]"
"In post","2021","Food Standards Agency","Flintshire and Wrexham","EO","EO","5","5","[c]","[c]"
"In post","2021","Food Standards Agency","Gloucestershire","EO","EO","5","5","[c]","[c]"
"In post","2021","Food Standards Agency","Greater Manchester North East","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Greater Manchester South East","EO","EO","5","5","[c]","[c]"
"In post","2021","Food Standards Agency","Heart of Essex","EO","EO","10","10","[c]","[c]"
"In post","2021","Food Standards Agency","Heart of Essex","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Herefordshire, County of","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Leicestershire CC and Rutland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Lincolnshire","EO","EO","20","15","27210","26750"
"In post","2021","Food Standards Agency","Mid Lancashire","EO","EO","20","20","26820","26750"
"In post","2021","Food Standards Agency","North and North East Lincolnshire","EO","EO","10","10","26750","26750"
"In post","2021","Food Standards Agency","North Hampshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","North Hampshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","North Yorkshire CC","EO","EO","10","10","27760","27710"
"In post","2021","Food Standards Agency","Norwich and East Norfolk","EO","EO","5","5","[c]","[c]"
"In post","2021","Food Standards Agency","Oxfordshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Powys","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Sheffield","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Shropshire CC","EO","EO","10","10","26830","26750"
"In post","2021","Food Standards Agency","Somerset","EO","EO","10","10","[c]","[c]"
"In post","2021","Food Standards Agency","South and West Derbyshire","EO","EO","15","10","27180","26750"
"In post","2021","Food Standards Agency","South West Wales","EO","EO","10","10","27430","26750"
"In post","2021","Food Standards Agency","Staffordshire CC","EO","EO","10","10","[c]","[c]"
"In post","2021","Food Standards Agency","Stoke-on-Trent","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Suffolk","EO","EO","20","20","26990","26750"
"In post","2021","Food Standards Agency","Telford and Wrekin","EO","EO","5","5","[c]","[c]"
"In post","2021","Food Standards Agency","Tyneside","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Wakefield","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Warwickshire","EO","EO","5","5","[c]","[c]"
"In post","2021","Food Standards Agency","Warwickshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","West Cumbria","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","West Kent","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","West Northamptonshire","EO","EO","5","5","[c]","[c]"
"In post","2021","Food Standards Agency","West Surrey","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Westminster","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Westminster","EO","EO","45","45","28780","29090"
"In post","2021","Food Standards Agency","Westminster","G6/G7","G6","25","25","67410","65270"
"In post","2021","Food Standards Agency","Westminster","G6/G7","G7","100","95","55570","56130"
"In post","2021","Food Standards Agency","Westminster","SCS level","SCS level","10","10","86000","77650"
"In post","2021","Food Standards Agency","Westminster","SEO/HEO","HEO","140","140","32790","32830"
"In post","2021","Food Standards Agency","Westminster","SEO/HEO","SEO","145","140","41100","40960"
"In post","2021","Food Standards Agency","Wiltshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Wolverhampton","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","York","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","York","EO","EO","40","35","26830","26750"
"In post","2021","Food Standards Agency","York","G6/G7","G6","15","15","61890","61210"
"In post","2021","Food Standards Agency","York","G6/G7","G7","40","40","52240","52070"
"In post","2021","Food Standards Agency","York","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","York","SEO/HEO","HEO","75","75","31270","30810"
"In post","2021","Food Standards Agency","York","SEO/HEO","SEO","80","80","38440","37910"
"In post","2021","Food Standards Scotland","Aberdeen City and Aberdeenshire","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Food Standards Scotland","Aberdeen City and Aberdeenshire","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Food Standards Scotland","Aberdeen City and Aberdeenshire","EO","EO","35","35","28380","29190"
"In post","2021","Food Standards Scotland","Aberdeen City and Aberdeenshire","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Food Standards Scotland","Aberdeen City and Aberdeenshire","G6/G7","G7","10","10","49250","48930"
"In post","2021","Food Standards Scotland","Aberdeen City and Aberdeenshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","60","60","32480","32140"
"In post","2021","Food Standards Scotland","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","50","45","43270","46600"
"In post","2021","Food Standards Scotland","Angus and Dundee City","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Angus and Dundee City","EO","EO","5","5","[c]","[c]"
"In post","2021","Food Standards Scotland","Angus and Dundee City","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Dumfries and Galloway","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Dumfries and Galloway","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","East Ayrshire and North Ayrshire mainland","EO","EO","5","5","[c]","[c]"
"In post","2021","Food Standards Scotland","Inverclyde, East Renfrewshire and Renfrewshire","EO","EO","5","5","[c]","[c]"
"In post","2021","Food Standards Scotland","Inverclyde, East Renfrewshire and Renfrewshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","North Lanarkshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","North Lanarkshire","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Food Standards Scotland","Perth and Kinross and Stirling","EO","EO","20","20","29130","29190"
"In post","2021","Food Standards Scotland","Perth and Kinross and Stirling","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Food Standards Scotland","South Ayrshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","South Ayrshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","South Ayrshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","South Lanarkshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","South Lanarkshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Milton Keynes","AA/AO","AO","125","120","24800","24750"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Milton Keynes","EO","EO","70","70","27890","27400"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Milton Keynes","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Milton Keynes","G6/G7","G7","15","15","57520","56220"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Milton Keynes","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Milton Keynes","SEO/HEO","HEO","40","35","35700","35290"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Milton Keynes","SEO/HEO","SEO","25","25","46180","45590"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","AA/AO","AO","20","20","23040","23000"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","EO","EO","45","45","27790","28150"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","G6/G7","G6","390","390","66050","65230"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","G6/G7","G7","690","685","55080","55060"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","SCS level","SCS level","245","245","85230","76510"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","SEO/HEO","HEO","605","605","34230","34220"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","SEO/HEO","SEO","145","145","40830","40290"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","South Lanarkshire","AA/AO","AO","55","55","21490","21490"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","South Lanarkshire","EO","EO","135","125","25840","26120"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","South Lanarkshire","G6/G7","G6","95","95","63200","63900"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","South Lanarkshire","G6/G7","G7","225","215","50630","51420"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","South Lanarkshire","SCS level","SCS level","15","15","80100","77650"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","South Lanarkshire","SEO/HEO","HEO","255","250","33270","33930"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","South Lanarkshire","SEO/HEO","SEO","185","180","39980","39630"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Westminster","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Westminster","AA/AO","AO","235","230","27610","28000"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Westminster","EO","EO","480","470","31550","30630"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Westminster","G6/G7","G6","555","535","68580","69000"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Westminster","G6/G7","G7","1070","1045","56450","56110"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Westminster","SCS level","SCS level","290","280","87240","78200"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Westminster","SEO/HEO","HEO","1075","1060","37100","37560"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Westminster","SEO/HEO","SEO","380","375","44300","44230"
"In post","2021","Forestry and Land Scotland","Aberdeen City and Aberdeenshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Aberdeen City and Aberdeenshire","AA/AO","AO","40","40","26170","26530"
"In post","2021","Forestry and Land Scotland","Aberdeen City and Aberdeenshire","EO","EO","15","15","32810","34740"
"In post","2021","Forestry and Land Scotland","Aberdeen City and Aberdeenshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Caithness and Sutherland and Ross and Cromarty","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Caithness and Sutherland and Ross and Cromarty","AA/AO","AO","25","25","24910","25140"
"In post","2021","Forestry and Land Scotland","Caithness and Sutherland and Ross and Cromarty","EO","EO","20","20","32450","35330"
"In post","2021","Forestry and Land Scotland","Caithness and Sutherland and Ross and Cromarty","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Caithness and Sutherland and Ross and Cromarty","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","City of Edinburgh","AA/AO","AA","10","10","19060","19160"
"In post","2021","Forestry and Land Scotland","City of Edinburgh","AA/AO","AO","10","10","23530","22920"
"In post","2021","Forestry and Land Scotland","City of Edinburgh","EO","EO","35","30","29420","29140"
"In post","2021","Forestry and Land Scotland","City of Edinburgh","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Forestry and Land Scotland","City of Edinburgh","G6/G7","G7","10","10","55420","54910"
"In post","2021","Forestry and Land Scotland","City of Edinburgh","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","City of Edinburgh","SEO/HEO","HEO","50","50","36990","37530"
"In post","2021","Forestry and Land Scotland","City of Edinburgh","SEO/HEO","SEO","25","25","44850","45210"
"In post","2021","Forestry and Land Scotland","Dumfries and Galloway","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Dumfries and Galloway","AA/AO","AO","90","85","25720","26530"
"In post","2021","Forestry and Land Scotland","Dumfries and Galloway","EO","EO","45","45","32300","32150"
"In post","2021","Forestry and Land Scotland","Dumfries and Galloway","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Dumfries and Galloway","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Dumfries and Galloway","SEO/HEO","HEO","10","10","37350","37530"
"In post","2021","Forestry and Land Scotland","Dumfries and Galloway","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Forestry and Land Scotland","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Forestry and Land Scotland","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","AA/AO","AO","80","80","24560","22920"
"In post","2021","Forestry and Land Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","EO","EO","45","45","30630","30160"
"In post","2021","Forestry and Land Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","SEO/HEO","HEO","35","30","37150","37530"
"In post","2021","Forestry and Land Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","SEO/HEO","SEO","20","20","44790","45210"
"In post","2021","Forestry and Land Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","AA/AO","AO","85","80","26160","26530"
"In post","2021","Forestry and Land Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","EO","EO","40","40","31380","30160"
"In post","2021","Forestry and Land Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","SEO/HEO","HEO","10","10","37190","37530"
"In post","2021","Forestry and Land Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Perth and Kinross and Stirling","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Perth and Kinross and Stirling","AA/AO","AO","60","60","25180","25140"
"In post","2021","Forestry and Land Scotland","Perth and Kinross and Stirling","EO","EO","35","30","31760","30160"
"In post","2021","Forestry and Land Scotland","Perth and Kinross and Stirling","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Perth and Kinross and Stirling","SEO/HEO","HEO","15","15","37590","37530"
"In post","2021","Forestry and Land Scotland","Perth and Kinross and Stirling","SEO/HEO","SEO","10","5","[c]","[c]"
