"Status","Year","Function_of_post","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Heterosexual / straight","1060","1020","37980","36030"
"In post","2021","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","LGBO","95","90","35050","30130"
"In post","2021","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Undeclared","65","60","35840","32540"
"In post","2021","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Unknown","485","460","35740","32040"
"In post","2021","Analysis","Valuation Office Agency","HM Revenue and Customs","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","HM Revenue and Customs","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","HM Revenue and Customs","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Wales Office","Wales Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales Office","Wales Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","Unknown","20","20","[c]","[c]"
"In post","2021","Analysis","Welsh Revenue Authority","Welsh Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Revenue Authority","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Revenue Authority","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wilton Park","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wilton Park","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Heterosexual / straight","40","40","32100","30120"
"In post","2021","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Heterosexual / straight","300","290","72280","64500"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","LGBO","15","15","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Undeclared","30","30","64070","56680"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","1070","1055","70560","64500"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
