"Status","Year","Function_of_post","Organisation","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","Office for Standards in Education, Children's Services and Skills","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education, Children's Services and Skills","London","HEO","5","5","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education, Children's Services and Skills","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education, Children's Services and Skills","London","SEO","10","10","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education, Children's Services and Skills","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education, Children's Services and Skills","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education, Children's Services and Skills","Outside London","HEO","10","5","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education, Children's Services and Skills","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","London","EO","5","5","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","London","HEO","5","5","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","London","SEO","5","5","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","London","EO","5","5","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Planning Inspectorate","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Planning Inspectorate","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Planning Inspectorate","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Planning Inspectorate","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Public Health England","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Public Health England","London","G6","5","5","[c]","[c]"
"In post","2021","Communications","Public Health England","London","G7","10","10","55650","54230"
"In post","2021","Communications","Public Health England","London","HEO","20","20","33880","33100"
"In post","2021","Communications","Public Health England","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Public Health England","London","SEO","15","15","42120","42630"
"In post","2021","Communications","Public Health England","Outside London","G7","10","10","[c]","[c]"
"In post","2021","Communications","Public Health England","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Communications","Public Health England","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Queen Elizabeth II Centre","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Queen Elizabeth II Centre","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Registers of Scotland","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Communications","Registers of Scotland","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Registers of Scotland","Outside London","HEO","10","10","36260","36780"
"In post","2021","Communications","Registers of Scotland","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Rural Payments Agency","Outside London","AO","20","20","20950","21050"
"In post","2021","Communications","Rural Payments Agency","Outside London","EO","45","40","25600","25450"
"In post","2021","Communications","Rural Payments Agency","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Rural Payments Agency","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Rural Payments Agency","Outside London","HEO","25","20","30200","30440"
"In post","2021","Communications","Rural Payments Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Rural Payments Agency","Outside London","SEO","10","10","37820","37320"
"In post","2021","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Courts and Tribunals Service","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Courts and Tribunals Service","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Communications","Scottish Courts and Tribunals Service","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Prison Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Prison Service","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Serious Fraud Office","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Serious Fraud Office","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Serious Fraud Office","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Serious Fraud Office","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","London","HEO","5","5","[c]","[c]"
"In post","2021","Communications","The National Archives","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","London","HEO","10","10","[c]","[c]"
"In post","2021","Communications","UK Export Finance","London","SCS level","5","5","[c]","[c]"
"In post","2021","Communications","UK Export Finance","London","SEO","10","10","45560","46020"
"In post","2021","Communications","UK Hydrographic Office","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Hydrographic Office","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Hydrographic Office","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Communications","UK Hydrographic Office","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Communications","UK Intellectual Property Office","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Intellectual Property Office","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Intellectual Property Office","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Intellectual Property Office","Outside London","EO","10","10","[c]","[c]"
"In post","2021","Communications","UK Intellectual Property Office","Outside London","G7","5","5","[c]","[c]"
"In post","2021","Communications","UK Intellectual Property Office","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Communications","UK Intellectual Property Office","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Space Agency","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Space Agency","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Space Agency","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Space Agency","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Space Agency","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Space Agency","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Space Agency","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Space Agency","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Space Agency","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","London","G7","5","5","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","Outside London","EO","10","10","23710","23050"
"In post","2021","Communications","United Kingdom Statistics Authority","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","Outside London","G7","5","5","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","Outside London","HEO","25","25","29740","29540"
"In post","2021","Communications","United Kingdom Statistics Authority","Outside London","SEO","25","25","36360","36030"
"In post","2021","Communications","Valuation Office Agency","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Valuation Office Agency","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Valuation Office Agency","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Valuation Office Agency","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Valuation Office Agency","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Valuation Office Agency","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Valuation Office Agency","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Valuation Office Agency","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Valuation Office Agency","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Valuation Office Agency","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Valuation Office Agency","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Vehicle Certification Agency","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Vehicle Certification Agency","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Vehicle Certification Agency","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Vehicle Certification Agency","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Vehicle Certification Agency","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales Office","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales Office","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales Office","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Revenue Authority","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Revenue Authority","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Revenue Authority","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wilton Park","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wilton Park","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Cabinet Office (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Cabinet Office (excl. agencies)","London","EO","10","10","[c]","[c]"
"In post","2021","Counter Fraud","Cabinet Office (excl. agencies)","London","G6","15","15","65640","65310"
"In post","2021","Counter Fraud","Cabinet Office (excl. agencies)","London","G7","30","30","55650","54700"
"In post","2021","Counter Fraud","Cabinet Office (excl. agencies)","London","HEO","25","25","34820","34550"
"In post","2021","Counter Fraud","Cabinet Office (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Cabinet Office (excl. agencies)","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Cabinet Office (excl. agencies)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Cabinet Office (excl. agencies)","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Cabinet Office (excl. agencies)","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Cabinet Office (excl. agencies)","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Cabinet Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Cabinet Office (excl. agencies)","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Cabinet Office (excl. agencies)","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Charity Commission","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Charity Commission","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport (excl. agencies)","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport (excl. agencies)","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport (excl. agencies)","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Driver and Vehicle Licensing Agency","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Driver and Vehicle Licensing Agency","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Driver and Vehicle Licensing Agency","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Driver and Vehicle Licensing Agency","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Driver and Vehicle Standards Agency","London","EO","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Driver and Vehicle Standards Agency","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Driver and Vehicle Standards Agency","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Driver and Vehicle Standards Agency","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Driver and Vehicle Standards Agency","Outside London","EO","30","25","26980","26740"
"In post","2021","Counter Fraud","Driver and Vehicle Standards Agency","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Driver and Vehicle Standards Agency","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Driver and Vehicle Standards Agency","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","London","HEO","10","10","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","London","SEO","10","10","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","Outside London","HEO","15","15","30770","30810"
"In post","2021","Counter Fraud","Food Standards Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","Outside London","SEO","15","15","39040","37910"
"In post","2021","Counter Fraud","Government Internal Audit Agency","London","HEO","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Government Internal Audit Agency","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Government Internal Audit Agency","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Government Internal Audit Agency","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Government Internal Audit Agency","Outside London","HEO","15","10","31470","30730"
"In post","2021","Counter Fraud","Government Internal Audit Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Government Internal Audit Agency","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Counter Fraud","HM Revenue and Customs (excl. agencies)","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","HM Revenue and Customs (excl. agencies)","London","AO","130","120","25060","25630"
"In post","2021","Counter Fraud","HM Revenue and Customs (excl. agencies)","London","EO","685","655","30310","29570"
"In post","2021","Counter Fraud","HM Revenue and Customs (excl. agencies)","London","G6","50","45","72190","71400"
"In post","2021","Counter Fraud","HM Revenue and Customs (excl. agencies)","London","G7","190","180","58820","59160"
"In post","2021","Counter Fraud","HM Revenue and Customs (excl. agencies)","London","HEO","570","550","36730","36160"
"In post","2021","Counter Fraud","HM Revenue and Customs (excl. agencies)","London","SCS level","15","15","82230","78420"
"In post","2021","Counter Fraud","HM Revenue and Customs (excl. agencies)","London","SEO","260","255","42460","41760"
"In post","2021","Counter Fraud","HM Revenue and Customs (excl. agencies)","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","HM Revenue and Customs (excl. agencies)","Outside London","AO","705","605","20810","20610"
"In post","2021","Counter Fraud","HM Revenue and Customs (excl. agencies)","Outside London","EO","2635","2460","26120","25560"
"In post","2021","Counter Fraud","HM Revenue and Customs (excl. agencies)","Outside London","G6","175","170","64250","64670"
"In post","2021","Counter Fraud","HM Revenue and Customs (excl. agencies)","Outside London","G7","530","505","52270","52580"
"In post","2021","Counter Fraud","HM Revenue and Customs (excl. agencies)","Outside London","HEO","2090","1970","32060","31810"
"In post","2021","Counter Fraud","HM Revenue and Customs (excl. agencies)","Outside London","SCS level","15","15","80230","79280"
"In post","2021","Counter Fraud","HM Revenue and Customs (excl. agencies)","Outside London","SEO","785","750","38600","38630"
"In post","2021","Counter Fraud","Insolvency Service","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Insolvency Service","London","HEO","20","20","38450","38510"
"In post","2021","Counter Fraud","Insolvency Service","London","SEO","20","15","45760","44850"
"In post","2021","Counter Fraud","Insolvency Service","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Insolvency Service","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Insolvency Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Insolvency Service","Outside London","G7","10","10","55320","56830"
"In post","2021","Counter Fraud","Insolvency Service","Outside London","HEO","150","145","36120","36060"
"In post","2021","Counter Fraud","Insolvency Service","Outside London","SEO","50","50","44140","43910"
"In post","2021","Counter Fraud","Met Office","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Serious Fraud Office","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Serious Fraud Office","London","EO","35","30","27260","26320"
"In post","2021","Counter Fraud","Serious Fraud Office","London","G6","35","35","70530","69620"
"In post","2021","Counter Fraud","Serious Fraud Office","London","G7","40","40","58300","58470"
"In post","2021","Counter Fraud","Serious Fraud Office","London","HEO","70","65","33570","33100"
"In post","2021","Counter Fraud","Serious Fraud Office","London","SCS level","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Serious Fraud Office","London","SEO","60","60","41140","40350"
"In post","2021","Counter Fraud","UK Intellectual Property Office","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","UK Intellectual Property Office","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","UK Intellectual Property Office","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","UK Intellectual Property Office","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","UK Intellectual Property Office","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","UK Intellectual Property Office","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","UK Intellectual Property Office","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Debt","Debt Management Office","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Debt Management Office","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Debt Management Office","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Debt Management Office","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Health and Safety Executive","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Health and Safety Executive","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Health and Safety Executive","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","HM Revenue and Customs (excl. agencies)","London","AO","385","340","24870","24670"
"In post","2021","Debt","HM Revenue and Customs (excl. agencies)","London","EO","125","115","30940","32310"
"In post","2021","Debt","HM Revenue and Customs (excl. agencies)","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Debt","HM Revenue and Customs (excl. agencies)","London","G7","5","5","[c]","[c]"
"In post","2021","Debt","HM Revenue and Customs (excl. agencies)","London","HEO","20","20","38220","39800"
"In post","2021","Debt","HM Revenue and Customs (excl. agencies)","London","SEO","10","10","[c]","[c]"
"In post","2021","Debt","HM Revenue and Customs (excl. agencies)","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Debt","HM Revenue and Customs (excl. agencies)","Outside London","AO","3025","2730","20450","20140"
"In post","2021","Debt","HM Revenue and Customs (excl. agencies)","Outside London","EO","825","750","26200","25560"
"In post","2021","Debt","HM Revenue and Customs (excl. agencies)","Outside London","G6","10","10","[c]","[c]"
"In post","2021","Debt","HM Revenue and Customs (excl. agencies)","Outside London","G7","25","25","49790","52580"
"In post","2021","Debt","HM Revenue and Customs (excl. agencies)","Outside London","HEO","160","145","32090","31810"
"In post","2021","Debt","HM Revenue and Customs (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Debt","HM Revenue and Customs (excl. agencies)","Outside London","SEO","50","50","38310","38630"
"In post","2021","Debt","UK Export Finance","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","UK Export Finance","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","London","EO","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","London","G7","10","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","London","HEO","10","10","39650","39390"
"In post","2021","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","London","SEO","15","15","47860","47750"
"In post","2021","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Animal and Plant Health Agency","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Animal and Plant Health Agency","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Animal and Plant Health Agency","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Animal and Plant Health Agency","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Animal and Plant Health Agency","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Cabinet Office (excl. agencies)","London","AO","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Cabinet Office (excl. agencies)","London","EO","50","50","28020","27500"
"In post","2021","Digital, Data & Technology","Cabinet Office (excl. agencies)","London","G6","100","100","67870","66950"
"In post","2021","Digital, Data & Technology","Cabinet Office (excl. agencies)","London","G7","475","465","56470","54700"
"In post","2021","Digital, Data & Technology","Cabinet Office (excl. agencies)","London","HEO","125","125","34900","34550"
"In post","2021","Digital, Data & Technology","Cabinet Office (excl. agencies)","London","SCS level","25","25","93510","83330"
"In post","2021","Digital, Data & Technology","Cabinet Office (excl. agencies)","London","SEO","100","95","41340","40600"
"In post","2021","Digital, Data & Technology","Cabinet Office (excl. agencies)","Outside London","EO","10","10","24780","23850"
"In post","2021","Digital, Data & Technology","Cabinet Office (excl. agencies)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Cabinet Office (excl. agencies)","Outside London","G7","15","15","50500","49700"
"In post","2021","Digital, Data & Technology","Cabinet Office (excl. agencies)","Outside London","HEO","30","30","32450","32000"
"In post","2021","Digital, Data & Technology","Cabinet Office (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Cabinet Office (excl. agencies)","Outside London","SEO","10","10","38360","37300"
"In post","2021","Digital, Data & Technology","Cabinet Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Cabinet Office (excl. agencies)","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Cabinet Office (excl. agencies)","Unknown","G7","5","5","[c]","[c]"
