"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Black","Analysis","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","London","London","130","130","40500","38360"
"In post","2021","Black","Analysis","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Black","Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","South East (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Analysis","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Black","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Wales","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Analysis","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2021","Black","Commercial","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","East of England","Outside London","5","5","[c]","[c]"
"In post","2021","Black","Commercial","London","London","120","120","42740","38180"
"In post","2021","Black","Commercial","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","North West (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Commercial","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","South East (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Commercial","South West (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Black","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","West Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Commercial","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2021","Black","Communications","East Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Communications","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","London","London","115","115","37130","34630"
"In post","2021","Black","Communications","North East (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Black","Communications","North West (England)","Outside London","25","25","[c]","[c]"
"In post","2021","Black","Communications","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Overseas","Overseas","[c]","[c]","[c]","[c]"
