"Status","Year","Function_of_post","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Internal Audit","Internal Audit","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Operational Delivery","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Operational Delivery","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Policy","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Internal Audit","Policy","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Policy","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Internal Audit","Policy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Project Delivery","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Project Delivery","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Communications","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Communications","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Digital, Data and Technology","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Digital, Data and Technology","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Digital, Data and Technology","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Digital, Data and Technology","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Finance","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Finance","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Human Resources","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Human Resources","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Knowledge and Information Management","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Legal","Knowledge and Information Management","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Knowledge and Information Management","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Knowledge and Information Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Knowledge and Information Management","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Knowledge and Information Management","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal","London","Heterosexual / straight","2410","2260","58450","56580"
"In post","2021","Legal","Legal","London","LGBO","210","205","58850","57170"
"In post","2021","Legal","Legal","London","Undeclared","285","270","61350","61820"
"In post","2021","Legal","Legal","London","Unknown","930","855","60890","63000"
"In post","2021","Legal","Legal","Outside London","Heterosexual / straight","3245","2995","50400","50520"
"In post","2021","Legal","Legal","Outside London","LGBO","125","120","50820","52490"
"In post","2021","Legal","Legal","Outside London","Undeclared","375","340","47160","45190"
"In post","2021","Legal","Legal","Outside London","Unknown","1045","950","51650","55610"
"In post","2021","Legal","Legal","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Legal","Legal","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal","Overseas","Unknown","10","10","[c]","[c]"
"In post","2021","Legal","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Operational Delivery","London","Heterosexual / straight","630","600","30770","27440"
"In post","2021","Legal","Operational Delivery","London","LGBO","55","55","30950","27440"
"In post","2021","Legal","Operational Delivery","London","Undeclared","40","40","30480","27210"
"In post","2021","Legal","Operational Delivery","London","Unknown","220","205","27530","26410"
"In post","2021","Legal","Operational Delivery","Outside London","Heterosexual / straight","1915","1770","27120","25480"
"In post","2021","Legal","Operational Delivery","Outside London","LGBO","115","110","27800","25520"
"In post","2021","Legal","Operational Delivery","Outside London","Undeclared","1595","1435","26430","22820"
"In post","2021","Legal","Operational Delivery","Outside London","Unknown","605","535","25930","25480"
"In post","2021","Legal","Other","London","Heterosexual / straight","230","220","30620","27350"
"In post","2021","Legal","Other","London","LGBO","20","20","[c]","[c]"
"In post","2021","Legal","Other","London","Undeclared","25","20","[c]","[c]"
"In post","2021","Legal","Other","London","Unknown","75","70","32070","27710"
"In post","2021","Legal","Other","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Legal","Other","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Legal","Policy","London","Heterosexual / straight","35","35","56790","59450"
"In post","2021","Legal","Policy","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Policy","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Legal","Policy","London","Unknown","15","15","[c]","[c]"
"In post","2021","Legal","Policy","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Policy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Policy","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Legal","Project Delivery","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Project Delivery","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Project Delivery","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Project Delivery","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Tax","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Legal","Tax","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Tax","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Legal","Tax","London","Unknown","10","10","[c]","[c]"
"In post","2021","Legal","Tax","Outside London","Heterosexual / straight","210","200","38250","34080"
"In post","2021","Legal","Tax","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Legal","Tax","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2021","Legal","Tax","Outside London","Unknown","70","65","36030","31870"
"In post","2021","Legal","Unknown","London","Heterosexual / straight","70","65","67440","67770"
"In post","2021","Legal","Unknown","London","LGBO","15","15","[c]","[c]"
"In post","2021","Legal","Unknown","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Legal","Unknown","London","Unknown","45","45","62680","59670"
"In post","2021","Legal","Unknown","Outside London","Heterosexual / straight","35","35","35500","31810"
"In post","2021","Legal","Unknown","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Outside London","Unknown","20","20","[c]","[c]"
"In post","2021","No function","Commercial","London","Heterosexual / straight","70","70","53140","54110"
"In post","2021","No function","Commercial","London","LGBO","10","10","[c]","[c]"
"In post","2021","No function","Commercial","London","Undeclared","10","10","[c]","[c]"
"In post","2021","No function","Commercial","London","Unknown","25","25","[c]","[c]"
"In post","2021","No function","Commercial","Outside London","Heterosexual / straight","125","120","39700","36780"
"In post","2021","No function","Commercial","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","No function","Commercial","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","No function","Commercial","Outside London","Unknown","35","35","39830","38010"
"In post","2021","No function","Communications","London","Heterosexual / straight","60","55","44670","40490"
"In post","2021","No function","Communications","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Communications","London","Undeclared","5","5","[c]","[c]"
"In post","2021","No function","Communications","London","Unknown","25","25","[c]","[c]"
"In post","2021","No function","Communications","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","No function","Communications","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Communications","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Communications","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","No function","Corporate Finance","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","No function","Corporate Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Corporate Finance","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Corporate Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Corporate Finance","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Corporate Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Counter Fraud","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","No function","Counter Fraud","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Counter Fraud","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Counter Fraud","London","Unknown","10","10","[c]","[c]"
"In post","2021","No function","Counter Fraud","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Counter Fraud","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Counter Fraud","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Counter Fraud","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","No function","Digital, Data and Technology","London","Heterosexual / straight","40","40","43550","40230"
"In post","2021","No function","Digital, Data and Technology","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Digital, Data and Technology","London","Undeclared","10","10","[c]","[c]"
"In post","2021","No function","Digital, Data and Technology","London","Unknown","25","25","[c]","[c]"
"In post","2021","No function","Digital, Data and Technology","Outside London","Heterosexual / straight","85","85","34310","30310"
"In post","2021","No function","Digital, Data and Technology","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Digital, Data and Technology","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","No function","Digital, Data and Technology","Outside London","Unknown","45","45","35610","30950"
"In post","2021","No function","Economics","London","Heterosexual / straight","290","285","48440","52290"
"In post","2021","No function","Economics","London","LGBO","30","25","[c]","[c]"
"In post","2021","No function","Economics","London","Undeclared","35","35","45680","36680"
"In post","2021","No function","Economics","London","Unknown","60","60","51540","54280"
"In post","2021","No function","Economics","Outside London","Heterosexual / straight","35","35","42550","46080"
"In post","2021","No function","Economics","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","No function","Economics","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","No function","Economics","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","No function","Economics","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Economics","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Finance","London","Heterosexual / straight","115","115","47570","42040"
"In post","2021","No function","Finance","London","LGBO","10","10","[c]","[c]"
"In post","2021","No function","Finance","London","Undeclared","15","15","[c]","[c]"
"In post","2021","No function","Finance","London","Unknown","35","35","45220","41630"
"In post","2021","No function","Finance","Outside London","Heterosexual / straight","150","140","37650","32300"
"In post","2021","No function","Finance","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","No function","Finance","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2021","No function","Finance","Outside London","Unknown","55","50","44790","40300"
"In post","2021","No function","Human Resources","London","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","No function","Human Resources","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","London","Unknown","5","5","[c]","[c]"
"In post","2021","No function","Human Resources","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","No function","Human Resources","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Inspector of Education and Training","London","Heterosexual / straight","180","175","65320","64500"
"In post","2021","No function","Inspector of Education and Training","London","LGBO","20","20","[c]","[c]"
"In post","2021","No function","Inspector of Education and Training","London","Undeclared","15","15","[c]","[c]"
"In post","2021","No function","Inspector of Education and Training","London","Unknown","15","15","[c]","[c]"
"In post","2021","No function","Inspector of Education and Training","Outside London","Heterosexual / straight","545","530","66740","74730"
"In post","2021","No function","Inspector of Education and Training","Outside London","LGBO","30","30","70800","75500"
"In post","2021","No function","Inspector of Education and Training","Outside London","Undeclared","30","30","65590","74730"
"In post","2021","No function","Inspector of Education and Training","Outside London","Unknown","20","20","[c]","[c]"
"In post","2021","No function","Intelligence Analysis","London","Heterosexual / straight","50","50","38430","35320"
"In post","2021","No function","Intelligence Analysis","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Intelligence Analysis","London","Undeclared","5","5","[c]","[c]"
"In post","2021","No function","Intelligence Analysis","London","Unknown","15","15","[c]","[c]"
"In post","2021","No function","Intelligence Analysis","Outside London","Heterosexual / straight","300","290","30120","27380"
"In post","2021","No function","Intelligence Analysis","Outside London","LGBO","15","15","[c]","[c]"
"In post","2021","No function","Intelligence Analysis","Outside London","Undeclared","35","35","30010","27380"
"In post","2021","No function","Intelligence Analysis","Outside London","Unknown","50","50","30640","29180"
"In post","2021","No function","Intelligence Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Intelligence Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Internal Audit","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","No function","Internal Audit","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","International Trade","London","Heterosexual / straight","585","575","48570","51710"
"In post","2021","No function","International Trade","London","LGBO","65","65","48630","51840"
"In post","2021","No function","International Trade","London","Undeclared","65","65","47090","51710"
"In post","2021","No function","International Trade","London","Unknown","355","350","45280","39590"
"In post","2021","No function","International Trade","Outside London","Heterosexual / straight","155","150","39360","31810"
"In post","2021","No function","International Trade","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","No function","International Trade","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2021","No function","International Trade","Outside London","Unknown","60","60","36890","31820"
"In post","2021","No function","International Trade","Overseas","Heterosexual / straight","95","95","57150","55650"
"In post","2021","No function","International Trade","Overseas","LGBO","10","10","[c]","[c]"
"In post","2021","No function","International Trade","Overseas","Undeclared","5","5","[c]","[c]"
"In post","2021","No function","International Trade","Overseas","Unknown","45","45","54410","51770"
"In post","2021","No function","Knowledge and Information Management","London","Heterosexual / straight","265","255","43880","39160"
"In post","2021","No function","Knowledge and Information Management","London","LGBO","30","30","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","London","Undeclared","35","30","43030","38230"
"In post","2021","No function","Knowledge and Information Management","London","Unknown","110","100","38340","34930"
"In post","2021","No function","Knowledge and Information Management","Outside London","Heterosexual / straight","350","330","35370","31790"
"In post","2021","No function","Knowledge and Information Management","Outside London","LGBO","15","15","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Outside London","Undeclared","70","65","35190","32560"
"In post","2021","No function","Knowledge and Information Management","Outside London","Unknown","100","90","36860","35260"
"In post","2021","No function","Knowledge and Information Management","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Knowledge and Information Management","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Legal","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","No function","Legal","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Legal","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Legal","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Medicine","London","Heterosexual / straight","95","80","98040","98490"
"In post","2021","No function","Medicine","London","LGBO","5","5","[c]","[c]"
"In post","2021","No function","Medicine","London","Undeclared","20","15","[c]","[c]"
"In post","2021","No function","Medicine","London","Unknown","50","45","110830","112850"
"In post","2021","No function","Medicine","Outside London","Heterosexual / straight","180","160","95670","96510"
"In post","2021","No function","Medicine","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Medicine","Outside London","Undeclared","40","30","100740","104580"
"In post","2021","No function","Medicine","Outside London","Unknown","55","50","110170","110710"
"In post","2021","No function","Operational Delivery","London","Heterosexual / straight","10460","10005","35410","32570"
"In post","2021","No function","Operational Delivery","London","LGBO","695","680","36620","33260"
"In post","2021","No function","Operational Delivery","London","Undeclared","1525","1445","34960","31810"
"In post","2021","No function","Operational Delivery","London","Unknown","3470","3315","33440","30300"
"In post","2021","No function","Operational Delivery","Outside London","Heterosexual / straight","71165","65450","28140","25790"
"In post","2021","No function","Operational Delivery","Outside London","LGBO","4200","4060","27680","25560"
"In post","2021","No function","Operational Delivery","Outside London","Undeclared","9825","8775","27840","26120"
"In post","2021","No function","Operational Delivery","Outside London","Unknown","25195","22735","26450","24130"
"In post","2021","No function","Operational Delivery","Overseas","Heterosexual / straight","110","110","64620","62570"
"In post","2021","No function","Operational Delivery","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Operational Delivery","Overseas","Undeclared","10","10","[c]","[c]"
"In post","2021","No function","Operational Delivery","Overseas","Unknown","20","20","[c]","[c]"
"In post","2021","No function","Operational Delivery","Unknown","Heterosexual / straight","70","70","43160","43710"
"In post","2021","No function","Operational Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Operational Delivery","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2021","No function","Operational Delivery","Unknown","Unknown","30","30","37860","41440"
"In post","2021","No function","Operational Research","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","No function","Operational Research","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Operational Research","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Operational Research","London","Unknown","5","5","[c]","[c]"
"In post","2021","No function","Operational Research","Outside London","Heterosexual / straight","220","210","44710","46080"
"In post","2021","No function","Operational Research","Outside London","LGBO","15","15","[c]","[c]"
"In post","2021","No function","Operational Research","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","No function","Operational Research","Outside London","Unknown","30","30","46730","46820"
"In post","2021","No function","Other","London","Heterosexual / straight","595","580","42150","35060"
"In post","2021","No function","Other","London","LGBO","65","65","39090","34130"
"In post","2021","No function","Other","London","Undeclared","65","65","44290","37660"
"In post","2021","No function","Other","London","Unknown","415","395","45560","35490"
"In post","2021","No function","Other","Outside London","Heterosexual / straight","645","605","37160","30930"
"In post","2021","No function","Other","Outside London","LGBO","50","50","32220","25880"
"In post","2021","No function","Other","Outside London","Undeclared","80","75","44800","33650"
"In post","2021","No function","Other","Outside London","Unknown","405","365","33740","30930"
"In post","2021","No function","Planning","London","Heterosexual / straight","75","70","46990","42980"
"In post","2021","No function","Planning","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Planning","London","Undeclared","5","5","[c]","[c]"
"In post","2021","No function","Planning","London","Unknown","5","5","[c]","[c]"
"In post","2021","No function","Planning","Outside London","Heterosexual / straight","40","35","49250","40870"
"In post","2021","No function","Planning","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Planning","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Planning","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","No function","Planning Inspectors","Outside London","Heterosexual / straight","265","235","57870","58810"
"In post","2021","No function","Planning Inspectors","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","No function","Planning Inspectors","Outside London","Undeclared","35","25","57910","58810"
"In post","2021","No function","Planning Inspectors","Outside London","Unknown","40","30","58650","58810"
"In post","2021","No function","Policy","London","Heterosexual / straight","9895","9660","48730","47600"
"In post","2021","No function","Policy","London","LGBO","1165","1155","47410","43750"
"In post","2021","No function","Policy","London","Undeclared","1235","1215","47810","46710"
"In post","2021","No function","Policy","London","Unknown","2760","2700","46490","40650"
"In post","2021","No function","Policy","Outside London","Heterosexual / straight","2775","2665","40660","36780"
"In post","2021","No function","Policy","Outside London","LGBO","230","225","39080","36420"
"In post","2021","No function","Policy","Outside London","Undeclared","325","310","40330","36780"
"In post","2021","No function","Policy","Outside London","Unknown","775","750","41170","36820"
"In post","2021","No function","Policy","Overseas","Heterosexual / straight","1070","1065","51960","52400"
"In post","2021","No function","Policy","Overseas","LGBO","85","85","49320","53030"
"In post","2021","No function","Policy","Overseas","Undeclared","175","175","51260","53470"
"In post","2021","No function","Policy","Overseas","Unknown","135","135","52800","54070"
"In post","2021","No function","Policy","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","No function","Policy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Project Delivery","London","Heterosexual / straight","80","75","46140","41620"
"In post","2021","No function","Project Delivery","London","LGBO","5","5","[c]","[c]"
"In post","2021","No function","Project Delivery","London","Undeclared","10","10","[c]","[c]"
"In post","2021","No function","Project Delivery","London","Unknown","20","20","[c]","[c]"
"In post","2021","No function","Project Delivery","Outside London","Heterosexual / straight","75","75","36760","32130"
"In post","2021","No function","Project Delivery","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Project Delivery","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","No function","Project Delivery","Outside London","Unknown","15","10","[c]","[c]"
"In post","2021","No function","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Property","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Property","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Property","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Property","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","No function","Property","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Property","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Property","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Psychology","London","Heterosexual / straight","45","45","42240","40520"
"In post","2021","No function","Psychology","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Psychology","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Psychology","London","Unknown","10","10","[c]","[c]"
"In post","2021","No function","Psychology","Outside London","Heterosexual / straight","985","940","35310","30450"
"In post","2021","No function","Psychology","Outside London","LGBO","55","55","31100","29060"
"In post","2021","No function","Psychology","Outside London","Undeclared","90","85","34450","31180"
"In post","2021","No function","Psychology","Outside London","Unknown","200","185","36570","33650"
"In post","2021","No function","Science and Engineering","London","Heterosexual / straight","680","635","43610","40090"
"In post","2021","No function","Science and Engineering","London","LGBO","55","55","45360","39130"
"In post","2021","No function","Science and Engineering","London","Undeclared","80","70","48800","42210"
"In post","2021","No function","Science and Engineering","London","Unknown","220","210","48380","44950"
"In post","2021","No function","Science and Engineering","Outside London","Heterosexual / straight","3595","3410","38780","37320"
"In post","2021","No function","Science and Engineering","Outside London","LGBO","220","210","34060","28690"
"In post","2021","No function","Science and Engineering","Outside London","Undeclared","545","515","41180","39410"
"In post","2021","No function","Science and Engineering","Outside London","Unknown","1530","1455","40410","39260"
"In post","2021","No function","Science and Engineering","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","No function","Science and Engineering","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Science and Engineering","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Science and Engineering","Overseas","Unknown","25","25","[c]","[c]"
"In post","2021","No function","Security","London","Heterosexual / straight","120","120","47860","44480"
"In post","2021","No function","Security","London","LGBO","10","10","[c]","[c]"
"In post","2021","No function","Security","London","Undeclared","25","25","[c]","[c]"
"In post","2021","No function","Security","London","Unknown","30","30","[c]","[c]"
"In post","2021","No function","Security","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Security","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Social Research","London","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","No function","Social Research","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Social Research","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Social Research","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Social Research","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","No function","Social Research","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Social Research","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Social Research","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Statistics","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","No function","Statistics","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Statistics","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Statistics","London","Unknown","5","5","[c]","[c]"
"In post","2021","No function","Statistics","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","No function","Statistics","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Statistics","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Statistics","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Tax","London","Heterosexual / straight","1010","955","44890","39800"
"In post","2021","No function","Tax","London","LGBO","50","50","43520","39800"
"In post","2021","No function","Tax","London","Undeclared","155","145","43880","39800"
"In post","2021","No function","Tax","London","Unknown","540","505","40150","36160"
"In post","2021","No function","Tax","Outside London","Heterosexual / straight","5615","5250","34930","31810"
"In post","2021","No function","Tax","Outside London","LGBO","370","360","32630","31810"
"In post","2021","No function","Tax","Outside London","Undeclared","800","730","36950","31870"
"In post","2021","No function","Tax","Outside London","Unknown","3400","3200","27730","25560"
"In post","2021","No function","Unknown","London","Heterosexual / straight","1680","1655","48750","42660"
"In post","2021","No function","Unknown","London","LGBO","190","190","47190","40850"
"In post","2021","No function","Unknown","London","Undeclared","205","200","45800","40600"
"In post","2021","No function","Unknown","London","Unknown","1810","1800","38280","32000"
"In post","2021","No function","Unknown","Outside London","Heterosexual / straight","1300","1240","27010","20380"
"In post","2021","No function","Unknown","Outside London","LGBO","140","135","25100","20140"
"In post","2021","No function","Unknown","Outside London","Undeclared","105","100","26670","25560"
"In post","2021","No function","Unknown","Outside London","Unknown","1370","1320","25580","25560"
"In post","2021","No function","Unknown","Unknown","Heterosexual / straight","65","65","43360","38350"
"In post","2021","No function","Unknown","Unknown","LGBO","5","5","[c]","[c]"
