"Status","Year","Age","Organisation","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","United Kingdom Statistics Authority","Outside London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","Outside London","AO","10","10","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","Outside London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Outside London","AO","5","5","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","Outside London","AA","5","5","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","Outside London","EO","5","5","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","London","EO","10","10","26280","24780"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","London","HEO","5","5","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Outside London","AO","10","10","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Outside London","EO","65","60","24260","24250"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Outside London","HEO","20","20","30950","30950"
"In post","2021","20-29","Animal and Plant Health Agency","London","EO","20","20","30600","31460"
"In post","2021","20-29","Animal and Plant Health Agency","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","Outside London","AO","200","195","22130","21050"
"In post","2021","20-29","Animal and Plant Health Agency","Outside London","EO","165","165","25790","25100"
"In post","2021","20-29","Animal and Plant Health Agency","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","Outside London","HEO","45","45","30910","30230"
"In post","2021","20-29","Animal and Plant Health Agency","Outside London","SEO","15","15","36430","35900"
"In post","2021","20-29","Attorney General's Office","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","London","AO","70","70","24500","24490"
"In post","2021","20-29","Cabinet Office (excl. agencies)","London","EO","355","355","27580","27500"
"In post","2021","20-29","Cabinet Office (excl. agencies)","London","G6","40","40","65490","64500"
"In post","2021","20-29","Cabinet Office (excl. agencies)","London","G7","360","360","55190","54700"
"In post","2021","20-29","Cabinet Office (excl. agencies)","London","HEO","1510","1510","31360","32000"
"In post","2021","20-29","Cabinet Office (excl. agencies)","London","SCS level","20","20","66780","63750"
"In post","2021","20-29","Cabinet Office (excl. agencies)","London","SEO","160","160","40710","40600"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Outside London","AO","100","100","20810","20800"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Outside London","EO","85","85","25240","25550"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Outside London","G7","10","10","50780","49700"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Outside London","HEO","295","290","29690","29250"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Outside London","SEO","20","20","38050","37300"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Unknown","AO","10","10","21190","20800"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Unknown","EO","20","20","26600","27500"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Unknown","G7","15","15","54510","54700"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Unknown","HEO","310","310","30510","29250"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Unknown","SEO","10","10","39820","40600"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA","5","5","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AO","20","20","21250","21050"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","30","30","24920","24920"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Outside London","HEO","25","25","29480","29270"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","London","HEO","5","5","[c]","[c]"
"In post","2021","20-29","Charity Commission","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Outside London","EO","25","25","24370","24440"
"In post","2021","20-29","Charity Commission","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","20-29","Charity Commission","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Outside London","AO","50","50","19960","19850"
"In post","2021","20-29","Companies House","Outside London","EO","50","50","27990","24500"
"In post","2021","20-29","Companies House","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Outside London","HEO","15","15","32630","31900"
"In post","2021","20-29","Companies House","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","London","AO","20","20","23130","22860"
