"Status","Year","Age","Function_of_post","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","30-39","Digital, Data & Technology","Serious Fraud Office","Digital, Data and Technology","10","10","42870","40170"
"In post","2021","30-39","Digital, Data & Technology","Submarine Delivery Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Submarine Delivery Agency","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","The National Archives","Digital, Data and Technology","20","20","38130","36800"
"In post","2021","30-39","Digital, Data & Technology","UK Export Finance","Digital, Data and Technology","10","10","52180","49820"
"In post","2021","30-39","Digital, Data & Technology","UK Hydrographic Office","Digital, Data and Technology","55","55","34740","33290"
"In post","2021","30-39","Digital, Data & Technology","UK Intellectual Property Office","Digital, Data and Technology","50","50","43240","42230"
"In post","2021","30-39","Digital, Data & Technology","UK Intellectual Property Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","United Kingdom Statistics Authority","Digital, Data and Technology","180","175","39020","36030"
"In post","2021","30-39","Digital, Data & Technology","Vehicle Certification Agency","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Water Services Regulation Authority","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Welsh Revenue Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Wilton Park","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Advisory, Conciliation and Arbitration Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Cabinet Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Cabinet Office (excl. agencies)","Unknown","20","20","53710","54700"
"In post","2021","30-39","Finance","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Companies House","Finance","10","10","30530","27700"
"In post","2021","30-39","Finance","Competition and Markets Authority","Corporate Finance","10","10","[c]","[c]"
"In post","2021","30-39","Finance","Crown Commercial Service","Finance","10","10","34600","35110"
"In post","2021","30-39","Finance","Crown Office and Procurator Fiscal Service","Finance","5","5","[c]","[c]"
"In post","2021","30-39","Finance","Crown Prosecution Service","Finance","25","20","33590","30610"
"In post","2021","30-39","Finance","Debt Management Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Debt Management Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Defence Electronics and Components Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Defence Equipment and Support","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Defence Equipment and Support","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Defence Equipment and Support","Finance","35","35","38380","38150"
"In post","2021","30-39","Finance","Defence Equipment and Support","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","30-39","Finance","Defence Equipment and Support","Other","25","25","31640","29070"
"In post","2021","30-39","Finance","Defence Equipment and Support","Policy","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Defence Equipment and Support","Project Delivery","10","10","47740","42880"
"In post","2021","30-39","Finance","Defence Science and Technology Laboratory","Corporate Finance","5","5","[c]","[c]"
"In post","2021","30-39","Finance","Defence Science and Technology Laboratory","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Defence Science and Technology Laboratory","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","40","40","58500","58100"
"In post","2021","30-39","Finance","Department for Digital, Culture, Media and Sport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Department for Digital, Culture, Media and Sport","Finance","25","25","55150","61730"
"In post","2021","30-39","Finance","Department for Education (excl. agencies)","Finance","105","100","45230","49860"
"In post","2021","30-39","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","75","70","42350","37940"
"In post","2021","30-39","Finance","Department for International Trade","Finance","25","25","50480","51970"
"In post","2021","30-39","Finance","Department for Transport (excl. agencies)","Finance","30","30","47250","49240"
"In post","2021","30-39","Finance","Department for Transport (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Department for Transport (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Department of Health and Social Care (excl. agencies)","Economics","25","20","51760","53360"
"In post","2021","30-39","Finance","Department of Health and Social Care (excl. agencies)","Finance","80","80","38970","36820"
"In post","2021","30-39","Finance","Driver and Vehicle Licensing Agency","Finance","30","30","32060","30730"
"In post","2021","30-39","Finance","Driver and Vehicle Standards Agency","Finance","25","25","36220","33370"
"In post","2021","30-39","Finance","Education and Skills Funding Agency","Finance","35","35","46040","50100"
"In post","2021","30-39","Finance","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","FCDO Services","Finance","15","15","37810","37860"
"In post","2021","30-39","Finance","Food Standards Agency","Finance","10","10","[c]","[c]"
"In post","2021","30-39","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","30","25","41510","38150"
"In post","2021","30-39","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","10","10","39990","39630"
"In post","2021","30-39","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","10","10","[c]","[c]"
"In post","2021","30-39","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Statistics","5","5","[c]","[c]"
"In post","2021","30-39","Finance","Forestry and Land Scotland","Unknown","15","15","39260","36610"
"In post","2021","30-39","Finance","Government Internal Audit Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Government Legal Department","Finance","10","10","[c]","[c]"
"In post","2021","30-39","Finance","Government Property Agency","Finance","10","10","[c]","[c]"
"In post","2021","30-39","Finance","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Health and Safety Executive","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","HM Courts and Tribunals Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","HM Courts and Tribunals Service","Finance","35","35","39200","34630"
"In post","2021","30-39","Finance","HM Courts and Tribunals Service","Operational Delivery","15","15","32190","30850"
"In post","2021","30-39","Finance","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","HM Land Registry","Finance","10","10","57190","58540"
"In post","2021","30-39","Finance","HM Revenue and Customs (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","HM Revenue and Customs (excl. agencies)","Finance","180","170","36970","31810"
"In post","2021","30-39","Finance","HM Revenue and Customs (excl. agencies)","Operational Delivery","110","100","27910","25560"
"In post","2021","30-39","Finance","HM Revenue and Customs (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","HM Revenue and Customs (excl. agencies)","Tax","20","15","35250","31810"
"In post","2021","30-39","Finance","HM Revenue and Customs (excl. agencies)","Unknown","45","45","42900","40290"
"In post","2021","30-39","Finance","HM Treasury (excl. agencies)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","HM Treasury (excl. agencies)","Finance","25","25","55970","59840"
"In post","2021","30-39","Finance","Insolvency Service","Finance","10","10","40800","42290"
"In post","2021","30-39","Finance","Institute for Apprenticeships and Technical Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Legal Aid Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Maritime and Coastguard Agency","Finance","5","5","[c]","[c]"
"In post","2021","30-39","Finance","Medicines and Healthcare Products Regulatory Agency","Finance","10","10","[c]","[c]"
"In post","2021","30-39","Finance","Met Office","Finance","10","10","39580","39840"
"In post","2021","30-39","Finance","Ministry of Defence (excl. agencies)","Finance","300","285","38690","33300"
"In post","2021","30-39","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","Finance","30","30","58420","57970"
"In post","2021","30-39","Finance","Ministry of Justice (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Ministry of Justice (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Ministry of Justice (excl. agencies)","Finance","90","90","41430","36800"
"In post","2021","30-39","Finance","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Ministry of Justice (excl. agencies)","Operational Delivery","5","5","[c]","[c]"
"In post","2021","30-39","Finance","Ministry of Justice (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","National Crime Agency","Finance","10","10","34070","30480"
"In post","2021","30-39","Finance","National Savings and Investments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Office for Standards in Education, Children's Services and Skills","Finance","15","15","45800","39850"
"In post","2021","30-39","Finance","Office of Gas and Electricity Markets","Corporate Finance","5","5","[c]","[c]"
"In post","2021","30-39","Finance","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Planning Inspectorate","Finance","5","5","[c]","[c]"
"In post","2021","30-39","Finance","Public Health England","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Public Health England","Finance","30","30","36080","33380"
"In post","2021","30-39","Finance","Registers of Scotland","Finance","5","5","[c]","[c]"
"In post","2021","30-39","Finance","Scottish Courts and Tribunals Service","Finance","10","10","[c]","[c]"
"In post","2021","30-39","Finance","Scottish Forestry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Scottish Prison Service","Finance","10","10","31640","31140"
"In post","2021","30-39","Finance","Serious Fraud Office","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Serious Fraud Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Submarine Delivery Agency","Finance","5","5","[c]","[c]"
"In post","2021","30-39","Finance","The National Archives","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","UK Export Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","UK Export Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","UK Hydrographic Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","UK Intellectual Property Office","Finance","5","5","[c]","[c]"
"In post","2021","30-39","Finance","UK Space Agency","Finance","5","5","[c]","[c]"
"In post","2021","30-39","Finance","UK Space Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","United Kingdom Statistics Authority","Finance","20","20","34970","30130"
"In post","2021","30-39","Finance","Valuation Office Agency","Finance","15","15","48070","52920"
"In post","2021","30-39","Finance","Vehicle Certification Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Vehicle Certification Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Water Services Regulation Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Welsh Revenue Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Wilton Park","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Grants Management","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Grants Management","Rural Payments Agency","Operational Delivery","365","325","24270","21050"
"In post","2021","30-39","Human Resources","Advisory, Conciliation and Arbitration Service","Human Resources","5","5","[c]","[c]"
"In post","2021","30-39","Human Resources","Cabinet Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Cabinet Office (excl. agencies)","Operational Delivery","15","15","37810","37300"
"In post","2021","30-39","Human Resources","Cabinet Office (excl. agencies)","Unknown","305","295","38550","35590"
"In post","2021","30-39","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Companies House","Human Resources","25","25","33600","29060"
"In post","2021","30-39","Human Resources","Competition and Markets Authority","Human Resources","10","10","37790","35730"
"In post","2021","30-39","Human Resources","Crown Commercial Service","Human Resources","10","5","[c]","[c]"
"In post","2021","30-39","Human Resources","Crown Office and Procurator Fiscal Service","Human Resources","5","5","[c]","[c]"
"In post","2021","30-39","Human Resources","Crown Prosecution Service","Human Resources","30","30","37090","31080"
"In post","2021","30-39","Human Resources","Defence Electronics and Components Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Defence Equipment and Support","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Defence Equipment and Support","Human Resources","50","45","35410","32120"
"In post","2021","30-39","Human Resources","Defence Equipment and Support","Other","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Defence Science and Technology Laboratory","Human Resources","25","20","34390","32980"
"In post","2021","30-39","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","20","20","44580","37230"
"In post","2021","30-39","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Department for Digital, Culture, Media and Sport","Human Resources","15","15","47100","44550"
"In post","2021","30-39","Human Resources","Department for Education (excl. agencies)","Human Resources","35","30","34590","33740"
"In post","2021","30-39","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","60","55","40800","36970"
"In post","2021","30-39","Human Resources","Department for International Trade","Human Resources","35","35","42020","35330"
"In post","2021","30-39","Human Resources","Department for Transport (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Department for Transport (excl. agencies)","Human Resources","25","25","50750","49240"
"In post","2021","30-39","Human Resources","Department for Transport (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Department for Transport (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Department for Transport (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Department of Health and Social Care (excl. agencies)","Human Resources","25","25","43470","38730"
"In post","2021","30-39","Human Resources","Driver and Vehicle Licensing Agency","Human Resources","45","45","29050","30730"
"In post","2021","30-39","Human Resources","Driver and Vehicle Standards Agency","Human Resources","15","15","35300","34790"
"In post","2021","30-39","Human Resources","Education and Skills Funding Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","FCDO Services","Human Resources","5","5","[c]","[c]"
"In post","2021","30-39","Human Resources","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","35","35","48790","51960"
"In post","2021","30-39","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","5","5","[c]","[c]"
"In post","2021","30-39","Human Resources","Forestry and Land Scotland","Unknown","25","20","27640","29140"
"In post","2021","30-39","Human Resources","Government Legal Department","Human Resources","15","15","34060","31410"
"In post","2021","30-39","Human Resources","Government Property Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Health and Safety Executive","Human Resources","5","5","[c]","[c]"
"In post","2021","30-39","Human Resources","Health and Safety Executive","Operational Delivery","5","5","[c]","[c]"
"In post","2021","30-39","Human Resources","HM Courts and Tribunals Service","Human Resources","20","20","32190","26550"
"In post","2021","30-39","Human Resources","HM Courts and Tribunals Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","HM Land Registry","Human Resources","10","10","31660","30480"
"In post","2021","30-39","Human Resources","HM Prison and Probation Service","Human Resources","35","35","43220","44630"
"In post","2021","30-39","Human Resources","HM Revenue and Customs (excl. agencies)","Human Resources","120","115","39910","32100"
"In post","2021","30-39","Human Resources","HM Revenue and Customs (excl. agencies)","Operational Delivery","115","110","25210","25560"
"In post","2021","30-39","Human Resources","HM Revenue and Customs (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","HM Revenue and Customs (excl. agencies)","Tax","35","35","34670","31810"
"In post","2021","30-39","Human Resources","HM Revenue and Customs (excl. agencies)","Unknown","50","50","39810","35410"
"In post","2021","30-39","Human Resources","HM Treasury (excl. agencies)","Human Resources","25","25","51820","56540"
"In post","2021","30-39","Human Resources","HM Treasury (excl. agencies)","Operational Delivery","5","5","[c]","[c]"
"In post","2021","30-39","Human Resources","Insolvency Service","Human Resources","10","10","[c]","[c]"
"In post","2021","30-39","Human Resources","Institute for Apprenticeships and Technical Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Institute for Apprenticeships and Technical Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Maritime and Coastguard Agency","Human Resources","15","15","30880","31040"
"In post","2021","30-39","Human Resources","Medicines and Healthcare Products Regulatory Agency","Human Resources","5","5","[c]","[c]"
"In post","2021","30-39","Human Resources","Met Office","Human Resources","15","15","33570","32810"
"In post","2021","30-39","Human Resources","Ministry of Defence (excl. agencies)","Human Resources","330","305","31100","26670"
"In post","2021","30-39","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","Human Resources","15","15","41390","37160"
"In post","2021","30-39","Human Resources","Ministry of Justice (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Ministry of Justice (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Ministry of Justice (excl. agencies)","Human Resources","145","140","38430","32770"
"In post","2021","30-39","Human Resources","Ministry of Justice (excl. agencies)","Operational Delivery","25","25","35570","31320"
"In post","2021","30-39","Human Resources","Ministry of Justice (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Ministry of Justice (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","National Crime Agency","Human Resources","35","30","37390","36740"
"In post","2021","30-39","Human Resources","National Savings and Investments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Northern Ireland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Office for Standards in Education, Children's Services and Skills","Human Resources","25","20","37770","32010"
"In post","2021","30-39","Human Resources","Office of Gas and Electricity Markets","Human Resources","5","5","[c]","[c]"
"In post","2021","30-39","Human Resources","Office of Qualifications and Examinations Regulation","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Planning Inspectorate","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Public Health England","Human Resources","30","30","40500","37480"
"In post","2021","30-39","Human Resources","Registers of Scotland","Human Resources","20","15","40500","38000"
"In post","2021","30-39","Human Resources","Scottish Courts and Tribunals Service","Human Resources","10","10","[c]","[c]"
"In post","2021","30-39","Human Resources","Scottish Prison Service","Human Resources","25","20","31760","25980"
"In post","2021","30-39","Human Resources","Scottish Prison Service","Other","5","5","[c]","[c]"
"In post","2021","30-39","Human Resources","Submarine Delivery Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Submarine Delivery Agency","Human Resources","10","5","[c]","[c]"
"In post","2021","30-39","Human Resources","Submarine Delivery Agency","Operational Delivery","35","30","30050","26330"
"In post","2021","30-39","Human Resources","Submarine Delivery Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Submarine Delivery Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Submarine Delivery Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","The National Archives","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","UK Export Finance","Human Resources","5","5","[c]","[c]"
"In post","2021","30-39","Human Resources","UK Hydrographic Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","UK Intellectual Property Office","Human Resources","10","10","[c]","[c]"
"In post","2021","30-39","Human Resources","UK Space Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","UK Space Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","United Kingdom Statistics Authority","Human Resources","55","50","37340","31090"
"In post","2021","30-39","Human Resources","United Kingdom Statistics Authority","Policy","15","15","39420","36030"
"In post","2021","30-39","Human Resources","Valuation Office Agency","Human Resources","20","15","40850","38910"
"In post","2021","30-39","Human Resources","Vehicle Certification Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Wales Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Welsh Revenue Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","Internal Audit","25","25","39310","33930"
"In post","2021","30-39","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","Government Internal Audit Agency","Internal Audit","55","55","46300","43800"
"In post","2021","30-39","Internal Audit","Government Internal Audit Agency","Other","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","Government Internal Audit Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","HM Prison and Probation Service","Internal Audit","15","15","40790","44760"
"In post","2021","30-39","Internal Audit","HM Revenue and Customs (excl. agencies)","Internal Audit","15","15","41880","39580"
"In post","2021","30-39","Internal Audit","Maritime and Coastguard Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","Met Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","Ministry of Defence (excl. agencies)","Internal Audit","20","20","38940","35280"
"In post","2021","30-39","Internal Audit","UK Hydrographic Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","United Kingdom Statistics Authority","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Attorney General's Office","Legal","10","10","[c]","[c]"
"In post","2021","30-39","Legal","Attorney General's Office","Other","10","10","[c]","[c]"
"In post","2021","30-39","Legal","Attorney General's Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Cabinet Office (excl. agencies)","Unknown","15","15","69510","67770"
"In post","2021","30-39","Legal","Charity Commission","Legal","10","10","[c]","[c]"
"In post","2021","30-39","Legal","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Companies House","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Competition and Markets Authority","Legal","60","60","67620","71370"
"In post","2021","30-39","Legal","Competition and Markets Authority","Policy","5","5","[c]","[c]"
"In post","2021","30-39","Legal","Criminal Injuries Compensation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Crown Office and Procurator Fiscal Service","Legal","195","185","50770","52490"
"In post","2021","30-39","Legal","Crown Prosecution Service","Legal","605","580","49720","49580"
"In post","2021","30-39","Legal","Crown Prosecution Service","Operational Delivery","440","400","26870","25480"
"In post","2021","30-39","Legal","Crown Prosecution Service Inspectorate","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Crown Prosecution Service Inspectorate","Other","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Debt Management Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Debt Management Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Defence Science and Technology Laboratory","Legal","5","5","[c]","[c]"
"In post","2021","30-39","Legal","Department for Education (excl. agencies)","Legal","10","10","52290","57710"
"In post","2021","30-39","Legal","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Food Standards Agency","Legal","10","10","48660","48540"
"In post","2021","30-39","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","Legal","25","25","65730","67050"
"In post","2021","30-39","Legal","Government Legal Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Government Legal Department","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Government Legal Department","Legal","715","670","54930","51830"
"In post","2021","30-39","Legal","Government Legal Department","Other","75","70","28770","27580"
"In post","2021","30-39","Legal","Health and Safety Executive","Legal","5","5","[c]","[c]"
"In post","2021","30-39","Legal","HM Courts and Tribunals Service","Legal","180","170","35240","34090"
"In post","2021","30-39","Legal","HM Land Registry","Legal","50","45","54870","60520"
"In post","2021","30-39","Legal","HM Revenue and Customs (excl. agencies)","Legal","140","130","49710","52580"
"In post","2021","30-39","Legal","HM Revenue and Customs (excl. agencies)","Operational Delivery","60","60","27200","25560"
"In post","2021","30-39","Legal","HM Revenue and Customs (excl. agencies)","Tax","95","90","38260","31810"
"In post","2021","30-39","Legal","HM Revenue and Customs (excl. agencies)","Unknown","50","45","51660","59160"
"In post","2021","30-39","Legal","HM Treasury (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Insolvency Service","Legal","5","5","[c]","[c]"
"In post","2021","30-39","Legal","Institute for Apprenticeships and Technical Education","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Legal Aid Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Legal Aid Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Met Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Ministry of Defence (excl. agencies)","Legal","5","5","[c]","[c]"
"In post","2021","30-39","Legal","Ministry of Justice (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Ministry of Justice (excl. agencies)","Legal","25","20","54120","55490"
