"Status","Year","Age","Organisation","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Crown Commercial Service","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Crown Prosecution Service","Attorney General's Departments","AA/AO","20","[c]","22440","21950"
"Leaver Dept.","2021","20-29","Crown Prosecution Service","Attorney General's Departments","EO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Crown Prosecution Service","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Defence Equipment and Support","Ministry of Defence","EO","55","[c]","22040","20450"
"Leaver Dept.","2021","20-29","Defence Equipment and Support","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Defence Equipment and Support","Ministry of Defence","SEO/HEO","80","[c]","28350","28310"
"Leaver Dept.","2021","20-29","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Defence Science and Technology Laboratory","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","15","[c]","28990","28650"
"Leaver Dept.","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","25","[c]","27200","27020"
"Leaver Dept.","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","50","[c]","53500","53380"
"Leaver Dept.","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","115","[c]","34570","33570"
"Leaver Dept.","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","EO","25","[c]","25390","25110"
"Leaver Dept.","2021","20-29","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6/G7","20","[c]","52890","51040"
"Leaver Dept.","2021","20-29","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SEO/HEO","50","[c]","34820","32620"
"Leaver Dept.","2021","20-29","Department for Education (excl. agencies)","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Department for Education (excl. agencies)","Department for Education","EO","20","[c]","27970","28500"
"Leaver Dept.","2021","20-29","Department for Education (excl. agencies)","Department for Education","G6/G7","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Department for Education (excl. agencies)","Department for Education","SEO/HEO","45","[c]","36500","36200"
"Leaver Dept.","2021","20-29","Department for Education (excl. agencies)","Department for Education","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","EO","30","[c]","28990","28170"
"Leaver Dept.","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G6/G7","20","[c]","53220","53200"
"Leaver Dept.","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SEO/HEO","130","[c]","34590","33510"
"Leaver Dept.","2021","20-29","Department for International Development","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Department for International Development","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Department for International Development","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Department for International Trade","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Department for International Trade","Department for International Trade","EO","20","[c]","26220","25890"
"Leaver Dept.","2021","20-29","Department for International Trade","Department for International Trade","G6/G7","20","[c]","51700","51970"
"Leaver Dept.","2021","20-29","Department for International Trade","Department for International Trade","SEO/HEO","85","[c]","33930","32120"
"Leaver Dept.","2021","20-29","Department for Transport (excl. agencies)","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Department for Transport (excl. agencies)","Department for Transport","EO","15","[c]","30560","29640"
"Leaver Dept.","2021","20-29","Department for Transport (excl. agencies)","Department for Transport","G6/G7","10","[c]","53540","53150"
"Leaver Dept.","2021","20-29","Department for Transport (excl. agencies)","Department for Transport","SEO/HEO","60","[c]","36580","34710"
"Leaver Dept.","2021","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AA/AO","120","[c]","21330","21010"
"Leaver Dept.","2021","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","EO","170","[c]","28340","27570"
"Leaver Dept.","2021","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G6/G7","10","[c]","56280","54880"
"Leaver Dept.","2021","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SEO/HEO","60","[c]","34590","32800"
"Leaver Dept.","2021","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G6/G7","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SEO/HEO","30","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Driver and Vehicle Licensing Agency","Department for Transport","AA/AO","20","[c]","20630","21380"
"Leaver Dept.","2021","20-29","Driver and Vehicle Licensing Agency","Department for Transport","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Driver and Vehicle Licensing Agency","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Driver and Vehicle Standards Agency","Department for Transport","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Driver and Vehicle Standards Agency","Department for Transport","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Driver and Vehicle Standards Agency","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Education and Skills Funding Agency","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Education and Skills Funding Agency","Department for Education","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Education and Skills Funding Agency","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Food Standards Agency","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Food Standards Agency","Food Standards Agency","SEO/HEO","10","[c]","35560","33320"
"Leaver Dept.","2021","20-29","Food Standards Scotland","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Foreign and Commonwealth Office (excl. agencies)","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Foreign and Commonwealth Office (excl. agencies)","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Foreign and Commonwealth Office (excl. agencies)","Foreign, Commonwealth and Development Office","G6/G7","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Foreign and Commonwealth Office (excl. agencies)","Foreign, Commonwealth and Development Office","SEO/HEO","25","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","EO","15","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","G6/G7","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SEO/HEO","65","[c]","38750","38600"
"Leaver Dept.","2021","20-29","Government Actuary's Department","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Government Internal Audit Agency","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Government Legal Department","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Government Legal Department","Attorney General's Departments","EO","15","[c]","27220","27350"
"Leaver Dept.","2021","20-29","Government Legal Department","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Government Legal Department","Attorney General's Departments","SEO/HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Health and Safety Executive","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Health and Safety Executive","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Health and Safety Executive","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","HM Courts and Tribunals Service","Ministry of Justice","AA/AO","85","[c]","19720","19930"
"Leaver Dept.","2021","20-29","HM Courts and Tribunals Service","Ministry of Justice","EO","20","[c]","24110","24950"
"Leaver Dept.","2021","20-29","HM Courts and Tribunals Service","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","HM Courts and Tribunals Service","Ministry of Justice","SEO/HEO","15","[c]","31450","30850"
"Leaver Dept.","2021","20-29","HM Prison and Probation Service","Ministry of Justice","AA/AO","55","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","HM Prison and Probation Service","Ministry of Justice","EO","15","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","HM Prison and Probation Service","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","HM Prison and Probation Service","Ministry of Justice","SEO/HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","HM Prison and Probation Service","Ministry of Justice","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","AA/AO","285","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","EO","105","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","G6/G7","20","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","SEO/HEO","85","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","65","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","HM Treasury (excl. agencies)","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","HM Treasury (excl. agencies)","HM Treasury","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","HM Treasury (excl. agencies)","HM Treasury","G6/G7","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","HM Treasury (excl. agencies)","HM Treasury","SEO/HEO","45","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Home Office (incl. agencies)","Home Office","AA/AO","55","[c]","21710","21010"
"Leaver Dept.","2021","20-29","Home Office (incl. agencies)","Home Office","EO","120","[c]","26820","27570"
"Leaver Dept.","2021","20-29","Home Office (incl. agencies)","Home Office","G6/G7","20","[c]","56700","57460"
"Leaver Dept.","2021","20-29","Home Office (incl. agencies)","Home Office","SEO/HEO","155","[c]","36500","35070"
"Leaver Dept.","2021","20-29","Home Office (incl. agencies)","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Insolvency Service","Department for Business, Energy and Industrial Strategy","AA/AO","10","[c]","20970","20880"
"Leaver Dept.","2021","20-29","Insolvency Service","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Insolvency Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Institute for Apprenticeships and Technical Education","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Institute for Apprenticeships and Technical Education","Department for Education","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal Aid Agency","Ministry of Justice","AA/AO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal Aid Agency","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal Aid Agency","Ministry of Justice","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Maritime and Coastguard Agency","Department for Transport","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Maritime and Coastguard Agency","Department for Transport","EO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Met Office","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","AA/AO","25","[c]","22060","20920"
"Leaver Dept.","2021","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","EO","30","[c]","29420","29250"
"Leaver Dept.","2021","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","G6/G7","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","SEO/HEO","60","[c]","39010","38120"
"Leaver Dept.","2021","20-29","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","EO","45","[c]","27310","27310"
"Leaver Dept.","2021","20-29","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","G6/G7","15","[c]","52430","51580"
"Leaver Dept.","2021","20-29","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","SEO/HEO","90","[c]","33800","33210"
"Leaver Dept.","2021","20-29","Ministry of Justice (excl. agencies)","Ministry of Justice","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Ministry of Justice (excl. agencies)","Ministry of Justice","EO","20","[c]","25990","26410"
"Leaver Dept.","2021","20-29","Ministry of Justice (excl. agencies)","Ministry of Justice","G6/G7","15","[c]","55240","52850"
"Leaver Dept.","2021","20-29","Ministry of Justice (excl. agencies)","Ministry of Justice","SEO/HEO","85","[c]","34130","33930"
"Leaver Dept.","2021","20-29","National Crime Agency","National Crime Agency","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","National Crime Agency","National Crime Agency","EO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","National Crime Agency","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","National Crime Agency","National Crime Agency","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","National Infrastructure Commission","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","National Infrastructure Commission","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Northern Ireland Office","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Northern Ireland Office","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Northern Ireland Office","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Office for Budget Responsibility","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","SEO/HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","EO","15","[c]","25420","25750"
"Leaver Dept.","2021","20-29","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Office of Rail and Road","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Office of the Public Guardian","Ministry of Justice","AA/AO","15","[c]","19680","19930"
"Leaver Dept.","2021","20-29","Office of the Public Guardian","Ministry of Justice","EO","10","[c]","21880","21870"
"Leaver Dept.","2021","20-29","Office of the Public Guardian","Ministry of Justice","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Planning Inspectorate","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Public Health England","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Public Health England","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Public Health England","Department of Health and Social Care","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Public Health England","Department of Health and Social Care","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Registers of Scotland","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Rural Payments Agency","Department for Environment, Food and Rural Affairs","AA/AO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Rural Payments Agency","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Rural Payments Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Scottish Courts and Tribunals Service","Scottish Government","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Scottish Courts and Tribunals Service","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Scottish Forestry","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Scottish Government (excl. agencies)","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Scottish Government (excl. agencies)","Scottish Government","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Scottish Government (excl. agencies)","Scottish Government","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Serious Fraud Office","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Serious Fraud Office","Attorney General's Departments","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Social Security Scotland","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Standards and Testing Agency","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Submarine Delivery Agency","Ministry of Defence","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Teaching Regulation Agency","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","The National Archives","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","UK Export Finance","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","UK Export Finance","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","UK Export Finance","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","UK Hydrographic Office","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","United Kingdom Statistics Authority","United Kingdom Statistics Authority","AA/AO","10","[c]","19510","19130"
"Leaver Dept.","2021","20-29","United Kingdom Statistics Authority","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","United Kingdom Statistics Authority","United Kingdom Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","United Kingdom Statistics Authority","United Kingdom Statistics Authority","SEO/HEO","50","[c]","32380","32040"
"Leaver Dept.","2021","20-29","Valuation Office Agency","HM Revenue and Customs","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Valuation Office Agency","HM Revenue and Customs","EO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Valuation Office Agency","HM Revenue and Customs","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Valuation Office Agency","HM Revenue and Customs","SEO/HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Wales Office","Wales Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Wales Office","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Wales Office","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Welsh Government (excl. agencies)","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Welsh Government (excl. agencies)","Welsh Government","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Welsh Government (excl. agencies)","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Welsh Revenue Authority","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Wilton Park","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Wilton Park","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","10","[c]","24180","24250"
"Leaver Dept.","2021","30-39","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Attorney General's Office","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Cabinet Office (excl. agencies)","Cabinet Office","EO","25","[c]","26650","27500"
"Leaver Dept.","2021","30-39","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","155","[c]","57290","54750"
"Leaver Dept.","2021","30-39","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","20","[c]","77520","74670"
"Leaver Dept.","2021","30-39","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","185","[c]","33750","32890"
"Leaver Dept.","2021","30-39","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Charity Commission","Charity Commission","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Charity Commission","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Charity Commission","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Companies House","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Companies House","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Companies House","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Competition and Markets Authority","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Criminal Injuries Compensation Authority","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Criminal Injuries Compensation Authority","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Criminal Injuries Compensation Authority","Ministry of Justice","SEO/HEO","[c]","[c]","[c]","[c]"
