"Status","Year","Function_of_post","Region_ITL1","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","North Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Nottingham","Heterosexual / straight","35","35","41320","38600"
"In post","2021","Commercial","East Midlands (England)","Nottingham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Nottingham","Undeclared","10","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Nottingham","Unknown","15","15","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","South and West Derbyshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","South and West Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","South and West Derbyshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","South and West Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","South Nottinghamshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","South Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","South Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","West Northamptonshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","West Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","West Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Bedford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Breckland and South Norfolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Breckland and South Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Cambridgeshire CC","Heterosexual / straight","90","85","35900","34710"
"In post","2021","Commercial","East of England","Cambridgeshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Cambridgeshire CC","Undeclared","20","20","[c]","[c]"
"In post","2021","Commercial","East of England","Cambridgeshire CC","Unknown","15","15","[c]","[c]"
"In post","2021","Commercial","East of England","Central Bedfordshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","East of England","Central Bedfordshire","LGBO","[c]","[c]","[c]","[c]"
