"Status","Year","Region_ITL1","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","North West (England)","Greater Manchester North West","Outside London","Unknown","485","425","24420","21280"
"In post","2021","North West (England)","Greater Manchester South East","Outside London","Heterosexual / straight","935","860","25880","22920"
"In post","2021","North West (England)","Greater Manchester South East","Outside London","LGBO","60","55","24830","21580"
"In post","2021","North West (England)","Greater Manchester South East","Outside London","Undeclared","135","125","26030","23840"
"In post","2021","North West (England)","Greater Manchester South East","Outside London","Unknown","260","235","24710","21010"
"In post","2021","North West (England)","Greater Manchester South West","Outside London","Heterosexual / straight","3530","3330","31510","27570"
"In post","2021","North West (England)","Greater Manchester South West","Outside London","LGBO","300","290","29580","25560"
"In post","2021","North West (England)","Greater Manchester South West","Outside London","Undeclared","440","410","31540","28130"
"In post","2021","North West (England)","Greater Manchester South West","Outside London","Unknown","1880","1760","28460","25560"
"In post","2021","North West (England)","Lancaster and Wyre","Outside London","Heterosexual / straight","765","715","28810","26670"
"In post","2021","North West (England)","Lancaster and Wyre","Outside London","LGBO","45","40","27550","26500"
"In post","2021","North West (England)","Lancaster and Wyre","Outside London","Undeclared","70","60","30630","26930"
"In post","2021","North West (England)","Lancaster and Wyre","Outside London","Unknown","175","165","26910","27570"
"In post","2021","North West (England)","Liverpool","Outside London","Heterosexual / straight","7490","6925","29010","25260"
"In post","2021","North West (England)","Liverpool","Outside London","LGBO","360","345","28310","25040"
"In post","2021","North West (England)","Liverpool","Outside London","Undeclared","740","680","28970","25310"
"In post","2021","North West (England)","Liverpool","Outside London","Unknown","1645","1500","29660","25560"
"In post","2021","North West (England)","Manchester","Outside London","Heterosexual / straight","5950","5655","34360","30200"
"In post","2021","North West (England)","Manchester","Outside London","LGBO","510","500","33130","29270"
"In post","2021","North West (England)","Manchester","Outside London","Undeclared","760","710","33370","29500"
"In post","2021","North West (England)","Manchester","Outside London","Unknown","1770","1665","32200","28130"
"In post","2021","North West (England)","Mid Lancashire","Outside London","Heterosexual / straight","3565","3225","28330","25560"
"In post","2021","North West (England)","Mid Lancashire","Outside London","LGBO","165","155","27420","25560"
"In post","2021","North West (England)","Mid Lancashire","Outside London","Undeclared","495","435","27150","25560"
"In post","2021","North West (England)","Mid Lancashire","Outside London","Unknown","1380","1215","25310","21440"
"In post","2021","North West (England)","Sefton","Outside London","Heterosexual / straight","3895","3580","30030","26700"
"In post","2021","North West (England)","Sefton","Outside London","LGBO","155","150","29670","26370"
"In post","2021","North West (England)","Sefton","Outside London","Undeclared","435","385","30910","27570"
"In post","2021","North West (England)","Sefton","Outside London","Unknown","1575","1395","25950","21440"
"In post","2021","North West (England)","Warrington","Outside London","Heterosexual / straight","1930","1845","32960","30640"
"In post","2021","North West (England)","Warrington","Outside London","LGBO","110","110","32150","30640"
"In post","2021","North West (England)","Warrington","Outside London","Undeclared","195","185","32860","31650"
"In post","2021","North West (England)","Warrington","Outside London","Unknown","455","420","30610","28860"
"In post","2021","North West (England)","West Cumbria","Outside London","Heterosexual / straight","640","590","30070","27570"
"In post","2021","North West (England)","West Cumbria","Outside London","LGBO","35","35","28940","27550"
"In post","2021","North West (England)","West Cumbria","Outside London","Undeclared","85","75","32600","27940"
"In post","2021","North West (England)","West Cumbria","Outside London","Unknown","440","395","24790","21050"
"In post","2021","North West (England)","Wirral","Outside London","Heterosexual / straight","1255","1095","26870","27130"
"In post","2021","North West (England)","Wirral","Outside London","LGBO","55","50","25780","22640"
"In post","2021","North West (England)","Wirral","Outside London","Undeclared","185","160","27010","27130"
"In post","2021","North West (England)","Wirral","Outside London","Unknown","650","560","24830","22350"
"In post","2021","Northern Ireland","Antrim and Newtownabbey","Outside London","Heterosexual / straight","160","155","23590","20310"
"In post","2021","Northern Ireland","Antrim and Newtownabbey","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Antrim and Newtownabbey","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Northern Ireland","Antrim and Newtownabbey","Outside London","Unknown","35","35","29730","27680"
"In post","2021","Northern Ireland","Ards and North Down","Outside London","Heterosexual / straight","185","175","26280","21080"
"In post","2021","Northern Ireland","Ards and North Down","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Ards and North Down","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Northern Ireland","Ards and North Down","Outside London","Unknown","20","20","[c]","[c]"
"In post","2021","Northern Ireland","Armagh City, Banbridge and Craigavon","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Northern Ireland","Armagh City, Banbridge and Craigavon","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Belfast","Outside London","Heterosexual / straight","1800","1675","30090","26550"
"In post","2021","Northern Ireland","Belfast","Outside London","LGBO","85","80","26730","25560"
"In post","2021","Northern Ireland","Belfast","Outside London","Undeclared","155","145","29090","25560"
"In post","2021","Northern Ireland","Belfast","Outside London","Unknown","775","725","26320","24690"
"In post","2021","Northern Ireland","Causeway Coast and Glens","Outside London","Heterosexual / straight","55","55","20870","20310"
"In post","2021","Northern Ireland","Causeway Coast and Glens","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Causeway Coast and Glens","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Northern Ireland","Causeway Coast and Glens","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Northern Ireland","Derry City and Strabane","Outside London","Heterosexual / straight","10","10","[c]","[c]"
