"Status","Year","Disability","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","Property","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Property","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Property","Public Health England","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Property","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Property","Registers of Scotland","Scottish Government","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Property","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Property","Scottish Forestry","Scottish Government","25","20","[c]","[c]"
"In post","2021","Declared non-disabled","Property","Scottish Prison Service","Scottish Government","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Property","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Property","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Property","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Property","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","30","30","27720","23320"
"In post","2021","Declared non-disabled","Property","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Property","United Kingdom Statistics Authority","United Kingdom Statistics Authority","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Property","Valuation Office Agency","HM Revenue and Customs","2100","1930","34270","31100"
"In post","2021","Declared non-disabled","Property","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Property","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Property","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Cabinet Office (excl. agencies)","Cabinet Office","430","415","35560","33300"
"In post","2021","Declared non-disabled","Security","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Companies House","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Crown Prosecution Service","Attorney General's Departments","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Defence Science and Technology Laboratory","Ministry of Defence","40","40","36660","37320"
"In post","2021","Declared non-disabled","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Department for Education (excl. agencies)","Department for Education","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Department for International Trade","Department for International Trade","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Driver and Vehicle Licensing Agency","Department for Transport","80","80","30410","26410"
"In post","2021","Declared non-disabled","Security","Driver and Vehicle Standards Agency","Department for Transport","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Security","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Security","FCDO Services","Foreign, Commonwealth and Development Office","185","180","35100","31800"
"In post","2021","Declared non-disabled","Security","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","240","235","43080","36740"
"In post","2021","Declared non-disabled","Security","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Security","HM Prison and Probation Service","Ministry of Justice","425","425","39540","36480"
"In post","2021","Declared non-disabled","Security","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","105","100","40380","38630"
"In post","2021","Declared non-disabled","Security","Ministry of Defence (excl. agencies)","Ministry of Defence","3680","3610","28480","22650"
"In post","2021","Declared non-disabled","Security","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Security","National Crime Agency","National Crime Agency","10","5","[c]","[c]"
"In post","2021","Declared non-disabled","Security","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Registers of Scotland","Scottish Government","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Security","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Security","UK Hydrographic Office","Ministry of Defence","10","5","[c]","[c]"
"In post","2021","Declared non-disabled","Security","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Security","United Kingdom Statistics Authority","United Kingdom Statistics Authority","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Accountant in Bankruptcy","Scottish Government","65","60","32520","29190"
"In post","2021","Declared non-disabled","Unknown","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Charity Commission","Charity Commission","105","100","33640","29160"
"In post","2021","Declared non-disabled","Unknown","Companies House","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Crown Prosecution Service","Attorney General's Departments","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Defence Equipment and Support","Ministry of Defence","95","90","36240","33460"
"In post","2021","Declared non-disabled","Unknown","Department for Education (excl. agencies)","Department for Education","380","365","51780","49860"
"In post","2021","Declared non-disabled","Unknown","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","68505","61280","27750","27570"
"In post","2021","Declared non-disabled","Unknown","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Disclosure Scotland","Scottish Government","130","120","28110","22230"
"In post","2021","Declared non-disabled","Unknown","Education and Skills Funding Agency","Department for Education","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Education Scotland","Scottish Government","125","120","57550","66290"
"In post","2021","Declared non-disabled","Unknown","FCDO Services","Foreign, Commonwealth and Development Office","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Food Standards Agency","Food Standards Agency","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Food Standards Scotland","Scottish Government","105","105","35710","30650"
"In post","2021","Declared non-disabled","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","220","215","52130","46570"
"In post","2021","Declared non-disabled","Unknown","Government Internal Audit Agency","HM Treasury","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Government Legal Department","Attorney General's Departments","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Government Property Agency","Other Cabinet Office Agencies","40","40","51640","52000"
"In post","2021","Declared non-disabled","Unknown","HM Treasury (excl. agencies)","HM Treasury","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Home Office (incl. agencies)","Home Office","28495","26415","32000","27370"
"In post","2021","Declared non-disabled","Unknown","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","460","445","51880","53100"
"In post","2021","Declared non-disabled","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","12280","11820","30250","26670"
"In post","2021","Declared non-disabled","Unknown","National Records of Scotland","Scottish Government","205","190","36460","35110"
"In post","2021","Declared non-disabled","Unknown","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Office of the Scottish Charity Regulator","Scottish Government","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Revenue Scotland","Scottish Government","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","40","35","49130","46600"
"In post","2021","Declared non-disabled","Unknown","Scottish Fiscal Commission","Scottish Government","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Scottish Government (excl. agencies)","Scottish Government","4375","4190","44440","39660"
"In post","2021","Declared non-disabled","Unknown","Scottish Housing Regulator","Scottish Government","30","30","55420","61010"
"In post","2021","Declared non-disabled","Unknown","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Scottish Public Pensions Agency","Scottish Government","135","120","31000","29190"
"In post","2021","Declared non-disabled","Unknown","Social Security Scotland","Scottish Government","665","645","31670","27150"
"In post","2021","Declared non-disabled","Unknown","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Student Awards Agency for Scotland","Scottish Government","75","75","35220","31150"
"In post","2021","Declared non-disabled","Unknown","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Transport Scotland","Scottish Government","255","245","44870","40930"
"In post","2021","Declared non-disabled","Unknown","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","130","125","43470","39710"
"In post","2021","Declared non-disabled","Unknown","Welsh Government (excl. agencies)","Welsh Government","4925","4655","41290","37410"
"In post","2021","Declared non-disabled","Unknown","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2021","Undeclared","Analysis","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","60","60","42920","46080"
"In post","2021","Undeclared","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2021","Undeclared","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2021","Undeclared","Analysis","Department for Education (excl. agencies)","Department for Education","20","15","[c]","[c]"
"In post","2021","Undeclared","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Department for International Trade","Department for International Trade","5","5","[c]","[c]"
"In post","2021","Undeclared","Analysis","Department for Transport (excl. agencies)","Department for Transport","75","75","42380","42470"
"In post","2021","Undeclared","Analysis","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Food Standards Agency","Food Standards Agency","20","20","[c]","[c]"
"In post","2021","Undeclared","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2021","Undeclared","Analysis","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","25","25","[c]","[c]"
"In post","2021","Undeclared","Analysis","HM Treasury (excl. agencies)","HM Treasury","25","25","[c]","[c]"
"In post","2021","Undeclared","Analysis","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","15","15","[c]","[c]"
"In post","2021","Undeclared","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","10","10","[c]","[c]"
"In post","2021","Undeclared","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","35","35","48500","43400"
"In post","2021","Undeclared","Analysis","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","25","25","[c]","[c]"
"In post","2021","Undeclared","Analysis","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","20","20","[c]","[c]"
"In post","2021","Undeclared","Commercial","Crown Commercial Service","Other Cabinet Office Agencies","10","10","[c]","[c]"
"In post","2021","Undeclared","Commercial","Defence Electronics and Components Agency","Ministry of Defence","5","5","[c]","[c]"
"In post","2021","Undeclared","Commercial","Defence Equipment and Support","Ministry of Defence","20","20","[c]","[c]"
"In post","2021","Undeclared","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","5","5","[c]","[c]"
"In post","2021","Undeclared","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Department for Education (excl. agencies)","Department for Education","10","10","[c]","[c]"
"In post","2021","Undeclared","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2021","Undeclared","Commercial","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","10","10","[c]","[c]"
"In post","2021","Undeclared","Commercial","Driver and Vehicle Standards Agency","Department for Transport","5","5","[c]","[c]"
"In post","2021","Undeclared","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2021","Undeclared","Commercial","Food Standards Agency","Food Standards Agency","5","5","[c]","[c]"
"In post","2021","Undeclared","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","HM Prison and Probation Service","Ministry of Justice","95","90","49860","48800"
"In post","2021","Undeclared","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","5","5","[c]","[c]"
"In post","2021","Undeclared","Commercial","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Legal Aid Agency","Ministry of Justice","5","5","[c]","[c]"
"In post","2021","Undeclared","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","115","110","35970","33300"
"In post","2021","Undeclared","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","20","20","[c]","[c]"
"In post","2021","Undeclared","Commercial","Public Health England","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2021","Undeclared","Commercial","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Submarine Delivery Agency","Ministry of Defence","10","10","[c]","[c]"
"In post","2021","Undeclared","Commercial","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Cabinet Office (excl. agencies)","Cabinet Office","10","10","[c]","[c]"
"In post","2021","Undeclared","Communications","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Defence Equipment and Support","Ministry of Defence","20","20","[c]","[c]"
"In post","2021","Undeclared","Communications","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2021","Undeclared","Communications","Department for Education (excl. agencies)","Department for Education","5","5","[c]","[c]"
"In post","2021","Undeclared","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2021","Undeclared","Communications","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Department for Transport (excl. agencies)","Department for Transport","40","40","47860","43130"
"In post","2021","Undeclared","Communications","Driver and Vehicle Licensing Agency","Department for Transport","5","5","[c]","[c]"
"In post","2021","Undeclared","Communications","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Education and Skills Funding Agency","Department for Education","5","5","[c]","[c]"
"In post","2021","Undeclared","Communications","Food Standards Agency","Food Standards Agency","15","15","[c]","[c]"
"In post","2021","Undeclared","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","150","140","29340","25560"
"In post","2021","Undeclared","Communications","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","40","40","31910","29200"
"In post","2021","Undeclared","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","5","5","[c]","[c]"
"In post","2021","Undeclared","Communications","Ministry of Justice (excl. agencies)","Ministry of Justice","5","5","[c]","[c]"
"In post","2021","Undeclared","Communications","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Public Health England","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2021","Undeclared","Communications","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Driver and Vehicle Standards Agency","Department for Transport","5","5","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Food Standards Agency","Food Standards Agency","40","40","38760","37300"
"In post","2021","Undeclared","Counter Fraud","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","580","540","35470","31810"
"In post","2021","Undeclared","Counter Fraud","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Serious Fraud Office","Attorney General's Departments","10","10","[c]","[c]"
"In post","2021","Undeclared","Debt","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","205","180","24190","21440"
"In post","2021","Undeclared","Debt","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Cabinet Office (excl. agencies)","Cabinet Office","35","35","51620","54700"
"In post","2021","Undeclared","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Companies House","Department for Business, Energy and Industrial Strategy","15","15","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Department for Education (excl. agencies)","Department for Education","20","20","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","45","40","44870","48370"
"In post","2021","Undeclared","Digital, Data & Technology","Department for International Trade","Department for International Trade","5","5","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Department for Transport (excl. agencies)","Department for Transport","25","25","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Department for Transport","80","75","43140","41740"
"In post","2021","Undeclared","Digital, Data & Technology","Driver and Vehicle Standards Agency","Department for Transport","20","20","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Education and Skills Funding Agency","Department for Education","5","5","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","FCDO Services","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Food Standards Agency","Food Standards Agency","25","25","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Health and Safety Executive","Department for Work and Pensions","5","5","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","HM Courts and Tribunals Service","Ministry of Justice","10","10","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","HM Land Registry","HM Land Registry","30","30","36970","38450"
"In post","2021","Undeclared","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","130","125","37670","34130"
"In post","2021","Undeclared","Digital, Data & Technology","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Maritime and Coastguard Agency","Department for Transport","5","5","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Ministry of Defence","65","65","32400","33000"
"In post","2021","Undeclared","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","10","10","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Ministry of Justice (excl. agencies)","Ministry of Justice","55","55","43190","40410"
"In post","2021","Undeclared","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Planning Inspectorate","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
