"Status","Year","Age","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","30-39","Public Health England","South East (England)","90","85","41140","39030"
"In post","2021","30-39","Public Health England","South West (England)","290","275","34990","34420"
"In post","2021","30-39","Public Health England","West Midlands (England)","95","85","35800","31370"
"In post","2021","30-39","Public Health England","Yorkshire and The Humber","90","85","36820","36330"
"In post","2021","30-39","Queen Elizabeth II Centre","London","10","10","34300","32640"
"In post","2021","30-39","Registers of Scotland","Scotland","240","235","33590","30080"
"In post","2021","30-39","Revenue Scotland","Scotland","15","15","37750","33620"
"In post","2021","30-39","Royal Fleet Auxiliary","Unknown","410","410","37420","34460"
"In post","2021","30-39","Rural Payments Agency","East Midlands (England)","10","10","24500","21050"
"In post","2021","30-39","Rural Payments Agency","East of England","10","10","22190","21050"
"In post","2021","30-39","Rural Payments Agency","North East (England)","65","60","24840","22980"
"In post","2021","30-39","Rural Payments Agency","North West (England)","165","145","24170","21050"
"In post","2021","30-39","Rural Payments Agency","South East (England)","25","25","28860","24920"
"In post","2021","30-39","Rural Payments Agency","South West (England)","40","35","27830","25190"
"In post","2021","30-39","Rural Payments Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Rural Payments Agency","West Midlands (England)","35","30","24700","21050"
"In post","2021","30-39","Rural Payments Agency","Yorkshire and The Humber","65","60","25430","24920"
"In post","2021","30-39","Scotland Office (incl. Office of the Advocate General for Scotland)","London","15","15","51460","52850"
"In post","2021","30-39","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland","20","20","48850","48930"
"In post","2021","30-39","Scottish Courts and Tribunals Service","Scotland","405","375","28120","29350"
"In post","2021","30-39","Scottish Fiscal Commission","Scotland","5","5","[c]","[c]"
"In post","2021","30-39","Scottish Forestry","Scotland","40","35","30720","29140"
"In post","2021","30-39","Scottish Government (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","30-39","Scottish Government (excl. agencies)","Overseas","5","5","[c]","[c]"
"In post","2021","30-39","Scottish Government (excl. agencies)","Scotland","1920","1845","41520","38540"
"In post","2021","30-39","Scottish Housing Regulator","Scotland","5","5","[c]","[c]"
"In post","2021","30-39","Scottish Prison Service","Scotland","1080","1050","29900","30930"
"In post","2021","30-39","Scottish Public Pensions Agency","Scotland","75","70","29520","27150"
"In post","2021","30-39","Serious Fraud Office","London","150","145","45740","41280"
"In post","2021","30-39","Social Security Scotland","Scotland","310","305","31320","27150"
"In post","2021","30-39","Standards and Testing Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Standards and Testing Agency","London","15","15","45190","45850"
"In post","2021","30-39","Standards and Testing Agency","North West (England)","5","5","[c]","[c]"
"In post","2021","30-39","Standards and Testing Agency","West Midlands (England)","20","20","43750","42220"
"In post","2021","30-39","Standards and Testing Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Student Awards Agency for Scotland","Scotland","50","45","31350","29190"
"In post","2021","30-39","Submarine Delivery Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Submarine Delivery Agency","North West (England)","35","35","41870","41040"
"In post","2021","30-39","Submarine Delivery Agency","Overseas","5","5","[c]","[c]"
"In post","2021","30-39","Submarine Delivery Agency","Scotland","15","15","29420","23520"
"In post","2021","30-39","Submarine Delivery Agency","South West (England)","375","365","39620","39860"
"In post","2021","30-39","Teaching Regulation Agency","West Midlands (England)","20","20","29890","26000"
"In post","2021","30-39","The National Archives","London","115","110","34520","34260"
"In post","2021","30-39","Transport Scotland","Scotland","115","110","41420","39660"
"In post","2021","30-39","UK Export Finance","London","90","85","52590","50120"
"In post","2021","30-39","UK Hydrographic Office","South West (England)","215","210","33580","33290"
"In post","2021","30-39","UK Intellectual Property Office","London","5","5","[c]","[c]"
"In post","2021","30-39","UK Intellectual Property Office","Wales","380","365","35960","30440"
"In post","2021","30-39","UK Space Agency","London","60","55","45570","40220"
"In post","2021","30-39","UK Space Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","30-39","UK Space Agency","South West (England)","40","40","43850","49080"
"In post","2021","30-39","UK Supreme Court","London","10","10","38480","37230"
"In post","2021","30-39","United Kingdom Statistics Authority","London","90","90","45120","40020"
"In post","2021","30-39","United Kingdom Statistics Authority","Scotland","10","10","40580","38370"
"In post","2021","30-39","United Kingdom Statistics Authority","South East (England)","380","345","33280","30130"
"In post","2021","30-39","United Kingdom Statistics Authority","Wales","830","785","34720","36030"
"In post","2021","30-39","Valuation Office Agency","East Midlands (England)","20","20","36740","41340"
"In post","2021","30-39","Valuation Office Agency","East of England","20","15","32310","31100"
"In post","2021","30-39","Valuation Office Agency","London","90","85","43540","38180"
"In post","2021","30-39","Valuation Office Agency","North East (England)","95","90","29240","25860"
"In post","2021","30-39","Valuation Office Agency","North West (England)","60","55","38130","32110"
"In post","2021","30-39","Valuation Office Agency","Scotland","10","10","[c]","[c]"
"In post","2021","30-39","Valuation Office Agency","South East (England)","25","25","33050","31100"
"In post","2021","30-39","Valuation Office Agency","South West (England)","105","95","26470","21180"
"In post","2021","30-39","Valuation Office Agency","Wales","75","70","34740","32100"
"In post","2021","30-39","Valuation Office Agency","West Midlands (England)","40","40","33000","32100"
"In post","2021","30-39","Valuation Office Agency","Yorkshire and The Humber","100","85","30000","26100"
"In post","2021","30-39","Vehicle Certification Agency","East Midlands (England)","15","15","38350","39940"
"In post","2021","30-39","Vehicle Certification Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Vehicle Certification Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Vehicle Certification Agency","South West (England)","35","35","33530","28980"
"In post","2021","30-39","Veterinary Medicines Directorate","South East (England)","30","30","40450","39190"
"In post","2021","30-39","Wales Office","London","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Wales Office","Wales","10","10","[c]","[c]"
"In post","2021","30-39","Water Services Regulation Authority","London","15","15","53890","52890"
"In post","2021","30-39","Water Services Regulation Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Water Services Regulation Authority","West Midlands (England)","50","45","50200","46850"
"In post","2021","30-39","Welsh Government (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Welsh Government (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Welsh Government (excl. agencies)","Wales","1250","1185","37380","37410"
"In post","2021","30-39","Welsh Revenue Authority","Wales","25","25","49260","47000"
"In post","2021","30-39","Wilton Park","South East (England)","20","15","27460","25710"
"In post","2021","40-49","Accountant in Bankruptcy","Scotland","40","35","31910","29190"
"In post","2021","40-49","Advisory, Conciliation and Arbitration Service","East Midlands (England)","20","20","30190","30950"
"In post","2021","40-49","Advisory, Conciliation and Arbitration Service","East of England","10","10","31220","30950"
"In post","2021","40-49","Advisory, Conciliation and Arbitration Service","London","55","55","46630","43750"
"In post","2021","40-49","Advisory, Conciliation and Arbitration Service","North East (England)","35","30","30300","30950"
"In post","2021","40-49","Advisory, Conciliation and Arbitration Service","North West (England)","35","30","29530","26070"
"In post","2021","40-49","Advisory, Conciliation and Arbitration Service","Scotland","25","25","30310","30950"
"In post","2021","40-49","Advisory, Conciliation and Arbitration Service","South East (England)","10","10","32570","32720"
"In post","2021","40-49","Advisory, Conciliation and Arbitration Service","South West (England)","10","10","32240","31040"
"In post","2021","40-49","Advisory, Conciliation and Arbitration Service","Wales","20","20","32530","31040"
"In post","2021","40-49","Advisory, Conciliation and Arbitration Service","West Midlands (England)","20","20","29100","30950"
"In post","2021","40-49","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","15","15","33230","30950"
"In post","2021","40-49","Animal and Plant Health Agency","East Midlands (England)","25","25","33130","33910"
"In post","2021","40-49","Animal and Plant Health Agency","East of England","30","30","31670","30240"
"In post","2021","40-49","Animal and Plant Health Agency","London","35","35","39990","35070"
"In post","2021","40-49","Animal and Plant Health Agency","North East (England)","15","15","36050","33860"
"In post","2021","40-49","Animal and Plant Health Agency","North West (England)","60","55","29520","24920"
"In post","2021","40-49","Animal and Plant Health Agency","Scotland","45","40","32070","28630"
"In post","2021","40-49","Animal and Plant Health Agency","South East (England)","145","135","35580","33510"
"In post","2021","40-49","Animal and Plant Health Agency","South West (England)","125","115","30640","25670"
"In post","2021","40-49","Animal and Plant Health Agency","Wales","100","95","31260","29180"
"In post","2021","40-49","Animal and Plant Health Agency","West Midlands (England)","80","75","29780","26520"
"In post","2021","40-49","Animal and Plant Health Agency","Yorkshire and The Humber","30","30","28910","26520"
"In post","2021","40-49","Attorney General's Office","London","10","10","74650","72200"
"In post","2021","40-49","Cabinet Office (excl. agencies)","East Midlands (England)","10","10","54750","51160"
"In post","2021","40-49","Cabinet Office (excl. agencies)","East of England","40","35","49820","49700"
"In post","2021","40-49","Cabinet Office (excl. agencies)","London","1200","1175","63420","59160"
"In post","2021","40-49","Cabinet Office (excl. agencies)","North East (England)","90","85","31880","25550"
"In post","2021","40-49","Cabinet Office (excl. agencies)","North West (England)","120","120","56380","51310"
"In post","2021","40-49","Cabinet Office (excl. agencies)","Scotland","25","25","61410","62010"
"In post","2021","40-49","Cabinet Office (excl. agencies)","South East (England)","50","45","54300","52620"
"In post","2021","40-49","Cabinet Office (excl. agencies)","South West (England)","55","50","64670","62010"
"In post","2021","40-49","Cabinet Office (excl. agencies)","Unknown","45","45","45820","34550"
"In post","2021","40-49","Cabinet Office (excl. agencies)","Wales","10","10","[c]","[c]"
"In post","2021","40-49","Cabinet Office (excl. agencies)","West Midlands (England)","15","15","68620","64500"
"In post","2021","40-49","Cabinet Office (excl. agencies)","Yorkshire and The Humber","185","180","41600","38650"
"In post","2021","40-49","Centre for Environment, Fisheries and Aquaculture Science","East of England","120","115","35740","35900"
"In post","2021","40-49","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","55","50","34290","30220"
"In post","2021","40-49","Charity Commission","London","20","20","46260","44490"
"In post","2021","40-49","Charity Commission","North West (England)","90","85","36470","29400"
"In post","2021","40-49","Charity Commission","South West (England)","15","15","29890","29160"
"In post","2021","40-49","Charity Commission","Wales","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Companies House","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Companies House","Scotland","10","10","[c]","[c]"
"In post","2021","40-49","Companies House","Wales","250","230","34550","30690"
"In post","2021","40-49","Competition and Markets Authority","London","205","190","72040","72430"
"In post","2021","40-49","Competition and Markets Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Competition and Markets Authority","Scotland","15","15","60970","59140"
"In post","2021","40-49","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Criminal Injuries Compensation Authority","Scotland","80","75","26610","22710"
"In post","2021","40-49","Crown Commercial Service","East of England","45","40","38090","35570"
"In post","2021","40-49","Crown Commercial Service","London","15","15","60280","60070"
"In post","2021","40-49","Crown Commercial Service","North West (England)","95","95","43150","38990"
"In post","2021","40-49","Crown Commercial Service","Wales","30","30","36900","34800"
"In post","2021","40-49","Crown Commercial Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Crown Commercial Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Crown Office and Procurator Fiscal Service","Scotland","435","405","42020","34150"
"In post","2021","40-49","Crown Prosecution Service","East Midlands (England)","125","110","41220","48080"
"In post","2021","40-49","Crown Prosecution Service","East of England","140","125","42070","35360"
"In post","2021","40-49","Crown Prosecution Service","London","455","420","47230","50520"
"In post","2021","40-49","Crown Prosecution Service","North East (England)","95","85","38350","34480"
"In post","2021","40-49","Crown Prosecution Service","North West (England)","300","275","41590","38670"
"In post","2021","40-49","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Crown Prosecution Service","South East (England)","190","180","47030","50520"
"In post","2021","40-49","Crown Prosecution Service","South West (England)","70","65","41570","45080"
"In post","2021","40-49","Crown Prosecution Service","Wales","110","105","42130","48080"
"In post","2021","40-49","Crown Prosecution Service","West Midlands (England)","175","160","42240","48080"
"In post","2021","40-49","Crown Prosecution Service","Yorkshire and The Humber","240","225","42860","48080"
"In post","2021","40-49","Crown Prosecution Service Inspectorate","London","5","5","[c]","[c]"
"In post","2021","40-49","Crown Prosecution Service Inspectorate","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Debt Management Office","London","25","25","60610","54100"
"In post","2021","40-49","Defence Electronics and Components Agency","Wales","80","80","29200","27460"
"In post","2021","40-49","Defence Electronics and Components Agency","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","40-49","Defence Equipment and Support","East Midlands (England)","60","60","37390","35290"
"In post","2021","40-49","Defence Equipment and Support","East of England","40","40","33440","33710"
"In post","2021","40-49","Defence Equipment and Support","London","35","35","28000","22410"
"In post","2021","40-49","Defence Equipment and Support","North West (England)","20","20","31210","30560"
"In post","2021","40-49","Defence Equipment and Support","Overseas","15","15","46070","43120"
"In post","2021","40-49","Defence Equipment and Support","Scotland","80","80","30840","28260"
"In post","2021","40-49","Defence Equipment and Support","South East (England)","85","85","29250","28530"
"In post","2021","40-49","Defence Equipment and Support","South West (England)","1810","1740","42700","40900"
"In post","2021","40-49","Defence Equipment and Support","Wales","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Defence Equipment and Support","West Midlands (England)","30","30","25410","24070"
"In post","2021","40-49","Defence Equipment and Support","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Defence Science and Technology Laboratory","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Defence Science and Technology Laboratory","East of England","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Defence Science and Technology Laboratory","South East (England)","355","340","45260","46090"
"In post","2021","40-49","Defence Science and Technology Laboratory","South West (England)","655","625","44540","46080"
"In post","2021","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","East of England","10","10","[c]","[c]"
"In post","2021","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","875","840","58050","55780"
"In post","2021","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","North East (England)","5","5","[c]","[c]"
"In post","2021","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","35","35","57180","69300"
"In post","2021","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","South West (England)","5","5","[c]","[c]"
"In post","2021","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","Wales","15","15","40440","37510"
"In post","2021","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","30","30","41470","36740"
"In post","2021","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for Digital, Culture, Media and Sport","London","275","260","58050","58420"
"In post","2021","40-49","Department for Digital, Culture, Media and Sport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for Digital, Culture, Media and Sport","North West (England)","5","5","[c]","[c]"
"In post","2021","40-49","Department for Digital, Culture, Media and Sport","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for Education (excl. agencies)","East Midlands (England)","70","65","43090","41140"
"In post","2021","40-49","Department for Education (excl. agencies)","East of England","20","20","47890","50520"
"In post","2021","40-49","Department for Education (excl. agencies)","London","500","460","57750","56190"
"In post","2021","40-49","Department for Education (excl. agencies)","North East (England)","170","165","40820","37100"
"In post","2021","40-49","Department for Education (excl. agencies)","North West (England)","210","200","44030","40300"
"In post","2021","40-49","Department for Education (excl. agencies)","South West (England)","35","35","51880","50400"
"In post","2021","40-49","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for Education (excl. agencies)","West Midlands (England)","140","135","44610","41510"
"In post","2021","40-49","Department for Education (excl. agencies)","Yorkshire and The Humber","315","295","44330","42580"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","East Midlands (England)","25","25","40050","36590"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","50","50","38780","36970"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","London","530","505","53140","53870"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","60","55","41360","36970"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","North West (England)","100","95","43760","47550"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","105","100","43020","39180"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","295","270","43050","38550"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","Wales","5","5","[c]","[c]"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands (England)","80","75","40570","36520"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","200","195","42570","38120"
"In post","2021","40-49","Department for International Trade","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for International Trade","East of England","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for International Trade","London","355","345","52570","51970"
"In post","2021","40-49","Department for International Trade","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for International Trade","Overseas","45","45","62610","60080"
"In post","2021","40-49","Department for International Trade","South East (England)","30","25","51950","51970"
"In post","2021","40-49","Department for International Trade","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for International Trade","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for International Trade","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for Transport (excl. agencies)","East Midlands (England)","10","10","[c]","[c]"
"In post","2021","40-49","Department for Transport (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for Transport (excl. agencies)","London","665","640","55930","54760"
"In post","2021","40-49","Department for Transport (excl. agencies)","North East (England)","5","5","[c]","[c]"
"In post","2021","40-49","Department for Transport (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for Transport (excl. agencies)","South East (England)","70","65","50230","45880"
"In post","2021","40-49","Department for Transport (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for Transport (excl. agencies)","Wales","5","5","[c]","[c]"
"In post","2021","40-49","Department for Transport (excl. agencies)","West Midlands (England)","10","10","43570","48770"
"In post","2021","40-49","Department for Transport (excl. agencies)","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","East Midlands (England)","1055","935","26120","27570"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","East of England","1120","1000","28050","27570"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","London","2180","2020","35010","31060"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","North East (England)","2295","2065","28440","27570"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","North West (England)","4530","4095","27180","27570"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","Scotland","2015","1820","24980","27570"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","South East (England)","1480","1335","27660","27570"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","South West (England)","1370","1195","26400","27570"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","Unknown","195","185","30490","27570"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","Wales","1300","1180","25940","27570"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","West Midlands (England)","1780","1575","26100","27570"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","2345","2095","30580","27570"
"In post","2021","40-49","Department of Health and Social Care (excl. agencies)","London","430","410","59100","55310"
"In post","2021","40-49","Department of Health and Social Care (excl. agencies)","North West (England)","10","10","37200","37740"
"In post","2021","40-49","Department of Health and Social Care (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","290","275","46330","49530"
"In post","2021","40-49","Disclosure Scotland","Scotland","65","65","32270","28170"
"In post","2021","40-49","Driver and Vehicle Licensing Agency","Wales","1545","1410","27950","21590"
"In post","2021","40-49","Driver and Vehicle Standards Agency","East Midlands (England)","155","150","33940","31380"
"In post","2021","40-49","Driver and Vehicle Standards Agency","East of England","85","85","29070","26780"
"In post","2021","40-49","Driver and Vehicle Standards Agency","London","90","90","31920","30780"
"In post","2021","40-49","Driver and Vehicle Standards Agency","North East (England)","105","95","27560","26470"
"In post","2021","40-49","Driver and Vehicle Standards Agency","North West (England)","100","95","29340","26780"
"In post","2021","40-49","Driver and Vehicle Standards Agency","Scotland","65","60","27740","26780"
"In post","2021","40-49","Driver and Vehicle Standards Agency","South East (England)","115","110","30850","29730"
"In post","2021","40-49","Driver and Vehicle Standards Agency","South West (England)","160","150","33740","30730"
"In post","2021","40-49","Driver and Vehicle Standards Agency","Wales","120","115","30270","26780"
"In post","2021","40-49","Driver and Vehicle Standards Agency","West Midlands (England)","100","100","28890","26780"
"In post","2021","40-49","Driver and Vehicle Standards Agency","Yorkshire and The Humber","105","100","27790","26700"
"In post","2021","40-49","Education and Skills Funding Agency","East Midlands (England)","25","25","44160","50130"
"In post","2021","40-49","Education and Skills Funding Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Education and Skills Funding Agency","London","95","90","53860","54380"
"In post","2021","40-49","Education and Skills Funding Agency","North East (England)","60","55","39350","36960"
"In post","2021","40-49","Education and Skills Funding Agency","North West (England)","55","55","39220","36960"
"In post","2021","40-49","Education and Skills Funding Agency","South West (England)","20","20","41420","39780"
"In post","2021","40-49","Education and Skills Funding Agency","West Midlands (England)","195","185","46670","49860"
"In post","2021","40-49","Education and Skills Funding Agency","Yorkshire and The Humber","100","95","40930","37100"
"In post","2021","40-49","Education Scotland","Scotland","85","85","55580","58560"
"In post","2021","40-49","ESTYN","Wales","25","25","55690","74730"
"In post","2021","40-49","FCDO Services","London","35","35","55650","49490"
"In post","2021","40-49","FCDO Services","Overseas","35","35","39780","38360"
"In post","2021","40-49","FCDO Services","South East (England)","170","165","41280","35390"
"In post","2021","40-49","Food Standards Agency","East Midlands (England)","5","5","[c]","[c]"
"In post","2021","40-49","Food Standards Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Food Standards Agency","London","155","155","44600","40960"
"In post","2021","40-49","Food Standards Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Food Standards Agency","North West (England)","10","10","26750","26750"
"In post","2021","40-49","Food Standards Agency","Northern Ireland","20","20","41330","38420"
"In post","2021","40-49","Food Standards Agency","South West (England)","10","10","[c]","[c]"
"In post","2021","40-49","Food Standards Agency","Wales","30","30","37460","37910"
"In post","2021","40-49","Food Standards Agency","West Midlands (England)","30","30","37740","37630"
"In post","2021","40-49","Food Standards Agency","Yorkshire and The Humber","90","90","39700","37910"
"In post","2021","40-49","Food Standards Scotland","Scotland","70","70","37940","33620"
"In post","2021","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","London","1000","955","56190","57400"
"In post","2021","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","675","675","55330","56800"
"In post","2021","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","Scotland","245","235","43630","42890"
"In post","2021","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","South East (England)","45","45","34860","27870"
"In post","2021","40-49","Forestry and Land Scotland","Scotland","230","220","33840","31060"
"In post","2021","40-49","Government Actuary's Department","London","45","40","81650","84400"
"In post","2021","40-49","Government Actuary's Department","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Government Internal Audit Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Government Internal Audit Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Government Internal Audit Agency","London","50","50","57240","54130"
"In post","2021","40-49","Government Internal Audit Agency","North East (England)","5","5","[c]","[c]"
"In post","2021","40-49","Government Internal Audit Agency","North West (England)","20","20","44690","41710"
"In post","2021","40-49","Government Internal Audit Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Government Internal Audit Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Government Internal Audit Agency","South West (England)","15","15","42240","40610"
"In post","2021","40-49","Government Internal Audit Agency","Wales","5","5","[c]","[c]"
"In post","2021","40-49","Government Internal Audit Agency","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","40-49","Government Internal Audit Agency","Yorkshire and The Humber","20","20","45630","42320"
"In post","2021","40-49","Government Legal Department","London","690","620","59620","64680"
"In post","2021","40-49","Government Legal Department","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Government Legal Department","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Government Legal Department","South West (England)","20","15","56850","53850"
"In post","2021","40-49","Government Legal Department","Yorkshire and The Humber","15","10","60370","62330"
"In post","2021","40-49","Government Property Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Government Property Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Government Property Agency","London","15","15","57150","54700"
"In post","2021","40-49","Government Property Agency","North West (England)","5","5","[c]","[c]"
"In post","2021","40-49","Government Property Agency","South West (England)","5","5","[c]","[c]"
"In post","2021","40-49","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Government Property Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Government Property Agency","West Midlands (England)","15","15","46200","39780"
"In post","2021","40-49","Government Property Agency","Yorkshire and The Humber","10","10","51520","53280"
"In post","2021","40-49","Health and Safety Executive","East Midlands (England)","100","90","42410","40020"
"In post","2021","40-49","Health and Safety Executive","East of England","35","35","44850","46320"
"In post","2021","40-49","Health and Safety Executive","London","35","35","54750","50700"
"In post","2021","40-49","Health and Safety Executive","North East (England)","25","25","47130","46320"
"In post","2021","40-49","Health and Safety Executive","North West (England)","215","205","44230","44130"
"In post","2021","40-49","Health and Safety Executive","Scotland","65","65","64160","58000"
"In post","2021","40-49","Health and Safety Executive","South East (England)","25","20","42850","45100"
"In post","2021","40-49","Health and Safety Executive","South West (England)","25","20","46790","46320"
"In post","2021","40-49","Health and Safety Executive","Wales","35","30","40530","41480"
"In post","2021","40-49","Health and Safety Executive","West Midlands (England)","25","25","45510","46320"
"In post","2021","40-49","Health and Safety Executive","Yorkshire and The Humber","85","80","41040","39810"
"In post","2021","40-49","HM Courts and Tribunals Service","East Midlands (England)","340","295","23490","20100"
"In post","2021","40-49","HM Courts and Tribunals Service","East of England","255","220","24090","20650"
