"Status","Year","Ethnicity","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Other ethnicity","UK Export Finance","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Export Finance","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Export Finance","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Export Finance","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Export Finance","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Export Finance","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Export Finance","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Export Finance","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Export Finance","Operational Delivery","London","5","5","[c]","[c]"
"In post","2021","Other ethnicity","UK Export Finance","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Export Finance","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Hydrographic Office","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Hydrographic Office","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Hydrographic Office","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Hydrographic Office","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Hydrographic Office","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Hydrographic Office","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Hydrographic Office","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Hydrographic Office","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Hydrographic Office","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Hydrographic Office","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Hydrographic Office","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Hydrographic Office","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Hydrographic Office","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Intellectual Property Office","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Space Agency","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Space Agency","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Space Agency","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Space Agency","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Space Agency","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Space Agency","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Space Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Space Agency","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Space Agency","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Space Agency","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Space Agency","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Space Agency","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Supreme Court","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Supreme Court","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Supreme Court","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Supreme Court","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Supreme Court","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Supreme Court","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Supreme Court","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Supreme Court","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Valuation Office Agency","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Vehicle Certification Agency","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Vehicle Certification Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Vehicle Certification Agency","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Vehicle Certification Agency","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Vehicle Certification Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Vehicle Certification Agency","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Vehicle Certification Agency","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Vehicle Certification Agency","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Veterinary Medicines Directorate","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Veterinary Medicines Directorate","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Veterinary Medicines Directorate","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Veterinary Medicines Directorate","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Veterinary Medicines Directorate","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Veterinary Medicines Directorate","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Veterinary Medicines Directorate","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Veterinary Medicines Directorate","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wales Office","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wales Office","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wales Office","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wales Office","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wales Office","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wales Office","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wales Office","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wales Office","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wales Office","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wales Office","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wales Office","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wales Office","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Medicine","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Planning","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Policy","Outside London","5","5","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Policy","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government (excl. agencies)","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Revenue Authority","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Revenue Authority","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Revenue Authority","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Revenue Authority","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Revenue Authority","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Revenue Authority","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Revenue Authority","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Revenue Authority","Tax","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Revenue Authority","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wilton Park","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wilton Park","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wilton Park","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wilton Park","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wilton Park","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wilton Park","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wilton Park","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wilton Park","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wilton Park","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Accountant in Bankruptcy","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Advisory, Conciliation and Arbitration Service","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","Undeclared","Animal and Plant Health Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Animal and Plant Health Agency","Operational Delivery","London","5","5","[c]","[c]"
"In post","2021","Undeclared","Animal and Plant Health Agency","Operational Delivery","Outside London","75","75","26700","25100"
"In post","2021","Undeclared","Animal and Plant Health Agency","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Animal and Plant Health Agency","Science and Engineering","Outside London","40","40","33070","30620"
"In post","2021","Undeclared","Animal and Plant Health Agency","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Animal and Plant Health Agency","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Animal and Plant Health Agency","Veterinarian","Outside London","30","25","[c]","[c]"
"In post","2021","Undeclared","Cabinet Office (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Cabinet Office (excl. agencies)","Unknown","London","165","165","52930","54700"
"In post","2021","Undeclared","Cabinet Office (excl. agencies)","Unknown","Outside London","60","55","33660","33300"
"In post","2021","Undeclared","Cabinet Office (excl. agencies)","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Outside London","10","10","[c]","[c]"
"In post","2021","Undeclared","Companies House","Digital, Data and Technology","Outside London","30","25","[c]","[c]"
"In post","2021","Undeclared","Companies House","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Companies House","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Companies House","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Companies House","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Companies House","Operational Delivery","Outside London","40","35","23270","22490"
"In post","2021","Undeclared","Companies House","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Companies House","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Competition and Markets Authority","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Competition and Markets Authority","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Competition and Markets Authority","Economics","London","5","5","[c]","[c]"
"In post","2021","Undeclared","Competition and Markets Authority","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Competition and Markets Authority","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Competition and Markets Authority","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Competition and Markets Authority","Legal","London","5","5","[c]","[c]"
"In post","2021","Undeclared","Competition and Markets Authority","Project Delivery","London","5","5","[c]","[c]"
"In post","2021","Undeclared","Criminal Injuries Compensation Authority","Operational Delivery","Outside London","10","10","[c]","[c]"
"In post","2021","Undeclared","Crown Commercial Service","Commercial","Outside London","20","20","[c]","[c]"
"In post","2021","Undeclared","Crown Commercial Service","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Crown Commercial Service","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Crown Commercial Service","Operational Delivery","London","[c]","[c]","[c]","[c]"
