"Status","Year","Profession_of_post","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Property","Overseas","SEO/HEO","HEO","85","85","35170","33300"
"In post","2021","Property","Overseas","SEO/HEO","SEO","50","50","42800","40610"
"In post","2021","Property","Unknown","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Property","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Property","Unknown","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Property","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","London","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Psychology","London","EO","EO","10","10","28740","27070"
"In post","2021","Psychology","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","London","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Psychology","London","SEO/HEO","HEO","15","15","32520","32350"
"In post","2021","Psychology","London","SEO/HEO","SEO","25","20","48140","49030"
"In post","2021","Psychology","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Outside London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Outside London","AA/AO","AO","65","55","21210","20890"
"In post","2021","Psychology","Outside London","EO","EO","410","400","26840","26330"
"In post","2021","Psychology","Outside London","G6/G7","G6","20","20","74820","72130"
"In post","2021","Psychology","Outside London","G6/G7","G7","90","85","60750","60220"
"In post","2021","Psychology","Outside London","SEO/HEO","HEO","420","410","30580","30450"
"In post","2021","Psychology","Outside London","SEO/HEO","SEO","340","315","45200","45110"
"In post","2021","Psychology","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","London","AA/AO","AA","20","15","21310","21410"
"In post","2021","Science and Engineering","London","AA/AO","AO","95","85","24750","23810"
"In post","2021","Science and Engineering","London","EO","EO","115","110","28210","27510"
"In post","2021","Science and Engineering","London","G6/G7","G6","155","145","70320","67970"
"In post","2021","Science and Engineering","London","G6/G7","G7","305","295","55850","54650"
"In post","2021","Science and Engineering","London","SCS level","SCS level","60","50","102590","95310"
"In post","2021","Science and Engineering","London","SEO/HEO","HEO","280","270","34620","33330"
"In post","2021","Science and Engineering","London","SEO/HEO","SEO","370","350","42380","41350"
"In post","2021","Science and Engineering","London","Unknown","Unknown","25","25","31770","33950"
"In post","2021","Science and Engineering","Outside London","AA/AO","AA","180","170","18260","18760"
"In post","2021","Science and Engineering","Outside London","AA/AO","AO","1100","1060","22020","21950"
"In post","2021","Science and Engineering","Outside London","EO","EO","1880","1825","25730","26350"
"In post","2021","Science and Engineering","Outside London","G6/G7","G6","435","405","69080","67120"
"In post","2021","Science and Engineering","Outside London","G6/G7","G7","2210","2110","51870","50810"
"In post","2021","Science and Engineering","Outside London","SCS level","SCS level","65","65","96010","94210"
"In post","2021","Science and Engineering","Outside London","SEO/HEO","HEO","2790","2695","32250","31950"
"In post","2021","Science and Engineering","Outside London","SEO/HEO","SEO","3100","2950","40800","40550"
"In post","2021","Science and Engineering","Outside London","Unknown","Unknown","700","690","40880","39990"
"In post","2021","Science and Engineering","Overseas","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","Science and Engineering","Overseas","EO","EO","5","5","[c]","[c]"
"In post","2021","Science and Engineering","Overseas","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Science and Engineering","Overseas","G6/G7","G7","20","20","59990","55330"
"In post","2021","Science and Engineering","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Overseas","SEO/HEO","HEO","20","20","38830","36930"
"In post","2021","Science and Engineering","Overseas","SEO/HEO","SEO","45","45","45730","44990"
"In post","2021","Science and Engineering","Overseas","Unknown","Unknown","20","20","34960","32750"
"In post","2021","Science and Engineering","Unknown","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Unknown","Unknown","Unknown","70","65","27660","27370"
"In post","2021","Security","London","AA/AO","AA","185","185","22040","22210"
"In post","2021","Security","London","AA/AO","AO","225","220","30350","26590"
"In post","2021","Security","London","EO","EO","160","155","31700","29990"
"In post","2021","Security","London","G6/G7","G6","55","55","70670","69410"
"In post","2021","Security","London","G6/G7","G7","125","120","57960","57460"
"In post","2021","Security","London","SCS level","SCS level","20","20","81490","75250"
"In post","2021","Security","London","SEO/HEO","HEO","220","215","36500","35430"
"In post","2021","Security","London","SEO/HEO","SEO","235","230","46530","44480"
"In post","2021","Security","London","Unknown","Unknown","10","10","39660","41060"
"In post","2021","Security","Outside London","AA/AO","AA","2255","2200","19920","19560"
"In post","2021","Security","Outside London","AA/AO","AO","2750","2700","32570","38200"
"In post","2021","Security","Outside London","EO","EO","920","905","33070","28190"
"In post","2021","Security","Outside London","G6/G7","G6","20","20","72400","68420"
"In post","2021","Security","Outside London","G6/G7","G7","135","130","54610","52580"
"In post","2021","Security","Outside London","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Security","Outside London","SEO/HEO","HEO","520","505","37420","33390"
"In post","2021","Security","Outside London","SEO/HEO","SEO","315","310","44900","41140"
"In post","2021","Security","Outside London","Unknown","Unknown","70","65","36120","36630"
"In post","2021","Security","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Overseas","EO","EO","5","5","[c]","[c]"
"In post","2021","Security","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Security","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Security","Overseas","SEO/HEO","HEO","60","60","33740","34260"
"In post","2021","Security","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","London","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Social Research","London","EO","EO","20","20","33050","34320"
"In post","2021","Social Research","London","G6/G7","G6","35","35","68510","68720"
"In post","2021","Social Research","London","G6/G7","G7","155","145","57650","57680"
"In post","2021","Social Research","London","SCS level","SCS level","10","5","[c]","[c]"
"In post","2021","Social Research","London","SEO/HEO","HEO","120","115","34510","32540"
"In post","2021","Social Research","London","SEO/HEO","SEO","120","115","42290","42470"
"In post","2021","Social Research","Outside London","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Outside London","EO","EO","20","20","25720","25750"
"In post","2021","Social Research","Outside London","G6/G7","G6","15","15","60140","57720"
"In post","2021","Social Research","Outside London","G6/G7","G7","115","110","50450","49100"
"In post","2021","Social Research","Outside London","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Social Research","Outside London","SEO/HEO","HEO","210","200","30410","29540"
"In post","2021","Social Research","Outside London","SEO/HEO","SEO","335","315","40920","38440"
"In post","2021","Statistics","London","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Statistics","London","AA/AO","AO","10","10","24110","24900"
"In post","2021","Statistics","London","EO","EO","105","105","30010","30100"
"In post","2021","Statistics","London","G6/G7","G6","70","65","68790","68930"
"In post","2021","Statistics","London","G6/G7","G7","275","260","56910","57850"
"In post","2021","Statistics","London","SCS level","SCS level","30","30","87150","81560"
"In post","2021","Statistics","London","SEO/HEO","HEO","220","215","35600","35190"
"In post","2021","Statistics","London","SEO/HEO","SEO","205","195","42700","42460"
"In post","2021","Statistics","Outside London","AA/AO","AO","25","20","21280","21050"
"In post","2021","Statistics","Outside London","EO","EO","145","135","26040","26190"
"In post","2021","Statistics","Outside London","G6/G7","G6","65","65","62540","61240"
"In post","2021","Statistics","Outside London","G6/G7","G7","245","235","52370","51640"
"In post","2021","Statistics","Outside London","SCS level","SCS level","25","25","82150","74500"
"In post","2021","Statistics","Outside London","SEO/HEO","HEO","315","300","31790","31810"
"In post","2021","Statistics","Outside London","SEO/HEO","SEO","295","285","38970","38630"
"In post","2021","Statistics","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Overseas","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Statistics","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Tax","London","AA/AO","AO","65","60","24770","24120"
"In post","2021","Tax","London","EO","EO","455","425","30930","30700"
"In post","2021","Tax","London","G6/G7","G6","155","140","72290","71290"
"In post","2021","Tax","London","G6/G7","G7","370","355","58950","59160"
"In post","2021","Tax","London","SCS level","SCS level","40","40","85790","82240"
"In post","2021","Tax","London","SEO/HEO","HEO","885","840","37170","36160"
"In post","2021","Tax","London","SEO/HEO","SEO","320","310","42620","41800"
"In post","2021","Tax","Outside London","AA/AO","AO","3725","3515","20190","20140"
"In post","2021","Tax","Outside London","EO","EO","3605","3350","26000","25560"
"In post","2021","Tax","Outside London","G6/G7","G6","505","485","65100","64670"
"In post","2021","Tax","Outside London","G6/G7","G7","1675","1605","52570","52580"
"In post","2021","Tax","Outside London","SCS level","SCS level","45","45","78210","76430"
"In post","2021","Tax","Outside London","SEO/HEO","HEO","4430","4195","32130","31810"
"In post","2021","Tax","Outside London","SEO/HEO","SEO","1510","1430","38590","38630"
"In post","2021","Tax","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Tax","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","London","AA/AO","AA","20","15","21460","21510"
"In post","2021","Unknown","London","AA/AO","AO","1850","1655","24510","25110"
"In post","2021","Unknown","London","EO","EO","7105","6720","30770","31060"
"In post","2021","Unknown","London","G6/G7","G6","995","975","70040","67930"
"In post","2021","Unknown","London","G6/G7","G7","2530","2470","56410","54700"
"In post","2021","Unknown","London","SCS level","SCS level","1040","1020","93780","81450"
"In post","2021","Unknown","London","SEO/HEO","HEO","3440","3400","34160","34550"
"In post","2021","Unknown","London","SEO/HEO","SEO","1145","1120","41790","41300"
"In post","2021","Unknown","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outside London","AA/AO","AA","1630","1500","21170","21150"
"In post","2021","Unknown","Outside London","AA/AO","AO","30655","26510","21110","21010"
"In post","2021","Unknown","Outside London","EO","EO","45565","41210","27650","27570"
"In post","2021","Unknown","Outside London","G6/G7","G6","1935","1875","69450","69160"
"In post","2021","Unknown","Outside London","G6/G7","G7","3995","3845","54320","52580"
"In post","2021","Unknown","Outside London","SCS level","SCS level","590","580","87100","83230"
"In post","2021","Unknown","Outside London","SEO/HEO","HEO","10655","10100","33030","32170"
"In post","2021","Unknown","Outside London","SEO/HEO","SEO","5625","5375","40520","39660"
"In post","2021","Unknown","Outside London","Unknown","Unknown","25","25","95230","93790"
"In post","2021","Unknown","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Overseas","EO","EO","15","15","29470","26930"
"In post","2021","Unknown","Overseas","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Unknown","Overseas","G6/G7","G7","15","15","58700","55000"
"In post","2021","Unknown","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Overseas","SEO/HEO","HEO","30","30","33740","33300"
"In post","2021","Unknown","Overseas","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Unknown","Overseas","Unknown","Unknown","220","220","[c]","[c]"
"In post","2021","Unknown","Unknown","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Unknown","Unknown","AA/AO","AO","195","175","22420","21010"
"In post","2021","Unknown","Unknown","EO","EO","535","505","27960","27570"
"In post","2021","Unknown","Unknown","G6/G7","G6","45","45","66040","64500"
"In post","2021","Unknown","Unknown","G6/G7","G7","105","100","52610","52660"
"In post","2021","Unknown","Unknown","SCS level","SCS level","25","20","91960","76960"
"In post","2021","Unknown","Unknown","SEO/HEO","HEO","535","525","31430","32000"
"In post","2021","Unknown","Unknown","SEO/HEO","SEO","90","85","38670","37600"
"In post","2021","Veterinarian","London","G6/G7","G7","25","25","55970","54590"
"In post","2021","Veterinarian","London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","London","SEO/HEO","SEO","15","15","42400","43980"
"In post","2021","Veterinarian","Outside London","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Outside London","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Outside London","G6/G7","G6","30","25","63150","62520"
"In post","2021","Veterinarian","Outside London","G6/G7","G7","95","95","53740","53820"
"In post","2021","Veterinarian","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Outside London","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Outside London","SEO/HEO","SEO","270","255","40620","37530"
"Leaver CS","2021","Commercial","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","London","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","London","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","London","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","London","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","London","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Outside London","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Outside London","AA/AO","AO","10","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Outside London","EO","EO","25","[c]","23190","22780"
"Leaver CS","2021","Commercial","Outside London","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Outside London","G6/G7","G7","25","[c]","53500","51590"
"Leaver CS","2021","Commercial","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Outside London","SEO/HEO","HEO","35","[c]","31070","31380"
"Leaver CS","2021","Commercial","Outside London","SEO/HEO","SEO","55","[c]","39710","39600"
"Leaver CS","2021","Commercial","Outside London","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","London","AA/AO","AO","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","London","EO","EO","20","[c]","27300","28500"
"Leaver CS","2021","Communications","London","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","London","G6/G7","G7","20","[c]","57130","56930"
"Leaver CS","2021","Communications","London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","London","SEO/HEO","HEO","45","[c]","34390","33170"
"Leaver CS","2021","Communications","London","SEO/HEO","SEO","30","[c]","42080","40710"
"Leaver CS","2021","Communications","Outside London","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Outside London","AA/AO","AO","20","[c]","20450","20920"
"Leaver CS","2021","Communications","Outside London","EO","EO","20","[c]","26780","26000"
"Leaver CS","2021","Communications","Outside London","G6/G7","G7","10","[c]","51070","50010"
"Leaver CS","2021","Communications","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Outside London","SEO/HEO","HEO","30","[c]","31740","32070"
"Leaver CS","2021","Communications","Outside London","SEO/HEO","SEO","15","[c]","40580","40580"
"Leaver CS","2021","Communications","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","London","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","London","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Outside London","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Outside London","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Outside London","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Outside London","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Outside London","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","London","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","London","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","London","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","London","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Outside London","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Outside London","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Outside London","SEO/HEO","HEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Outside London","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","London","AA/AO","AO","10","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","London","EO","EO","15","[c]","28310","27400"
"Leaver CS","2021","Digital, Data and Technology","London","G6/G7","G6","10","[c]","65110","64520"
"Leaver CS","2021","Digital, Data and Technology","London","G6/G7","G7","40","[c]","58320","57480"
"Leaver CS","2021","Digital, Data and Technology","London","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","London","SEO/HEO","HEO","25","[c]","33910","33150"
"Leaver CS","2021","Digital, Data and Technology","London","SEO/HEO","SEO","30","[c]","43480","42520"
"Leaver CS","2021","Digital, Data and Technology","Outside London","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Outside London","AA/AO","AO","30","[c]","21270","21150"
"Leaver CS","2021","Digital, Data and Technology","Outside London","EO","EO","70","[c]","26990","26670"
"Leaver CS","2021","Digital, Data and Technology","Outside London","G6/G7","G6","15","[c]","71020","69450"
"Leaver CS","2021","Digital, Data and Technology","Outside London","G6/G7","G7","50","[c]","55970","54830"
"Leaver CS","2021","Digital, Data and Technology","Outside London","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Outside London","SEO/HEO","HEO","65","[c]","33990","33290"
"Leaver CS","2021","Digital, Data and Technology","Outside London","SEO/HEO","SEO","70","[c]","40680","40300"
"Leaver CS","2021","Digital, Data and Technology","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","London","AA/AO","AO","35","[c]","22570","24300"
"Leaver CS","2021","Economics","London","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","Economics","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","London","G6/G7","G7","15","[c]","[c]","[c]"
"Leaver CS","2021","Economics","London","SEO/HEO","HEO","15","[c]","31420","32240"
"Leaver CS","2021","Economics","London","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Outside London","AA/AO","AO","25","[c]","19130","19130"
"Leaver CS","2021","Economics","Outside London","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Outside London","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Outside London","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Outside London","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Outside London","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","London","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","London","EO","EO","10","[c]","26270","27000"
"Leaver CS","2021","Finance","London","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Finance","London","G6/G7","G7","25","[c]","65050","63650"
"Leaver CS","2021","Finance","London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","London","SEO/HEO","HEO","15","[c]","39790","37290"
"Leaver CS","2021","Finance","London","SEO/HEO","SEO","10","[c]","44170","44540"
"Leaver CS","2021","Finance","Outside London","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Outside London","AA/AO","AO","25","[c]","21210","21130"
"Leaver CS","2021","Finance","Outside London","EO","EO","25","[c]","25010","25870"
"Leaver CS","2021","Finance","Outside London","G6/G7","G6","10","[c]","67460","67300"
"Leaver CS","2021","Finance","Outside London","G6/G7","G7","20","[c]","56950","56950"
"Leaver CS","2021","Finance","Outside London","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Outside London","SEO/HEO","HEO","45","[c]","34910","33630"
"Leaver CS","2021","Finance","Outside London","SEO/HEO","SEO","40","[c]","43450","42090"
"Leaver CS","2021","Human Resources","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","London","AA/AO","AO","10","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","London","EO","EO","10","[c]","28740","28170"
"Leaver CS","2021","Human Resources","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","London","G6/G7","G7","25","[c]","58720","58640"
"Leaver CS","2021","Human Resources","London","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","London","SEO/HEO","HEO","25","[c]","34820","34870"
"Leaver CS","2021","Human Resources","London","SEO/HEO","SEO","20","[c]","45110","45080"
"Leaver CS","2021","Human Resources","Outside London","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Outside London","AA/AO","AO","50","[c]","21490","21130"
"Leaver CS","2021","Human Resources","Outside London","EO","EO","40","[c]","25440","26670"
"Leaver CS","2021","Human Resources","Outside London","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Outside London","G6/G7","G7","20","[c]","53870","53550"
"Leaver CS","2021","Human Resources","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Outside London","SEO/HEO","HEO","35","[c]","32990","32430"
"Leaver CS","2021","Human Resources","Outside London","SEO/HEO","SEO","40","[c]","42430","40980"
"Leaver CS","2021","Human Resources","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","London","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","London","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","Outside London","G6/G7","G6","15","[c]","80560","85550"
"Leaver CS","2021","Inspector of Education and Training","Outside London","G6/G7","G7","25","[c]","75500","75500"
"Leaver CS","2021","Inspector of Education and Training","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","Outside London","SEO/HEO","SEO","25","[c]","50290","51360"
"Leaver CS","2021","Intelligence Analysis","London","EO","EO","15","[c]","30220","30010"
"Leaver CS","2021","Intelligence Analysis","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","London","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","London","SEO/HEO","HEO","15","[c]","37160","37640"
"Leaver CS","2021","Intelligence Analysis","London","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Outside London","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Outside London","EO","EO","25","[c]","28520","27000"
"Leaver CS","2021","Intelligence Analysis","Outside London","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Outside London","SEO/HEO","HEO","15","[c]","33220","33300"
"Leaver CS","2021","Intelligence Analysis","Outside London","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","London","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","London","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Outside London","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Outside London","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Outside London","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Outside London","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Outside London","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","London","AA/AO","AO","15","[c]","18650","18200"
"Leaver CS","2021","International Trade","London","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","London","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","London","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","London","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","Outside London","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","Outside London","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","London","AA/AO","AO","5","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","London","EO","EO","10","[c]","26550","26770"
