"Status","Year","Age","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Planning","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","London","SEO/HEO","15","15","36070","34550"
"In post","2021","20-29","Planning","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","London","AA/AO","95","90","25030","24370"
"In post","2021","20-29","Policy","London","EO","790","790","28270","28170"
"In post","2021","20-29","Policy","London","G6/G7","1535","1530","54990","53380"
"In post","2021","20-29","Policy","London","SCS level","10","10","74850","71530"
"In post","2021","20-29","Policy","London","SEO/HEO","3840","3825","36030","34710"
"In post","2021","20-29","Policy","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","Outside London","AA/AO","115","115","21700","21330"
"In post","2021","20-29","Policy","Outside London","EO","225","225","25680","25000"
"In post","2021","20-29","Policy","Outside London","G6/G7","90","90","50770","49860"
"In post","2021","20-29","Policy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","Outside London","SEO/HEO","680","675","32980","31040"
"In post","2021","20-29","Policy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","Overseas","G6/G7","25","25","53850","53030"
"In post","2021","20-29","Policy","Overseas","SEO/HEO","145","145","34590","33860"
"In post","2021","20-29","Policy","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","London","AA/AO","20","20","23750","22860"
"In post","2021","20-29","Project Delivery","London","EO","105","105","28320","28650"
"In post","2021","20-29","Project Delivery","London","G6/G7","95","95","56080","54760"
"In post","2021","20-29","Project Delivery","London","SEO/HEO","385","385","37060","35070"
"In post","2021","20-29","Project Delivery","Outside London","AA/AO","60","60","20880","20920"
"In post","2021","20-29","Project Delivery","Outside London","EO","435","430","24830","25500"
"In post","2021","20-29","Project Delivery","Outside London","G6/G7","50","50","50290","51730"
"In post","2021","20-29","Project Delivery","Outside London","SEO/HEO","810","805","33260","33000"
"In post","2021","20-29","Project Delivery","Outside London","Unknown","75","75","28410","27720"
"In post","2021","20-29","Project Delivery","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Overseas","SEO/HEO","10","10","40980","38600"
"In post","2021","20-29","Project Delivery","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","London","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Property","London","EO","55","55","28870","28950"
"In post","2021","20-29","Property","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","London","SEO/HEO","50","50","37420","36150"
"In post","2021","20-29","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Outside London","AA/AO","100","95","19720","18800"
"In post","2021","20-29","Property","Outside London","EO","195","185","25440","25100"
"In post","2021","20-29","Property","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","Property","Outside London","SEO/HEO","185","185","33660","32100"
"In post","2021","20-29","Property","Outside London","Unknown","20","20","23470","21600"
"In post","2021","20-29","Property","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Psychology","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Psychology","London","EO","5","5","[c]","[c]"
"In post","2021","20-29","Psychology","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","Psychology","Outside London","AA/AO","25","25","20700","19530"
"In post","2021","20-29","Psychology","Outside London","EO","165","160","25980","25830"
"In post","2021","20-29","Psychology","Outside London","SEO/HEO","155","155","30380","29750"
"In post","2021","20-29","Science and Engineering","London","AA/AO","40","40","25160","24030"
"In post","2021","20-29","Science and Engineering","London","EO","60","60","27720","27150"
"In post","2021","20-29","Science and Engineering","London","G6/G7","15","15","54760","53620"
"In post","2021","20-29","Science and Engineering","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Science and Engineering","London","SEO/HEO","165","165","35910","33340"
