"Status","Year","Age","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","50-59","Legal Aid Agency","Ministry of Justice","Female","175","165","30030","26450"
"In post","2021","50-59","Legal Aid Agency","Ministry of Justice","Male","110","105","35530","29800"
"In post","2021","50-59","Maritime and Coastguard Agency","Department for Transport","Female","110","105","33950","31040"
"In post","2021","50-59","Maritime and Coastguard Agency","Department for Transport","Male","180","180","43900","40520"
"In post","2021","50-59","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Female","165","160","50570","45570"
"In post","2021","50-59","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Male","145","140","54680","53100"
"In post","2021","50-59","Met Office","Department for Business, Energy and Industrial Strategy","Female","120","110","42640","40040"
"In post","2021","50-59","Met Office","Department for Business, Energy and Industrial Strategy","Male","405","395","44380","41900"
"In post","2021","50-59","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","5810","5565","30680","26670"
"In post","2021","50-59","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","8225","8160","33400","31000"
"In post","2021","50-59","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Female","245","240","47510","42980"
"In post","2021","50-59","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Male","250","245","48460","46120"
"In post","2021","50-59","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","690","670","42630","38610"
"In post","2021","50-59","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","545","545","46490","42910"
"In post","2021","50-59","National Crime Agency","National Crime Agency","Female","455","440","40870","38880"
"In post","2021","50-59","National Crime Agency","National Crime Agency","Male","1090","1080","45390","43450"
"In post","2021","50-59","National Infrastructure Commission","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","National Infrastructure Commission","HM Treasury","Male","5","5","[c]","[c]"
"In post","2021","50-59","National Records of Scotland","Scottish Government","Female","80","75","34830","32140"
"In post","2021","50-59","National Records of Scotland","Scottish Government","Male","50","50","33690","29190"
"In post","2021","50-59","National Savings and Investments","Chancellor's other departments","Female","25","25","[c]","[c]"
"In post","2021","50-59","National Savings and Investments","Chancellor's other departments","Male","25","25","[c]","[c]"
"In post","2021","50-59","Northern Ireland Office","Northern Ireland Office","Female","25","25","[c]","[c]"
"In post","2021","50-59","Northern Ireland Office","Northern Ireland Office","Male","15","15","[c]","[c]"
"In post","2021","50-59","Office for Budget Responsibility","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Office for Budget Responsibility","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Female","395","380","55790","51360"
"In post","2021","50-59","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Male","155","155","59800","64500"
"In post","2021","50-59","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Female","65","65","48280","40720"
"In post","2021","50-59","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Male","75","75","60710","61000"
"In post","2021","50-59","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Female","30","30","50240","44000"
"In post","2021","50-59","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Male","15","15","[c]","[c]"
"In post","2021","50-59","Office of Rail and Road","Office of Rail and Road","Female","30","25","[c]","[c]"
"In post","2021","50-59","Office of Rail and Road","Office of Rail and Road","Male","65","60","65640","63230"
"In post","2021","50-59","Office of the Public Guardian","Ministry of Justice","Female","175","165","23840","20650"
"In post","2021","50-59","Office of the Public Guardian","Ministry of Justice","Male","90","85","23110","21170"
"In post","2021","50-59","Office of the Scottish Charity Regulator","Scottish Government","Female","10","10","[c]","[c]"
"In post","2021","50-59","Office of the Scottish Charity Regulator","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Female","115","105","45200","47660"
"In post","2021","50-59","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Male","130","125","48630","47660"
"In post","2021","50-59","Public Health England","Department of Health and Social Care","Female","1110","1005","49770","42000"
"In post","2021","50-59","Public Health England","Department of Health and Social Care","Male","525","500","59220","52330"
"In post","2021","50-59","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","Female","5","5","[c]","[c]"
"In post","2021","50-59","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","Male","5","5","[c]","[c]"
"In post","2021","50-59","Registers of Scotland","Scottish Government","Female","170","160","33670","30080"
"In post","2021","50-59","Registers of Scotland","Scottish Government","Male","175","170","35760","35540"
"In post","2021","50-59","Revenue Scotland","Scottish Government","Female","10","10","[c]","[c]"
"In post","2021","50-59","Revenue Scotland","Scottish Government","Male","5","5","[c]","[c]"
"In post","2021","50-59","Royal Fleet Auxiliary","Ministry of Defence","Female","15","15","[c]","[c]"
"In post","2021","50-59","Royal Fleet Auxiliary","Ministry of Defence","Male","485","485","43030","38310"
"In post","2021","50-59","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Female","325","295","28100","25450"
"In post","2021","50-59","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Male","240","235","29890","26520"
"In post","2021","50-59","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Female","10","10","[c]","[c]"
"In post","2021","50-59","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Male","15","15","[c]","[c]"
"In post","2021","50-59","Scottish Courts and Tribunals Service","Scottish Government","Female","350","310","28170","22820"
"In post","2021","50-59","Scottish Courts and Tribunals Service","Scottish Government","Male","180","170","29970","22820"
"In post","2021","50-59","Scottish Fiscal Commission","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Scottish Fiscal Commission","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Scottish Forestry","Scottish Government","Female","30","25","[c]","[c]"
"In post","2021","50-59","Scottish Forestry","Scottish Government","Male","35","35","46130","45210"
"In post","2021","50-59","Scottish Government (excl. agencies)","Scottish Government","Female","1020","965","47880","46600"
"In post","2021","50-59","Scottish Government (excl. agencies)","Scottish Government","Male","940","930","48670","46600"
"In post","2021","50-59","Scottish Housing Regulator","Scottish Government","Female","10","10","[c]","[c]"
"In post","2021","50-59","Scottish Housing Regulator","Scottish Government","Male","10","10","[c]","[c]"
"In post","2021","50-59","Scottish Prison Service","Scottish Government","Female","265","255","32920","33650"
"In post","2021","50-59","Scottish Prison Service","Scottish Government","Male","1215","1155","35010","33650"
"In post","2021","50-59","Scottish Public Pensions Agency","Scottish Government","Female","45","40","27800","24110"
"In post","2021","50-59","Scottish Public Pensions Agency","Scottish Government","Male","35","30","29740","24110"
"In post","2021","50-59","Serious Fraud Office","Attorney General's Departments","Female","40","40","54180","51070"
"In post","2021","50-59","Serious Fraud Office","Attorney General's Departments","Male","85","85","50090","43640"
"In post","2021","50-59","Social Security Scotland","Scottish Government","Female","150","140","33380","29190"
"In post","2021","50-59","Social Security Scotland","Scottish Government","Male","85","85","38660","32140"
"In post","2021","50-59","Standards and Testing Agency","Department for Education","Female","20","20","[c]","[c]"
"In post","2021","50-59","Standards and Testing Agency","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Student Awards Agency for Scotland","Scottish Government","Female","30","25","[c]","[c]"
"In post","2021","50-59","Student Awards Agency for Scotland","Scottish Government","Male","20","20","[c]","[c]"
"In post","2021","50-59","Submarine Delivery Agency","Ministry of Defence","Female","120","115","42930","39860"
"In post","2021","50-59","Submarine Delivery Agency","Ministry of Defence","Male","320","320","52360","50180"
"In post","2021","50-59","Teaching Regulation Agency","Department for Education","Female","10","10","[c]","[c]"
"In post","2021","50-59","Teaching Regulation Agency","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","50-59","The National Archives","The National Archives","Female","60","55","35370","33940"
"In post","2021","50-59","The National Archives","The National Archives","Male","85","85","40540","36900"
"In post","2021","50-59","Transport Scotland","Scottish Government","Female","55","50","42910","40930"
"In post","2021","50-59","Transport Scotland","Scottish Government","Male","80","80","52810","50850"
"In post","2021","50-59","UK Export Finance","UK Export Finance","Female","35","35","47510","43000"
"In post","2021","50-59","UK Export Finance","UK Export Finance","Male","65","65","67360","54210"
"In post","2021","50-59","UK Hydrographic Office","Ministry of Defence","Female","75","70","35140","33290"
"In post","2021","50-59","UK Hydrographic Office","Ministry of Defence","Male","140","135","37300","34700"
"In post","2021","50-59","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Female","135","130","36550","30630"
"In post","2021","50-59","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Male","180","170","46810","47350"
"In post","2021","50-59","UK Space Agency","Department for Business, Energy and Industrial Strategy","Female","20","20","[c]","[c]"
"In post","2021","50-59","UK Space Agency","Department for Business, Energy and Industrial Strategy","Male","25","25","[c]","[c]"
"In post","2021","50-59","UK Supreme Court","UK Supreme Court","Female","5","5","[c]","[c]"
"In post","2021","50-59","UK Supreme Court","UK Supreme Court","Male","10","10","[c]","[c]"
"In post","2021","50-59","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Female","715","610","30070","23520"
"In post","2021","50-59","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Male","530","460","34600","30130"
"In post","2021","50-59","Valuation Office Agency","HM Revenue and Customs","Female","640","590","33430","29450"
"In post","2021","50-59","Valuation Office Agency","HM Revenue and Customs","Male","565","555","40180","37750"
"In post","2021","50-59","Vehicle Certification Agency","Department for Transport","Female","15","10","[c]","[c]"
"In post","2021","50-59","Vehicle Certification Agency","Department for Transport","Male","25","25","[c]","[c]"
"In post","2021","50-59","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Female","20","20","[c]","[c]"
"In post","2021","50-59","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Male","25","25","[c]","[c]"
"In post","2021","50-59","Wales Office","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Wales Office","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Water Services Regulation Authority","Water Services Regulation Authority","Female","20","20","[c]","[c]"
"In post","2021","50-59","Water Services Regulation Authority","Water Services Regulation Authority","Male","25","25","[c]","[c]"
"In post","2021","50-59","Welsh Government (excl. agencies)","Welsh Government","Female","970","915","42830","37410"
"In post","2021","50-59","Welsh Government (excl. agencies)","Welsh Government","Male","690","680","47460","47000"
"In post","2021","50-59","Welsh Revenue Authority","Welsh Government","Female","10","10","[c]","[c]"
"In post","2021","50-59","Welsh Revenue Authority","Welsh Government","Male","5","5","[c]","[c]"
"In post","2021","50-59","Wilton Park","Foreign, Commonwealth and Development Office","Female","20","15","[c]","[c]"
"In post","2021","50-59","Wilton Park","Foreign, Commonwealth and Development Office","Male","5","5","[c]","[c]"
"In post","2021","60-64","Accountant in Bankruptcy","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Accountant in Bankruptcy","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","50","40","34440","34500"
"In post","2021","60-64","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","35","30","38650","34500"
"In post","2021","60-64","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Female","115","105","28450","25320"
"In post","2021","60-64","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Male","95","85","37420","31710"
"In post","2021","60-64","Cabinet Office (excl. agencies)","Cabinet Office","Female","115","95","42120","33630"
"In post","2021","60-64","Cabinet Office (excl. agencies)","Cabinet Office","Male","145","135","57280","49700"
"In post","2021","60-64","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","10","10","[c]","[c]"
"In post","2021","60-64","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","25","20","[c]","[c]"
"In post","2021","60-64","Charity Commission","Charity Commission","Female","15","15","[c]","[c]"
"In post","2021","60-64","Charity Commission","Charity Commission","Male","15","15","[c]","[c]"
"In post","2021","60-64","Companies House","Department for Business, Energy and Industrial Strategy","Female","65","55","26080","22490"
"In post","2021","60-64","Companies House","Department for Business, Energy and Industrial Strategy","Male","35","30","31170","22490"
"In post","2021","60-64","Competition and Markets Authority","Competition and Markets Authority","Female","5","5","[c]","[c]"
"In post","2021","60-64","Competition and Markets Authority","Competition and Markets Authority","Male","10","10","[c]","[c]"
"In post","2021","60-64","Criminal Injuries Compensation Authority","Ministry of Justice","Female","5","5","[c]","[c]"
"In post","2021","60-64","Criminal Injuries Compensation Authority","Ministry of Justice","Male","10","10","[c]","[c]"
"In post","2021","60-64","Crown Commercial Service","Other Cabinet Office Agencies","Female","10","10","[c]","[c]"
"In post","2021","60-64","Crown Commercial Service","Other Cabinet Office Agencies","Male","10","10","[c]","[c]"
"In post","2021","60-64","Crown Office and Procurator Fiscal Service","Scottish Government","Female","80","70","33660","22220"
"In post","2021","60-64","Crown Office and Procurator Fiscal Service","Scottish Government","Male","35","30","38790","31720"
"In post","2021","60-64","Crown Prosecution Service","Attorney General's Departments","Female","250","205","40580","30110"
"In post","2021","60-64","Crown Prosecution Service","Attorney General's Departments","Male","170","150","50540","55610"
"In post","2021","60-64","Debt Management Office","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Debt Management Office","HM Treasury","Male","5","5","[c]","[c]"
"In post","2021","60-64","Defence Electronics and Components Agency","Ministry of Defence","Female","5","5","[c]","[c]"
"In post","2021","60-64","Defence Electronics and Components Agency","Ministry of Defence","Male","55","50","27270","28750"
"In post","2021","60-64","Defence Equipment and Support","Ministry of Defence","Female","195","170","33690","30410"
"In post","2021","60-64","Defence Equipment and Support","Ministry of Defence","Male","675","620","39390","38220"
"In post","2021","60-64","Defence Science and Technology Laboratory","Ministry of Defence","Female","50","45","36000","31000"
"In post","2021","60-64","Defence Science and Technology Laboratory","Ministry of Defence","Male","215","190","47850","46130"
"In post","2021","60-64","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","70","65","42920","36360"
"In post","2021","60-64","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","70","65","51210","44570"
"In post","2021","60-64","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","15","15","[c]","[c]"
"In post","2021","60-64","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","20","20","[c]","[c]"
"In post","2021","60-64","Department for Education (excl. agencies)","Department for Education","Female","90","80","45440","46840"
"In post","2021","60-64","Department for Education (excl. agencies)","Department for Education","Male","95","95","47130","43410"
"In post","2021","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","90","85","37200","30160"
"In post","2021","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","100","100","46220","43850"
"In post","2021","60-64","Department for International Trade","Department for International Trade","Female","30","30","42520","33840"
"In post","2021","60-64","Department for International Trade","Department for International Trade","Male","50","50","51920","43930"
"In post","2021","60-64","Department for Transport (excl. agencies)","Department for Transport","Female","50","45","38130","33900"
"In post","2021","60-64","Department for Transport (excl. agencies)","Department for Transport","Male","100","90","48360","42890"
"In post","2021","60-64","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","6430","4805","26380","27570"
"In post","2021","60-64","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Male","2805","2335","27660","27570"
"In post","2021","60-64","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","50","45","48500","39070"
"In post","2021","60-64","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","35","35","49870","43390"
"In post","2021","60-64","Disclosure Scotland","Scottish Government","Female","15","15","[c]","[c]"
"In post","2021","60-64","Disclosure Scotland","Scottish Government","Male","15","10","[c]","[c]"
"In post","2021","60-64","Driver and Vehicle Licensing Agency","Department for Transport","Female","415","275","22680","21590"
"In post","2021","60-64","Driver and Vehicle Licensing Agency","Department for Transport","Male","145","125","31310","21590"
"In post","2021","60-64","Driver and Vehicle Standards Agency","Department for Transport","Female","125","100","27430","26780"
"In post","2021","60-64","Driver and Vehicle Standards Agency","Department for Transport","Male","520","455","29390","27050"
"In post","2021","60-64","Education and Skills Funding Agency","Department for Education","Female","40","35","42670","37100"
"In post","2021","60-64","Education and Skills Funding Agency","Department for Education","Male","35","35","49280","50630"
"In post","2021","60-64","Education Scotland","Scottish Government","Female","20","20","[c]","[c]"
"In post","2021","60-64","Education Scotland","Scottish Government","Male","15","10","[c]","[c]"
"In post","2021","60-64","ESTYN","ESTYN","Female","10","5","[c]","[c]"
"In post","2021","60-64","ESTYN","ESTYN","Male","10","5","[c]","[c]"
"In post","2021","60-64","FCDO Services","Foreign, Commonwealth and Development Office","Female","15","15","[c]","[c]"
"In post","2021","60-64","FCDO Services","Foreign, Commonwealth and Development Office","Male","90","80","42970","43590"
"In post","2021","60-64","Food Standards Agency","Food Standards Agency","Female","20","15","[c]","[c]"
"In post","2021","60-64","Food Standards Agency","Food Standards Agency","Male","90","85","31410","28770"
"In post","2021","60-64","Food Standards Scotland","Scottish Government","Female","5","5","[c]","[c]"
"In post","2021","60-64","Food Standards Scotland","Scottish Government","Male","15","15","[c]","[c]"
"In post","2021","60-64","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","120","115","46990","38230"
"In post","2021","60-64","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","150","145","57410","56610"
"In post","2021","60-64","Forestry and Land Scotland","Scottish Government","Female","20","20","[c]","[c]"
"In post","2021","60-64","Forestry and Land Scotland","Scottish Government","Male","80","75","31450","30160"
"In post","2021","60-64","Government Actuary's Department","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Government Actuary's Department","Chancellor's other departments","Male","5","5","[c]","[c]"
"In post","2021","60-64","Government Internal Audit Agency","HM Treasury","Female","15","15","[c]","[c]"
"In post","2021","60-64","Government Internal Audit Agency","HM Treasury","Male","30","25","[c]","[c]"
"In post","2021","60-64","Government Legal Department","Attorney General's Departments","Female","55","45","55700","60960"
"In post","2021","60-64","Government Legal Department","Attorney General's Departments","Male","40","40","71080","73030"
"In post","2021","60-64","Government Property Agency","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Government Property Agency","Other Cabinet Office Agencies","Male","10","10","[c]","[c]"
"In post","2021","60-64","Health and Safety Executive","Department for Work and Pensions","Female","90","70","34650","29750"
"In post","2021","60-64","Health and Safety Executive","Department for Work and Pensions","Male","130","115","54400","50560"
"In post","2021","60-64","HM Courts and Tribunals Service","Ministry of Justice","Female","1135","935","23110","20100"
"In post","2021","60-64","HM Courts and Tribunals Service","Ministry of Justice","Male","495","445","23970","20430"
"In post","2021","60-64","HM Land Registry","HM Land Registry","Female","280","195","30860","27130"
"In post","2021","60-64","HM Land Registry","HM Land Registry","Male","215","160","34650","33840"
"In post","2021","60-64","HM Prison and Probation Service","Ministry of Justice","Female","1660","1375","28230","25830"
"In post","2021","60-64","HM Prison and Probation Service","Ministry of Justice","Male","2135","1680","30930","31650"
"In post","2021","60-64","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","3210","2345","27740","25560"
"In post","2021","60-64","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","2115","1675","33580","28130"
"In post","2021","60-64","HM Treasury (excl. agencies)","HM Treasury","Female","15","15","[c]","[c]"
"In post","2021","60-64","HM Treasury (excl. agencies)","HM Treasury","Male","15","15","[c]","[c]"
"In post","2021","60-64","Home Office (incl. agencies)","Home Office","Female","1125","905","28330","25630"
"In post","2021","60-64","Home Office (incl. agencies)","Home Office","Male","1075","865","32380","28350"
"In post","2021","60-64","Insolvency Service","Department for Business, Energy and Industrial Strategy","Female","55","50","27330","22870"
"In post","2021","60-64","Insolvency Service","Department for Business, Energy and Industrial Strategy","Male","65","55","38690","37290"
"In post","2021","60-64","Institute for Apprenticeships and Technical Education","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Institute for Apprenticeships and Technical Education","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Legal Aid Agency","Ministry of Justice","Female","50","45","25720","20960"
"In post","2021","60-64","Legal Aid Agency","Ministry of Justice","Male","35","35","35780","29060"
"In post","2021","60-64","Maritime and Coastguard Agency","Department for Transport","Female","20","20","[c]","[c]"
"In post","2021","60-64","Maritime and Coastguard Agency","Department for Transport","Male","55","55","46060","42730"
"In post","2021","60-64","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Female","40","35","57290","53970"
"In post","2021","60-64","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Male","40","35","65080","62910"
"In post","2021","60-64","Met Office","Department for Business, Energy and Industrial Strategy","Female","20","15","[c]","[c]"
"In post","2021","60-64","Met Office","Department for Business, Energy and Industrial Strategy","Male","65","55","41520","40140"
"In post","2021","60-64","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","1440","1300","27310","22080"
"In post","2021","60-64","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","2905","2760","31250","26930"
"In post","2021","60-64","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Female","45","40","45310","42900"
"In post","2021","60-64","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Male","55","50","46060","38160"
"In post","2021","60-64","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","125","115","39220","32950"
"In post","2021","60-64","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","140","125","41940","37710"
"In post","2021","60-64","National Crime Agency","National Crime Agency","Female","75","65","35830","34050"
"In post","2021","60-64","National Crime Agency","National Crime Agency","Male","220","205","43080","40210"
"In post","2021","60-64","National Records of Scotland","Scottish Government","Female","15","15","[c]","[c]"
"In post","2021","60-64","National Records of Scotland","Scottish Government","Male","25","25","[c]","[c]"
"In post","2021","60-64","National Savings and Investments","Chancellor's other departments","Female","5","5","[c]","[c]"
"In post","2021","60-64","National Savings and Investments","Chancellor's other departments","Male","5","5","[c]","[c]"
"In post","2021","60-64","Northern Ireland Office","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Northern Ireland Office","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Office for Budget Responsibility","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Office for Budget Responsibility","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Female","90","85","50250","51360"
"In post","2021","60-64","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Male","40","35","61870","75500"
"In post","2021","60-64","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Female","10","10","[c]","[c]"
"In post","2021","60-64","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Male","20","20","[c]","[c]"
"In post","2021","60-64","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Female","5","5","[c]","[c]"
"In post","2021","60-64","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Male","5","5","[c]","[c]"
"In post","2021","60-64","Office of Rail and Road","Office of Rail and Road","Female","10","10","[c]","[c]"
"In post","2021","60-64","Office of Rail and Road","Office of Rail and Road","Male","15","10","[c]","[c]"
"In post","2021","60-64","Office of the Public Guardian","Ministry of Justice","Female","40","30","22880","20530"
"In post","2021","60-64","Office of the Public Guardian","Ministry of Justice","Male","35","30","21060","19930"
"In post","2021","60-64","Office of the Scottish Charity Regulator","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Office of the Scottish Charity Regulator","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Female","20","15","[c]","[c]"
"In post","2021","60-64","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Male","45","35","51700","58810"
"In post","2021","60-64","Public Health England","Department of Health and Social Care","Female","295","240","48330","37890"
"In post","2021","60-64","Public Health England","Department of Health and Social Care","Male","145","135","66140","52610"
"In post","2021","60-64","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Registers of Scotland","Scottish Government","Female","40","30","28790","30080"
"In post","2021","60-64","Registers of Scotland","Scottish Government","Male","30","25","[c]","[c]"
"In post","2021","60-64","Revenue Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Revenue Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Royal Fleet Auxiliary","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Royal Fleet Auxiliary","Ministry of Defence","Male","115","115","40150","37300"
"In post","2021","60-64","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Female","115","95","25570","21050"
"In post","2021","60-64","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Male","80","75","28660","25950"
"In post","2021","60-64","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Scottish Courts and Tribunals Service","Scottish Government","Female","120","95","25610","22820"
"In post","2021","60-64","Scottish Courts and Tribunals Service","Scottish Government","Male","80","65","29060","22820"
"In post","2021","60-64","Scottish Fiscal Commission","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Scottish Fiscal Commission","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Scottish Forestry","Scottish Government","Female","5","5","[c]","[c]"
"In post","2021","60-64","Scottish Forestry","Scottish Government","Male","5","5","[c]","[c]"
"In post","2021","60-64","Scottish Government (excl. agencies)","Scottish Government","Female","155","135","43910","35110"
"In post","2021","60-64","Scottish Government (excl. agencies)","Scottish Government","Male","225","200","45400","39660"
"In post","2021","60-64","Scottish Housing Regulator","Scottish Government","Female","5","5","[c]","[c]"
"In post","2021","60-64","Scottish Housing Regulator","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Scottish Prison Service","Scottish Government","Female","60","45","30810","25870"
"In post","2021","60-64","Scottish Prison Service","Scottish Government","Male","315","205","34550","33650"
"In post","2021","60-64","Scottish Public Pensions Agency","Scottish Government","Female","20","15","[c]","[c]"
"In post","2021","60-64","Scottish Public Pensions Agency","Scottish Government","Male","10","10","[c]","[c]"
"In post","2021","60-64","Serious Fraud Office","Attorney General's Departments","Female","5","5","[c]","[c]"
"In post","2021","60-64","Serious Fraud Office","Attorney General's Departments","Male","15","15","[c]","[c]"
"In post","2021","60-64","Social Security Scotland","Scottish Government","Female","10","10","[c]","[c]"
"In post","2021","60-64","Social Security Scotland","Scottish Government","Male","15","15","[c]","[c]"
"In post","2021","60-64","Standards and Testing Agency","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Standards and Testing Agency","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Student Awards Agency for Scotland","Scottish Government","Female","10","5","[c]","[c]"
"In post","2021","60-64","Student Awards Agency for Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
