"Status","Year","Ethnicity","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Chinese","Northern Ireland Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Northern Ireland Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Northern Ireland Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Northern Ireland Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Budget Responsibility","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Budget Responsibility","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Standards in Education, Children's Services and Skills","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Standards in Education, Children's Services and Skills","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Standards in Education, Children's Services and Skills","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Standards in Education, Children's Services and Skills","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Standards in Education, Children's Services and Skills","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Standards in Education, Children's Services and Skills","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Standards in Education, Children's Services and Skills","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Standards in Education, Children's Services and Skills","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Standards in Education, Children's Services and Skills","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Standards in Education, Children's Services and Skills","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Standards in Education, Children's Services and Skills","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Gas and Electricity Markets","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Gas and Electricity Markets","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Gas and Electricity Markets","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Gas and Electricity Markets","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Gas and Electricity Markets","Other","5","5","[c]","[c]"
"In post","2021","Chinese","Office of Gas and Electricity Markets","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Gas and Electricity Markets","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Gas and Electricity Markets","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Qualifications and Examinations Regulation","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Qualifications and Examinations Regulation","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Qualifications and Examinations Regulation","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Qualifications and Examinations Regulation","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Qualifications and Examinations Regulation","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Qualifications and Examinations Regulation","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Qualifications and Examinations Regulation","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Qualifications and Examinations Regulation","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Qualifications and Examinations Regulation","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Qualifications and Examinations Regulation","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Rail and Road","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Rail and Road","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Rail and Road","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Rail and Road","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Rail and Road","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Rail and Road","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Rail and Road","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Rail and Road","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Rail and Road","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of the Public Guardian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of the Public Guardian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of the Public Guardian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of the Public Guardian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of the Public Guardian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of the Public Guardian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of the Public Guardian","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of the Public Guardian","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of the Public Guardian","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of the Public Guardian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of the Public Guardian","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectorate","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectorate","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectorate","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectorate","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectorate","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectorate","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectorate","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectorate","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectorate","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectorate","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectorate","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectorate","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectorate","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Public Health England","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Public Health England","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Public Health England","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Public Health England","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Public Health England","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Public Health England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Public Health England","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","Chinese","Public Health England","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Public Health England","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Public Health England","Operational Delivery","10","10","[c]","[c]"
"In post","2021","Chinese","Public Health England","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Public Health England","Science and Engineering","20","20","[c]","[c]"
"In post","2021","Chinese","Public Health England","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Queen Elizabeth II Centre","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Queen Elizabeth II Centre","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Queen Elizabeth II Centre","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Queen Elizabeth II Centre","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Queen Elizabeth II Centre","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Queen Elizabeth II Centre","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Queen Elizabeth II Centre","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Queen Elizabeth II Centre","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Registers of Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Registers of Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Registers of Scotland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Registers of Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Registers of Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Registers of Scotland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Registers of Scotland","Operational Delivery","5","5","[c]","[c]"
"In post","2021","Chinese","Registers of Scotland","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Registers of Scotland","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Registers of Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Registers of Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Registers of Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Registers of Scotland","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Revenue Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Royal Fleet Auxiliary","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Rural Payments Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Rural Payments Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Rural Payments Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scotland Office (incl. Office of the Advocate General for Scotland)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scotland Office (incl. Office of the Advocate General for Scotland)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scotland Office (incl. Office of the Advocate General for Scotland)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scotland Office (incl. Office of the Advocate General for Scotland)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scotland Office (incl. Office of the Advocate General for Scotland)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Courts and Tribunals Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Courts and Tribunals Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Courts and Tribunals Service","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Courts and Tribunals Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Courts and Tribunals Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Courts and Tribunals Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Fiscal Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Forestry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Government (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2021","Chinese","Scottish Housing Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Prison Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Prison Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Prison Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Prison Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Prison Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Prison Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Prison Service","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Prison Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Prison Service","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Prison Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Prison Service","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Public Pensions Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Serious Fraud Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Serious Fraud Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Serious Fraud Office","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Serious Fraud Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Serious Fraud Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Serious Fraud Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Serious Fraud Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Serious Fraud Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Serious Fraud Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Serious Fraud Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Serious Fraud Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Serious Fraud Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Serious Fraud Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Serious Fraud Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Social Security Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Standards and Testing Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Standards and Testing Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Standards and Testing Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Student Awards Agency for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Submarine Delivery Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Submarine Delivery Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Submarine Delivery Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Submarine Delivery Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Submarine Delivery Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Submarine Delivery Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Submarine Delivery Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Submarine Delivery Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Submarine Delivery Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Submarine Delivery Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Submarine Delivery Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Submarine Delivery Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Submarine Delivery Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Teaching Regulation Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Teaching Regulation Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","The National Archives","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","The National Archives","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","The National Archives","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","The National Archives","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","The National Archives","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","The National Archives","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","The National Archives","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","The National Archives","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","The National Archives","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","The National Archives","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Transport Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Export Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Export Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Export Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Export Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Export Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Export Finance","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Export Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Export Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Export Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Export Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Export Finance","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Hydrographic Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Hydrographic Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Hydrographic Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Hydrographic Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Hydrographic Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Hydrographic Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Hydrographic Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Hydrographic Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Hydrographic Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Hydrographic Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Hydrographic Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Hydrographic Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Intellectual Property Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Intellectual Property Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Intellectual Property Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Intellectual Property Office","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Intellectual Property Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Intellectual Property Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Intellectual Property Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Intellectual Property Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Intellectual Property Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Intellectual Property Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Intellectual Property Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Intellectual Property Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Intellectual Property Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Intellectual Property Office","Science and Engineering","5","5","[c]","[c]"
"In post","2021","Chinese","UK Intellectual Property Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Intellectual Property Office","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Space Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Space Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Space Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Space Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Space Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Space Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Space Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Supreme Court","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Supreme Court","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Supreme Court","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Supreme Court","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Supreme Court","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Supreme Court","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","United Kingdom Statistics Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","United Kingdom Statistics Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","United Kingdom Statistics Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","United Kingdom Statistics Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","United Kingdom Statistics Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","United Kingdom Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","United Kingdom Statistics Authority","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","United Kingdom Statistics Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","United Kingdom Statistics Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","United Kingdom Statistics Authority","Operational Delivery","10","5","[c]","[c]"
"In post","2021","Chinese","United Kingdom Statistics Authority","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","United Kingdom Statistics Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","United Kingdom Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","United Kingdom Statistics Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","United Kingdom Statistics Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","United Kingdom Statistics Authority","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","United Kingdom Statistics Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Valuation Office Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Valuation Office Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Valuation Office Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Valuation Office Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Valuation Office Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Valuation Office Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Valuation Office Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Valuation Office Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Valuation Office Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Valuation Office Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Valuation Office Agency","Property","10","10","[c]","[c]"
"In post","2021","Chinese","Valuation Office Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Valuation Office Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Vehicle Certification Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Vehicle Certification Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Vehicle Certification Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Vehicle Certification Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Vehicle Certification Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Vehicle Certification Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Vehicle Certification Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Veterinary Medicines Directorate","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Veterinary Medicines Directorate","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Veterinary Medicines Directorate","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Veterinary Medicines Directorate","Other","[c]","[c]","[c]","[c]"
