"Status","Year","Age","Function_of_post","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","40-49","Human Resources","Serious Fraud Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","Serious Fraud Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","Submarine Delivery Agency","Female","50","45","40870","39860"
"In post","2021","40-49","Human Resources","Submarine Delivery Agency","Male","15","15","[c]","[c]"
"In post","2021","40-49","Human Resources","The National Archives","Female","5","5","[c]","[c]"
"In post","2021","40-49","Human Resources","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","UK Hydrographic Office","Female","5","5","[c]","[c]"
"In post","2021","40-49","Human Resources","UK Hydrographic Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","UK Intellectual Property Office","Female","10","10","[c]","[c]"
"In post","2021","40-49","Human Resources","UK Intellectual Property Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","UK Space Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","UK Space Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","United Kingdom Statistics Authority","Female","30","30","38570","36030"
"In post","2021","40-49","Human Resources","United Kingdom Statistics Authority","Male","15","15","[c]","[c]"
"In post","2021","40-49","Human Resources","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","Valuation Office Agency","Female","20","20","[c]","[c]"
"In post","2021","40-49","Human Resources","Valuation Office Agency","Male","5","5","[c]","[c]"
"In post","2021","40-49","Human Resources","Vehicle Certification Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","Vehicle Certification Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","Water Services Regulation Authority","Female","5","5","[c]","[c]"
"In post","2021","40-49","Human Resources","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","Welsh Revenue Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","Welsh Revenue Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","Wilton Park","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","Wilton Park","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2021","40-49","Internal Audit","Government Internal Audit Agency","Female","45","45","50820","46280"
"In post","2021","40-49","Internal Audit","Government Internal Audit Agency","Male","50","50","53330","49750"
"In post","2021","40-49","Internal Audit","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","HM Prison and Probation Service","Female","10","10","[c]","[c]"
"In post","2021","40-49","Internal Audit","HM Prison and Probation Service","Male","10","10","[c]","[c]"
"In post","2021","40-49","Internal Audit","HM Revenue and Customs (excl. agencies)","Female","10","10","[c]","[c]"
"In post","2021","40-49","Internal Audit","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","Institute for Apprenticeships and Technical Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","Maritime and Coastguard Agency","Female","5","5","[c]","[c]"
"In post","2021","40-49","Internal Audit","Maritime and Coastguard Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","Ministry of Defence (excl. agencies)","Female","15","15","[c]","[c]"
"In post","2021","40-49","Internal Audit","Ministry of Defence (excl. agencies)","Male","10","10","[c]","[c]"
"In post","2021","40-49","Internal Audit","Scottish Prison Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","Scottish Prison Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","UK Hydrographic Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","UK Hydrographic Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Attorney General's Office","Female","5","5","[c]","[c]"
"In post","2021","40-49","Legal","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Cabinet Office (excl. agencies)","Female","10","5","[c]","[c]"
"In post","2021","40-49","Legal","Cabinet Office (excl. agencies)","Male","10","10","[c]","[c]"
"In post","2021","40-49","Legal","Charity Commission","Female","5","5","[c]","[c]"
"In post","2021","40-49","Legal","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Companies House","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Companies House","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Competition and Markets Authority","Female","25","20","[c]","[c]"
"In post","2021","40-49","Legal","Competition and Markets Authority","Male","20","20","[c]","[c]"
"In post","2021","40-49","Legal","Criminal Injuries Compensation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Criminal Injuries Compensation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Crown Office and Procurator Fiscal Service","Female","130","115","59650","59480"
"In post","2021","40-49","Legal","Crown Office and Procurator Fiscal Service","Male","40","40","60900","59480"
"In post","2021","40-49","Legal","Crown Prosecution Service","Female","1210","1060","43270","48080"
"In post","2021","40-49","Legal","Crown Prosecution Service","Male","560","555","44870","48830"
"In post","2021","40-49","Legal","Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Debt Management Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Defence Science and Technology Laboratory","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Defence Science and Technology Laboratory","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Department for Education (excl. agencies)","Female","15","15","[c]","[c]"
"In post","2021","40-49","Legal","Department for Education (excl. agencies)","Male","10","10","[c]","[c]"
"In post","2021","40-49","Legal","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","FCDO Services","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","FCDO Services","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","Female","15","15","[c]","[c]"
"In post","2021","40-49","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","Male","10","10","[c]","[c]"
"In post","2021","40-49","Legal","Government Legal Department","Female","465","400","60150","64030"
"In post","2021","40-49","Legal","Government Legal Department","Male","210","205","62140","65680"
"In post","2021","40-49","Legal","Health and Safety Executive","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Health and Safety Executive","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","HM Courts and Tribunals Service","Female","275","240","42010","41440"
"In post","2021","40-49","Legal","HM Courts and Tribunals Service","Male","65","60","42440","42320"
"In post","2021","40-49","Legal","HM Land Registry","Female","40","35","50910","60520"
"In post","2021","40-49","Legal","HM Land Registry","Male","20","20","[c]","[c]"
"In post","2021","40-49","Legal","HM Revenue and Customs (excl. agencies)","Female","155","140","42280","33530"
"In post","2021","40-49","Legal","HM Revenue and Customs (excl. agencies)","Male","135","135","40950","32060"
"In post","2021","40-49","Legal","Insolvency Service","Female","10","10","[c]","[c]"
"In post","2021","40-49","Legal","Insolvency Service","Male","5","5","[c]","[c]"
"In post","2021","40-49","Legal","Institute for Apprenticeships and Technical Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Legal Aid Agency","Female","10","10","[c]","[c]"
"In post","2021","40-49","Legal","Legal Aid Agency","Male","15","15","[c]","[c]"
"In post","2021","40-49","Legal","Maritime and Coastguard Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Maritime and Coastguard Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Met Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Met Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Ministry of Justice (excl. agencies)","Female","10","10","[c]","[c]"
"In post","2021","40-49","Legal","Ministry of Justice (excl. agencies)","Male","15","15","[c]","[c]"
"In post","2021","40-49","Legal","National Crime Agency","Female","10","5","[c]","[c]"
"In post","2021","40-49","Legal","National Crime Agency","Male","5","5","[c]","[c]"
"In post","2021","40-49","Legal","Office for Standards in Education, Children's Services and Skills","Female","5","5","[c]","[c]"
"In post","2021","40-49","Legal","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Office of Gas and Electricity Markets","Female","10","10","[c]","[c]"
"In post","2021","40-49","Legal","Office of Gas and Electricity Markets","Male","10","10","[c]","[c]"
"In post","2021","40-49","Legal","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Office of the Public Guardian","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Office of the Public Guardian","Male","5","5","[c]","[c]"
"In post","2021","40-49","Legal","Public Health England","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Public Health England","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Registers of Scotland","Female","5","5","[c]","[c]"
"In post","2021","40-49","Legal","Registers of Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Scottish Courts and Tribunals Service","Female","245","215","28880","29350"
"In post","2021","40-49","Legal","Scottish Courts and Tribunals Service","Male","85","85","29890","29350"
"In post","2021","40-49","Legal","Scottish Prison Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Scottish Prison Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Serious Fraud Office","Female","15","15","[c]","[c]"
"In post","2021","40-49","Legal","Serious Fraud Office","Male","5","5","[c]","[c]"
"In post","2021","40-49","Legal","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","UK Hydrographic Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","UK Hydrographic Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","UK Intellectual Property Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","UK Intellectual Property Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Water Services Regulation Authority","Female","5","5","[c]","[c]"
"In post","2021","40-49","Legal","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","No function","Advisory, Conciliation and Arbitration Service","Female","125","115","29730","30950"
"In post","2021","40-49","No function","Advisory, Conciliation and Arbitration Service","Male","70","70","31330","30950"
"In post","2021","40-49","No function","Animal and Plant Health Agency","Female","400","360","32050","29180"
"In post","2021","40-49","No function","Animal and Plant Health Agency","Male","245","240","32560","30450"
"In post","2021","40-49","No function","Cabinet Office (excl. agencies)","Female","230","220","55390","54700"
"In post","2021","40-49","No function","Cabinet Office (excl. agencies)","Male","205","205","59800","56580"
"In post","2021","40-49","No function","Centre for Environment, Fisheries and Aquaculture Science","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","No function","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","No function","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","No function","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","No function","Companies House","Female","65","55","27720","22490"
"In post","2021","40-49","No function","Companies House","Male","55","55","26820","24620"
"In post","2021","40-49","No function","Criminal Injuries Compensation Authority","Female","45","40","26100","22640"
"In post","2021","40-49","No function","Criminal Injuries Compensation Authority","Male","35","30","25790","22720"
"In post","2021","40-49","No function","Crown Commercial Service","Female","25","20","[c]","[c]"
"In post","2021","40-49","No function","Crown Commercial Service","Male","20","20","[c]","[c]"
"In post","2021","40-49","No function","Crown Office and Procurator Fiscal Service","Female","195","175","28010","26570"
"In post","2021","40-49","No function","Crown Office and Procurator Fiscal Service","Male","45","45","31100","26570"
"In post","2021","40-49","No function","Defence Science and Technology Laboratory","Female","180","160","44130","46080"
"In post","2021","40-49","No function","Defence Science and Technology Laboratory","Male","400","400","45710","46090"
"In post","2021","40-49","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","410","375","55990","53750"
"In post","2021","40-49","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","410","410","58140","55650"
"In post","2021","40-49","No function","Department for Digital, Culture, Media and Sport","Female","90","85","58780","53390"
"In post","2021","40-49","No function","Department for Digital, Culture, Media and Sport","Male","80","80","57000","54990"
"In post","2021","40-49","No function","Department for Education (excl. agencies)","Female","390","350","47840","49860"
"In post","2021","40-49","No function","Department for Education (excl. agencies)","Male","200","200","47800","49860"
"In post","2021","40-49","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","370","335","49050","48370"
"In post","2021","40-49","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","285","285","50570","49690"
"In post","2021","40-49","No function","Department for International Trade","Female","140","135","50960","51970"
"In post","2021","40-49","No function","Department for International Trade","Male","170","170","53700","51970"
"In post","2021","40-49","No function","Department for Transport (excl. agencies)","Female","185","175","52560","54110"
"In post","2021","40-49","No function","Department for Transport (excl. agencies)","Male","265","265","57000","54760"
"In post","2021","40-49","No function","Department of Health and Social Care (excl. agencies)","Female","240","220","52230","51310"
"In post","2021","40-49","No function","Department of Health and Social Care (excl. agencies)","Male","170","165","60170","53740"
"In post","2021","40-49","No function","Driver and Vehicle Licensing Agency","Female","695","585","23290","21590"
"In post","2021","40-49","No function","Driver and Vehicle Licensing Agency","Male","400","390","24440","21590"
"In post","2021","40-49","No function","Driver and Vehicle Standards Agency","Female","275","250","27440","26700"
"In post","2021","40-49","No function","Driver and Vehicle Standards Agency","Male","675","675","29290","27680"
"In post","2021","40-49","No function","Education and Skills Funding Agency","Female","230","215","43550","39490"
"In post","2021","40-49","No function","Education and Skills Funding Agency","Male","160","160","46240","49860"
"In post","2021","40-49","No function","ESTYN","Female","15","15","[c]","[c]"
"In post","2021","40-49","No function","ESTYN","Male","10","10","[c]","[c]"
"In post","2021","40-49","No function","Food Standards Agency","Female","105","100","41160","38530"
"In post","2021","40-49","No function","Food Standards Agency","Male","150","150","36990","30810"
"In post","2021","40-49","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Female","450","435","52330","54470"
"In post","2021","40-49","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Male","525","520","53490","54530"
"In post","2021","40-49","No function","Health and Safety Executive","Female","300","270","42500","41480"
"In post","2021","40-49","No function","Health and Safety Executive","Male","280","275","50370","46320"
"In post","2021","40-49","No function","HM Courts and Tribunals Service","Female","2290","1945","22820","20650"
"In post","2021","40-49","No function","HM Courts and Tribunals Service","Male","850","835","23590","21180"
"In post","2021","40-49","No function","HM Land Registry","Female","615","550","28710","27130"
"In post","2021","40-49","No function","HM Land Registry","Male","280","275","29890","27130"
"In post","2021","40-49","No function","HM Prison and Probation Service","Female","5700","5255","31790","30400"
"In post","2021","40-49","No function","HM Prison and Probation Service","Male","5355","5275","32090","31650"
"In post","2021","40-49","No function","HM Revenue and Customs (excl. agencies)","Female","3685","3175","27960","25560"
"In post","2021","40-49","No function","HM Revenue and Customs (excl. agencies)","Male","2965","2895","29910","25560"
"In post","2021","40-49","No function","HM Treasury (excl. agencies)","Female","85","75","57790","63000"
"In post","2021","40-49","No function","HM Treasury (excl. agencies)","Male","70","70","67970","70200"
"In post","2021","40-49","No function","Insolvency Service","Female","215","195","30310","26290"
"In post","2021","40-49","No function","Insolvency Service","Male","120","120","30440","27500"
"In post","2021","40-49","No function","Institute for Apprenticeships and Technical Education","Female","25","25","[c]","[c]"
"In post","2021","40-49","No function","Institute for Apprenticeships and Technical Education","Male","20","20","[c]","[c]"
"In post","2021","40-49","No function","Legal Aid Agency","Female","130","115","26010","21170"
"In post","2021","40-49","No function","Legal Aid Agency","Male","95","95","26980","22570"
"In post","2021","40-49","No function","Maritime and Coastguard Agency","Female","85","80","35200","31780"
"In post","2021","40-49","No function","Maritime and Coastguard Agency","Male","170","170","41180","36180"
"In post","2021","40-49","No function","Met Office","Female","15","10","[c]","[c]"
"In post","2021","40-49","No function","Met Office","Male","50","50","42650","42200"
"In post","2021","40-49","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","Female","220","200","48840","43540"
"In post","2021","40-49","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","Male","175","175","53210","53130"
"In post","2021","40-49","No function","Ministry of Justice (excl. agencies)","Female","270","250","42840","36800"
"In post","2021","40-49","No function","Ministry of Justice (excl. agencies)","Male","145","145","41240","36800"
"In post","2021","40-49","No function","National Crime Agency","Female","560","525","39510","37860"
"In post","2021","40-49","No function","National Crime Agency","Male","585","585","44570","42640"
"In post","2021","40-49","No function","National Infrastructure Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","No function","National Infrastructure Commission","Male","5","5","[c]","[c]"
"In post","2021","40-49","No function","National Savings and Investments","Female","20","20","[c]","[c]"
"In post","2021","40-49","No function","National Savings and Investments","Male","15","15","[c]","[c]"
"In post","2021","40-49","No function","Northern Ireland Office","Female","15","15","[c]","[c]"
"In post","2021","40-49","No function","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","No function","Office for Standards in Education, Children's Services and Skills","Female","265","250","52410","51360"
"In post","2021","40-49","No function","Office for Standards in Education, Children's Services and Skills","Male","125","125","57230","64500"
"In post","2021","40-49","No function","Office of Gas and Electricity Markets","Female","65","65","50350","46390"
"In post","2021","40-49","No function","Office of Gas and Electricity Markets","Male","95","90","54480","51510"
"In post","2021","40-49","No function","Office of Qualifications and Examinations Regulation","Female","35","35","43820","44660"
"In post","2021","40-49","No function","Office of Qualifications and Examinations Regulation","Male","25","25","[c]","[c]"
"In post","2021","40-49","No function","Office of Rail and Road","Female","25","25","[c]","[c]"
"In post","2021","40-49","No function","Office of Rail and Road","Male","25","20","[c]","[c]"
"In post","2021","40-49","No function","Office of the Public Guardian","Female","125","105","21880","20650"
"In post","2021","40-49","No function","Office of the Public Guardian","Male","120","115","23660","20650"
"In post","2021","40-49","No function","Planning Inspectorate","Female","95","85","42060","47660"
"In post","2021","40-49","No function","Planning Inspectorate","Male","110","105","45300","47660"
"In post","2021","40-49","No function","Public Health England","Female","1150","1010","45790","40890"
"In post","2021","40-49","No function","Public Health England","Male","475","460","51610","50370"
"In post","2021","40-49","No function","Registers of Scotland","Female","105","95","32780","30080"
"In post","2021","40-49","No function","Registers of Scotland","Male","120","120","31910","30080"
"In post","2021","40-49","No function","Scottish Prison Service","Female","265","255","32460","33650"
"In post","2021","40-49","No function","Scottish Prison Service","Male","425","420","32700","33650"
"In post","2021","40-49","No function","Serious Fraud Office","Female","10","10","[c]","[c]"
"In post","2021","40-49","No function","Serious Fraud Office","Male","5","5","[c]","[c]"
"In post","2021","40-49","No function","Standards and Testing Agency","Female","20","20","[c]","[c]"
"In post","2021","40-49","No function","Standards and Testing Agency","Male","15","15","[c]","[c]"
"In post","2021","40-49","No function","Teaching Regulation Agency","Female","10","5","[c]","[c]"
"In post","2021","40-49","No function","Teaching Regulation Agency","Male","5","5","[c]","[c]"
"In post","2021","40-49","No function","The National Archives","Female","50","45","37460","34960"
"In post","2021","40-49","No function","The National Archives","Male","35","35","36830","34770"
"In post","2021","40-49","No function","UK Hydrographic Office","Female","45","40","33310","28960"
"In post","2021","40-49","No function","UK Hydrographic Office","Male","90","90","36420","33290"
"In post","2021","40-49","No function","UK Intellectual Property Office","Female","140","120","34050","27080"
"In post","2021","40-49","No function","UK Intellectual Property Office","Male","155","145","46530","57530"
"In post","2021","40-49","No function","United Kingdom Statistics Authority","Female","290","250","28660","23520"
"In post","2021","40-49","No function","United Kingdom Statistics Authority","Male","155","140","30840","29540"
"In post","2021","40-49","No function","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","No function","Vehicle Certification Agency","Female","15","10","[c]","[c]"
"In post","2021","40-49","No function","Vehicle Certification Agency","Male","25","25","[c]","[c]"
"In post","2021","40-49","No function","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","No function","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","No function","Water Services Regulation Authority","Female","25","25","[c]","[c]"
"In post","2021","40-49","No function","Water Services Regulation Authority","Male","25","25","[c]","[c]"
"In post","2021","40-49","Project Delivery","Advisory, Conciliation and Arbitration Service","Female","5","5","[c]","[c]"
"In post","2021","40-49","Project Delivery","Advisory, Conciliation and Arbitration Service","Male","5","5","[c]","[c]"
"In post","2021","40-49","Project Delivery","Animal and Plant Health Agency","Female","10","10","[c]","[c]"
"In post","2021","40-49","Project Delivery","Animal and Plant Health Agency","Male","5","5","[c]","[c]"
"In post","2021","40-49","Project Delivery","Cabinet Office (excl. agencies)","Female","25","25","[c]","[c]"
"In post","2021","40-49","Project Delivery","Cabinet Office (excl. agencies)","Male","20","20","[c]","[c]"
"In post","2021","40-49","Project Delivery","Centre for Environment, Fisheries and Aquaculture Science","Female","20","20","[c]","[c]"
"In post","2021","40-49","Project Delivery","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","Companies House","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","Companies House","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","Competition and Markets Authority","Female","55","50","72870","75140"
"In post","2021","40-49","Project Delivery","Competition and Markets Authority","Male","45","45","71550","74480"
"In post","2021","40-49","Project Delivery","Crown Commercial Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","Crown Commercial Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","Debt Management Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","Defence Electronics and Components Agency","Female","15","10","[c]","[c]"
"In post","2021","40-49","Project Delivery","Defence Electronics and Components Agency","Male","50","50","28350","27460"
"In post","2021","40-49","Project Delivery","Defence Equipment and Support","Female","650","605","38240","36730"
"In post","2021","40-49","Project Delivery","Defence Equipment and Support","Male","1190","1180","41720","40730"
"In post","2021","40-49","Project Delivery","Defence Science and Technology Laboratory","Female","140","125","40870","37320"
"In post","2021","40-49","Project Delivery","Defence Science and Technology Laboratory","Male","110","110","50120","46720"
"In post","2021","40-49","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","10","5","[c]","[c]"
"In post","2021","40-49","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2021","40-49","Project Delivery","Department for Digital, Culture, Media and Sport","Female","25","25","[c]","[c]"
"In post","2021","40-49","Project Delivery","Department for Digital, Culture, Media and Sport","Male","15","15","[c]","[c]"
"In post","2021","40-49","Project Delivery","Department for Education (excl. agencies)","Female","80","75","50120","50630"
"In post","2021","40-49","Project Delivery","Department for Education (excl. agencies)","Male","70","70","55410","56260"
"In post","2021","40-49","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","45","40","47420","48430"
"In post","2021","40-49","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","30","30","43580","38380"
"In post","2021","40-49","Project Delivery","Department for International Trade","Female","5","5","[c]","[c]"
"In post","2021","40-49","Project Delivery","Department for International Trade","Male","5","5","[c]","[c]"
"In post","2021","40-49","Project Delivery","Department for Transport (excl. agencies)","Female","45","40","57060","54760"
"In post","2021","40-49","Project Delivery","Department for Transport (excl. agencies)","Male","75","70","60920","58630"
"In post","2021","40-49","Project Delivery","Department of Health and Social Care (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","Department of Health and Social Care (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","Driver and Vehicle Licensing Agency","Female","10","10","[c]","[c]"
"In post","2021","40-49","Project Delivery","Driver and Vehicle Licensing Agency","Male","20","20","[c]","[c]"
"In post","2021","40-49","Project Delivery","Driver and Vehicle Standards Agency","Female","20","20","[c]","[c]"
"In post","2021","40-49","Project Delivery","Driver and Vehicle Standards Agency","Male","15","15","[c]","[c]"
"In post","2021","40-49","Project Delivery","Education and Skills Funding Agency","Female","10","10","[c]","[c]"
"In post","2021","40-49","Project Delivery","Education and Skills Funding Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","FCDO Services","Female","10","10","[c]","[c]"
