"Status","Year","Function_of_post","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Conwy and Denbighshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Coventry","Outside London","Female","20","20","[c]","[c]"
"In post","2021","Commercial","Coventry","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Commercial","Croydon","London","Female","75","70","46880","45070"
"In post","2021","Commercial","Croydon","London","Male","50","50","50860","53880"
"In post","2021","Commercial","Darlington","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Darlington","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Derby","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derby","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon CC","Outside London","Female","100","95","40920","38340"
"In post","2021","Commercial","Devon CC","Outside London","Male","95","95","45130","47680"
"In post","2021","Commercial","Dorset CC","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Dorset CC","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Dudley","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dudley","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Durham CC","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Durham CC","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Commercial","East Cumbria","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Cumbria","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Commercial","East Kent","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Kent","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Lancashire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Lancashire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Merseyside","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Commercial","East Merseyside","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Riding of Yorkshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Riding of Yorkshire","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Commercial","East Surrey","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Surrey","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Sussex CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Sussex CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Enfield","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Enfield","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex Haven Gateway","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex Haven Gateway","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Falkirk","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Falkirk","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Fermanagh and Omagh","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Fermanagh and Omagh","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Flintshire and Wrexham","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Flintshire and Wrexham","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Commercial","Glasgow City","Outside London","Female","60","55","37260","33300"
"In post","2021","Commercial","Glasgow City","Outside London","Male","95","95","38460","34800"
"In post","2021","Commercial","Gloucestershire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North East","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North East","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North West","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North West","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South East","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South East","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South West","Outside London","Female","70","65","44480","38630"
"In post","2021","Commercial","Greater Manchester South West","Outside London","Male","85","85","44880","38630"
"In post","2021","Commercial","Gwynedd","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gwynedd","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hackney and Newham","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hackney and Newham","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Haringey and Islington","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Haringey and Islington","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Harrow and Hillingdon","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Harrow and Hillingdon","London","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Hartlepool and Stockton-on-Tees","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hartlepool and Stockton-on-Tees","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Heart of Essex","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heart of Essex","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, County of","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Herefordshire, County of","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hertfordshire","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Hertfordshire","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","London","Female","25","25","[c]","[c]"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","London","Male","30","30","[c]","[c]"
"In post","2021","Commercial","Inverclyde, East Renfrewshire and Renfrewshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inverclyde, East Renfrewshire and Renfrewshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inverness and Nairn and Moray, Badenoch and Strathspey","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inverness and Nairn and Moray, Badenoch and Strathspey","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Anglesey","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Anglesey","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Wight","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Wight","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Kensington & Chelsea and Hammersmith & Fulham","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kensington & Chelsea and Hammersmith & Fulham","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent Thames Gateway","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Kent Thames Gateway","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kingston upon Hull, City of","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Kingston upon Hull, City of","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lambeth","London","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Lambeth","London","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Lancaster and Wyre","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Lancaster and Wyre","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leeds","Outside London","Female","155","150","45790","38570"
"In post","2021","Commercial","Leeds","Outside London","Male","100","100","47710","46550"
"In post","2021","Commercial","Leicester","Outside London","Female","10","10","[c]","[c]"
