"Status","Year","Disability","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Human Resources","Herefordshire, Worcestershire and Warwickshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Inner London - East","40","40","51180","47550"
"In post","2021","Declared disabled","Human Resources","Inner London - West","220","210","47430","41780"
"In post","2021","Declared disabled","Human Resources","Kent","5","5","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Lancashire","30","25","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Lincolnshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Merseyside","35","35","41260","34450"
"In post","2021","Declared disabled","Human Resources","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","North Yorkshire","15","15","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Northumberland and Tyne and Wear","5","5","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Outer London - South","40","35","46600","45070"
"In post","2021","Declared disabled","Human Resources","Outer London - West and North West","5","5","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Shropshire and Staffordshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","South Yorkshire","15","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Southern Scotland","15","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","West Central Scotland","55","50","24510","21580"
"In post","2021","Declared disabled","Human Resources","West Midlands","10","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","West Wales and The Valleys","20","20","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","West Yorkshire","40","40","41350","39030"
"In post","2021","Declared disabled","Inspector of Education and Training","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","East Anglia","10","10","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","East Wales","5","5","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Greater Manchester","10","5","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Inner London - West","15","15","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","North Yorkshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","West Midlands","5","5","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","East Anglia","35","35","31640","33300"
"In post","2021","Declared disabled","Intelligence Analysis","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Greater Manchester","15","15","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Hampshire and Isle of Wight","5","5","[c]","[c]"
