"Status","Year","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Unknown","EO","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","EO","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G6","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G6","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G6","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G6","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G7","Heterosexual / straight","30","[c]","54660","54600"
"Leaver Dept.","2021","Unknown","G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G7","Undeclared","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G7","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","HEO","Heterosexual / straight","155","[c]","32420","32000"
"Leaver Dept.","2021","Unknown","HEO","LGBO","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","HEO","Undeclared","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","HEO","Unknown","345","[c]","31000","32000"
"Leaver Dept.","2021","Unknown","SCS level","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS level","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2021","London","AA","Heterosexual / straight","135","[c]","22260","22210"
"New entrant CS","2021","London","AA","LGBO","15","[c]","[c]","[c]"
"New entrant CS","2021","London","AA","Undeclared","15","[c]","[c]","[c]"
"New entrant CS","2021","London","AA","Unknown","150","[c]","20810","19060"
"New entrant CS","2021","London","AO","Heterosexual / straight","1175","[c]","24580","25110"
"New entrant CS","2021","London","AO","LGBO","100","[c]","24930","25110"
"New entrant CS","2021","London","AO","Undeclared","95","[c]","24310","24220"
"New entrant CS","2021","London","AO","Unknown","820","[c]","24620","23090"
"New entrant CS","2021","London","EO","Heterosexual / straight","3240","[c]","29860","31060"
"New entrant CS","2021","London","EO","LGBO","350","[c]","29290","31060"
"New entrant CS","2021","London","EO","Undeclared","275","[c]","29170","31060"
"New entrant CS","2021","London","EO","Unknown","1095","[c]","28680","28650"
"New entrant CS","2021","London","G6","Heterosexual / straight","180","[c]","68700","66830"
"New entrant CS","2021","London","G6","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2021","London","G6","Undeclared","30","[c]","69380","68000"
"New entrant CS","2021","London","G6","Unknown","160","[c]","71830","66800"
"New entrant CS","2021","London","G7","Heterosexual / straight","830","[c]","55390","54110"
"New entrant CS","2021","London","G7","LGBO","90","[c]","55430","53380"
"New entrant CS","2021","London","G7","Undeclared","90","[c]","56570","54700"
"New entrant CS","2021","London","G7","Unknown","455","[c]","56260","55000"
"New entrant CS","2021","London","HEO","Heterosexual / straight","1900","[c]","33930","33570"
"New entrant CS","2021","London","HEO","LGBO","260","[c]","33460","33570"
"New entrant CS","2021","London","HEO","Undeclared","255","[c]","33400","32790"
"New entrant CS","2021","London","HEO","Unknown","1310","[c]","32180","32790"
"New entrant CS","2021","London","SCS level","Heterosexual / straight","125","[c]","95550","89920"
"New entrant CS","2021","London","SCS level","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2021","London","SCS level","Undeclared","15","[c]","[c]","[c]"
"New entrant CS","2021","London","SCS level","Unknown","185","[c]","88270","74000"
"New entrant CS","2021","London","SEO","Heterosexual / straight","830","[c]","41290","40450"
"New entrant CS","2021","London","SEO","LGBO","90","[c]","40380","40070"
"New entrant CS","2021","London","SEO","Undeclared","105","[c]","40590","40070"
"New entrant CS","2021","London","SEO","Unknown","450","[c]","41250","40650"
"New entrant CS","2021","London","Unknown","Heterosexual / straight","170","[c]","26700","26810"
"New entrant CS","2021","London","Unknown","LGBO","15","[c]","[c]","[c]"
"New entrant CS","2021","London","Unknown","Undeclared","10","[c]","[c]","[c]"
"New entrant CS","2021","London","Unknown","Unknown","75","[c]","25630","26810"
"New entrant CS","2021","Outside London","AA","Heterosexual / straight","1310","[c]","19560","20060"
"New entrant CS","2021","Outside London","AA","LGBO","135","[c]","19460","20060"
"New entrant CS","2021","Outside London","AA","Undeclared","80","[c]","19520","20060"
"New entrant CS","2021","Outside London","AA","Unknown","1005","[c]","19580","20060"
"New entrant CS","2021","Outside London","AO","Heterosexual / straight","8650","[c]","21560","21010"
"New entrant CS","2021","Outside London","AO","LGBO","880","[c]","21380","21010"
"New entrant CS","2021","Outside London","AO","Undeclared","570","[c]","21150","21010"
"New entrant CS","2021","Outside London","AO","Unknown","5325","[c]","21320","20800"
"New entrant CS","2021","Outside London","EO","Heterosexual / straight","9010","[c]","27230","27570"
"New entrant CS","2021","Outside London","EO","LGBO","1020","[c]","27160","27570"
"New entrant CS","2021","Outside London","EO","Undeclared","540","[c]","26960","27570"
"New entrant CS","2021","Outside London","EO","Unknown","2915","[c]","25840","25560"
"New entrant CS","2021","Outside London","G6","Heterosexual / straight","170","[c]","68160","65410"
"New entrant CS","2021","Outside London","G6","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2021","Outside London","G6","Undeclared","20","[c]","[c]","[c]"
"New entrant CS","2021","Outside London","G6","Unknown","140","[c]","69940","66000"
"New entrant CS","2021","Outside London","G7","Heterosexual / straight","940","[c]","53820","52060"
"New entrant CS","2021","Outside London","G7","LGBO","40","[c]","53000","50370"
"New entrant CS","2021","Outside London","G7","Undeclared","80","[c]","54120","52590"
"New entrant CS","2021","Outside London","G7","Unknown","465","[c]","53170","50520"
"New entrant CS","2021","Outside London","HEO","Heterosexual / straight","2300","[c]","31570","31370"
"New entrant CS","2021","Outside London","HEO","LGBO","230","[c]","30470","30650"
"New entrant CS","2021","Outside London","HEO","Undeclared","165","[c]","31260","31000"
"New entrant CS","2021","Outside London","HEO","Unknown","1195","[c]","30820","30650"
"New entrant CS","2021","Outside London","SCS level","Heterosexual / straight","70","[c]","95940","92300"
"New entrant CS","2021","Outside London","SCS level","LGBO","5","[c]","[c]","[c]"
"New entrant CS","2021","Outside London","SCS level","Undeclared","15","[c]","[c]","[c]"
"New entrant CS","2021","Outside London","SCS level","Unknown","80","[c]","89580","76810"
"New entrant CS","2021","Outside London","SEO","Heterosexual / straight","1500","[c]","39230","38630"
"New entrant CS","2021","Outside London","SEO","LGBO","105","[c]","38860","38540"
"New entrant CS","2021","Outside London","SEO","Undeclared","115","[c]","38790","38640"
"New entrant CS","2021","Outside London","SEO","Unknown","625","[c]","39380","38610"
"New entrant CS","2021","Outside London","Unknown","Heterosexual / straight","920","[c]","25310","22920"
"New entrant CS","2021","Outside London","Unknown","LGBO","80","[c]","22610","22920"
"New entrant CS","2021","Outside London","Unknown","Undeclared","45","[c]","25270","22920"
"New entrant CS","2021","Outside London","Unknown","Unknown","375","[c]","22960","22920"
"New entrant CS","2021","Overseas","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","AO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","EO","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","G7","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","HEO","Heterosexual / straight","10","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","HEO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","HEO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","HEO","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","SEO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AO","Heterosexual / straight","65","[c]","21530","21010"
"New entrant CS","2021","Unknown","AO","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AO","Unknown","30","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","EO","Heterosexual / straight","140","[c]","27690","27570"
"New entrant CS","2021","Unknown","EO","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","EO","Undeclared","20","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","EO","Unknown","45","[c]","27000","27570"
"New entrant CS","2021","Unknown","G6","Heterosexual / straight","5","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G6","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G6","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G7","Heterosexual / straight","20","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G7","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G7","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G7","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","HEO","Heterosexual / straight","40","[c]","33640","32000"
"New entrant CS","2021","Unknown","HEO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","HEO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","HEO","Unknown","100","[c]","29000","28000"
"New entrant CS","2021","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SCS level","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SEO","Heterosexual / straight","25","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SEO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SEO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SEO","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Unknown","320","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","","",""
"Responsibility_level_ungrouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","","",""
"","Responsibility_level_ungrouped shows the mapped grades at a higher level of detail, however not all Government Departments / bodies have distinct grades that map exactly to these levels so figures should be considered as approximations and treated with caution.","","","","","","",""
"Region_london","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","","",""
"","Region_london groups the ITL classifications into ""London"", ""Outside London"": all UK regions excluding London, ""Overseas"", and ""Unknown"".","","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
