"Status","Year","Age","Ethnicity","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","60-64","Asian","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Department for Transport","London","10","10","[c]","[c]"
"In post","2021","60-64","Asian","Department for Transport","Outside London","10","10","[c]","[c]"
"In post","2021","60-64","Asian","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Department for Work and Pensions","London","175","145","29920","31060"
"In post","2021","60-64","Asian","Department for Work and Pensions","Outside London","195","155","26190","25110"
"In post","2021","60-64","Asian","Department for Work and Pensions","Unknown","25","20","[c]","[c]"
"In post","2021","60-64","Asian","Department of Health and Social Care","London","20","20","[c]","[c]"
"In post","2021","60-64","Asian","Department of Health and Social Care","Outside London","10","5","[c]","[c]"
"In post","2021","60-64","Asian","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Foreign, Commonwealth and Development Office","London","10","10","[c]","[c]"
"In post","2021","60-64","Asian","Foreign, Commonwealth and Development Office","Outside London","5","5","[c]","[c]"
"In post","2021","60-64","Asian","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","HM Land Registry","Outside London","10","10","[c]","[c]"
"In post","2021","60-64","Asian","HM Revenue and Customs","London","145","120","34500","32520"
"In post","2021","60-64","Asian","HM Revenue and Customs","Outside London","90","75","28440","27230"
"In post","2021","60-64","Asian","HM Treasury","London","5","5","[c]","[c]"
"In post","2021","60-64","Asian","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Home Office","London","245","210","30530","28760"
"In post","2021","60-64","Asian","Home Office","Outside London","30","25","25750","24970"
"In post","2021","60-64","Asian","Home Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Ministry of Defence","London","30","30","[c]","[c]"
"In post","2021","60-64","Asian","Ministry of Defence","Outside London","55","55","32310","31000"
"In post","2021","60-64","Asian","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Ministry of Housing, Communities and Local Government","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Ministry of Housing, Communities and Local Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Ministry of Justice","London","85","80","27340","24310"
"In post","2021","60-64","Asian","Ministry of Justice","Outside London","85","70","26260","21690"
"In post","2021","60-64","Asian","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","National Crime Agency","London","5","5","[c]","[c]"
"In post","2021","60-64","Asian","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Office for Standards in Education","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Office for Standards in Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Other Cabinet Office Agencies","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Other Cabinet Office Agencies","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Scotland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","United Kingdom Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Wales Office","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Wales Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Attorney General's Departments","London","25","25","[c]","[c]"
"In post","2021","60-64","Black","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Cabinet Office","London","5","5","[c]","[c]"
"In post","2021","60-64","Black","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Department for Business, Energy and Industrial Strategy","London","25","25","[c]","[c]"
"In post","2021","60-64","Black","Department for Business, Energy and Industrial Strategy","Outside London","10","10","[c]","[c]"
"In post","2021","60-64","Black","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Department for Education","London","10","10","[c]","[c]"
"In post","2021","60-64","Black","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Department for Environment, Food and Rural Affairs","London","15","15","[c]","[c]"
"In post","2021","60-64","Black","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Department for International Trade","London","10","10","[c]","[c]"
"In post","2021","60-64","Black","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Department for Transport","London","15","10","[c]","[c]"
"In post","2021","60-64","Black","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Department for Work and Pensions","London","160","140","31040","31060"
"In post","2021","60-64","Black","Department for Work and Pensions","Outside London","120","105","26300","27570"
"In post","2021","60-64","Black","Department for Work and Pensions","Unknown","5","5","[c]","[c]"
"In post","2021","60-64","Black","Department of Health and Social Care","London","20","15","[c]","[c]"
"In post","2021","60-64","Black","Department of Health and Social Care","Outside London","15","15","[c]","[c]"
"In post","2021","60-64","Black","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Food Standards Agency","Outside London","5","5","[c]","[c]"
"In post","2021","60-64","Black","Foreign, Commonwealth and Development Office","London","15","15","[c]","[c]"
"In post","2021","60-64","Black","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","HM Revenue and Customs","London","80","75","33850","32520"
"In post","2021","60-64","Black","HM Revenue and Customs","Outside London","35","30","26970","25560"
"In post","2021","60-64","Black","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Home Office","London","115","100","31070","29270"
"In post","2021","60-64","Black","Home Office","Outside London","15","15","[c]","[c]"
"In post","2021","60-64","Black","Home Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Black","Home Office","Unknown","[c]","[c]","[c]","[c]"
