"Status","Year","Age","Function_of_post","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","155","155","36110","33860"
"In post","2021","20-29","No function","Foreign, Commonwealth and Development Office (excl. agencies)","South East (England)","75","75","25340","24750"
"In post","2021","20-29","No function","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Government Property Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Health and Safety Executive","East Midlands (England)","35","35","27390","26680"
"In post","2021","20-29","No function","Health and Safety Executive","East of England","10","10","31970","31660"
"In post","2021","20-29","No function","Health and Safety Executive","London","20","20","39000","36080"
"In post","2021","20-29","No function","Health and Safety Executive","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Health and Safety Executive","North West (England)","75","75","27550","26370"
"In post","2021","20-29","No function","Health and Safety Executive","Scotland","5","5","[c]","[c]"
"In post","2021","20-29","No function","Health and Safety Executive","South East (England)","5","5","[c]","[c]"
"In post","2021","20-29","No function","Health and Safety Executive","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Health and Safety Executive","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Health and Safety Executive","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","20-29","No function","Health and Safety Executive","Yorkshire and The Humber","50","50","26270","26370"
"In post","2021","20-29","No function","HM Courts and Tribunals Service","East Midlands (England)","155","150","19170","18880"
"In post","2021","20-29","No function","HM Courts and Tribunals Service","East of England","80","80","20040","19930"
"In post","2021","20-29","No function","HM Courts and Tribunals Service","London","660","660","23540","22680"
"In post","2021","20-29","No function","HM Courts and Tribunals Service","North East (England)","35","35","19330","18880"
"In post","2021","20-29","No function","HM Courts and Tribunals Service","North West (England)","180","180","19960","19930"
"In post","2021","20-29","No function","HM Courts and Tribunals Service","Scotland","35","35","20110","19930"
"In post","2021","20-29","No function","HM Courts and Tribunals Service","South East (England)","130","125","19940","19930"
"In post","2021","20-29","No function","HM Courts and Tribunals Service","South West (England)","105","105","19140","18890"
"In post","2021","20-29","No function","HM Courts and Tribunals Service","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","No function","HM Courts and Tribunals Service","Wales","120","115","19340","18880"
"In post","2021","20-29","No function","HM Courts and Tribunals Service","West Midlands (England)","315","305","19740","18880"
"In post","2021","20-29","No function","HM Courts and Tribunals Service","Yorkshire and The Humber","115","115","19430","18880"
"In post","2021","20-29","No function","HM Land Registry","East Midlands (England)","135","130","24000","22350"
"In post","2021","20-29","No function","HM Land Registry","East of England","30","30","23850","22350"
"In post","2021","20-29","No function","HM Land Registry","London","35","35","29790","25850"
"In post","2021","20-29","No function","HM Land Registry","North East (England)","165","165","23850","22350"
"In post","2021","20-29","No function","HM Land Registry","North West (England)","120","120","23600","22350"
"In post","2021","20-29","No function","HM Land Registry","South West (England)","150","145","23510","22350"
"In post","2021","20-29","No function","HM Land Registry","Wales","115","115","24090","22350"
"In post","2021","20-29","No function","HM Land Registry","West Midlands (England)","90","90","23750","22350"
"In post","2021","20-29","No function","HM Land Registry","Yorkshire and The Humber","65","65","23800","22350"
"In post","2021","20-29","No function","HM Prison and Probation Service","East Midlands (England)","950","935","24810","24440"
"In post","2021","20-29","No function","HM Prison and Probation Service","East of England","1115","1100","26400","26300"
"In post","2021","20-29","No function","HM Prison and Probation Service","London","1285","1275","30700","30320"
"In post","2021","20-29","No function","HM Prison and Probation Service","North East (England)","500","495","24440","23970"
"In post","2021","20-29","No function","HM Prison and Probation Service","North West (England)","1070","1050","24530","24440"
"In post","2021","20-29","No function","HM Prison and Probation Service","South East (England)","1650","1635","27790","28960"
"In post","2021","20-29","No function","HM Prison and Probation Service","South West (England)","750","740","24670","23970"
"In post","2021","20-29","No function","HM Prison and Probation Service","Wales","570","565","24570","23970"
"In post","2021","20-29","No function","HM Prison and Probation Service","West Midlands (England)","1045","1030","24510","24120"
"In post","2021","20-29","No function","HM Prison and Probation Service","Yorkshire and The Humber","1375","1355","24370","24440"
"In post","2021","20-29","No function","HM Revenue and Customs (excl. agencies)","East Midlands (England)","260","260","28960","25560"
"In post","2021","20-29","No function","HM Revenue and Customs (excl. agencies)","East of England","10","10","[c]","[c]"
"In post","2021","20-29","No function","HM Revenue and Customs (excl. agencies)","London","390","385","39000","36160"
"In post","2021","20-29","No function","HM Revenue and Customs (excl. agencies)","North East (England)","615","585","22590","20140"
"In post","2021","20-29","No function","HM Revenue and Customs (excl. agencies)","North West (England)","1225","1180","23720","20140"
"In post","2021","20-29","No function","HM Revenue and Customs (excl. agencies)","Northern Ireland","265","255","22340","20140"
"In post","2021","20-29","No function","HM Revenue and Customs (excl. agencies)","Scotland","645","630","23890","20140"
"In post","2021","20-29","No function","HM Revenue and Customs (excl. agencies)","South East (England)","95","90","21720","20140"
"In post","2021","20-29","No function","HM Revenue and Customs (excl. agencies)","South West (England)","130","130","29930","31810"
"In post","2021","20-29","No function","HM Revenue and Customs (excl. agencies)","Wales","520","505","24000","20140"
"In post","2021","20-29","No function","HM Revenue and Customs (excl. agencies)","West Midlands (England)","260","260","28300","25560"
"In post","2021","20-29","No function","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","485","470","24180","20140"
"In post","2021","20-29","No function","HM Treasury (excl. agencies)","East of England","5","5","[c]","[c]"
"In post","2021","20-29","No function","HM Treasury (excl. agencies)","London","795","795","38960","32960"
"In post","2021","20-29","No function","Insolvency Service","East Midlands (England)","5","5","[c]","[c]"
"In post","2021","20-29","No function","Insolvency Service","East of England","20","20","22570","20880"
"In post","2021","20-29","No function","Insolvency Service","London","20","20","27210","26200"
"In post","2021","20-29","No function","Insolvency Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Insolvency Service","North West (England)","20","20","21990","20880"
"In post","2021","20-29","No function","Insolvency Service","Scotland","10","10","21320","20880"
"In post","2021","20-29","No function","Insolvency Service","South East (England)","15","15","22020","20880"
"In post","2021","20-29","No function","Insolvency Service","South West (England)","25","25","22380","20880"
"In post","2021","20-29","No function","Insolvency Service","Wales","10","10","[c]","[c]"
"In post","2021","20-29","No function","Insolvency Service","West Midlands (England)","40","40","21070","20880"
"In post","2021","20-29","No function","Insolvency Service","Yorkshire and The Humber","20","20","21420","20880"
"In post","2021","20-29","No function","Institute for Apprenticeships and Technical Education","London","10","10","[c]","[c]"
"In post","2021","20-29","No function","Institute for Apprenticeships and Technical Education","West Midlands (England)","10","10","[c]","[c]"
"In post","2021","20-29","No function","Legal Aid Agency","East Midlands (England)","30","30","19500","18890"
"In post","2021","20-29","No function","Legal Aid Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Legal Aid Agency","North East (England)","20","20","19700","18890"
"In post","2021","20-29","No function","Legal Aid Agency","North West (England)","20","20","21190","19930"
"In post","2021","20-29","No function","Legal Aid Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Legal Aid Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Legal Aid Agency","West Midlands (England)","20","20","20810","19930"
"In post","2021","20-29","No function","Legal Aid Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Maritime and Coastguard Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Maritime and Coastguard Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Maritime and Coastguard Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Maritime and Coastguard Agency","Scotland","15","15","29640","26590"
"In post","2021","20-29","No function","Maritime and Coastguard Agency","South East (England)","95","95","27950","26590"
"In post","2021","20-29","No function","Maritime and Coastguard Agency","South West (England)","10","10","[c]","[c]"
"In post","2021","20-29","No function","Maritime and Coastguard Agency","Wales","15","15","25910","26590"
"In post","2021","20-29","No function","Maritime and Coastguard Agency","Yorkshire and The Humber","10","10","27010","26590"
"In post","2021","20-29","No function","Medicines and Healthcare Products Regulatory Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Medicines and Healthcare Products Regulatory Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Met Office","East Midlands (England)","10","10","[c]","[c]"
"In post","2021","20-29","No function","Met Office","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Met Office","London","10","10","38590","36930"
"In post","2021","20-29","No function","Met Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Met Office","Overseas","15","15","38320","40980"
"In post","2021","20-29","No function","Met Office","Scotland","10","10","33460","34930"
"In post","2021","20-29","No function","Met Office","South East (England)","15","15","37920","36730"
"In post","2021","20-29","No function","Met Office","South West (England)","60","60","27940","24660"
"In post","2021","20-29","No function","Met Office","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Met Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Met Office","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","London","390","390","38900","33210"
"In post","2021","20-29","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","North West (England)","20","20","31090","30190"
"In post","2021","20-29","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","South West (England)","10","10","34890","30260"
"In post","2021","20-29","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","West Midlands (England)","10","10","[c]","[c]"
"In post","2021","20-29","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2021","20-29","No function","Ministry of Justice (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Ministry of Justice (excl. agencies)","London","370","370","34250","31030"
"In post","2021","20-29","No function","Ministry of Justice (excl. agencies)","North West (England)","10","10","23610","22570"
"In post","2021","20-29","No function","Ministry of Justice (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Ministry of Justice (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Ministry of Justice (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Ministry of Justice (excl. agencies)","West Midlands (England)","10","10","[c]","[c]"
"In post","2021","20-29","No function","Ministry of Justice (excl. agencies)","Yorkshire and The Humber","15","15","27610","24000"
"In post","2021","20-29","No function","National Crime Agency","East Midlands (England)","15","15","30450","30810"
"In post","2021","20-29","No function","National Crime Agency","East of England","20","20","32850","33450"
"In post","2021","20-29","No function","National Crime Agency","London","280","280","34860","36200"
"In post","2021","20-29","No function","National Crime Agency","North East (England)","15","15","30350","32770"
"In post","2021","20-29","No function","National Crime Agency","North West (England)","240","240","29770","30640"
"In post","2021","20-29","No function","National Crime Agency","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","National Crime Agency","Scotland","5","5","[c]","[c]"
"In post","2021","20-29","No function","National Crime Agency","South East (England)","50","50","31030","32520"
"In post","2021","20-29","No function","National Crime Agency","South West (England)","90","90","30790","32770"
"In post","2021","20-29","No function","National Crime Agency","Wales","5","5","[c]","[c]"
"In post","2021","20-29","No function","National Crime Agency","West Midlands (England)","70","70","30650","30640"
"In post","2021","20-29","No function","National Crime Agency","Yorkshire and The Humber","25","25","31060","32770"
"In post","2021","20-29","No function","National Infrastructure Commission","London","15","15","40370","42000"
"In post","2021","20-29","No function","National Savings and Investments","London","5","5","[c]","[c]"
"In post","2021","20-29","No function","Northern Ireland Office","London","20","20","44520","41410"
"In post","2021","20-29","No function","Northern Ireland Office","Northern Ireland","5","5","[c]","[c]"
"In post","2021","20-29","No function","Office for Standards in Education, Children's Services and Skills","East Midlands (England)","10","10","23560","21160"
"In post","2021","20-29","No function","Office for Standards in Education, Children's Services and Skills","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Office for Standards in Education, Children's Services and Skills","London","25","25","31590","28880"
"In post","2021","20-29","No function","Office for Standards in Education, Children's Services and Skills","North West (England)","35","35","25340","21160"
"In post","2021","20-29","No function","Office for Standards in Education, Children's Services and Skills","South West (England)","10","10","26320","21160"
"In post","2021","20-29","No function","Office for Standards in Education, Children's Services and Skills","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Office for Standards in Education, Children's Services and Skills","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Office of Gas and Electricity Markets","London","150","150","33500","33400"
"In post","2021","20-29","No function","Office of Gas and Electricity Markets","Scotland","145","145","27040","24500"
"In post","2021","20-29","No function","Office of Gas and Electricity Markets","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Office of Qualifications and Examinations Regulation","West Midlands (England)","20","20","32890","31000"
"In post","2021","20-29","No function","Office of Rail and Road","London","10","10","[c]","[c]"
"In post","2021","20-29","No function","Office of Rail and Road","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Office of Rail and Road","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Office of the Public Guardian","East Midlands (England)","90","90","19930","18890"
"In post","2021","20-29","No function","Office of the Public Guardian","West Midlands (England)","220","205","20700","19930"
"In post","2021","20-29","No function","Planning Inspectorate","South West (England)","65","65","24170","21270"
"In post","2021","20-29","No function","Planning Inspectorate","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Public Health England","East Midlands (England)","20","20","27500","28590"
"In post","2021","20-29","No function","Public Health England","East of England","55","50","26400","24240"
"In post","2021","20-29","No function","Public Health England","London","495","470","31970","32330"
"In post","2021","20-29","No function","Public Health England","North East (England)","20","20","24020","23140"
"In post","2021","20-29","No function","Public Health England","North West (England)","130","120","22810","20040"
"In post","2021","20-29","No function","Public Health England","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Public Health England","South East (England)","50","50","28850","25260"
"In post","2021","20-29","No function","Public Health England","South West (England)","270","255","25250","23140"
"In post","2021","20-29","No function","Public Health England","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Public Health England","West Midlands (England)","75","70","22770","21590"
"In post","2021","20-29","No function","Public Health England","Yorkshire and The Humber","40","40","25180","23250"
"In post","2021","20-29","No function","Registers of Scotland","Scotland","140","140","26880","24130"
"In post","2021","20-29","No function","Scottish Prison Service","Scotland","565","550","25500","25870"
"In post","2021","20-29","No function","Serious Fraud Office","London","15","10","32460","31710"
"In post","2021","20-29","No function","Standards and Testing Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Standards and Testing Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Standards and Testing Agency","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","20-29","No function","Standards and Testing Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Teaching Regulation Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Teaching Regulation Agency","West Midlands (England)","15","15","29050","29550"
"In post","2021","20-29","No function","The National Archives","London","50","50","26270","23450"
"In post","2021","20-29","No function","UK Hydrographic Office","South West (England)","80","80","25260","26740"
"In post","2021","20-29","No function","UK Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","UK Intellectual Property Office","Wales","220","220","28260","23320"
"In post","2021","20-29","No function","United Kingdom Statistics Authority","London","25","25","33930","32540"
"In post","2021","20-29","No function","United Kingdom Statistics Authority","South East (England)","160","140","23850","23050"
"In post","2021","20-29","No function","United Kingdom Statistics Authority","Wales","175","170","24740","23050"
"In post","2021","20-29","No function","Vehicle Certification Agency","East Midlands (England)","10","10","31520","34290"
"In post","2021","20-29","No function","Vehicle Certification Agency","South West (England)","25","25","28230","27250"
"In post","2021","20-29","No function","Wales Office","London","5","5","[c]","[c]"
"In post","2021","20-29","No function","Wales Office","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Water Services Regulation Authority","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Advisory, Conciliation and Arbitration Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Advisory, Conciliation and Arbitration Service","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Animal and Plant Health Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Cabinet Office (excl. agencies)","London","30","30","41160","34550"
"In post","2021","20-29","Project Delivery","Cabinet Office (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Centre for Environment, Fisheries and Aquaculture Science","East of England","10","10","23610","22980"
"In post","2021","20-29","Project Delivery","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Companies House","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Competition and Markets Authority","London","55","55","34230","33360"
"In post","2021","20-29","Project Delivery","Competition and Markets Authority","Scotland","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Crown Commercial Service","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Crown Commercial Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Crown Commercial Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Defence Electronics and Components Agency","Wales","15","15","20690","19810"
"In post","2021","20-29","Project Delivery","Defence Electronics and Components Agency","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","Defence Equipment and Support","East Midlands (England)","10","10","27350","27540"
"In post","2021","20-29","Project Delivery","Defence Equipment and Support","East of England","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","Defence Equipment and Support","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Defence Equipment and Support","North West (England)","10","10","[c]","[c]"
"In post","2021","20-29","Project Delivery","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Defence Equipment and Support","Scotland","55","55","22950","23230"
"In post","2021","20-29","Project Delivery","Defence Equipment and Support","South East (England)","45","45","22280","20820"
"In post","2021","20-29","Project Delivery","Defence Equipment and Support","South West (England)","1625","1610","27050","27540"
"In post","2021","20-29","Project Delivery","Defence Equipment and Support","West Midlands (England)","15","15","19480","19040"
"In post","2021","20-29","Project Delivery","Defence Equipment and Support","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Defence Science and Technology Laboratory","South East (England)","35","35","27660","28650"
"In post","2021","20-29","Project Delivery","Defence Science and Technology Laboratory","South West (England)","90","90","30060","28650"
"In post","2021","20-29","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","40","40","43450","40050"
"In post","2021","20-29","Project Delivery","Department for Digital, Culture, Media and Sport","London","50","50","37200","34020"
"In post","2021","20-29","Project Delivery","Department for Digital, Culture, Media and Sport","North West (England)","15","15","33150","34020"
"In post","2021","20-29","Project Delivery","Department for Education (excl. agencies)","East Midlands (England)","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","Department for Education (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Department for Education (excl. agencies)","London","35","35","37610","33300"
"In post","2021","20-29","Project Delivery","Department for Education (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Department for Education (excl. agencies)","North West (England)","15","15","33320","31920"
"In post","2021","20-29","Project Delivery","Department for Education (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Department for Education (excl. agencies)","Yorkshire and The Humber","15","15","38640","36500"
"In post","2021","20-29","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","London","20","20","35000","33120"
"In post","2021","20-29","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","Department for International Trade","London","10","10","37640","35140"
"In post","2021","20-29","Project Delivery","Department for Transport (excl. agencies)","London","90","90","40450","35430"
"In post","2021","20-29","Project Delivery","Department for Transport (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Department for Transport (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Department of Health and Social Care (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","Driver and Vehicle Licensing Agency","Wales","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","Driver and Vehicle Standards Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Driver and Vehicle Standards Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Driver and Vehicle Standards Agency","Wales","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","Driver and Vehicle Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Education and Skills Funding Agency","North West (England)","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","Education and Skills Funding Agency","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","FCDO Services","South East (England)","10","10","[c]","[c]"
"In post","2021","20-29","Project Delivery","Food Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","London","200","195","38670","38600"
"In post","2021","20-29","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","30","30","44290","42200"
"In post","2021","20-29","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Scotland","65","65","32080","33930"
"In post","2021","20-29","Project Delivery","Forestry and Land Scotland","Scotland","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","HM Courts and Tribunals Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","HM Courts and Tribunals Service","London","45","45","35400","30850"
"In post","2021","20-29","Project Delivery","HM Courts and Tribunals Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","HM Courts and Tribunals Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","HM Courts and Tribunals Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","HM Land Registry","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","HM Land Registry","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","HM Land Registry","North West (England)","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","HM Land Registry","South West (England)","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","HM Land Registry","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","HM Land Registry","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","HM Land Registry","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","HM Revenue and Customs (excl. agencies)","East Midlands (England)","10","10","29720","31810"
"In post","2021","20-29","Project Delivery","HM Revenue and Customs (excl. agencies)","East of England","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","HM Revenue and Customs (excl. agencies)","London","95","95","44030","41760"
"In post","2021","20-29","Project Delivery","HM Revenue and Customs (excl. agencies)","North East (England)","75","70","31020","31810"
"In post","2021","20-29","Project Delivery","HM Revenue and Customs (excl. agencies)","North West (England)","100","95","32680","31810"
"In post","2021","20-29","Project Delivery","HM Revenue and Customs (excl. agencies)","Scotland","15","15","29840","31810"
"In post","2021","20-29","Project Delivery","HM Revenue and Customs (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","HM Revenue and Customs (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","HM Revenue and Customs (excl. agencies)","Wales","10","10","[c]","[c]"
"In post","2021","20-29","Project Delivery","HM Revenue and Customs (excl. agencies)","West Midlands (England)","30","30","33320","31810"
"In post","2021","20-29","Project Delivery","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","15","10","31020","31810"
"In post","2021","20-29","Project Delivery","HM Treasury (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Met Office","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Met Office","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Met Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Met Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Met Office","South West (England)","40","40","29150","29000"
"In post","2021","20-29","Project Delivery","Ministry of Defence (excl. agencies)","East Midlands (England)","10","10","[c]","[c]"
"In post","2021","20-29","Project Delivery","Ministry of Defence (excl. agencies)","East of England","35","35","34900","34000"
"In post","2021","20-29","Project Delivery","Ministry of Defence (excl. agencies)","London","70","70","41000","39570"
"In post","2021","20-29","Project Delivery","Ministry of Defence (excl. agencies)","North West (England)","10","10","29250","26670"
"In post","2021","20-29","Project Delivery","Ministry of Defence (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
