"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","20-29","No function","AA/AO","Undeclared","145","[c]","21180","20140"
"New entrant CS","2021","20-29","No function","AA/AO","Unknown","2370","[c]","21570","20600"
"New entrant CS","2021","20-29","No function","EO","Heterosexual / straight","1045","[c]","26720","26370"
"New entrant CS","2021","20-29","No function","EO","LGBO","165","[c]","26880","26410"
"New entrant CS","2021","20-29","No function","EO","Undeclared","120","[c]","26210","26410"
"New entrant CS","2021","20-29","No function","EO","Unknown","480","[c]","25740","25980"
"New entrant CS","2021","20-29","No function","G6/G7","Heterosexual / straight","80","[c]","53680","53360"
"New entrant CS","2021","20-29","No function","G6/G7","LGBO","15","[c]","[c]","[c]"
"New entrant CS","2021","20-29","No function","G6/G7","Undeclared","15","[c]","[c]","[c]"
"New entrant CS","2021","20-29","No function","G6/G7","Unknown","70","[c]","54860","53380"
"New entrant CS","2021","20-29","No function","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","No function","SCS level","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","No function","SCS level","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","No function","SEO/HEO","Heterosexual / straight","1230","[c]","33050","32560"
"New entrant CS","2021","20-29","No function","SEO/HEO","LGBO","195","[c]","32610","32560"
"New entrant CS","2021","20-29","No function","SEO/HEO","Undeclared","175","[c]","33490","32790"
"New entrant CS","2021","20-29","No function","SEO/HEO","Unknown","1050","[c]","30760","28000"
"New entrant CS","2021","20-29","No function","Unknown","Heterosexual / straight","440","[c]","22860","22920"
"New entrant CS","2021","20-29","No function","Unknown","LGBO","55","[c]","22950","22920"
"New entrant CS","2021","20-29","No function","Unknown","Undeclared","20","[c]","[c]","[c]"
"New entrant CS","2021","20-29","No function","Unknown","Unknown","195","[c]","22440","22920"
"New entrant CS","2021","20-29","Project Delivery","AA/AO","Heterosexual / straight","15","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Project Delivery","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Project Delivery","AA/AO","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Project Delivery","EO","Heterosexual / straight","135","[c]","24790","26180"
"New entrant CS","2021","20-29","Project Delivery","EO","LGBO","15","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Project Delivery","EO","Undeclared","10","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Project Delivery","EO","Unknown","80","[c]","20840","21170"
"New entrant CS","2021","20-29","Project Delivery","G6/G7","Heterosexual / straight","15","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Project Delivery","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Project Delivery","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Project Delivery","G6/G7","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Project Delivery","SEO/HEO","Heterosexual / straight","165","[c]","34130","33570"
"New entrant CS","2021","20-29","Project Delivery","SEO/HEO","LGBO","15","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Project Delivery","SEO/HEO","Undeclared","10","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Project Delivery","SEO/HEO","Unknown","50","[c]","34170","34100"
"New entrant CS","2021","20-29","Project Delivery","Unknown","Heterosexual / straight","30","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Project Delivery","Unknown","LGBO","5","[c]","[c]","[c]"
