"Status","Year","Ethnicity","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Black","Digital, Data and Technology","SEO/HEO","HEO","125","125","34190","33750"
"In post","2021","Black","Digital, Data and Technology","SEO/HEO","SEO","110","105","42480","41970"
"In post","2021","Black","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","EO","EO","10","10","[c]","[c]"
"In post","2021","Black","Economics","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Black","Economics","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","SEO/HEO","HEO","30","30","33830","33120"
"In post","2021","Black","Economics","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","AA/AO","AO","20","20","[c]","[c]"
"In post","2021","Black","Finance","EO","EO","65","65","28410","28830"
"In post","2021","Black","Finance","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Black","Finance","G6/G7","G7","65","65","56440","56530"
"In post","2021","Black","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","SEO/HEO","HEO","105","105","34520","33930"
"In post","2021","Black","Finance","SEO/HEO","SEO","95","90","43120","42800"
"In post","2021","Black","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","AA/AO","AO","20","20","[c]","[c]"
"In post","2021","Black","Human Resources","EO","EO","65","65","28860","28830"
"In post","2021","Black","Human Resources","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Black","Human Resources","G6/G7","G7","40","40","55740","56000"
"In post","2021","Black","Human Resources","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","SEO/HEO","HEO","85","85","33850","34010"
"In post","2021","Black","Human Resources","SEO/HEO","SEO","60","60","42850","41970"
"In post","2021","Black","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","EO","EO","35","30","29740","29220"
"In post","2021","Black","Intelligence Analysis","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","AA/AO","AO","5","5","[c]","[c]"
