"Status","Year","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","No function","Ministry of Housing, Communities and Local Government","Female","1255","1180","43990","39600"
"In post","2021","No function","Ministry of Housing, Communities and Local Government","Male","1275","1235","46550","47660"
"In post","2021","No function","Ministry of Justice","Female","39060","35675","27290","24120"
"In post","2021","No function","Ministry of Justice","Male","32135","30850","29430","27850"
"In post","2021","No function","National Crime Agency","Female","2045","1965","36770","36200"
"In post","2021","No function","National Crime Agency","Male","2675","2660","41940","40170"
"In post","2021","No function","Northern Ireland Office","Female","65","65","43880","36800"
"In post","2021","No function","Northern Ireland Office","Male","60","60","45710","38930"
"In post","2021","No function","Office for Standards in Education","Female","945","900","50340","51360"
"In post","2021","No function","Office for Standards in Education","Male","395","390","55420","59810"
"In post","2021","No function","Office of Gas and Electricity Markets","Female","380","370","39430","34240"
"In post","2021","No function","Office of Gas and Electricity Markets","Male","480","480","43230","36290"
"In post","2021","No function","Office of Qualifications and Examinations Regulation","Female","125","115","43250","38760"
"In post","2021","No function","Office of Qualifications and Examinations Regulation","Male","75","75","50700","46660"
"In post","2021","No function","Office of Rail and Road","Female","90","85","48910","49580"
"In post","2021","No function","Office of Rail and Road","Male","135","130","60050","60020"
"In post","2021","No function","Other Cabinet Office Agencies","Female","105","100","39270","36360"
"In post","2021","No function","Other Cabinet Office Agencies","Male","85","85","41930","35350"
"In post","2021","No function","Scottish Government","Female","2735","2540","28850","26570"
"In post","2021","No function","Scottish Government","Male","3395","3190","31900","33650"
"In post","2021","No function","The National Archives","Female","190","180","34310","31150"
"In post","2021","No function","The National Archives","Male","145","140","34230","28940"
"In post","2021","No function","United Kingdom Statistics Authority","Female","1560","1270","25780","23050"
"In post","2021","No function","United Kingdom Statistics Authority","Male","1000","815","25900","19520"
"In post","2021","No function","United Kingdom Statistics Authority","Unknown","10","10","[c]","[c]"
"In post","2021","No function","Wales Office","Female","10","10","[c]","[c]"
"In post","2021","No function","Wales Office","Male","20","20","[c]","[c]"
"In post","2021","No function","Water Services Regulation Authority","Female","60","55","55450","46380"
"In post","2021","No function","Water Services Regulation Authority","Male","55","55","59930","56940"
"In post","2021","Project Delivery","Attorney General's Departments","Female","15","15","[c]","[c]"
"In post","2021","Project Delivery","Attorney General's Departments","Male","25","25","[c]","[c]"
"In post","2021","Project Delivery","Cabinet Office","Female","95","90","63870","57840"
"In post","2021","Project Delivery","Cabinet Office","Male","95","95","74710","64500"
"In post","2021","Project Delivery","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Chancellor's other departments","Male","10","10","[c]","[c]"
"In post","2021","Project Delivery","Charity Commission","Female","5","5","[c]","[c]"
"In post","2021","Project Delivery","Charity Commission","Male","10","10","[c]","[c]"
"In post","2021","Project Delivery","Competition and Markets Authority","Female","205","190","58920","55860"
"In post","2021","Project Delivery","Competition and Markets Authority","Male","170","170","63200","59360"
"In post","2021","Project Delivery","Department for Business, Energy and Industrial Strategy","Female","415","390","42750","39840"
"In post","2021","Project Delivery","Department for Business, Energy and Industrial Strategy","Male","490","485","45270","41900"
"In post","2021","Project Delivery","Department for Digital, Culture, Media and Sport","Female","110","110","46160","51730"
"In post","2021","Project Delivery","Department for Digital, Culture, Media and Sport","Male","95","95","51290","51730"
"In post","2021","Project Delivery","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Department for Education","Female","305","290","45590","49860"
"In post","2021","Project Delivery","Department for Education","Male","225","225","50030","50630"
"In post","2021","Project Delivery","Department for Environment, Food and Rural Affairs","Female","285","265","37730","35900"
"In post","2021","Project Delivery","Department for Environment, Food and Rural Affairs","Male","220","215","39050","36520"
"In post","2021","Project Delivery","Department for International Trade","Female","25","25","[c]","[c]"
"In post","2021","Project Delivery","Department for International Trade","Male","20","20","[c]","[c]"
"In post","2021","Project Delivery","Department for Transport","Female","285","275","46590","42470"
"In post","2021","Project Delivery","Department for Transport","Male","330","330","52670","49940"
"In post","2021","Project Delivery","Department for Work and Pensions","Female","30","25","35830","34400"
"In post","2021","Project Delivery","Department for Work and Pensions","Male","15","15","[c]","[c]"
"In post","2021","Project Delivery","Department of Health and Social Care","Female","15","15","[c]","[c]"
"In post","2021","Project Delivery","Department of Health and Social Care","Male","10","10","[c]","[c]"
"In post","2021","Project Delivery","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Food Standards Agency","Female","15","10","[c]","[c]"
"In post","2021","Project Delivery","Food Standards Agency","Male","10","10","[c]","[c]"
"In post","2021","Project Delivery","Foreign, Commonwealth and Development Office","Female","1205","1160","49790","52430"
"In post","2021","Project Delivery","Foreign, Commonwealth and Development Office","Male","850","835","53640","55060"
"In post","2021","Project Delivery","HM Land Registry","Female","75","75","40820","38550"
"In post","2021","Project Delivery","HM Land Registry","Male","65","65","40930","38550"
"In post","2021","Project Delivery","HM Revenue and Customs","Female","2460","2285","42090","38630"
"In post","2021","Project Delivery","HM Revenue and Customs","Male","2105","2035","45710","39450"
"In post","2021","Project Delivery","HM Treasury","Female","20","20","[c]","[c]"
"In post","2021","Project Delivery","HM Treasury","Male","15","15","[c]","[c]"
"In post","2021","Project Delivery","Ministry of Defence","Female","6130","5810","35520","33300"
"In post","2021","Project Delivery","Ministry of Defence","Male","10315","10135","39140","37410"
"In post","2021","Project Delivery","Ministry of Housing, Communities and Local Government","Female","80","80","46290","40750"
"In post","2021","Project Delivery","Ministry of Housing, Communities and Local Government","Male","65","65","45220","40190"
"In post","2021","Project Delivery","Ministry of Justice","Female","435","430","40140","35290"
"In post","2021","Project Delivery","Ministry of Justice","Male","280","280","41520","36800"
"In post","2021","Project Delivery","National Crime Agency","Female","50","45","43790","40520"
"In post","2021","Project Delivery","National Crime Agency","Male","45","45","49780","48900"
"In post","2021","Project Delivery","Office for Standards in Education","Female","20","20","[c]","[c]"
"In post","2021","Project Delivery","Office for Standards in Education","Male","15","15","[c]","[c]"
"In post","2021","Project Delivery","Office of Gas and Electricity Markets","Female","10","10","[c]","[c]"
"In post","2021","Project Delivery","Office of Gas and Electricity Markets","Male","5","5","[c]","[c]"
"In post","2021","Project Delivery","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Other Cabinet Office Agencies","Female","25","25","[c]","[c]"
"In post","2021","Project Delivery","Other Cabinet Office Agencies","Male","40","40","49200","47340"
"In post","2021","Project Delivery","Scotland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Scotland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Scottish Government","Female","140","130","31440","30080"
"In post","2021","Project Delivery","Scottish Government","Male","155","150","40780","37530"
"In post","2021","Project Delivery","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","UK Export Finance","Male","10","10","[c]","[c]"
"In post","2021","Project Delivery","United Kingdom Statistics Authority","Female","150","145","39170","36030"
"In post","2021","Project Delivery","United Kingdom Statistics Authority","Male","75","75","42930","49100"
"In post","2021","Project Delivery","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Water Services Regulation Authority","Female","5","5","[c]","[c]"
"In post","2021","Project Delivery","Water Services Regulation Authority","Male","5","5","[c]","[c]"
"In post","2021","Property","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Property","Cabinet Office","Female","55","50","47450","45150"
"In post","2021","Property","Cabinet Office","Male","50","50","54370","54700"
"In post","2021","Property","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Property","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Property","Department for Business, Energy and Industrial Strategy","Female","40","35","35580","30660"
"In post","2021","Property","Department for Business, Energy and Industrial Strategy","Male","40","40","32510","25630"
"In post","2021","Property","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2021","Property","Department for Education","Female","115","110","44820","49860"
"In post","2021","Property","Department for Education","Male","155","150","52910","54400"
"In post","2021","Property","Department for Environment, Food and Rural Affairs","Female","215","195","34030","30040"
"In post","2021","Property","Department for Environment, Food and Rural Affairs","Male","180","175","40020","36520"
"In post","2021","Property","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Department for International Trade","Male","5","5","[c]","[c]"
"In post","2021","Property","Department for Transport","Female","75","65","31330","26780"
"In post","2021","Property","Department for Transport","Male","85","80","35570","31990"
"In post","2021","Property","Department for Work and Pensions","Female","10","5","[c]","[c]"
"In post","2021","Property","Department for Work and Pensions","Male","5","5","[c]","[c]"
"In post","2021","Property","Department of Health and Social Care","Female","20","15","[c]","[c]"
"In post","2021","Property","Department of Health and Social Care","Male","25","25","[c]","[c]"
"In post","2021","Property","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Property","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Property","Foreign, Commonwealth and Development Office","Female","90","85","39880","34290"
"In post","2021","Property","Foreign, Commonwealth and Development Office","Male","375","375","41850","40490"
"In post","2021","Property","HM Land Registry","Female","10","10","[c]","[c]"
"In post","2021","Property","HM Land Registry","Male","10","10","[c]","[c]"
"In post","2021","Property","HM Revenue and Customs","Female","1775","1585","31140","26500"
"In post","2021","Property","HM Revenue and Customs","Male","1730","1660","35690","32100"
"In post","2021","Property","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","HM Treasury","Male","5","5","[c]","[c]"
"In post","2021","Property","Ministry of Defence","Female","1020","975","30900","33000"
"In post","2021","Property","Ministry of Defence","Male","1710","1680","33090","33300"
"In post","2021","Property","Ministry of Housing, Communities and Local Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Property","Ministry of Justice","Female","175","165","35590","31770"
"In post","2021","Property","Ministry of Justice","Male","190","185","44610","36800"
"In post","2021","Property","National Crime Agency","Female","15","10","[c]","[c]"
"In post","2021","Property","National Crime Agency","Male","15","15","[c]","[c]"
"In post","2021","Property","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office for Standards in Education","Female","5","5","[c]","[c]"
"In post","2021","Property","Office for Standards in Education","Male","5","5","[c]","[c]"
"In post","2021","Property","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","Property","Other Cabinet Office Agencies","Female","20","20","[c]","[c]"
"In post","2021","Property","Other Cabinet Office Agencies","Male","25","25","[c]","[c]"
"In post","2021","Property","Scottish Government","Female","240","225","29390","28120"
"In post","2021","Property","Scottish Government","Male","780","760","30900","28870"
"In post","2021","Property","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","The National Archives","Male","10","10","[c]","[c]"
"In post","2021","Property","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2021","Property","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","United Kingdom Statistics Authority","Male","10","10","[c]","[c]"
"In post","2021","Property","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Security","Attorney General's Departments","Female","10","10","[c]","[c]"
"In post","2021","Security","Attorney General's Departments","Male","15","15","[c]","[c]"
"In post","2021","Security","Cabinet Office","Female","455","430","32190","33000"
"In post","2021","Security","Cabinet Office","Male","415","405","34060","33300"
"In post","2021","Security","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Security","Chancellor's other departments","Male","10","10","[c]","[c]"
"In post","2021","Security","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Security","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Security","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Security","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Business, Energy and Industrial Strategy","Female","5","5","[c]","[c]"
"In post","2021","Security","Department for Business, Energy and Industrial Strategy","Male","20","20","[c]","[c]"
"In post","2021","Security","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Education","Female","10","10","[c]","[c]"
"In post","2021","Security","Department for Education","Male","25","25","[c]","[c]"
"In post","2021","Security","Department for International Trade","Female","10","10","[c]","[c]"
"In post","2021","Security","Department for International Trade","Male","15","15","[c]","[c]"
"In post","2021","Security","Department for Transport","Female","35","35","31980","30890"
"In post","2021","Security","Department for Transport","Male","95","90","30540","25390"
"In post","2021","Security","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"In post","2021","Security","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Security","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Security","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Security","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Security","Foreign, Commonwealth and Development Office","Female","170","165","40290","36360"
"In post","2021","Security","Foreign, Commonwealth and Development Office","Male","395","390","39760","34770"
"In post","2021","Security","HM Revenue and Customs","Female","70","65","36980","38630"
"In post","2021","Security","HM Revenue and Customs","Male","115","115","43150","38630"
"In post","2021","Security","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","Security","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","Security","Ministry of Defence","Female","915","890","27870","22780"
"In post","2021","Security","Ministry of Defence","Male","5170","5090","29390","25540"
"In post","2021","Security","Ministry of Housing, Communities and Local Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Security","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Security","Ministry of Justice","Female","315","310","36770","32550"
"In post","2021","Security","Ministry of Justice","Male","360","360","41590","38750"
"In post","2021","Security","National Crime Agency","Female","25","25","[c]","[c]"
"In post","2021","Security","National Crime Agency","Male","15","15","[c]","[c]"
"In post","2021","Security","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Security","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Security","Scottish Government","Female","10","5","[c]","[c]"
"In post","2021","Security","Scottish Government","Male","10","10","[c]","[c]"
"In post","2021","Security","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Security","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Security","United Kingdom Statistics Authority","Female","15","15","[c]","[c]"
"In post","2021","Security","United Kingdom Statistics Authority","Male","20","20","[c]","[c]"
"In post","2021","Security","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Security","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Attorney General's Departments","Female","35","30","57110","56300"
"In post","2021","Unknown","Attorney General's Departments","Male","20","20","[c]","[c]"
"In post","2021","Unknown","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Charity Commission","Female","150","140","31930","29160"
"In post","2021","Unknown","Charity Commission","Male","100","95","33290","29160"
"In post","2021","Unknown","Department for Business, Energy and Industrial Strategy","Female","25","25","[c]","[c]"
"In post","2021","Unknown","Department for Business, Energy and Industrial Strategy","Male","15","15","[c]","[c]"
"In post","2021","Unknown","Department for Education","Female","355","335","50760","42580"
"In post","2021","Unknown","Department for Education","Male","240","240","54220","50130"
"In post","2021","Unknown","Department for Environment, Food and Rural Affairs","Female","90","90","39520","36970"
"In post","2021","Unknown","Department for Environment, Food and Rural Affairs","Male","65","60","49250","53200"
"In post","2021","Unknown","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Work and Pensions","Female","59535","51285","27230","27570"
"In post","2021","Unknown","Department for Work and Pensions","Male","31415","30130","28440","27570"
"In post","2021","Unknown","Department of Health and Social Care","Female","720","690","47520","41040"
"In post","2021","Unknown","Department of Health and Social Care","Male","475","465","50950","49780"
"In post","2021","Unknown","Food Standards Agency","Female","5","5","[c]","[c]"
"In post","2021","Unknown","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office","Female","200","195","48240","42200"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office","Male","130","130","55120","54450"
"In post","2021","Unknown","HM Treasury","Female","60","55","40770","35210"
"In post","2021","Unknown","HM Treasury","Male","40","40","46580","46240"
"In post","2021","Unknown","Home Office","Female","18315","16535","31370","27370"
"In post","2021","Unknown","Home Office","Male","17060","16340","32630","28060"
"In post","2021","Unknown","Ministry of Defence","Female","9000","8455","29190","22920"
"In post","2021","Unknown","Ministry of Defence","Male","11160","10985","32950","29670"
"In post","2021","Unknown","Other Cabinet Office Agencies","Female","35","30","45210","42050"
"In post","2021","Unknown","Other Cabinet Office Agencies","Male","30","30","54770","50450"
"In post","2021","Unknown","Scotland Office","Female","65","65","47420","47760"
"In post","2021","Unknown","Scotland Office","Male","40","40","47860","46600"
"In post","2021","Unknown","Scottish Government","Female","6370","5975","40190","35110"
"In post","2021","Unknown","Scottish Government","Male","5215","5110","41480","36670"
"In post","2021","Unknown","Welsh Government","Female","3400","3145","39800","37410"
"In post","2021","Unknown","Welsh Government","Male","2345","2285","42800","37410"
"Leaver CS","2021","Analysis","Chancellor's other departments","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Chancellor's other departments","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Charity Commission","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Charity Commission","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Competition and Markets Authority","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Department for Business, Energy and Industrial Strategy","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Department for Business, Energy and Industrial Strategy","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Department for Environment, Food and Rural Affairs","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Department for Environment, Food and Rural Affairs","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Department for International Trade","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Department for International Trade","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","HM Treasury","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","HM Treasury","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Ministry of Defence","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Ministry of Housing, Communities and Local Government","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Ministry of Justice","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Ministry of Justice","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Office for Standards in Education","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","United Kingdom Statistics Authority","Female","35","[c]","30960","29540"
"Leaver CS","2021","Analysis","United Kingdom Statistics Authority","Male","35","[c]","27350","19130"
"Leaver CS","2021","Analysis","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Water Services Regulation Authority","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Cabinet Office","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Cabinet Office","Male","40","[c]","84040","70490"
"Leaver CS","2021","Commercial","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department for Environment, Food and Rural Affairs","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department for Environment, Food and Rural Affairs","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department for Transport","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department for Transport","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Foreign, Commonwealth and Development Office","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Foreign, Commonwealth and Development Office","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Ministry of Defence","Female","35","[c]","30750","29710"
"Leaver CS","2021","Commercial","Ministry of Defence","Male","50","[c]","42130","40000"
"Leaver CS","2021","Commercial","Ministry of Housing, Communities and Local Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Ministry of Justice","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Ministry of Justice","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Other Cabinet Office Agencies","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Other Cabinet Office Agencies","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","The National Archives","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","The National Archives","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","UK Export Finance","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Cabinet Office","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Cabinet Office","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Business, Energy and Industrial Strategy","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Business, Energy and Industrial Strategy","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Environment, Food and Rural Affairs","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Environment, Food and Rural Affairs","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for International Trade","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Transport","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Transport","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
