"Status","Year","Ethnicity","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","FCDO Services","London","5","5","[c]","[c]"
"In post","2021","Unknown","FCDO Services","Outside London","25","20","[c]","[c]"
"In post","2021","Unknown","FCDO Services","Overseas","5","5","[c]","[c]"
"In post","2021","Unknown","Food Standards Agency","London","30","25","[c]","[c]"
"In post","2021","Unknown","Food Standards Agency","Outside London","40","35","36510","30810"
"In post","2021","Unknown","Food Standards Scotland","Outside London","95","90","33640","30650"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","London","635","620","48340","48900"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","265","260","37710","33930"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","265","265","54790","54390"
"In post","2021","Unknown","Forestry and Land Scotland","Outside London","65","65","28290","26530"
"In post","2021","Unknown","Government Actuary's Department","London","10","10","[c]","[c]"
"In post","2021","Unknown","Government Actuary's Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Government Legal Department","London","305","280","59190","64680"
"In post","2021","Unknown","Government Legal Department","Outside London","20","20","[c]","[c]"
"In post","2021","Unknown","Health and Safety Executive","London","25","20","[c]","[c]"
"In post","2021","Unknown","Health and Safety Executive","Outside London","285","265","42430","39950"
"In post","2021","Unknown","HM Courts and Tribunals Service","London","800","780","25570","22680"
"In post","2021","Unknown","HM Courts and Tribunals Service","Outside London","1140","1065","20970","19570"
"In post","2021","Unknown","HM Courts and Tribunals Service","Unknown","5","5","[c]","[c]"
"In post","2021","Unknown","HM Land Registry","London","70","70","42980","37290"
"In post","2021","Unknown","HM Land Registry","Outside London","970","925","26890","22350"
"In post","2021","Unknown","HM Prison and Probation Service","London","990","965","32420","31180"
"In post","2021","Unknown","HM Prison and Probation Service","Outside London","5465","5195","26300","24920"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","London","1675","1610","41200","36160"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","Outside London","13285","12310","26020","21440"
"In post","2021","Unknown","HM Treasury (excl. agencies)","London","70","70","45550","42090"
"In post","2021","Unknown","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Home Office (incl. agencies)","London","725","720","39870","35050"
"In post","2021","Unknown","Home Office (incl. agencies)","Outside London","975","945","25830","24880"
"In post","2021","Unknown","Home Office (incl. agencies)","Overseas","5","5","[c]","[c]"
"In post","2021","Unknown","Home Office (incl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2021","Unknown","Insolvency Service","London","95","90","39470","37700"
"In post","2021","Unknown","Insolvency Service","Outside London","530","515","27550","20880"
"In post","2021","Unknown","Institute for Apprenticeships and Technical Education","London","20","20","[c]","[c]"
"In post","2021","Unknown","Institute for Apprenticeships and Technical Education","Outside London","10","10","[c]","[c]"
"In post","2021","Unknown","Legal Aid Agency","London","10","10","[c]","[c]"
"In post","2021","Unknown","Legal Aid Agency","Outside London","125","115","22020","19930"
"In post","2021","Unknown","Maritime and Coastguard Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Maritime and Coastguard Agency","Outside London","120","115","30200","26590"
"In post","2021","Unknown","Medicines and Healthcare Products Regulatory Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Met Office","London","5","5","[c]","[c]"
"In post","2021","Unknown","Met Office","Outside London","250","235","39340","39650"
"In post","2021","Unknown","Met Office","Overseas","5","5","[c]","[c]"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","London","365","360","42500","40640"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Outside London","2385","2295","30740","26670"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Overseas","215","210","44980","41800"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Unknown","50","50","38850","36940"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","London","160","160","47970","45680"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","Outside London","65","60","41380","37710"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","London","660","650","43100","37920"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Outside London","210","210","37750","33870"
"In post","2021","Unknown","National Crime Agency","London","200","195","45350","42350"
"In post","2021","Unknown","National Crime Agency","Outside London","435","420","38270","36740"
"In post","2021","Unknown","National Crime Agency","Overseas","20","20","[c]","[c]"
"In post","2021","Unknown","National Crime Agency","Unknown","20","20","[c]","[c]"
"In post","2021","Unknown","National Infrastructure Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","National Records of Scotland","Outside London","85","80","32810","26160"
"In post","2021","Unknown","Northern Ireland Office","London","30","30","46200","41690"
"In post","2021","Unknown","Northern Ireland Office","Outside London","30","30","35490","32390"
"In post","2021","Unknown","Office for Budget Responsibility","London","35","35","51010","54690"
"In post","2021","Unknown","Office for Standards in Education, Children's Services and Skills","London","15","15","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education, Children's Services and Skills","Outside London","35","30","40520","31700"
"In post","2021","Unknown","Office of Gas and Electricity Markets","London","20","20","[c]","[c]"
"In post","2021","Unknown","Office of Gas and Electricity Markets","Outside London","10","10","[c]","[c]"
"In post","2021","Unknown","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of the Public Guardian","Outside London","190","175","20800","19930"
"In post","2021","Unknown","Office of the Scottish Charity Regulator","Outside London","5","5","[c]","[c]"
"In post","2021","Unknown","Planning Inspectorate","Outside London","80","75","38330","40720"
"In post","2021","Unknown","Public Health England","London","95","85","49060","44310"
"In post","2021","Unknown","Public Health England","Outside London","70","60","47480","38860"
"In post","2021","Unknown","Registers of Scotland","Outside London","165","160","31960","30080"
"In post","2021","Unknown","Revenue Scotland","Outside London","10","10","[c]","[c]"
"In post","2021","Unknown","Royal Fleet Auxiliary","Unknown","1835","1835","37620","34460"
"In post","2021","Unknown","Rural Payments Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Rural Payments Agency","Outside London","755","720","24870","21050"
"In post","2021","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","London","25","25","[c]","[c]"
"In post","2021","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","Outside London","25","25","[c]","[c]"
"In post","2021","Unknown","Scottish Courts and Tribunals Service","Outside London","1665","1505","27550","22820"
"In post","2021","Unknown","Scottish Fiscal Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scottish Forestry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scottish Government (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","Unknown","Scottish Government (excl. agencies)","Outside London","1305","1260","39750","34550"
"In post","2021","Unknown","Scottish Government (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scottish Housing Regulator","Outside London","5","5","[c]","[c]"
"In post","2021","Unknown","Scottish Prison Service","Outside London","2435","2290","30060","30930"
"In post","2021","Unknown","Scottish Public Pensions Agency","Outside London","65","60","29880","24110"
"In post","2021","Unknown","Serious Fraud Office","London","120","115","47690","41450"
"In post","2021","Unknown","Social Security Scotland","Outside London","215","205","29780","26160"
"In post","2021","Unknown","Standards and Testing Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Standards and Testing Agency","Outside London","10","10","[c]","[c]"
"In post","2021","Unknown","Student Awards Agency for Scotland","Outside London","120","115","25580","22230"
"In post","2021","Unknown","Submarine Delivery Agency","Outside London","115","115","38570","32710"
"In post","2021","Unknown","Submarine Delivery Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Teaching Regulation Agency","Outside London","10","10","[c]","[c]"
"In post","2021","Unknown","The National Archives","London","130","125","34410","30360"
"In post","2021","Unknown","Transport Scotland","Outside London","95","95","42020","42190"
"In post","2021","Unknown","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","UK Hydrographic Office","Outside London","200","195","34250","33290"
"In post","2021","Unknown","UK Hydrographic Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","UK Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","UK Intellectual Property Office","Outside London","430","415","33980","26970"
"In post","2021","Unknown","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","London","85","85","39670","32540"
"In post","2021","Unknown","United Kingdom Statistics Authority","Outside London","1005","905","29450","29540"
"In post","2021","Unknown","Valuation Office Agency","London","155","150","37490","32660"
"In post","2021","Unknown","Valuation Office Agency","Outside London","765","705","28880","25860"
"In post","2021","Unknown","Vehicle Certification Agency","Outside London","10","10","[c]","[c]"
"In post","2021","Unknown","Veterinary Medicines Directorate","Outside London","20","20","[c]","[c]"
"In post","2021","Unknown","Wales Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Wales Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Water Services Regulation Authority","London","10","10","[c]","[c]"
"In post","2021","Unknown","Water Services Regulation Authority","Outside London","25","25","[c]","[c]"
"In post","2021","Unknown","Welsh Government (excl. agencies)","Outside London","110","105","36440","28850"
"In post","2021","Unknown","Welsh Government (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Welsh Revenue Authority","Outside London","70","70","45660","43760"
"In post","2021","Unknown","Wilton Park","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","White","Accountant in Bankruptcy","Outside London","95","85","32680","29190"
"In post","2021","White","Advisory, Conciliation and Arbitration Service","London","105","100","44680","39390"
"In post","2021","White","Advisory, Conciliation and Arbitration Service","Outside London","550","500","32760","31160"
"In post","2021","White","Animal and Plant Health Agency","London","75","75","37250","31800"
"In post","2021","White","Animal and Plant Health Agency","Outside London","2080","1965","30410","26520"
"In post","2021","White","Attorney General's Office","London","15","15","[c]","[c]"
"In post","2021","White","Cabinet Office (excl. agencies)","London","2960","2905","53080","54700"
"In post","2021","White","Cabinet Office (excl. agencies)","Outside London","1090","1035","36840","33300"
"In post","2021","White","Cabinet Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","White","Cabinet Office (excl. agencies)","Unknown","125","120","41300","36460"
"In post","2021","White","Centre for Environment, Fisheries and Aquaculture Science","Outside London","565","535","34030","29750"
"In post","2021","White","Charity Commission","London","40","40","42870","37910"
"In post","2021","White","Charity Commission","Outside London","285","270","33160","29160"
"In post","2021","White","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2021","White","Companies House","Outside London","870","795","31150","27460"
"In post","2021","White","Competition and Markets Authority","London","515","495","64350","59940"
"In post","2021","White","Competition and Markets Authority","Outside London","50","50","57500","55860"
"In post","2021","White","Criminal Injuries Compensation Authority","Outside London","220","200","26700","22710"
"In post","2021","White","Crown Commercial Service","London","35","35","51390","49300"
"In post","2021","White","Crown Commercial Service","Outside London","540","525","37470","34800"
"In post","2021","White","Crown Office and Procurator Fiscal Service","Outside London","1875","1735","35460","29040"
"In post","2021","White","Crown Prosecution Service","London","795","755","48650","50520"
"In post","2021","White","Crown Prosecution Service","Outside London","3925","3630","40440","37440"
"In post","2021","White","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","White","Crown Prosecution Service Inspectorate","London","10","5","[c]","[c]"
"In post","2021","White","Crown Prosecution Service Inspectorate","Outside London","5","5","[c]","[c]"
"In post","2021","White","Debt Management Office","London","70","70","64930","57280"
"In post","2021","White","Defence Electronics and Components Agency","Outside London","390","375","28680","28750"
"In post","2021","White","Defence Equipment and Support","London","110","110","27410","25000"
"In post","2021","White","Defence Equipment and Support","Outside London","8565","8255","36800","33900"
"In post","2021","White","Defence Equipment and Support","Overseas","35","35","42700","41960"
"In post","2021","White","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Defence Science and Technology Laboratory","London","[c]","[c]","[c]","[c]"
"In post","2021","White","Defence Science and Technology Laboratory","Outside London","3500","3355","40710","37840"
"In post","2021","White","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","3170","3095","51280","53380"
"In post","2021","White","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","295","280","43860","37090"
"In post","2021","White","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","London","1170","1150","50800","51730"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Outside London","50","50","42420","34020"
"In post","2021","White","Department for Education (excl. agencies)","London","1255","1205","53090","53760"
"In post","2021","White","Department for Education (excl. agencies)","Outside London","2645","2535","41730","37100"
"In post","2021","White","Department for Education (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2021","White","Department for Environment, Food and Rural Affairs (excl. agencies)","London","1550","1505","46540","40890"
"In post","2021","White","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","2220","2125","40280","36970"
"In post","2021","White","Department for International Trade","London","1115","1100","47410","43100"
"In post","2021","White","Department for International Trade","Outside London","145","140","45930","48220"
"In post","2021","White","Department for International Trade","Overseas","95","95","55110","54470"
"In post","2021","White","Department for Transport (excl. agencies)","London","1740","1695","51690","54110"
"In post","2021","White","Department for Transport (excl. agencies)","Outside London","300","285","45260","38650"
"In post","2021","White","Department for Transport (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Work and Pensions (excl. agencies)","London","3225","3045","37330","31060"
"In post","2021","White","Department for Work and Pensions (excl. agencies)","Outside London","63400","56170","26990","27570"
"In post","2021","White","Department for Work and Pensions (excl. agencies)","Unknown","590","550","30820","27570"
"In post","2021","White","Department of Health and Social Care (excl. agencies)","London","820","795","52640","53360"
"In post","2021","White","Department of Health and Social Care (excl. agencies)","Outside London","510","495","44990","42480"
"In post","2021","White","Disclosure Scotland","Outside London","210","195","29390","24910"
"In post","2021","White","Driver and Vehicle Licensing Agency","Outside London","5195","4555","26040","21590"
"In post","2021","White","Driver and Vehicle Standards Agency","London","185","175","32410","30780"
"In post","2021","White","Driver and Vehicle Standards Agency","Outside London","3040","2830","29870","26780"
"In post","2021","White","Education and Skills Funding Agency","London","175","170","53520","54160"
"In post","2021","White","Education and Skills Funding Agency","Outside London","1105","1070","40820","36960"
"In post","2021","White","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Education Scotland","Outside London","205","195","58580","66290"
"In post","2021","White","ESTYN","Outside London","110","100","57700","74730"
"In post","2021","White","FCDO Services","London","130","125","49250","45380"
"In post","2021","White","FCDO Services","Outside London","635","610","38940","34770"
"In post","2021","White","FCDO Services","Overseas","105","105","41310","40330"
"In post","2021","White","Food Standards Agency","London","330","325","43310","40960"
"In post","2021","White","Food Standards Agency","Outside London","735","715","34270","30350"
"In post","2021","White","Food Standards Scotland","Outside London","145","140","35940","30650"
"In post","2021","White","Foreign, Commonwealth and Development Office (excl. agencies)","London","2580","2515","51710","51000"
"In post","2021","White","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","875","840","38920","33930"
"In post","2021","White","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","1545","1540","53290","54470"
"In post","2021","White","Forestry and Land Scotland","Outside London","900","870","31740","30160"
"In post","2021","White","Government Actuary's Department","London","125","120","74770","71620"
"In post","2021","White","Government Actuary's Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","White","Government Internal Audit Agency","London","105","95","55690","54130"
"In post","2021","White","Government Internal Audit Agency","Outside London","245","230","46180","44150"
"In post","2021","White","Government Legal Department","London","1505","1400","55800","52100"
"In post","2021","White","Government Legal Department","Outside London","65","55","55470","54590"
"In post","2021","White","Government Property Agency","London","55","55","54410","54700"
"In post","2021","White","Government Property Agency","Outside London","90","90","51220","49700"
"In post","2021","White","Government Property Agency","Unknown","5","5","[c]","[c]"
"In post","2021","White","Health and Safety Executive","London","95","90","52110","49480"
"In post","2021","White","Health and Safety Executive","Outside London","1835","1720","42250","40020"
"In post","2021","White","HM Courts and Tribunals Service","London","1860","1735","31580","26410"
"In post","2021","White","HM Courts and Tribunals Service","Outside London","9250","8160","23580","20100"
"In post","2021","White","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","HM Land Registry","London","205","195","42740","37290"
"In post","2021","White","HM Land Registry","Outside London","4490","4020","31160","27130"
"In post","2021","White","HM Prison and Probation Service","London","3160","3040","38360","34940"
"In post","2021","White","HM Prison and Probation Service","Outside London","38215","35900","29860","28200"
"In post","2021","White","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","HM Revenue and Customs (excl. agencies)","London","3665","3475","47720","41760"
"In post","2021","White","HM Revenue and Customs (excl. agencies)","Outside London","35145","31845","30650","27230"
"In post","2021","White","HM Treasury (excl. agencies)","London","1395","1365","49380","52500"
"In post","2021","White","HM Treasury (excl. agencies)","Outside London","55","55","30160","23780"
"In post","2021","White","Home Office (incl. agencies)","London","6500","6150","44300","41410"
"In post","2021","White","Home Office (incl. agencies)","Outside London","17345","15915","27310","25220"
"In post","2021","White","Home Office (incl. agencies)","Overseas","220","215","28480","27370"
"In post","2021","White","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Insolvency Service","London","135","130","45840","43870"
"In post","2021","White","Insolvency Service","Outside London","785","745","33610","32060"
"In post","2021","White","Institute for Apprenticeships and Technical Education","London","55","55","59260","54390"
"In post","2021","White","Institute for Apprenticeships and Technical Education","Outside London","70","65","45100","49960"
"In post","2021","White","Legal Aid Agency","London","115","110","46360","41300"
"In post","2021","White","Legal Aid Agency","Outside London","770","720","26700","22570"
"In post","2021","White","Maritime and Coastguard Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","White","Maritime and Coastguard Agency","Outside London","900","865","37180","33350"
"In post","2021","White","Medicines and Healthcare Products Regulatory Agency","London","525","505","55240","53620"
"In post","2021","White","Medicines and Healthcare Products Regulatory Agency","Outside London","215","205","45930","41130"
"In post","2021","White","Met Office","London","30","30","43240","43290"
"In post","2021","White","Met Office","Outside London","1590","1520","40260","39650"
"In post","2021","White","Met Office","Overseas","20","20","[c]","[c]"
"In post","2021","White","Ministry of Defence (excl. agencies)","London","2470","2415","43590","39420"
"In post","2021","White","Ministry of Defence (excl. agencies)","Outside London","27530","26540","30670","26670"
"In post","2021","White","Ministry of Defence (excl. agencies)","Overseas","450","450","41970","38290"
"In post","2021","White","Ministry of Defence (excl. agencies)","Unknown","150","145","31590","27370"
"In post","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","London","1195","1175","50420","53130"
"In post","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Outside London","530","505","39640","36340"
"In post","2021","White","Ministry of Justice (excl. agencies)","London","1880","1830","47140","41800"
"In post","2021","White","Ministry of Justice (excl. agencies)","Outside London","1370","1325","37810","34090"
"In post","2021","White","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","National Crime Agency","London","1120","1095","45200","42480"
"In post","2021","White","National Crime Agency","Outside London","2840","2770","37390","36410"
"In post","2021","White","National Crime Agency","Overseas","105","105","66090","62570"
"In post","2021","White","National Crime Agency","Unknown","70","70","45330","44460"
"In post","2021","White","National Infrastructure Commission","London","35","35","56330","52360"
"In post","2021","White","National Records of Scotland","Outside London","340","320","34840","32140"
"In post","2021","White","National Savings and Investments","London","100","100","54220","47430"
"In post","2021","White","National Savings and Investments","Outside London","35","35","46200","42670"
"In post","2021","White","Northern Ireland Office","London","40","40","53890","52850"
"In post","2021","White","Northern Ireland Office","Outside London","55","50","39700","35200"
"In post","2021","White","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
"In post","2021","White","Office for Standards in Education, Children's Services and Skills","London","350","340","59110","59220"
"In post","2021","White","Office for Standards in Education, Children's Services and Skills","Outside London","1170","1125","47790","48860"
"In post","2021","White","Office of Gas and Electricity Markets","London","425","415","52960","48360"
"In post","2021","White","Office of Gas and Electricity Markets","Outside London","430","425","36990","31720"
"In post","2021","White","Office of Qualifications and Examinations Regulation","Outside London","205","195","47180","42000"
"In post","2021","White","Office of Rail and Road","London","145","135","58910","57110"
"In post","2021","White","Office of Rail and Road","Outside London","85","85","53650","53560"
"In post","2021","White","Office of the Public Guardian","London","5","5","[c]","[c]"
"In post","2021","White","Office of the Public Guardian","Outside London","590","550","23070","21170"
"In post","2021","White","Office of the Scottish Charity Regulator","Outside London","45","40","37880","35110"
"In post","2021","White","Planning Inspectorate","Outside London","700","635","44460","47660"
"In post","2021","White","Public Health England","London","1735","1595","49340","41990"
"In post","2021","White","Public Health England","Outside London","3005","2735","41040","36330"
"In post","2021","White","Queen Elizabeth II Centre","London","35","35","41080","34720"
"In post","2021","White","Registers of Scotland","Outside London","945","900","33060","30080"
"In post","2021","White","Revenue Scotland","Outside London","45","40","42820","35110"
"In post","2021","White","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Rural Payments Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","White","Rural Payments Agency","Outside London","1265","1125","27500","25190"
"In post","2021","White","Scotland Office (incl. Office of the Advocate General for Scotland)","London","10","10","[c]","[c]"
"In post","2021","White","Scotland Office (incl. Office of the Advocate General for Scotland)","Outside London","55","50","50300","48930"
"In post","2021","White","Scottish Courts and Tribunals Service","Outside London","125","120","32830","29350"
"In post","2021","White","Scottish Fiscal Commission","Outside London","20","15","[c]","[c]"
"In post","2021","White","Scottish Forestry","Outside London","185","170","35600","35330"
"In post","2021","White","Scottish Government (excl. agencies)","London","15","15","[c]","[c]"
"In post","2021","White","Scottish Government (excl. agencies)","Outside London","6145","5875","43690","39660"
"In post","2021","White","Scottish Government (excl. agencies)","Overseas","10","10","[c]","[c]"
"In post","2021","White","Scottish Housing Regulator","Outside London","40","40","53460","51540"
"In post","2021","White","Scottish Prison Service","Outside London","1640","1540","33760","33650"
"In post","2021","White","Scottish Public Pensions Agency","Outside London","220","200","29600","26160"
"In post","2021","White","Serious Fraud Office","London","275","270","47520","41140"
"In post","2021","White","Social Security Scotland","Outside London","875","850","31960","27150"
"In post","2021","White","Standards and Testing Agency","London","25","25","[c]","[c]"
"In post","2021","White","Standards and Testing Agency","Outside London","60","60","41640","37100"
"In post","2021","White","Student Awards Agency for Scotland","Outside London","115","110","34190","30650"
"In post","2021","White","Submarine Delivery Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","White","Submarine Delivery Agency","Outside London","1450","1415","41800","39860"
"In post","2021","White","Submarine Delivery Agency","Overseas","20","20","[c]","[c]"
"In post","2021","White","Teaching Regulation Agency","Outside London","45","45","33980","29910"
"In post","2021","White","The National Archives","London","335","320","36670","34260"
"In post","2021","White","Transport Scotland","Outside London","380","365","45130","42190"
"In post","2021","White","UK Export Finance","London","265","260","56280","50430"
"In post","2021","White","UK Hydrographic Office","Outside London","580","555","34800","33290"
"In post","2021","White","UK Hydrographic Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","White","UK Intellectual Property Office","London","10","10","[c]","[c]"
"In post","2021","White","UK Intellectual Property Office","Outside London","965","905","38990","38820"
"In post","2021","White","UK Space Agency","London","60","60","50230","40220"
"In post","2021","White","UK Space Agency","Outside London","80","80","46760","49080"
"In post","2021","White","UK Supreme Court","London","35","35","41260","37230"
"In post","2021","White","United Kingdom Statistics Authority","London","240","235","44980","39030"
"In post","2021","White","United Kingdom Statistics Authority","Outside London","3830","3390","32500","29540"
"In post","2021","White","Valuation Office Agency","London","290","270","44180","38430"
"In post","2021","White","Valuation Office Agency","Outside London","1835","1695","33470","31100"
"In post","2021","White","Vehicle Certification Agency","Outside London","165","155","34920","34290"
"In post","2021","White","Vehicle Certification Agency","Overseas","5","5","[c]","[c]"
"In post","2021","White","Veterinary Medicines Directorate","Outside London","125","120","43120","39510"
"In post","2021","White","Wales Office","London","15","15","[c]","[c]"
"In post","2021","White","Wales Office","Outside London","20","20","[c]","[c]"
"In post","2021","White","Water Services Regulation Authority","London","55","50","75710","72280"
"In post","2021","White","Water Services Regulation Authority","Outside London","115","105","53460","50220"
"In post","2021","White","Welsh Government (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","White","Welsh Government (excl. agencies)","Outside London","5190","4900","41050","37410"
"In post","2021","White","Welsh Government (excl. agencies)","Overseas","5","5","[c]","[c]"
"In post","2021","White","Welsh Revenue Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","White","Wilton Park","Outside London","80","75","33860","28680"
"Leaver CS","2021","Asian","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Animal and Plant Health Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Animal and Plant Health Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Cabinet Office (excl. agencies)","London","15","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Charity Commission","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Companies House","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Competition and Markets Authority","London","10","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Criminal Injuries Compensation Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Crown Office and Procurator Fiscal Service","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Crown Prosecution Service","London","5","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Crown Prosecution Service","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Crown Prosecution Service Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Debt Management Office","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Defence Equipment and Support","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Defence Equipment and Support","Outside London","5","[c]","[c]","[c]"
