"Status","Year","Parent_department","Region_ITL2","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Outer London - East and North East","Bexley and Greenwich","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - East and North East","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - East and North East","Redbridge and Waltham Forest","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - East and North East","Redbridge and Waltham Forest","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - East and North East","Redbridge and Waltham Forest","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - South","Croydon","Heterosexual / straight","60","55","40180","34460"
"In post","2021","Attorney General's Departments","Outer London - South","Croydon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - South","Croydon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - South","Croydon","Unknown","25","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - South","Merton, Kingston upon Thames and Sutton","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - South","Merton, Kingston upon Thames and Sutton","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - West and North West","Harrow and Hillingdon","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - West and North West","Harrow and Hillingdon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - West and North West","Harrow and Hillingdon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - West and North West","Harrow and Hillingdon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - West and North West","Hounslow and Richmond upon Thames","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - West and North West","Hounslow and Richmond upon Thames","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - West and North West","Hounslow and Richmond upon Thames","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - West and North West","Hounslow and Richmond upon Thames","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Shropshire and Staffordshire","Shropshire CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Shropshire and Staffordshire","Shropshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Shropshire and Staffordshire","Shropshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Shropshire and Staffordshire","Staffordshire CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Shropshire and Staffordshire","Staffordshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Shropshire and Staffordshire","Staffordshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Shropshire and Staffordshire","Stoke-on-Trent","Heterosexual / straight","50","45","40670","43420"
"In post","2021","Attorney General's Departments","Shropshire and Staffordshire","Stoke-on-Trent","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Shropshire and Staffordshire","Stoke-on-Trent","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Shropshire and Staffordshire","Stoke-on-Trent","Unknown","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","South Yorkshire","Sheffield","Heterosexual / straight","85","75","34710","28430"
"In post","2021","Attorney General's Departments","South Yorkshire","Sheffield","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South Yorkshire","Sheffield","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South Yorkshire","Sheffield","Unknown","50","45","38140","28430"
"In post","2021","Attorney General's Departments","Surrey, East and West Sussex","Brighton and Hove","Heterosexual / straight","75","70","44500","40000"
"In post","2021","Attorney General's Departments","Surrey, East and West Sussex","Brighton and Hove","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Surrey, East and West Sussex","Brighton and Hove","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Surrey, East and West Sussex","Brighton and Hove","Unknown","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Surrey, East and West Sussex","West Surrey","Heterosexual / straight","35","35","39700","40000"
"In post","2021","Attorney General's Departments","Surrey, East and West Sussex","West Surrey","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Surrey, East and West Sussex","West Surrey","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Surrey, East and West Sussex","West Surrey","Unknown","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Surrey, East and West Sussex","West Sussex (North East)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Surrey, East and West Sussex","West Sussex (North East)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Tees Valley and Durham","South Teesside","Heterosexual / straight","65","60","37080","28430"
"In post","2021","Attorney General's Departments","Tees Valley and Durham","South Teesside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Tees Valley and Durham","South Teesside","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Tees Valley and Durham","South Teesside","Unknown","25","20","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands","Birmingham","Heterosexual / straight","340","320","38910","38000"
"In post","2021","Attorney General's Departments","West Midlands","Birmingham","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands","Birmingham","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands","Birmingham","Unknown","130","120","41500","38760"
"In post","2021","Attorney General's Departments","West Midlands","Wolverhampton","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands","Wolverhampton","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands","Wolverhampton","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Wales and The Valleys","Bridgend and Neath Port Talbot","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Wales and The Valleys","Bridgend and Neath Port Talbot","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Wales and The Valleys","Bridgend and Neath Port Talbot","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Wales and The Valleys","Bridgend and Neath Port Talbot","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Wales and The Valleys","Central Valleys","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Wales and The Valleys","Central Valleys","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Wales and The Valleys","Central Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Wales and The Valleys","Swansea","Heterosexual / straight","50","45","39640","34480"
"In post","2021","Attorney General's Departments","West Wales and The Valleys","Swansea","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Wales and The Valleys","Swansea","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Wales and The Valleys","Swansea","Unknown","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","West Yorkshire","Leeds","Heterosexual / straight","245","230","43060","48080"
"In post","2021","Attorney General's Departments","West Yorkshire","Leeds","LGBO","20","20","[c]","[c]"
