"Status","Year","Age","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","50-59","Analysis","Charity Commission","Charity Commission","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","Competition and Markets Authority","Competition and Markets Authority","25","25","69490","59140"
"In post","2021","50-59","Analysis","Crown Prosecution Service","Attorney General's Departments","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","Debt Management Office","HM Treasury","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","65","65","46180","46130"
"In post","2021","50-59","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","25","25","53440","54600"
"In post","2021","50-59","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","Department for Education (excl. agencies)","Department for Education","50","50","44500","42580"
"In post","2021","50-59","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","25","25","39230","31820"
"In post","2021","50-59","Analysis","Department for International Trade","Department for International Trade","15","15","48480","32240"
"In post","2021","50-59","Analysis","Department for Transport (excl. agencies)","Department for Transport","25","25","55560","59540"
"In post","2021","50-59","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","35","35","55140","54480"
"In post","2021","50-59","Analysis","Driver and Vehicle Licensing Agency","Department for Transport","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","Driver and Vehicle Standards Agency","Department for Transport","25","25","29110","26780"
"In post","2021","50-59","Analysis","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","20","15","62870","69390"
"In post","2021","50-59","Analysis","Government Actuary's Department","Chancellor's other departments","20","15","97940","91870"
"In post","2021","50-59","Analysis","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Health and Safety Executive","Department for Work and Pensions","15","15","46570","39390"
"In post","2021","50-59","Analysis","HM Land Registry","HM Land Registry","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","90","85","51210","45960"
"In post","2021","50-59","Analysis","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Insolvency Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","25","20","43960","40580"
"In post","2021","50-59","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","25","25","53200","57050"
"In post","2021","50-59","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","50","45","51580","48120"
"In post","2021","50-59","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","20","20","40550","39850"
"In post","2021","50-59","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","15","15","74520","66940"
"In post","2021","50-59","Analysis","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Planning Inspectorate","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2021","50-59","Analysis","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","205","195","42000","37020"
"In post","2021","50-59","Analysis","Valuation Office Agency","HM Revenue and Customs","10","10","53510","53000"
"In post","2021","50-59","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","15","15","40150","38970"
"In post","2021","50-59","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","445","440","78090","66940"
"In post","2021","50-59","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Crown Commercial Service","Other Cabinet Office Agencies","90","90","36250","34800"
"In post","2021","50-59","Commercial","Crown Prosecution Service","Attorney General's Departments","5","5","[c]","[c]"
"In post","2021","50-59","Commercial","Defence Electronics and Components Agency","Ministry of Defence","10","10","[c]","[c]"
"In post","2021","50-59","Commercial","Defence Equipment and Support","Ministry of Defence","85","85","50820","43970"
"In post","2021","50-59","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","20","20","38630","37320"
"In post","2021","50-59","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2021","50-59","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Department for Education (excl. agencies)","Department for Education","45","45","42810","40960"
"In post","2021","50-59","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","40","35","40990","37410"
"In post","2021","50-59","Commercial","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","30","30","51070","40650"
"In post","2021","50-59","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","35","30","35680","33350"
"In post","2021","50-59","Commercial","Driver and Vehicle Standards Agency","Department for Transport","10","10","44430","42520"
"In post","2021","50-59","Commercial","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","35","35","51530","51460"
"In post","2021","50-59","Commercial","Food Standards Agency","Food Standards Agency","5","5","[c]","[c]"
"In post","2021","50-59","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","25","25","43680","43700"
"In post","2021","50-59","Commercial","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Health and Safety Executive","Department for Work and Pensions","20","15","40970","36800"
"In post","2021","50-59","Commercial","HM Land Registry","HM Land Registry","5","5","[c]","[c]"
"In post","2021","50-59","Commercial","HM Prison and Probation Service","Ministry of Justice","260","255","54280","52370"
"In post","2021","50-59","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","50","45","40510","38630"
"In post","2021","50-59","Commercial","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","5","5","[c]","[c]"
"In post","2021","50-59","Commercial","Legal Aid Agency","Ministry of Justice","55","55","38690","40560"
"In post","2021","50-59","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","45","45","46710","47960"
"In post","2021","50-59","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","520","505","36690","34800"
"In post","2021","50-59","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","55","55","32940","30850"
"In post","2021","50-59","Commercial","National Crime Agency","National Crime Agency","5","5","[c]","[c]"
"In post","2021","50-59","Commercial","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","5","5","[c]","[c]"
"In post","2021","50-59","Commercial","Planning Inspectorate","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Public Health England","Department of Health and Social Care","15","15","46610","43390"
"In post","2021","50-59","Commercial","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Scottish Prison Service","Scottish Government","30","30","33160","25870"
"In post","2021","50-59","Commercial","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Submarine Delivery Agency","Ministry of Defence","35","35","48720","42220"
"In post","2021","50-59","Commercial","The National Archives","The National Archives","20","15","33110","27850"
"In post","2021","50-59","Commercial","UK Export Finance","UK Export Finance","55","55","61050","51600"
"In post","2021","50-59","Commercial","UK Hydrographic Office","Ministry of Defence","10","10","47430","42510"
"In post","2021","50-59","Commercial","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","United Kingdom Statistics Authority","United Kingdom Statistics Authority","10","10","[c]","[c]"
"In post","2021","50-59","Commercial","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2021","50-59","Communications","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Cabinet Office (excl. agencies)","Cabinet Office","30","30","60450","60640"
"In post","2021","50-59","Communications","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Charity Commission","Charity Commission","10","10","38670","34260"
"In post","2021","50-59","Communications","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Crown Prosecution Service","Attorney General's Departments","10","10","47090","42210"
"In post","2021","50-59","Communications","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Defence Equipment and Support","Ministry of Defence","105","105","27510","23830"
"In post","2021","50-59","Communications","Defence Science and Technology Laboratory","Ministry of Defence","10","10","[c]","[c]"
"In post","2021","50-59","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2021","50-59","Communications","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Department for Education (excl. agencies)","Department for Education","35","35","36180","30210"
"In post","2021","50-59","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","40","40","41650","37840"
"In post","2021","50-59","Communications","Department for International Trade","Department for International Trade","5","5","[c]","[c]"
"In post","2021","50-59","Communications","Department for Transport (excl. agencies)","Department for Transport","10","10","50800","46710"
"In post","2021","50-59","Communications","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","25","25","47610","41890"
"In post","2021","50-59","Communications","Driver and Vehicle Licensing Agency","Department for Transport","10","10","36750","29480"
"In post","2021","50-59","Communications","Driver and Vehicle Standards Agency","Department for Transport","20","20","33200","31620"
"In post","2021","50-59","Communications","Education and Skills Funding Agency","Department for Education","25","25","45380","40300"
"In post","2021","50-59","Communications","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Food Standards Agency","Food Standards Agency","5","5","[c]","[c]"
"In post","2021","50-59","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","10","10","[c]","[c]"
"In post","2021","50-59","Communications","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Health and Safety Executive","Department for Work and Pensions","15","15","42690","36780"
"In post","2021","50-59","Communications","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","HM Land Registry","HM Land Registry","10","10","37000","35560"
"In post","2021","50-59","Communications","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","670","630","30810","28130"
"In post","2021","50-59","Communications","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Maritime and Coastguard Agency","Department for Transport","5","5","[c]","[c]"
"In post","2021","50-59","Communications","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","15","15","41500","36690"
"In post","2021","50-59","Communications","Met Office","Department for Business, Energy and Industrial Strategy","10","10","38400","37860"
"In post","2021","50-59","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","150","150","33730","29200"
"In post","2021","50-59","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","15","15","43560","45720"
"In post","2021","50-59","Communications","Ministry of Justice (excl. agencies)","Ministry of Justice","10","10","[c]","[c]"
"In post","2021","50-59","Communications","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","5","5","[c]","[c]"
"In post","2021","50-59","Communications","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Planning Inspectorate","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Public Health England","Department of Health and Social Care","15","15","48110","46030"
"In post","2021","50-59","Communications","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Rural Payments Agency","Department for Environment, Food and Rural Affairs","25","25","32900","26520"
"In post","2021","50-59","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","UK Export Finance","UK Export Finance","5","5","[c]","[c]"
"In post","2021","50-59","Communications","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","United Kingdom Statistics Authority","United Kingdom Statistics Authority","20","20","38050","36030"
"In post","2021","50-59","Communications","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Communications","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Counter Fraud","Cabinet Office (excl. agencies)","Cabinet Office","20","20","50480","54700"
"In post","2021","50-59","Counter Fraud","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Counter Fraud","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Counter Fraud","Driver and Vehicle Licensing Agency","Department for Transport","10","5","[c]","[c]"
"In post","2021","50-59","Counter Fraud","Driver and Vehicle Standards Agency","Department for Transport","15","15","30350","26780"
"In post","2021","50-59","Counter Fraud","Food Standards Agency","Food Standards Agency","30","25","41360","37910"
"In post","2021","50-59","Counter Fraud","Government Internal Audit Agency","HM Treasury","15","15","42270","39980"
"In post","2021","50-59","Counter Fraud","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","2945","2795","34820","31810"
"In post","2021","50-59","Counter Fraud","Insolvency Service","Department for Business, Energy and Industrial Strategy","90","90","40960","39490"
"In post","2021","50-59","Counter Fraud","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Counter Fraud","Serious Fraud Office","Attorney General's Departments","70","70","53450","52750"
"In post","2021","50-59","Counter Fraud","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Debt","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Debt","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Debt","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","1250","1120","24670","21440"
"In post","2021","50-59","Debt","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","10","10","48810","47750"
"In post","2021","50-59","Digital, Data & Technology","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Cabinet Office (excl. agencies)","Cabinet Office","105","105","54800","54700"
"In post","2021","50-59","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Charity Commission","Charity Commission","10","10","35890","37910"
"In post","2021","50-59","Digital, Data & Technology","Companies House","Department for Business, Energy and Industrial Strategy","55","50","40080","38000"
"In post","2021","50-59","Digital, Data & Technology","Competition and Markets Authority","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Crown Commercial Service","Other Cabinet Office Agencies","15","15","43440","40730"
"In post","2021","50-59","Digital, Data & Technology","Crown Office and Procurator Fiscal Service","Scottish Government","15","15","39740","36150"
"In post","2021","50-59","Digital, Data & Technology","Crown Prosecution Service","Attorney General's Departments","35","30","42720","39030"
"In post","2021","50-59","Digital, Data & Technology","Debt Management Office","HM Treasury","15","15","60230","60000"
"In post","2021","50-59","Digital, Data & Technology","Defence Electronics and Components Agency","Ministry of Defence","5","5","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Defence Equipment and Support","Ministry of Defence","15","15","40120","39370"
"In post","2021","50-59","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","40","40","49720","43960"
"In post","2021","50-59","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Department for Education (excl. agencies)","Department for Education","95","90","38980","36640"
"In post","2021","50-59","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","205","200","47050","48370"
"In post","2021","50-59","Digital, Data & Technology","Department for International Trade","Department for International Trade","15","15","43460","37060"
"In post","2021","50-59","Digital, Data & Technology","Department for Transport (excl. agencies)","Department for Transport","35","35","41340","37660"
"In post","2021","50-59","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","40","40","40770","37500"
"In post","2021","50-59","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Department for Transport","165","160","43910","41230"
"In post","2021","50-59","Digital, Data & Technology","Driver and Vehicle Standards Agency","Department for Transport","35","35","37650","38650"
"In post","2021","50-59","Digital, Data & Technology","Education and Skills Funding Agency","Department for Education","35","35","43880","46870"
"In post","2021","50-59","Digital, Data & Technology","FCDO Services","Foreign, Commonwealth and Development Office","30","30","47800","43170"
"In post","2021","50-59","Digital, Data & Technology","Food Standards Agency","Food Standards Agency","15","15","41950","37910"
"In post","2021","50-59","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","55","55","47180","44050"
"In post","2021","50-59","Digital, Data & Technology","Forestry and Land Scotland","Scottish Government","10","10","38180","37530"
"In post","2021","50-59","Digital, Data & Technology","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Health and Safety Executive","Department for Work and Pensions","25","25","40130","32580"
"In post","2021","50-59","Digital, Data & Technology","HM Courts and Tribunals Service","Ministry of Justice","45","45","39470","35160"
"In post","2021","50-59","Digital, Data & Technology","HM Land Registry","HM Land Registry","190","180","40360","38450"
"In post","2021","50-59","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","770","745","42070","38630"
"In post","2021","50-59","Digital, Data & Technology","HM Treasury (excl. agencies)","HM Treasury","5","5","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Insolvency Service","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Maritime and Coastguard Agency","Department for Transport","20","20","44150","40070"
"In post","2021","50-59","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","15","15","50340","42160"
"In post","2021","50-59","Digital, Data & Technology","Met Office","Department for Business, Energy and Industrial Strategy","220","210","45030","42000"
"In post","2021","50-59","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Ministry of Defence","260","255","33110","33000"
"In post","2021","50-59","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","30","30","40180","38160"
"In post","2021","50-59","Digital, Data & Technology","Ministry of Justice (excl. agencies)","Ministry of Justice","180","180","50140","47590"
"In post","2021","50-59","Digital, Data & Technology","National Crime Agency","National Crime Agency","70","65","46360","45880"
"In post","2021","50-59","Digital, Data & Technology","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","15","15","54990","59810"
"In post","2021","50-59","Digital, Data & Technology","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","10","10","48100","46410"
"In post","2021","50-59","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Planning Inspectorate","Ministry of Housing, Communities and Local Government","10","10","40180","40720"
"In post","2021","50-59","Digital, Data & Technology","Public Health England","Department of Health and Social Care","20","20","48720","48810"
"In post","2021","50-59","Digital, Data & Technology","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Registers of Scotland","Scottish Government","15","15","49110","45740"
"In post","2021","50-59","Digital, Data & Technology","Scottish Courts and Tribunals Service","Scottish Government","15","15","42640","40660"
"In post","2021","50-59","Digital, Data & Technology","Scottish Prison Service","Scottish Government","15","15","46390","51110"
"In post","2021","50-59","Digital, Data & Technology","Serious Fraud Office","Attorney General's Departments","10","10","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Submarine Delivery Agency","Ministry of Defence","15","15","43600","41590"
"In post","2021","50-59","Digital, Data & Technology","The National Archives","The National Archives","25","25","43240","43590"
"In post","2021","50-59","Digital, Data & Technology","UK Export Finance","UK Export Finance","5","5","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","UK Hydrographic Office","Ministry of Defence","40","40","41740","42510"
"In post","2021","50-59","Digital, Data & Technology","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","55","55","47900","47320"
"In post","2021","50-59","Digital, Data & Technology","United Kingdom Statistics Authority","United Kingdom Statistics Authority","120","120","46180","49100"
"In post","2021","50-59","Digital, Data & Technology","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Water Services Regulation Authority","Water Services Regulation Authority","10","10","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Digital, Data & Technology","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
