"Status","Year","Age","Disability","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","30-39","Unknown","Valuation Office Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Valuation Office Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Valuation Office Agency","Operational Delivery","55","55","23360","21100"
"In post","2021","30-39","Unknown","Valuation Office Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Valuation Office Agency","Project Delivery","5","5","[c]","[c]"
"In post","2021","30-39","Unknown","Valuation Office Agency","Property","80","80","32130","30000"
"In post","2021","30-39","Unknown","Valuation Office Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Vehicle Certification Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Vehicle Certification Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Veterinary Medicines Directorate","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Veterinary Medicines Directorate","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Wales Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Wales Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Water Services Regulation Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Water Services Regulation Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Water Services Regulation Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Water Services Regulation Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Water Services Regulation Authority","Policy","10","10","[c]","[c]"
"In post","2021","30-39","Unknown","Water Services Regulation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Water Services Regulation Authority","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Government (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Government (excl. agencies)","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Government (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Government (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Government (excl. agencies)","Human Resources","5","5","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Government (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Government (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Government (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Government (excl. agencies)","Operational Delivery","20","20","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Government (excl. agencies)","Other","5","5","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Government (excl. agencies)","Policy","10","10","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Government (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Government (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Government (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Revenue Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Revenue Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Revenue Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Revenue Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Revenue Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Revenue Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Revenue Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Revenue Authority","Tax","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Welsh Revenue Authority","Unknown","5","5","[c]","[c]"
"In post","2021","30-39","Unknown","Wilton Park","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Wilton Park","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Wilton Park","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Wilton Park","Policy","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Wilton Park","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Wilton Park","Property","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Advisory, Conciliation and Arbitration Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Advisory, Conciliation and Arbitration Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Advisory, Conciliation and Arbitration Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Delivery","20","20","[c]","[c]"
"In post","2021","40-49","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Advisory, Conciliation and Arbitration Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Animal and Plant Health Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Animal and Plant Health Agency","Operational Delivery","50","45","26730","25100"
"In post","2021","40-49","Declared disabled","Animal and Plant Health Agency","Other","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Animal and Plant Health Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Animal and Plant Health Agency","Science and Engineering","20","20","[c]","[c]"
"In post","2021","40-49","Declared disabled","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Animal and Plant Health Agency","Veterinarian","5","5","[c]","[c]"
"In post","2021","40-49","Declared disabled","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Attorney General's Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Cabinet Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Cabinet Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Cabinet Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Cabinet Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Cabinet Office (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Cabinet Office (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Cabinet Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Cabinet Office (excl. agencies)","Unknown","150","145","48150","51190"
"In post","2021","40-49","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Other","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","5","5","[c]","[c]"
"In post","2021","40-49","Declared disabled","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Charity Commission","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Companies House","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Companies House","Communications","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Companies House","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Companies House","Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Companies House","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Companies House","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Companies House","Legal","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Companies House","Operational Delivery","10","10","[c]","[c]"
"In post","2021","40-49","Declared disabled","Companies House","Other","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Companies House","Policy","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Companies House","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Companies House","Property","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Companies House","Security","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Competition and Markets Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Competition and Markets Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Competition and Markets Authority","Project Delivery","5","5","[c]","[c]"
"In post","2021","40-49","Declared disabled","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Criminal Injuries Compensation Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Criminal Injuries Compensation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Criminal Injuries Compensation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Criminal Injuries Compensation Authority","Operational Delivery","10","10","[c]","[c]"
"In post","2021","40-49","Declared disabled","Criminal Injuries Compensation Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Commercial Service","Commercial","5","5","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Commercial Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Commercial Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Commercial Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Commercial Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Commercial Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Commercial Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Office and Procurator Fiscal Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Office and Procurator Fiscal Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Office and Procurator Fiscal Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Office and Procurator Fiscal Service","Legal","5","5","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Office and Procurator Fiscal Service","Operational Delivery","10","10","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Office and Procurator Fiscal Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Prosecution Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Prosecution Service","Human Resources","10","10","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Prosecution Service","Legal","90","85","54160","55000"
"In post","2021","40-49","Declared disabled","Crown Prosecution Service","Operational Delivery","90","80","27490","25560"
"In post","2021","40-49","Declared disabled","Crown Prosecution Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Prosecution Service","Security","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Prosecution Service Inspectorate","Legal","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Crown Prosecution Service Inspectorate","Other","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Debt Management Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Debt Management Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Debt Management Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Debt Management Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Debt Management Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Debt Management Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Electronics and Components Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Electronics and Components Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Electronics and Components Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Electronics and Components Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Electronics and Components Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Electronics and Components Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Electronics and Components Agency","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Electronics and Components Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Electronics and Components Agency","Other","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Electronics and Components Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Electronics and Components Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Electronics and Components Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Equipment and Support","Commercial","25","25","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Equipment and Support","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Equipment and Support","Finance","10","10","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Equipment and Support","Human Resources","10","10","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Equipment and Support","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Equipment and Support","Other","70","65","31460","29610"
"In post","2021","40-49","Declared disabled","Defence Equipment and Support","Policy","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Equipment and Support","Project Delivery","50","45","44620","40450"
"In post","2021","40-49","Declared disabled","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Equipment and Support","Science and Engineering","40","40","43050","41440"
"In post","2021","40-49","Declared disabled","Defence Equipment and Support","Security","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Science and Technology Laboratory","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Science and Technology Laboratory","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Science and Technology Laboratory","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Science and Technology Laboratory","Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Science and Technology Laboratory","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Science and Technology Laboratory","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Science and Technology Laboratory","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Science and Technology Laboratory","Legal","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Science and Technology Laboratory","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Science and Technology Laboratory","Operational Delivery","10","10","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Science and Technology Laboratory","Operational Research","15","15","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Science and Technology Laboratory","Project Delivery","5","5","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Science and Technology Laboratory","Property","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Science and Technology Laboratory","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Science and Technology Laboratory","Science and Engineering","55","55","42440","46080"
"In post","2021","40-49","Declared disabled","Defence Science and Technology Laboratory","Security","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Defence Science and Technology Laboratory","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","5","5","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","10","10","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","60","60","52660","53600"
"In post","2021","40-49","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Digital, Culture, Media and Sport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Digital, Culture, Media and Sport","Economics","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Digital, Culture, Media and Sport","Other","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Digital, Culture, Media and Sport","Policy","10","10","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Digital, Culture, Media and Sport","Project Delivery","5","5","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Education (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Education (excl. agencies)","Communications","5","5","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Education (excl. agencies)","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Education (excl. agencies)","Finance","10","10","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Education (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Education (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Education (excl. agencies)","Operational Delivery","10","10","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Education (excl. agencies)","Policy","65","60","48170","40780"
"In post","2021","40-49","Declared disabled","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Education (excl. agencies)","Property","15","15","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","5","5","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","10","10","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","25","25","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","15","15","[c]","[c]"
"In post","2021","40-49","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","15","15","[c]","[c]"
