"Status","Year","Age","Profession_of_post","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Digital, Data and Technology","East of England","SEO/HEO","20","20","32450","31810"
"In post","2021","20-29","Digital, Data and Technology","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","London","AA/AO","15","15","22740","23530"
"In post","2021","20-29","Digital, Data and Technology","London","EO","95","95","28510","28670"
"In post","2021","20-29","Digital, Data and Technology","London","G6/G7","80","80","56820","54760"
"In post","2021","20-29","Digital, Data and Technology","London","SEO/HEO","345","345","37930","37420"
"In post","2021","20-29","Digital, Data and Technology","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","North East (England)","EO","25","20","25230","25560"
"In post","2021","20-29","Digital, Data and Technology","North East (England)","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","North East (England)","SEO/HEO","60","60","33210","31810"
"In post","2021","20-29","Digital, Data and Technology","North West (England)","EO","35","35","25520","25000"
"In post","2021","20-29","Digital, Data and Technology","North West (England)","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","North West (England)","SEO/HEO","95","95","34290","33190"
"In post","2021","20-29","Digital, Data and Technology","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Scotland","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Scotland","EO","35","35","26960","26120"
"In post","2021","20-29","Digital, Data and Technology","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Scotland","SEO/HEO","50","50","36390","36030"
"In post","2021","20-29","Digital, Data and Technology","South East (England)","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","South East (England)","EO","50","50","27080","26670"
"In post","2021","20-29","Digital, Data and Technology","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","South East (England)","SEO/HEO","45","45","33150","31810"
"In post","2021","20-29","Digital, Data and Technology","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","South West (England)","AA/AO","35","35","21010","20980"
"In post","2021","20-29","Digital, Data and Technology","South West (England)","EO","125","125","27030","26740"
"In post","2021","20-29","Digital, Data and Technology","South West (England)","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","South West (England)","SEO/HEO","160","160","35020","33860"
"In post","2021","20-29","Digital, Data and Technology","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Wales","AA/AO","35","35","22110","21590"
"In post","2021","20-29","Digital, Data and Technology","Wales","EO","145","145","26210","26130"
