"Status","Year","Age","Disability","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","20-29","Declared non-disabled","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","HM Treasury","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","HM Treasury","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","HM Treasury","Policy","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Home Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Home Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Home Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Home Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Home Office","Operational Delivery","70","[c]","24150","24110"
"Leaver CS","2021","20-29","Declared non-disabled","Home Office","Other","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Home Office","Policy","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Home Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Home Office","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Home Office","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Home Office","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Home Office","Unknown","100","[c]","24460","21770"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Defence","Commercial","15","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Defence","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Defence","Finance","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Defence","Human Resources","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Defence","Intelligence Analysis","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Defence","Medicine","15","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Defence","Operational Delivery","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Defence","Operational Research","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Defence","Other","45","[c]","21590","19560"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Defence","Project Delivery","30","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Defence","Science and Engineering","90","[c]","23350","21230"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Defence","Security","20","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Defence","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Housing, Communities and Local Government","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Housing, Communities and Local Government","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Housing, Communities and Local Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Housing, Communities and Local Government","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Housing, Communities and Local Government","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Housing, Communities and Local Government","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Housing, Communities and Local Government","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Housing, Communities and Local Government","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Housing, Communities and Local Government","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Housing, Communities and Local Government","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Housing, Communities and Local Government","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Justice","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Justice","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Justice","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Justice","Operational Delivery","740","[c]","22050","20510"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Justice","Operational Research","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Justice","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Justice","Policy","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Justice","Psychology","15","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Justice","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Justice","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Ministry of Justice","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Northern Ireland Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Office for Standards in Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Office for Standards in Education","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Office for Standards in Education","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Office for Standards in Education","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Office for Standards in Education","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Office for Standards in Education","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Office of Gas and Electricity Markets","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Office of Gas and Electricity Markets","Operational Delivery","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Office of Gas and Electricity Markets","Other","15","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Office of Gas and Electricity Markets","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Office of Gas and Electricity Markets","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Other Cabinet Office Agencies","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Other Cabinet Office Agencies","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Scotland Office","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Scottish Government","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Scottish Government","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Scottish Government","Operational Delivery","15","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Scottish Government","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Scottish Government","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Scottish Government","Unknown","30","[c]","25110","22920"
"Leaver CS","2021","20-29","Declared non-disabled","The National Archives","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","The National Archives","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","The National Archives","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","UK Export Finance","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","UK Export Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","UK Supreme Court","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","UK Supreme Court","Legal","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","UK Supreme Court","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","United Kingdom Statistics Authority","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","United Kingdom Statistics Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","United Kingdom Statistics Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","United Kingdom Statistics Authority","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","United Kingdom Statistics Authority","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","United Kingdom Statistics Authority","Operational Delivery","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","United Kingdom Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","United Kingdom Statistics Authority","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","United Kingdom Statistics Authority","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Wales Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Water Services Regulation Authority","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Water Services Regulation Authority","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Welsh Government","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Welsh Government","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Welsh Government","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Welsh Government","Operational Delivery","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Welsh Government","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Welsh Government","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Welsh Government","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Department for Education","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Department for Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Department for Education","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Department for Education","Policy","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
