"Status","Year","Age","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","40-49","United Kingdom Statistics Authority","SEO/HEO","Male","170","170","34390","36030"
"In post","2021","40-49","United Kingdom Statistics Authority","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Wales Office","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Wales Office","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Wales Office","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Wales Office","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","40-49","Wales Office","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Wales Office","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","EO","Female","10","10","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","G6/G7","Female","15","15","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","G6/G7","Male","20","20","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2021","40-49","Water Services Regulation Authority","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","40-49","Welsh Government","AA/AO","Female","95","85","23550","23830"
"In post","2021","40-49","Welsh Government","AA/AO","Male","50","50","23800","23830"
"In post","2021","40-49","Welsh Government","EO","Female","140","125","28800","28850"
"In post","2021","40-49","Welsh Government","EO","Male","105","105","28800","28850"
"In post","2021","40-49","Welsh Government","G6/G7","Female","230","215","60160","60830"
"In post","2021","40-49","Welsh Government","G6/G7","Male","155","150","61380","60830"
"In post","2021","40-49","Welsh Government","SCS level","Female","25","25","[c]","[c]"
"In post","2021","40-49","Welsh Government","SCS level","Male","35","35","88000","82210"
"In post","2021","40-49","Welsh Government","SEO/HEO","Female","530","500","41340","37410"
"In post","2021","40-49","Welsh Government","SEO/HEO","Male","320","315","41380","37410"
"In post","2021","50-59","Attorney General's Departments","AA/AO","Female","300","265","22640","21950"
"In post","2021","50-59","Attorney General's Departments","AA/AO","Male","95","95","22630","21950"
"In post","2021","50-59","Attorney General's Departments","EO","Female","355","320","28700","28430"
"In post","2021","50-59","Attorney General's Departments","EO","Male","135","135","28890","28430"
"In post","2021","50-59","Attorney General's Departments","G6/G7","Female","800","720","60980","60330"
"In post","2021","50-59","Attorney General's Departments","G6/G7","Male","640","625","62220","60870"
"In post","2021","50-59","Attorney General's Departments","SCS level","Female","90","85","91620","83370"
"In post","2021","50-59","Attorney General's Departments","SCS level","Male","65","65","89990","84290"
"In post","2021","50-59","Attorney General's Departments","SEO/HEO","Female","255","245","35710","34480"
"In post","2021","50-59","Attorney General's Departments","SEO/HEO","Male","150","145","36960","36240"
"In post","2021","50-59","Attorney General's Departments","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Attorney General's Departments","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Cabinet Office","AA/AO","Female","80","70","21760","20920"
"In post","2021","50-59","Cabinet Office","AA/AO","Male","50","50","21780","20920"
"In post","2021","50-59","Cabinet Office","EO","Female","80","75","27870","27500"
"In post","2021","50-59","Cabinet Office","EO","Male","45","45","27830","28260"
"In post","2021","50-59","Cabinet Office","G6/G7","Female","275","270","60340","56660"
"In post","2021","50-59","Cabinet Office","G6/G7","Male","295","295","62480","60640"
"In post","2021","50-59","Cabinet Office","SCS level","Female","105","105","101020","93870"
"In post","2021","50-59","Cabinet Office","SCS level","Male","175","175","108280","96890"
"In post","2021","50-59","Cabinet Office","SEO/HEO","Female","220","210","36510","35590"
"In post","2021","50-59","Cabinet Office","SEO/HEO","Male","185","185","36640","35590"
"In post","2021","50-59","Chancellor's other departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Chancellor's other departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Chancellor's other departments","G6/G7","Female","20","15","[c]","[c]"
"In post","2021","50-59","Chancellor's other departments","G6/G7","Male","25","25","[c]","[c]"
"In post","2021","50-59","Chancellor's other departments","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Chancellor's other departments","SCS level","Male","5","5","[c]","[c]"
"In post","2021","50-59","Chancellor's other departments","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","50-59","Chancellor's other departments","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2021","50-59","Charity Commission","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Charity Commission","AA/AO","Male","[c]","[c]","[c]","[c]"
