"Status","Year","Organisation","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","UK Supreme Court","London","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","UK Supreme Court","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","London","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","UK Supreme Court","London","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","London","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","London","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","London","EO","Female","15","15","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","London","EO","Male","10","10","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","London","G6/G7","Female","35","35","57000","55500"
"In post","2021","United Kingdom Statistics Authority","London","G6/G7","Male","45","40","56100","53140"
"In post","2021","United Kingdom Statistics Authority","London","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","London","SCS level","Female","10","10","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","London","SCS level","Male","15","15","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","London","SEO/HEO","Female","135","135","34860","32540"
"In post","2021","United Kingdom Statistics Authority","London","SEO/HEO","Male","85","85","34660","32540"
"In post","2021","United Kingdom Statistics Authority","London","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Outside London","AA/AO","Female","825","580","19530","19520"
"In post","2021","United Kingdom Statistics Authority","Outside London","AA/AO","Male","620","440","19740","19520"
"In post","2021","United Kingdom Statistics Authority","Outside London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Outside London","EO","Female","490","445","23830","23050"
"In post","2021","United Kingdom Statistics Authority","Outside London","EO","Male","250","245","23950","23050"
"In post","2021","United Kingdom Statistics Authority","Outside London","EO","Unknown","10","10","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Outside London","G6/G7","Female","415","390","51650","49120"
"In post","2021","United Kingdom Statistics Authority","Outside London","G6/G7","Male","430","425","53260","50090"
"In post","2021","United Kingdom Statistics Authority","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Outside London","SCS level","Female","20","20","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Outside London","SCS level","Male","35","35","82740","75080"
"In post","2021","United Kingdom Statistics Authority","Outside London","SEO/HEO","Female","1160","1090","33190","32040"
"In post","2021","United Kingdom Statistics Authority","Outside London","SEO/HEO","Male","885","870","33570","34460"
"In post","2021","United Kingdom Statistics Authority","Outside London","SEO/HEO","Unknown","20","20","[c]","[c]"
"In post","2021","Valuation Office Agency","London","AA/AO","Female","55","45","25400","25840"
"In post","2021","Valuation Office Agency","London","AA/AO","Male","20","20","[c]","[c]"
"In post","2021","Valuation Office Agency","London","EO","Female","110","100","30570","30000"
"In post","2021","Valuation Office Agency","London","EO","Male","90","85","29910","29630"
"In post","2021","Valuation Office Agency","London","G6/G7","Female","40","35","63200","62050"
"In post","2021","Valuation Office Agency","London","G6/G7","Male","65","60","63430","62080"
"In post","2021","Valuation Office Agency","London","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Valuation Office Agency","London","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Valuation Office Agency","London","SEO/HEO","Female","115","105","41280","38430"
"In post","2021","Valuation Office Agency","London","SEO/HEO","Male","165","160","41780","38430"
"In post","2021","Valuation Office Agency","Outside London","AA/AO","Female","490","425","20870","21100"
"In post","2021","Valuation Office Agency","Outside London","AA/AO","Male","275","270","20870","21100"
"In post","2021","Valuation Office Agency","Outside London","EO","Female","420","370","26080","25930"
"In post","2021","Valuation Office Agency","Outside London","EO","Male","335","320","25890","25860"
"In post","2021","Valuation Office Agency","Outside London","G6/G7","Female","110","105","56200","54990"
"In post","2021","Valuation Office Agency","Outside London","G6/G7","Male","185","180","57550","55440"
"In post","2021","Valuation Office Agency","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Outside London","SEO/HEO","Female","475","430","37110","37750"
"In post","2021","Valuation Office Agency","Outside London","SEO/HEO","Male","565","540","37700","37750"
"In post","2021","Vehicle Certification Agency","Outside London","AA/AO","Female","30","25","21550","21590"
"In post","2021","Vehicle Certification Agency","Outside London","AA/AO","Male","20","15","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Outside London","EO","Female","20","20","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Outside London","EO","Male","25","25","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Outside London","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Outside London","G6/G7","Male","15","15","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Outside London","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Outside London","SEO/HEO","Male","75","70","40540","39940"
"In post","2021","Vehicle Certification Agency","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Overseas","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Overseas","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Overseas","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Outside London","AA/AO","Female","20","20","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Outside London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Outside London","EO","Female","15","15","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Outside London","EO","Male","15","15","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Outside London","G6/G7","Female","30","30","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Outside London","G6/G7","Male","35","35","58550","58670"
"In post","2021","Veterinary Medicines Directorate","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Outside London","SEO/HEO","Female","35","35","37210","38460"
"In post","2021","Veterinary Medicines Directorate","Outside London","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2021","Wales Office","London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","London","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","London","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Outside London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Outside London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Outside London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Outside London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Outside London","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Outside London","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Wales Office","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Outside London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Outside London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","London","EO","Female","5","5","[c]","[c]"
"In post","2021","Water Services Regulation Authority","London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","London","G6/G7","Female","15","10","[c]","[c]"
"In post","2021","Water Services Regulation Authority","London","G6/G7","Male","20","20","[c]","[c]"
"In post","2021","Water Services Regulation Authority","London","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Water Services Regulation Authority","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","London","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Water Services Regulation Authority","London","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Outside London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Outside London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Outside London","EO","Female","20","20","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Outside London","EO","Male","5","5","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Outside London","G6/G7","Female","20","20","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Outside London","G6/G7","Male","15","15","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Outside London","SEO/HEO","Female","50","50","46100","43650"
"In post","2021","Water Services Regulation Authority","Outside London","SEO/HEO","Male","55","55","48460","48390"
"In post","2021","Welsh Government (excl. agencies)","London","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","London","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Outside London","AA/AO","Female","610","545","23340","23830"
"In post","2021","Welsh Government (excl. agencies)","Outside London","AA/AO","Male","350","335","23370","23830"
"In post","2021","Welsh Government (excl. agencies)","Outside London","EO","Female","575","525","28710","28850"
"In post","2021","Welsh Government (excl. agencies)","Outside London","EO","Male","435","425","28700","28850"
"In post","2021","Welsh Government (excl. agencies)","Outside London","G6/G7","Female","540","510","60900","60830"
"In post","2021","Welsh Government (excl. agencies)","Outside London","G6/G7","Male","485","475","62390","60830"
"In post","2021","Welsh Government (excl. agencies)","Outside London","SCS level","Female","75","75","86850","81350"
"In post","2021","Welsh Government (excl. agencies)","Outside London","SCS level","Male","95","95","92310","82210"
"In post","2021","Welsh Government (excl. agencies)","Outside London","SEO/HEO","Female","1565","1460","40650","37410"
"In post","2021","Welsh Government (excl. agencies)","Outside London","SEO/HEO","Male","960","935","41140","37410"
"In post","2021","Welsh Government (excl. agencies)","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Overseas","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Overseas","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Overseas","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Overseas","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Outside London","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Outside London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Outside London","EO","Female","10","10","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Outside London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Outside London","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Outside London","G6/G7","Male","15","15","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Outside London","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Outside London","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Wilton Park","Outside London","AA/AO","Female","15","15","[c]","[c]"
"In post","2021","Wilton Park","Outside London","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","Wilton Park","Outside London","EO","Female","20","20","[c]","[c]"
"In post","2021","Wilton Park","Outside London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Outside London","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Wilton Park","Outside London","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Wilton Park","Outside London","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Wilton Park","Outside London","SEO/HEO","Male","5","5","[c]","[c]"
"Leaver CS","2021","Accountant in Bankruptcy","Outside London","AA/AO","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Accountant in Bankruptcy","Outside London","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Accountant in Bankruptcy","Outside London","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Accountant in Bankruptcy","Outside London","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Accountant in Bankruptcy","Outside London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Accountant in Bankruptcy","Outside London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","London","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","London","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","London","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","London","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","Outside London","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","Outside London","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","Outside London","EO","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","Outside London","EO","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","Outside London","AA/AO","Female","45","[c]","22370","21050"
"Leaver CS","2021","Animal and Plant Health Agency","Outside London","AA/AO","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","Outside London","EO","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","Outside London","EO","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","Outside London","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","Outside London","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","Outside London","SEO/HEO","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","Outside London","SEO/HEO","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Office","London","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Office","London","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Office","London","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Office","London","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Office","London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Office","London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","London","AA/AO","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","London","AA/AO","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","London","EO","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","London","EO","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","London","G6/G7","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","London","G6/G7","Male","45","[c]","59520","57980"
"Leaver CS","2021","Cabinet Office (excl. agencies)","London","SCS level","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","London","SCS level","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","London","SEO/HEO","Female","30","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","London","SEO/HEO","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Outside London","AA/AO","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Outside London","AA/AO","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Outside London","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Outside London","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Outside London","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Outside London","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Outside London","SEO/HEO","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Outside London","SEO/HEO","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Unknown","AA/AO","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Unknown","G6/G7","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Unknown","G6/G7","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Unknown","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Unknown","SCS level","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA/AO","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA/AO","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6/G7","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO/HEO","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO/HEO","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","London","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","London","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","London","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","London","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","London","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","London","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Outside London","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Outside London","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Outside London","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Outside London","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Outside London","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Outside London","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Outside London","SEO/HEO","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Outside London","SEO/HEO","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Outside London","AA/AO","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Outside London","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Outside London","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Outside London","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Outside London","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Outside London","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Outside London","SEO/HEO","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Outside London","SEO/HEO","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","London","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","London","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","London","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","London","EO","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","London","G6/G7","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","London","G6/G7","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","London","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","London","SCS level","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","London","SEO/HEO","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","London","SEO/HEO","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Outside London","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Outside London","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Outside London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Outside London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","Outside London","AA/AO","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","Outside London","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","Outside London","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","Outside London","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","Outside London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","Outside London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","London","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","London","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","London","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","London","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Outside London","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Outside London","AA/AO","Male","[c]","[c]","[c]","[c]"
