"Status","Year","Organisation","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Submarine Delivery Agency","Ministry of Defence","Unknown","Unknown","1785","1745","41550","39860"
"In post","2021","Teaching Regulation Agency","Department for Education","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","Teaching Regulation Agency","Department for Education","EO","EO","25","25","25410","25000"
"In post","2021","Teaching Regulation Agency","Department for Education","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","Department for Education","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Teaching Regulation Agency","Department for Education","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","Department for Education","SEO/HEO","HEO","20","15","30050","29730"
"In post","2021","Teaching Regulation Agency","Department for Education","SEO/HEO","SEO","10","10","37630","37100"
"In post","2021","The National Archives","The National Archives","AA/AO","AA","10","10","18390","18770"
"In post","2021","The National Archives","The National Archives","AA/AO","AO","85","75","21590","21100"
"In post","2021","The National Archives","The National Archives","EO","EO","75","75","25550","24630"
"In post","2021","The National Archives","The National Archives","G6/G7","G6","25","25","64150","65890"
"In post","2021","The National Archives","The National Archives","G6/G7","G7","65","65","49040","48000"
"In post","2021","The National Archives","The National Archives","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","The National Archives","The National Archives","SEO/HEO","HEO","130","125","31050","30250"
"In post","2021","The National Archives","The National Archives","SEO/HEO","SEO","145","140","40410","38250"
"In post","2021","Transport Scotland","Scottish Government","AA/AO","AA","30","25","21620","22230"
"In post","2021","Transport Scotland","Scottish Government","AA/AO","AO","30","30","24180","24110"
"In post","2021","Transport Scotland","Scottish Government","EO","EO","40","40","28000","28170"
"In post","2021","Transport Scotland","Scottish Government","G6/G7","G6","50","50","72090","73940"
"In post","2021","Transport Scotland","Scottish Government","G6/G7","G7","85","80","58000","61010"
"In post","2021","Transport Scotland","Scottish Government","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Transport Scotland","Scottish Government","SEO/HEO","HEO","105","100","33540","33620"
"In post","2021","Transport Scotland","Scottish Government","SEO/HEO","SEO","150","145","44890","46600"
"In post","2021","UK Export Finance","UK Export Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","UK Export Finance","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","UK Export Finance","UK Export Finance","EO","EO","45","45","29640","29000"
"In post","2021","UK Export Finance","UK Export Finance","G6/G7","G6","45","45","76870","76790"
"In post","2021","UK Export Finance","UK Export Finance","G6/G7","G7","75","75","62620","60380"
"In post","2021","UK Export Finance","UK Export Finance","SCS level","SCS level","25","25","117220","101500"
"In post","2021","UK Export Finance","UK Export Finance","SEO/HEO","HEO","70","70","34820","33350"
"In post","2021","UK Export Finance","UK Export Finance","SEO/HEO","SEO","125","125","46900","47000"
"In post","2021","UK Hydrographic Office","Ministry of Defence","AA/AO","AO","80","80","20360","20170"
"In post","2021","UK Hydrographic Office","Ministry of Defence","EO","EO","225","210","27500","26740"
"In post","2021","UK Hydrographic Office","Ministry of Defence","G6/G7","G6","15","15","67990","67250"
"In post","2021","UK Hydrographic Office","Ministry of Defence","G6/G7","G7","50","50","54490","53720"
"In post","2021","UK Hydrographic Office","Ministry of Defence","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","UK Hydrographic Office","Ministry of Defence","SEO/HEO","HEO","295","280","33610","33290"
"In post","2021","UK Hydrographic Office","Ministry of Defence","SEO/HEO","SEO","175","170","42980","42510"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","AA/AO","AO","190","175","20870","21140"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","EO","EO","475","450","25570","23320"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","G6/G7","G6","55","50","66830","65910"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","G6/G7","G7","290","270","58890","59240"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","25","25","77640","72750"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","160","155","32720","30790"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","315","305","41700","40720"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","EO","EO","15","15","26460","27330"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","G6/G7","G6","35","35","64740","64700"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","G6/G7","G7","75","75","52810","53380"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","10","10","85250","77780"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","45","45","32820","33570"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","70","70","40160","40050"
"In post","2021","UK Supreme Court","UK Supreme Court","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","UK Supreme Court","EO","EO","20","20","27550","27300"
"In post","2021","UK Supreme Court","UK Supreme Court","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","UK Supreme Court","G6/G7","G7","10","5","[c]","[c]"
"In post","2021","UK Supreme Court","UK Supreme Court","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","UK Supreme Court","SEO/HEO","HEO","10","10","33390","32770"
"In post","2021","UK Supreme Court","UK Supreme Court","SEO/HEO","SEO","10","10","37230","37230"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","AA/AO","AA","375","220","19810","19130"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","AA/AO","AO","1090","815","19570","19520"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","EO","EO","775","725","23970","23050"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","G6/G7","G6","180","175","60760","58880"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","G6/G7","G7","745","725","50900","49120"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","SCS level","SCS level","85","85","84910","76380"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","SEO/HEO","HEO","1260","1210","30500","29540"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","SEO/HEO","SEO","1040","1005","37130","36840"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","AA/AO","AA","145","125","19950","19850"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","AA/AO","AO","700","635","21560","21100"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","EO","EO","960","880","26890","26000"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","G6/G7","G6","70","65","69070","68580"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","G6/G7","G7","330","315","56510","55440"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","SCS level","SCS level","20","20","85180","79930"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","SEO/HEO","HEO","665","630","33060","32110"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","SEO/HEO","SEO","650","605","43660","42900"
"In post","2021","Vehicle Certification Agency","Department for Transport","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Department for Transport","AA/AO","AO","45","40","21640","21590"
"In post","2021","Vehicle Certification Agency","Department for Transport","EO","EO","50","45","26990","27250"
"In post","2021","Vehicle Certification Agency","Department for Transport","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Department for Transport","G6/G7","G7","15","15","64880","61500"
"In post","2021","Vehicle Certification Agency","Department for Transport","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Department for Transport","SEO/HEO","HEO","60","60","37580","37260"
"In post","2021","Vehicle Certification Agency","Department for Transport","SEO/HEO","SEO","35","35","47590","46280"
"In post","2021","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","AA/AO","AO","25","20","24260","24370"
"In post","2021","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","EO","EO","30","25","28750","28340"
"In post","2021","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","G6/G7","G6","15","15","64820","63940"
"In post","2021","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","G6/G7","G7","50","50","55740","54150"
"In post","2021","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","20","20","33760","33120"
"In post","2021","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","30","25","39960","39910"
"In post","2021","Wales Office","Wales Office","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Wales Office","EO","EO","10","10","[c]","[c]"
"In post","2021","Wales Office","Wales Office","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Wales Office","G6/G7","G7","10","10","58100","57460"
"In post","2021","Wales Office","Wales Office","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Wales Office","Wales Office","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Wales Office","Wales Office","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Water Services Regulation Authority","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Water Services Regulation Authority","EO","EO","35","35","29860","29300"
"In post","2021","Water Services Regulation Authority","Water Services Regulation Authority","G6/G7","G6","30","25","90420","86460"
"In post","2021","Water Services Regulation Authority","Water Services Regulation Authority","G6/G7","G7","40","35","70520","70000"
"In post","2021","Water Services Regulation Authority","Water Services Regulation Authority","SCS level","SCS level","10","10","131930","127040"
"In post","2021","Water Services Regulation Authority","Water Services Regulation Authority","SEO/HEO","HEO","85","85","42500","42240"
"In post","2021","Water Services Regulation Authority","Water Services Regulation Authority","SEO/HEO","SEO","45","40","58160","58590"
"In post","2021","Welsh Government (excl. agencies)","Welsh Government","AA/AO","AO","960","880","23350","23830"
"In post","2021","Welsh Government (excl. agencies)","Welsh Government","EO","EO","1010","950","28710","28850"
"In post","2021","Welsh Government (excl. agencies)","Welsh Government","G6/G7","G6","185","180","73250","74730"
"In post","2021","Welsh Government (excl. agencies)","Welsh Government","G6/G7","G7","845","810","59030","60830"
"In post","2021","Welsh Government (excl. agencies)","Welsh Government","SCS level","SCS level","175","170","89860","81760"
"In post","2021","Welsh Government (excl. agencies)","Welsh Government","SEO/HEO","HEO","1440","1365","36690","37410"
"In post","2021","Welsh Government (excl. agencies)","Welsh Government","SEO/HEO","SEO","1090","1040","46330","47000"
"In post","2021","Welsh Revenue Authority","Welsh Government","AA/AO","AO","10","10","22600","22160"
"In post","2021","Welsh Revenue Authority","Welsh Government","EO","EO","10","10","26760","26290"
"In post","2021","Welsh Revenue Authority","Welsh Government","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Welsh Government","G6/G7","G7","15","15","57610","60830"
"In post","2021","Welsh Revenue Authority","Welsh Government","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Welsh Government","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Welsh Government","SEO/HEO","SEO","15","15","43240","43760"
"In post","2021","Wilton Park","Foreign, Commonwealth and Development Office","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Wilton Park","Foreign, Commonwealth and Development Office","AA/AO","AO","20","15","24890","23000"
"In post","2021","Wilton Park","Foreign, Commonwealth and Development Office","EO","EO","25","25","27700","26920"
"In post","2021","Wilton Park","Foreign, Commonwealth and Development Office","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Foreign, Commonwealth and Development Office","G6/G7","G7","10","10","56800","56590"
"In post","2021","Wilton Park","Foreign, Commonwealth and Development Office","SEO/HEO","HEO","15","15","33110","34260"
"In post","2021","Wilton Park","Foreign, Commonwealth and Development Office","SEO/HEO","SEO","5","5","[c]","[c]"
"Leaver CS","2021","Accountant in Bankruptcy","Scottish Government","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver CS","2021","Accountant in Bankruptcy","Scottish Government","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Accountant in Bankruptcy","Scottish Government","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Accountant in Bankruptcy","Scottish Government","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","EO","30","[c]","24470","24250"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","AO","70","[c]","22370","21050"
"Leaver CS","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","EO","25","[c]","26280","26380"
"Leaver CS","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","10","[c]","32460","32640"
"Leaver CS","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","20","[c]","42290","40250"
"Leaver CS","2021","Attorney General's Office","Attorney General's Departments","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Office","Attorney General's Departments","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Office","Attorney General's Departments","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","AO","80","[c]","20750","20450"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Cabinet Office","EO","EO","25","[c]","26160","26000"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","G6","40","[c]","73080","67930"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","G7","70","[c]","56270","56040"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","SCS level","45","[c]","106050","96990"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","HEO","95","[c]","32710","32910"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","SEO","20","[c]","41090","40600"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","AA","10","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Charity Commission","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Charity Commission","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Charity Commission","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Charity Commission","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Charity Commission","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Charity Commission","SEO/HEO","HEO","10","[c]","29320","29160"
"Leaver CS","2021","Charity Commission","Charity Commission","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Department for Business, Energy and Industrial Strategy","AA/AO","AO","15","[c]","20750","20630"
"Leaver CS","2021","Companies House","Department for Business, Energy and Industrial Strategy","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Competition and Markets Authority","AA/AO","AO","5","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Competition and Markets Authority","EO","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Competition and Markets Authority","G6/G7","G6","15","[c]","75220","75140"
"Leaver CS","2021","Competition and Markets Authority","Competition and Markets Authority","G6/G7","G7","15","[c]","58650","58750"
"Leaver CS","2021","Competition and Markets Authority","Competition and Markets Authority","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","HEO","20","[c]","34290","33850"
"Leaver CS","2021","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","Ministry of Justice","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","Ministry of Justice","AA/AO","AO","5","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","Ministry of Justice","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","Ministry of Justice","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","Ministry of Justice","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Other Cabinet Office Agencies","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Other Cabinet Office Agencies","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Other Cabinet Office Agencies","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Other Cabinet Office Agencies","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Other Cabinet Office Agencies","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Other Cabinet Office Agencies","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Other Cabinet Office Agencies","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","Scottish Government","AA/AO","AO","45","[c]","21490","21490"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","Scottish Government","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","Scottish Government","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","Scottish Government","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","Scottish Government","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","Scottish Government","SEO/HEO","HEO","10","[c]","33910","34150"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","Scottish Government","SEO/HEO","SEO","15","[c]","48980","52490"
"Leaver CS","2021","Crown Prosecution Service","Attorney General's Departments","AA/AO","AO","80","[c]","22040","21950"
"Leaver CS","2021","Crown Prosecution Service","Attorney General's Departments","EO","EO","25","[c]","27600","26970"
"Leaver CS","2021","Crown Prosecution Service","Attorney General's Departments","G6/G7","G6","10","[c]","73980","74090"
"Leaver CS","2021","Crown Prosecution Service","Attorney General's Departments","G6/G7","G7","125","[c]","56900","55610"
"Leaver CS","2021","Crown Prosecution Service","Attorney General's Departments","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","HEO","15","[c]","35910","35020"
"Leaver CS","2021","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt Management Office","HM Treasury","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt Management Office","HM Treasury","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt Management Office","HM Treasury","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt Management Office","HM Treasury","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Electronics and Components Agency","Ministry of Defence","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Electronics and Components Agency","Ministry of Defence","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","Defence Electronics and Components Agency","Ministry of Defence","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Equipment and Support","Ministry of Defence","EO","EO","160","[c]","20910","20230"
"Leaver CS","2021","Defence Equipment and Support","Ministry of Defence","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2021","Defence Equipment and Support","Ministry of Defence","G6/G7","G7","35","[c]","53170","53570"
"Leaver CS","2021","Defence Equipment and Support","Ministry of Defence","SCS level","SCS level","15","[c]","107620","107410"
"Leaver CS","2021","Defence Equipment and Support","Ministry of Defence","SEO/HEO","HEO","135","[c]","30750","31500"
"Leaver CS","2021","Defence Equipment and Support","Ministry of Defence","SEO/HEO","SEO","115","[c]","41020","40960"
"Leaver CS","2021","Defence Equipment and Support","Ministry of Defence","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","AA","55","[c]","17160","17180"
"Leaver CS","2021","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","AO","15","[c]","19320","17710"
"Leaver CS","2021","Defence Science and Technology Laboratory","Ministry of Defence","EO","EO","10","[c]","23070","22780"
"Leaver CS","2021","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","G7","35","[c]","49700","46820"
"Leaver CS","2021","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","HEO","50","[c]","28410","28650"
"Leaver CS","2021","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","SEO","35","[c]","36890","37320"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AA/AO","AO","20","[c]","24770","24300"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","EO","15","[c]","27090","27060"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","G6","20","[c]","66260","64990"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","G7","50","[c]","53720","53600"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","25","[c]","96170","81520"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","40","[c]","32740","32830"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","35","[c]","40370","40050"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","EO","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6/G7","G7","20","[c]","55440","53000"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","30","[c]","35060","32700"
"Leaver CS","2021","Department for Education (excl. agencies)","Department for Education","AA/AO","AO","15","[c]","21830","21000"
"Leaver CS","2021","Department for Education (excl. agencies)","Department for Education","EO","EO","55","[c]","25870","26000"
"Leaver CS","2021","Department for Education (excl. agencies)","Department for Education","G6/G7","G6","25","[c]","66920","66020"
"Leaver CS","2021","Department for Education (excl. agencies)","Department for Education","G6/G7","G7","70","[c]","53690","53760"
"Leaver CS","2021","Department for Education (excl. agencies)","Department for Education","SCS level","SCS level","20","[c]","81310","76510"
"Leaver CS","2021","Department for Education (excl. agencies)","Department for Education","SEO/HEO","HEO","45","[c]","33640","33300"
"Leaver CS","2021","Department for Education (excl. agencies)","Department for Education","SEO/HEO","SEO","60","[c]","39840","40300"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AA/AO","AA","[c]","[c]","[c]","[c]"
