"Status","Year","Organisation","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department of Health and Social Care (excl. agencies)","Property","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Property","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Property","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Property","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Property","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Science and Engineering","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Science and Engineering","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Science and Engineering","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Science and Engineering","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Social Research","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Social Research","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Social Research","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Statistics","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Statistics","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Statistics","G6/G7","G7","30","25","53510","53360"
"In post","2021","Department of Health and Social Care (excl. agencies)","Statistics","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Statistics","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Statistics","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Unknown","EO","EO","10","10","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Unknown","G6/G7","G6","15","15","67680","66230"
"In post","2021","Department of Health and Social Care (excl. agencies)","Unknown","G6/G7","G7","25","25","53870","53360"
"In post","2021","Department of Health and Social Care (excl. agencies)","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Unknown","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Unknown","AA/AO","AA","155","145","21470","22230"
"In post","2021","Disclosure Scotland","Unknown","AA/AO","AO","30","25","24570","24910"
"In post","2021","Disclosure Scotland","Unknown","EO","EO","60","55","29370","29190"
"In post","2021","Disclosure Scotland","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Unknown","G6/G7","G7","10","10","54310","52930"
"In post","2021","Disclosure Scotland","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Unknown","SEO/HEO","HEO","30","25","34260","35110"
"In post","2021","Disclosure Scotland","Unknown","SEO/HEO","SEO","25","20","44790","46600"
"In post","2021","Driver and Vehicle Licensing Agency","Commercial","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Commercial","AA/AO","AO","25","25","21590","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Commercial","EO","EO","35","35","26580","26700"
"In post","2021","Driver and Vehicle Licensing Agency","Commercial","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Commercial","G6/G7","G7","10","10","55380","54580"
"In post","2021","Driver and Vehicle Licensing Agency","Commercial","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Commercial","SEO/HEO","HEO","40","40","31810","31860"
"In post","2021","Driver and Vehicle Licensing Agency","Commercial","SEO/HEO","SEO","25","25","42100","42040"
"In post","2021","Driver and Vehicle Licensing Agency","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Communications","AA/AO","AO","15","10","21590","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Communications","EO","EO","30","25","26520","26470"
"In post","2021","Driver and Vehicle Licensing Agency","Communications","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Communications","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Communications","SEO/HEO","HEO","15","15","31730","31620"
"In post","2021","Driver and Vehicle Licensing Agency","Communications","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Counter Fraud","EO","EO","5","5","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Counter Fraud","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Counter Fraud","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Counter Fraud","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Digital, Data and Technology","AA/AO","AO","40","35","21590","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Digital, Data and Technology","EO","EO","190","185","26910","26470"
"In post","2021","Driver and Vehicle Licensing Agency","Digital, Data and Technology","G6/G7","G6","20","20","76910","73920"
"In post","2021","Driver and Vehicle Licensing Agency","Digital, Data and Technology","G6/G7","G7","110","110","60420","58800"
"In post","2021","Driver and Vehicle Licensing Agency","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Digital, Data and Technology","SEO/HEO","HEO","165","160","33760","32180"
"In post","2021","Driver and Vehicle Licensing Agency","Digital, Data and Technology","SEO/HEO","SEO","210","205","44650","42370"
"In post","2021","Driver and Vehicle Licensing Agency","Finance","AA/AO","AA","15","15","18060","18060"
"In post","2021","Driver and Vehicle Licensing Agency","Finance","AA/AO","AO","25","25","21590","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Finance","EO","EO","25","20","26540","26630"
"In post","2021","Driver and Vehicle Licensing Agency","Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Finance","G6/G7","G7","10","10","54100","54710"
"In post","2021","Driver and Vehicle Licensing Agency","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Finance","SEO/HEO","HEO","30","30","32420","31920"
"In post","2021","Driver and Vehicle Licensing Agency","Finance","SEO/HEO","SEO","30","30","42350","41230"
"In post","2021","Driver and Vehicle Licensing Agency","Human Resources","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Human Resources","AA/AO","AO","20","20","21590","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Human Resources","EO","EO","40","40","26590","26740"
"In post","2021","Driver and Vehicle Licensing Agency","Human Resources","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Human Resources","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Human Resources","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Human Resources","SEO/HEO","HEO","60","55","31980","31860"
"In post","2021","Driver and Vehicle Licensing Agency","Human Resources","SEO/HEO","SEO","35","30","39900","40080"
"In post","2021","Driver and Vehicle Licensing Agency","Medicine","G6/G7","G6","45","40","88750","86520"
"In post","2021","Driver and Vehicle Licensing Agency","Medicine","SEO/HEO","HEO","10","5","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Operational Delivery","AA/AO","AA","1210","940","18100","18060"
"In post","2021","Driver and Vehicle Licensing Agency","Operational Delivery","AA/AO","AO","2605","2270","21670","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Operational Delivery","EO","EO","480","445","26680","26780"
"In post","2021","Driver and Vehicle Licensing Agency","Operational Delivery","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Operational Delivery","G6/G7","G7","10","10","50980","49240"
"In post","2021","Driver and Vehicle Licensing Agency","Operational Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Operational Delivery","SEO/HEO","HEO","85","85","31950","32020"
"In post","2021","Driver and Vehicle Licensing Agency","Operational Delivery","SEO/HEO","SEO","40","40","40470","41090"
"In post","2021","Driver and Vehicle Licensing Agency","Other","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Other","EO","EO","10","10","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Other","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Other","SEO/HEO","HEO","20","20","31970","31860"
"In post","2021","Driver and Vehicle Licensing Agency","Other","SEO/HEO","SEO","10","10","40200","40190"
"In post","2021","Driver and Vehicle Licensing Agency","Policy","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Policy","AA/AO","AO","30","30","21590","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Policy","EO","EO","40","35","26510","26700"
"In post","2021","Driver and Vehicle Licensing Agency","Policy","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Policy","G6/G7","G7","10","5","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Policy","SEO/HEO","HEO","40","35","32240","32100"
"In post","2021","Driver and Vehicle Licensing Agency","Policy","SEO/HEO","SEO","15","15","40540","40620"
"In post","2021","Driver and Vehicle Licensing Agency","Project Delivery","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Project Delivery","EO","EO","10","10","26570","26740"
"In post","2021","Driver and Vehicle Licensing Agency","Project Delivery","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Project Delivery","G6/G7","G7","15","15","52660","52300"
"In post","2021","Driver and Vehicle Licensing Agency","Project Delivery","SEO/HEO","HEO","25","25","32860","31380"
"In post","2021","Driver and Vehicle Licensing Agency","Project Delivery","SEO/HEO","SEO","25","25","40780","40080"
"In post","2021","Driver and Vehicle Licensing Agency","Property","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Property","AA/AO","AO","15","10","22260","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Property","EO","EO","15","15","26810","26690"
"In post","2021","Driver and Vehicle Licensing Agency","Property","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Property","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Property","SEO/HEO","HEO","15","15","31710","31040"
"In post","2021","Driver and Vehicle Licensing Agency","Property","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Security","AA/AO","AA","55","50","25100","25390"
"In post","2021","Driver and Vehicle Licensing Agency","Security","AA/AO","AO","10","10","25820","24290"
"In post","2021","Driver and Vehicle Licensing Agency","Security","EO","EO","15","15","27230","26580"
"In post","2021","Driver and Vehicle Licensing Agency","Security","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Security","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Security","SEO/HEO","HEO","20","15","32730","32180"
"In post","2021","Driver and Vehicle Licensing Agency","Security","SEO/HEO","SEO","10","10","42070","41180"
"In post","2021","Driver and Vehicle Standards Agency","Commercial","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Commercial","EO","EO","10","10","24020","26350"
"In post","2021","Driver and Vehicle Standards Agency","Commercial","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Commercial","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Commercial","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Commercial","SEO/HEO","SEO","15","15","41430","41650"
"In post","2021","Driver and Vehicle Standards Agency","Communications","AA/AO","AO","20","15","21590","21590"
"In post","2021","Driver and Vehicle Standards Agency","Communications","EO","EO","20","20","26050","26580"
"In post","2021","Driver and Vehicle Standards Agency","Communications","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Communications","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Communications","SEO/HEO","HEO","25","25","31870","31980"
"In post","2021","Driver and Vehicle Standards Agency","Communications","SEO/HEO","SEO","15","15","40890","40990"
"In post","2021","Driver and Vehicle Standards Agency","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Counter Fraud","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Counter Fraud","EO","EO","35","30","27560","26780"
"In post","2021","Driver and Vehicle Standards Agency","Counter Fraud","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Counter Fraud","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Counter Fraud","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Digital, Data and Technology","AA/AO","AO","15","15","21840","21590"
"In post","2021","Driver and Vehicle Standards Agency","Digital, Data and Technology","EO","EO","40","40","26390","26350"
"In post","2021","Driver and Vehicle Standards Agency","Digital, Data and Technology","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Digital, Data and Technology","G6/G7","G7","15","15","56890","57240"
"In post","2021","Driver and Vehicle Standards Agency","Digital, Data and Technology","SEO/HEO","HEO","60","60","32930","31860"
"In post","2021","Driver and Vehicle Standards Agency","Digital, Data and Technology","SEO/HEO","SEO","50","50","43790","42520"
"In post","2021","Driver and Vehicle Standards Agency","Finance","EO","EO","20","20","26360","26470"
"In post","2021","Driver and Vehicle Standards Agency","Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Finance","G6/G7","G7","15","15","51500","51240"
"In post","2021","Driver and Vehicle Standards Agency","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Finance","SEO/HEO","HEO","25","25","32230","32280"
"In post","2021","Driver and Vehicle Standards Agency","Finance","SEO/HEO","SEO","25","25","41380","41650"
"In post","2021","Driver and Vehicle Standards Agency","Human Resources","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Human Resources","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Human Resources","EO","EO","30","30","29980","30280"
"In post","2021","Driver and Vehicle Standards Agency","Human Resources","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Human Resources","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Human Resources","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Human Resources","SEO/HEO","HEO","25","25","33720","33350"
"In post","2021","Driver and Vehicle Standards Agency","Human Resources","SEO/HEO","SEO","20","20","40560","40280"
"In post","2021","Driver and Vehicle Standards Agency","Knowledge and Information Management","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Knowledge and Information Management","EO","EO","10","10","26610","26780"
"In post","2021","Driver and Vehicle Standards Agency","Knowledge and Information Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Knowledge and Information Management","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Knowledge and Information Management","SEO/HEO","HEO","20","20","32390","32320"
"In post","2021","Driver and Vehicle Standards Agency","Knowledge and Information Management","SEO/HEO","SEO","15","15","42520","42590"
"In post","2021","Driver and Vehicle Standards Agency","Operational Delivery","AA/AO","AA","10","10","18060","18060"
"In post","2021","Driver and Vehicle Standards Agency","Operational Delivery","AA/AO","AO","1025","965","24820","26580"
"In post","2021","Driver and Vehicle Standards Agency","Operational Delivery","EO","EO","2380","2215","28400","26780"
"In post","2021","Driver and Vehicle Standards Agency","Operational Delivery","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Operational Delivery","G6/G7","G7","25","25","52410","52000"
"In post","2021","Driver and Vehicle Standards Agency","Operational Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Operational Delivery","SEO/HEO","HEO","390","380","33530","32490"
"In post","2021","Driver and Vehicle Standards Agency","Operational Delivery","SEO/HEO","SEO","80","75","40820","40690"
"In post","2021","Driver and Vehicle Standards Agency","Operational Research","AA/AO","AO","10","10","21590","21590"
"In post","2021","Driver and Vehicle Standards Agency","Operational Research","EO","EO","10","10","26430","26470"
"In post","2021","Driver and Vehicle Standards Agency","Operational Research","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Operational Research","SEO/HEO","HEO","15","15","32890","33350"
"In post","2021","Driver and Vehicle Standards Agency","Operational Research","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Other","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Other","EO","EO","5","5","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Other","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Other","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Other","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Other","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Policy","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Policy","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Policy","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Policy","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Policy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Policy","SEO/HEO","HEO","35","30","32870","33220"
"In post","2021","Driver and Vehicle Standards Agency","Policy","SEO/HEO","SEO","15","15","40560","39950"
"In post","2021","Driver and Vehicle Standards Agency","Project Delivery","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Project Delivery","EO","EO","15","15","26430","26470"
"In post","2021","Driver and Vehicle Standards Agency","Project Delivery","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Project Delivery","G6/G7","G7","15","15","51250","49900"
"In post","2021","Driver and Vehicle Standards Agency","Project Delivery","SEO/HEO","HEO","20","20","31810","31380"
"In post","2021","Driver and Vehicle Standards Agency","Project Delivery","SEO/HEO","SEO","35","35","40900","40640"
"In post","2021","Driver and Vehicle Standards Agency","Property","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Property","AA/AO","AO","10","10","21590","21590"
"In post","2021","Driver and Vehicle Standards Agency","Property","EO","EO","10","10","26590","26510"
"In post","2021","Driver and Vehicle Standards Agency","Property","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Property","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Property","SEO/HEO","HEO","20","20","32160","31380"
"In post","2021","Driver and Vehicle Standards Agency","Property","SEO/HEO","SEO","15","15","40890","40480"
"In post","2021","Education and Skills Funding Agency","Commercial","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Commercial","EO","EO","20","20","25580","25000"
"In post","2021","Education and Skills Funding Agency","Commercial","G6/G7","G6","15","15","64330","61960"
"In post","2021","Education and Skills Funding Agency","Commercial","G6/G7","G7","40","35","51510","50400"
"In post","2021","Education and Skills Funding Agency","Commercial","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Commercial","SEO/HEO","HEO","50","45","31050","30200"
"In post","2021","Education and Skills Funding Agency","Commercial","SEO/HEO","SEO","60","55","38560","37100"
"In post","2021","Education and Skills Funding Agency","Communications","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Communications","EO","EO","5","5","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Communications","G6/G7","G6","10","5","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Communications","G6/G7","G7","25","25","52830","53540"
"In post","2021","Education and Skills Funding Agency","Communications","SEO/HEO","HEO","10","10","32280","32300"
"In post","2021","Education and Skills Funding Agency","Communications","SEO/HEO","SEO","40","35","38770","37100"
"In post","2021","Education and Skills Funding Agency","Digital, Data and Technology","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Digital, Data and Technology","EO","EO","30","30","25720","26000"
"In post","2021","Education and Skills Funding Agency","Digital, Data and Technology","G6/G7","G6","15","15","62760","61510"
"In post","2021","Education and Skills Funding Agency","Digital, Data and Technology","G6/G7","G7","55","55","50600","50400"
"In post","2021","Education and Skills Funding Agency","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Digital, Data and Technology","SEO/HEO","HEO","100","95","30890","30140"
"In post","2021","Education and Skills Funding Agency","Digital, Data and Technology","SEO/HEO","SEO","95","90","38370","37100"
"In post","2021","Education and Skills Funding Agency","Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Finance","EO","EO","25","25","26620","26000"
"In post","2021","Education and Skills Funding Agency","Finance","G6/G7","G6","30","25","64550","64010"
"In post","2021","Education and Skills Funding Agency","Finance","G6/G7","G7","85","80","51670","50630"
"In post","2021","Education and Skills Funding Agency","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Finance","SEO/HEO","HEO","80","80","31290","30200"
"In post","2021","Education and Skills Funding Agency","Finance","SEO/HEO","SEO","95","90","38630","37100"
"In post","2021","Education and Skills Funding Agency","Human Resources","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Human Resources","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Human Resources","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Human Resources","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Human Resources","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Human Resources","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Operational Delivery","AA/AO","AO","10","10","21520","21000"
"In post","2021","Education and Skills Funding Agency","Operational Delivery","EO","EO","70","70","25700","25000"
"In post","2021","Education and Skills Funding Agency","Operational Delivery","G6/G7","G6","70","70","65320","65180"
"In post","2021","Education and Skills Funding Agency","Operational Delivery","G6/G7","G7","170","165","51730","50630"
"In post","2021","Education and Skills Funding Agency","Operational Delivery","SCS level","SCS level","15","15","78940","75480"
"In post","2021","Education and Skills Funding Agency","Operational Delivery","SEO/HEO","HEO","190","180","30730","30090"
"In post","2021","Education and Skills Funding Agency","Operational Delivery","SEO/HEO","SEO","180","175","38180","37100"
"In post","2021","Education and Skills Funding Agency","Policy","EO","EO","20","20","27150","26000"
"In post","2021","Education and Skills Funding Agency","Policy","G6/G7","G6","25","25","65040","65070"
"In post","2021","Education and Skills Funding Agency","Policy","G6/G7","G7","50","50","52550","50730"
"In post","2021","Education and Skills Funding Agency","Policy","SCS level","SCS level","25","25","91070","81710"
"In post","2021","Education and Skills Funding Agency","Policy","SEO/HEO","HEO","35","35","31150","30200"
"In post","2021","Education and Skills Funding Agency","Policy","SEO/HEO","SEO","40","40","38330","36960"
"In post","2021","Education and Skills Funding Agency","Project Delivery","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Project Delivery","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Property","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Property","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Unknown","AA/AO","AA","35","30","21630","22230"
"In post","2021","Education Scotland","Unknown","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Education Scotland","Unknown","EO","EO","10","10","28480","29190"
"In post","2021","Education Scotland","Unknown","G6/G7","G6","150","140","72540","75940"
"In post","2021","Education Scotland","Unknown","G6/G7","G7","45","40","54300","52480"
"In post","2021","Education Scotland","Unknown","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Education Scotland","Unknown","SEO/HEO","HEO","15","15","33660","34370"
"In post","2021","Education Scotland","Unknown","SEO/HEO","SEO","50","45","44340","46600"
"In post","2021","ESTYN","Commercial","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Commercial","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Communications","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Communications","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Digital, Data and Technology","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Digital, Data and Technology","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Human Resources","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Human Resources","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Human Resources","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Inspector of Education and Training","G6/G7","G6","65","60","74480","74730"
"In post","2021","ESTYN","Knowledge and Information Management","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Knowledge and Information Management","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Operational Delivery","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Operational Delivery","EO","EO","10","10","27900","28850"
