"Status","Year","Age","Disability","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","20-29","Unknown","Project Delivery","South West (England)","15","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Property","East Midlands (England)","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Property","London","15","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Property","North East (England)","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Property","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Property","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Property","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Property","South West (England)","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Property","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Property","Yorkshire and The Humber","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Security","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Security","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Security","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Security","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Security","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Security","South East (England)","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Security","Yorkshire and The Humber","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Unknown","East Midlands (England)","30","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Unknown","East of England","20","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Unknown","London","220","[c]","30180","31060"
"Leaver CS","2021","20-29","Unknown","Unknown","North East (England)","50","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Unknown","North West (England)","75","[c]","23560","21010"
"Leaver CS","2021","20-29","Unknown","Unknown","Northern Ireland","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Unknown","Overseas","5","[c]","[c]","[c]"
