"Status","Year","Age","Parent_department","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","60-64","Scotland Office","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Scotland Office","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Scotland Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Scottish Government","Outside London","Heterosexual / straight","630","525","38430","33650"
"In post","2021","60-64","Scottish Government","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","60-64","Scottish Government","Outside London","Undeclared","230","185","29080","22820"
"In post","2021","60-64","Scottish Government","Outside London","Unknown","625","510","36240","33650"
"In post","2021","60-64","Scottish Government","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Scottish Government","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Scottish Government","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","The National Archives","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","60-64","The National Archives","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","The National Archives","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","60-64","The National Archives","London","Unknown","30","30","[c]","[c]"
"In post","2021","60-64","UK Export Finance","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","60-64","UK Export Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","UK Export Finance","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","60-64","UK Export Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","UK Supreme Court","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","60-64","UK Supreme Court","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","United Kingdom Statistics Authority","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","60-64","United Kingdom Statistics Authority","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","United Kingdom Statistics Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","United Kingdom Statistics Authority","Outside London","Heterosexual / straight","300","220","25760","19520"
"In post","2021","60-64","United Kingdom Statistics Authority","Outside London","LGBO","10","5","[c]","[c]"
"In post","2021","60-64","United Kingdom Statistics Authority","Outside London","Undeclared","20","15","[c]","[c]"
"In post","2021","60-64","United Kingdom Statistics Authority","Outside London","Unknown","100","75","25830","19520"
"In post","2021","60-64","Wales Office","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Wales Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Wales Office","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Wales Office","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Water Services Regulation Authority","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Water Services Regulation Authority","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Water Services Regulation Authority","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Water Services Regulation Authority","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Water Services Regulation Authority","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","60-64","Welsh Government","Outside London","Heterosexual / straight","335","285","43860","37410"
"In post","2021","60-64","Welsh Government","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","60-64","Welsh Government","Outside London","Undeclared","55","50","45790","47000"
"In post","2021","60-64","Welsh Government","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","65+","Attorney General's Departments","London","Heterosexual / straight","45","35","41790","30110"
"In post","2021","65+","Attorney General's Departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Attorney General's Departments","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Attorney General's Departments","London","Unknown","25","20","[c]","[c]"
"In post","2021","65+","Attorney General's Departments","Outside London","Heterosexual / straight","35","30","43320","33160"
"In post","2021","65+","Attorney General's Departments","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Attorney General's Departments","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Attorney General's Departments","Outside London","Unknown","20","15","[c]","[c]"
"In post","2021","65+","Cabinet Office","London","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","65+","Cabinet Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Cabinet Office","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Cabinet Office","London","Unknown","10","10","[c]","[c]"
"In post","2021","65+","Cabinet Office","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","65+","Cabinet Office","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Cabinet Office","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Cabinet Office","Outside London","Unknown","10","5","[c]","[c]"
"In post","2021","65+","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Chancellor's other departments","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","65+","Chancellor's other departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Charity Commission","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Charity Commission","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Charity Commission","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Competition and Markets Authority","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Competition and Markets Authority","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Competition and Markets Authority","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Competition and Markets Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Business, Energy and Industrial Strategy","London","Heterosexual / straight","45","40","46360","47610"
"In post","2021","65+","Department for Business, Energy and Industrial Strategy","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Business, Energy and Industrial Strategy","London","Undeclared","10","10","[c]","[c]"
"In post","2021","65+","Department for Business, Energy and Industrial Strategy","London","Unknown","15","10","[c]","[c]"
"In post","2021","65+","Department for Business, Energy and Industrial Strategy","Outside London","Heterosexual / straight","70","50","32930","28240"
"In post","2021","65+","Department for Business, Energy and Industrial Strategy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Business, Energy and Industrial Strategy","Outside London","Undeclared","15","10","[c]","[c]"
"In post","2021","65+","Department for Business, Energy and Industrial Strategy","Outside London","Unknown","75","55","36070","33860"
"In post","2021","65+","Department for Digital, Culture, Media and Sport","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Digital, Culture, Media and Sport","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Digital, Culture, Media and Sport","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Digital, Culture, Media and Sport","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Education","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","65+","Department for Education","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Education","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Education","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Education","Outside London","Heterosexual / straight","30","30","40920","40300"
"In post","2021","65+","Department for Education","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Education","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Education","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","65+","Department for Environment, Food and Rural Affairs","London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","65+","Department for Environment, Food and Rural Affairs","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Environment, Food and Rural Affairs","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Environment, Food and Rural Affairs","London","Unknown","10","10","[c]","[c]"
"In post","2021","65+","Department for Environment, Food and Rural Affairs","Outside London","Heterosexual / straight","100","85","33290","27850"
"In post","2021","65+","Department for Environment, Food and Rural Affairs","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Environment, Food and Rural Affairs","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","65+","Department for Environment, Food and Rural Affairs","Outside London","Unknown","50","40","31060","26520"
"In post","2021","65+","Department for International Trade","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","65+","Department for International Trade","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for International Trade","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for International Trade","London","Unknown","10","10","[c]","[c]"
"In post","2021","65+","Department for International Trade","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for International Trade","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Transport","London","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","65+","Department for Transport","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Transport","London","Undeclared","15","10","[c]","[c]"
"In post","2021","65+","Department for Transport","London","Unknown","20","15","[c]","[c]"
"In post","2021","65+","Department for Transport","Outside London","Heterosexual / straight","220","165","30090","26780"
"In post","2021","65+","Department for Transport","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Transport","Outside London","Undeclared","150","100","26130","26780"
"In post","2021","65+","Department for Transport","Outside London","Unknown","40","30","26860","26470"
"In post","2021","65+","Department for Transport","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Transport","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Transport","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Work and Pensions","London","Heterosexual / straight","165","130","31410","31060"
"In post","2021","65+","Department for Work and Pensions","London","LGBO","10","10","[c]","[c]"
"In post","2021","65+","Department for Work and Pensions","London","Undeclared","45","30","30090","31060"
"In post","2021","65+","Department for Work and Pensions","London","Unknown","115","85","30110","31060"
"In post","2021","65+","Department for Work and Pensions","Outside London","Heterosexual / straight","1420","1010","26110","27570"
"In post","2021","65+","Department for Work and Pensions","Outside London","LGBO","50","40","24660","23060"
"In post","2021","65+","Department for Work and Pensions","Outside London","Undeclared","210","150","25900","26120"
"In post","2021","65+","Department for Work and Pensions","Outside London","Unknown","595","415","25160","25600"
"In post","2021","65+","Department for Work and Pensions","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","65+","Department for Work and Pensions","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Work and Pensions","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department for Work and Pensions","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department of Health and Social Care","London","Heterosexual / straight","60","50","54560","46000"
"In post","2021","65+","Department of Health and Social Care","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department of Health and Social Care","London","Undeclared","15","15","[c]","[c]"
"In post","2021","65+","Department of Health and Social Care","London","Unknown","50","45","58160","46840"
"In post","2021","65+","Department of Health and Social Care","Outside London","Heterosexual / straight","65","50","38400","35610"
"In post","2021","65+","Department of Health and Social Care","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Department of Health and Social Care","Outside London","Undeclared","15","10","[c]","[c]"
"In post","2021","65+","Department of Health and Social Care","Outside London","Unknown","30","25","45140","33320"
"In post","2021","65+","ESTYN","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","ESTYN","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","ESTYN","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Food Standards Agency","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","65+","Food Standards Agency","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Food Standards Agency","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Food Standards Agency","London","Unknown","5","5","[c]","[c]"
"In post","2021","65+","Food Standards Agency","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","65+","Food Standards Agency","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Food Standards Agency","Outside London","Unknown","15","10","[c]","[c]"
"In post","2021","65+","Foreign, Commonwealth and Development Office","London","Heterosexual / straight","50","40","49800","47320"
"In post","2021","65+","Foreign, Commonwealth and Development Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Foreign, Commonwealth and Development Office","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Foreign, Commonwealth and Development Office","London","Unknown","15","15","[c]","[c]"
"In post","2021","65+","Foreign, Commonwealth and Development Office","Outside London","Heterosexual / straight","35","25","43050","53630"
"In post","2021","65+","Foreign, Commonwealth and Development Office","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Foreign, Commonwealth and Development Office","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Foreign, Commonwealth and Development Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Foreign, Commonwealth and Development Office","Overseas","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","65+","Foreign, Commonwealth and Development Office","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Foreign, Commonwealth and Development Office","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Foreign, Commonwealth and Development Office","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","HM Land Registry","London","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","65+","HM Land Registry","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","HM Land Registry","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","HM Land Registry","London","Unknown","5","5","[c]","[c]"
"In post","2021","65+","HM Land Registry","Outside London","Heterosexual / straight","55","35","33280","31740"
"In post","2021","65+","HM Land Registry","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","HM Land Registry","Outside London","Undeclared","15","10","[c]","[c]"
"In post","2021","65+","HM Land Registry","Outside London","Unknown","35","20","30600","27130"
"In post","2021","65+","HM Revenue and Customs","London","Heterosexual / straight","145","110","40770","32520"
"In post","2021","65+","HM Revenue and Customs","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","HM Revenue and Customs","London","Undeclared","35","25","40670","36620"
"In post","2021","65+","HM Revenue and Customs","London","Unknown","105","80","36130","32520"
"In post","2021","65+","HM Revenue and Customs","Outside London","Heterosexual / straight","635","450","28960","26390"
"In post","2021","65+","HM Revenue and Customs","Outside London","LGBO","20","15","[c]","[c]"
"In post","2021","65+","HM Revenue and Customs","Outside London","Undeclared","150","105","29160","27230"
"In post","2021","65+","HM Revenue and Customs","Outside London","Unknown","445","310","26410","21440"
"In post","2021","65+","HM Treasury","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","65+","HM Treasury","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","HM Treasury","London","Unknown","5","5","[c]","[c]"
"In post","2021","65+","HM Treasury","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","HM Treasury","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Home Office","London","Heterosexual / straight","290","230","31450","29030"
"In post","2021","65+","Home Office","London","LGBO","5","5","[c]","[c]"
"In post","2021","65+","Home Office","London","Undeclared","70","55","31560","29080"
"In post","2021","65+","Home Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Home Office","Outside London","Heterosexual / straight","310","220","24410","21430"
"In post","2021","65+","Home Office","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","65+","Home Office","Outside London","Undeclared","60","40","26390","25450"
"In post","2021","65+","Home Office","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","65+","Home Office","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Home Office","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Home Office","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Ministry of Defence","London","Heterosexual / straight","100","90","34900","29250"
"In post","2021","65+","Ministry of Defence","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Ministry of Defence","London","Undeclared","20","15","[c]","[c]"
"In post","2021","65+","Ministry of Defence","London","Unknown","15","10","[c]","[c]"
"In post","2021","65+","Ministry of Defence","Outside London","Heterosexual / straight","1385","1220","30650","26670"
"In post","2021","65+","Ministry of Defence","Outside London","LGBO","15","15","[c]","[c]"
"In post","2021","65+","Ministry of Defence","Outside London","Undeclared","265","235","30760","29200"
"In post","2021","65+","Ministry of Defence","Outside London","Unknown","140","115","29830","23230"
"In post","2021","65+","Ministry of Defence","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","65+","Ministry of Defence","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Ministry of Defence","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Ministry of Defence","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","65+","Ministry of Defence","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Ministry of Defence","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","65+","Ministry of Housing, Communities and Local Government","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","65+","Ministry of Housing, Communities and Local Government","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Ministry of Housing, Communities and Local Government","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Ministry of Housing, Communities and Local Government","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Ministry of Housing, Communities and Local Government","Outside London","Heterosexual / straight","40","25","58420","65270"
"In post","2021","65+","Ministry of Housing, Communities and Local Government","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Ministry of Housing, Communities and Local Government","Outside London","Undeclared","10","5","[c]","[c]"
"In post","2021","65+","Ministry of Housing, Communities and Local Government","Outside London","Unknown","20","15","[c]","[c]"
"In post","2021","65+","Ministry of Justice","London","Heterosexual / straight","265","225","30340","24800"
"In post","2021","65+","Ministry of Justice","London","LGBO","10","5","[c]","[c]"
"In post","2021","65+","Ministry of Justice","London","Undeclared","50","45","31230","24660"
"In post","2021","65+","Ministry of Justice","London","Unknown","95","80","27330","23970"
"In post","2021","65+","Ministry of Justice","Outside London","Heterosexual / straight","1015","760","25240","21710"
"In post","2021","65+","Ministry of Justice","Outside London","LGBO","30","25","[c]","[c]"
"In post","2021","65+","Ministry of Justice","Outside London","Undeclared","150","105","24650","20690"
"In post","2021","65+","Ministry of Justice","Outside London","Unknown","300","200","26260","23270"
"In post","2021","65+","National Crime Agency","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","65+","National Crime Agency","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","National Crime Agency","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","National Crime Agency","London","Unknown","5","5","[c]","[c]"
"In post","2021","65+","National Crime Agency","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","65+","National Crime Agency","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","National Crime Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","National Crime Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","National Crime Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office for Standards in Education","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","65+","Office for Standards in Education","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office for Standards in Education","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office for Standards in Education","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office for Standards in Education","Outside London","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","65+","Office for Standards in Education","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office for Standards in Education","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office for Standards in Education","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office of Gas and Electricity Markets","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office of Gas and Electricity Markets","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office of Gas and Electricity Markets","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office of Gas and Electricity Markets","London","Unknown","5","5","[c]","[c]"
"In post","2021","65+","Office of Gas and Electricity Markets","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office of Gas and Electricity Markets","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office of Qualifications and Examinations Regulation","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office of Qualifications and Examinations Regulation","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office of Qualifications and Examinations Regulation","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office of Rail and Road","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office of Rail and Road","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office of Rail and Road","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office of Rail and Road","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office of Rail and Road","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Office of Rail and Road","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Other Cabinet Office Agencies","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Other Cabinet Office Agencies","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Other Cabinet Office Agencies","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Other Cabinet Office Agencies","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","65+","Other Cabinet Office Agencies","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Other Cabinet Office Agencies","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Scotland Office","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Scotland Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Scotland Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Scotland Office","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Scotland Office","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Scotland Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Scottish Government","Outside London","Heterosexual / straight","145","115","35120","29190"
"In post","2021","65+","Scottish Government","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Scottish Government","Outside London","Undeclared","65","45","25700","22820"
"In post","2021","65+","Scottish Government","Outside London","Unknown","205","155","35300","31060"
"In post","2021","65+","The National Archives","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","The National Archives","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","The National Archives","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","The National Archives","London","Unknown","20","15","[c]","[c]"
"In post","2021","65+","UK Export Finance","London","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","65+","UK Export Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","UK Supreme Court","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","UK Supreme Court","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","United Kingdom Statistics Authority","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","United Kingdom Statistics Authority","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","United Kingdom Statistics Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","United Kingdom Statistics Authority","Outside London","Heterosexual / straight","185","120","23080","19520"
"In post","2021","65+","United Kingdom Statistics Authority","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","United Kingdom Statistics Authority","Outside London","Undeclared","10","5","[c]","[c]"
"In post","2021","65+","United Kingdom Statistics Authority","Outside London","Unknown","45","30","26090","19520"
"In post","2021","65+","Welsh Government","Outside London","Heterosexual / straight","125","100","39290","33620"
"In post","2021","65+","Welsh Government","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Welsh Government","Outside London","Undeclared","30","25","[c]","[c]"
"In post","2021","65+","Welsh Government","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Unknown","Department for Digital, Culture, Media and Sport","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Digital, Culture, Media and Sport","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Digital, Culture, Media and Sport","London","Unknown","5","5","[c]","[c]"
"In post","2021","Unknown","Department for Environment, Food and Rural Affairs","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Environment, Food and Rural Affairs","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Environment, Food and Rural Affairs","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Work and Pensions","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Work and Pensions","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Work and Pensions","Outside London","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","Unknown","Department for Work and Pensions","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Work and Pensions","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Work and Pensions","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department of Health and Social Care","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department of Health and Social Care","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department of Health and Social Care","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Defence","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Defence","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Defence","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland Office","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland Office","London","LGBO","[c]","[c]","[c]","[c]"
