"Status","Year","Region_ITL1","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","London","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","London","SCS level","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","SEO/HEO","Female","Heterosexual / straight","11830","11425","38350","37560"
"In post","2021","London","SEO/HEO","Female","LGBO","775","765","37440","36600"
"In post","2021","London","SEO/HEO","Female","Undeclared","1480","1425","38430","37640"
"In post","2021","London","SEO/HEO","Female","Unknown","3875","3760","36600","36160"
"In post","2021","London","SEO/HEO","Male","Heterosexual / straight","9780","9665","39120","38540"
"In post","2021","London","SEO/HEO","Male","LGBO","1045","1035","38120","37250"
"In post","2021","London","SEO/HEO","Male","Undeclared","1530","1500","39550","39440"
"In post","2021","London","SEO/HEO","Male","Unknown","3600","3565","37500","36650"
"In post","2021","London","SEO/HEO","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","London","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","London","SEO/HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","London","SEO/HEO","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","London","Unknown","Female","Heterosexual / straight","960","920","33570","32970"
"In post","2021","London","Unknown","Female","LGBO","45","45","32110","27730"
"In post","2021","London","Unknown","Female","Undeclared","85","80","37600","35310"
"In post","2021","London","Unknown","Female","Unknown","105","95","31070","26810"
"In post","2021","London","Unknown","Male","Heterosexual / straight","325","320","34770","33950"
"In post","2021","London","Unknown","Male","LGBO","35","35","35680","36580"
"In post","2021","London","Unknown","Male","Undeclared","45","45","35210","34100"
"In post","2021","London","Unknown","Male","Unknown","45","45","31330","27730"
"In post","2021","London","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","AA/AO","Female","Heterosexual / straight","4910","4005","21070","21010"
"In post","2021","North East (England)","AA/AO","Female","LGBO","225","205","21800","21010"
"In post","2021","North East (England)","AA/AO","Female","Undeclared","580","460","21290","21010"
"In post","2021","North East (England)","AA/AO","Female","Unknown","2685","2105","21040","21010"
"In post","2021","North East (England)","AA/AO","Male","Heterosexual / straight","3075","2900","22080","21010"
"In post","2021","North East (England)","AA/AO","Male","LGBO","200","190","21160","21010"
"In post","2021","North East (England)","AA/AO","Male","Undeclared","375","355","22080","21010"
"In post","2021","North East (England)","AA/AO","Male","Unknown","1635","1515","22180","21010"
"In post","2021","North East (England)","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","EO","Female","Heterosexual / straight","3260","2850","26800","27570"
"In post","2021","North East (England)","EO","Female","LGBO","125","120","26940","27570"
"In post","2021","North East (England)","EO","Female","Undeclared","285","250","26780","27370"
"In post","2021","North East (England)","EO","Female","Unknown","1080","950","26580","27260"
"In post","2021","North East (England)","EO","Male","Heterosexual / straight","1945","1865","26990","27380"
"In post","2021","North East (England)","EO","Male","LGBO","120","120","26710","27570"
"In post","2021","North East (England)","EO","Male","Undeclared","265","250","27100","27280"
"In post","2021","North East (England)","EO","Male","Unknown","825","780","26680","26470"
"In post","2021","North East (England)","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","G6/G7","Female","Heterosexual / straight","725","690","54090","52580"
"In post","2021","North East (England)","G6/G7","Female","LGBO","30","30","[c]","[c]"
"In post","2021","North East (England)","G6/G7","Female","Undeclared","55","50","57570","54990"
"In post","2021","North East (England)","G6/G7","Female","Unknown","150","140","54510","52580"
"In post","2021","North East (England)","G6/G7","Male","Heterosexual / straight","720","710","55200","52580"
"In post","2021","North East (England)","G6/G7","Male","LGBO","40","40","53440","52580"
"In post","2021","North East (England)","G6/G7","Male","Undeclared","95","95","55530","52580"
"In post","2021","North East (England)","G6/G7","Male","Unknown","225","220","55610","52580"
"In post","2021","North East (England)","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SCS level","Female","Heterosexual / straight","40","40","81970","76310"
"In post","2021","North East (England)","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SCS level","Female","Unknown","10","10","[c]","[c]"
"In post","2021","North East (England)","SCS level","Male","Heterosexual / straight","45","45","93240","87780"
"In post","2021","North East (England)","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SCS level","Male","Unknown","15","15","[c]","[c]"
