"Status","Year","Function_of_post","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Digital, Data & Technology","Other","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","Outside London","EO","15","15","21820","20760"
"In post","2021","Digital, Data & Technology","Other","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Policy","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Policy","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Policy","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","London","G6/G7","10","10","59050","57360"
"In post","2021","Digital, Data & Technology","Project Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","London","SEO/HEO","10","10","36550","34880"
"In post","2021","Digital, Data & Technology","Project Delivery","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Science and Engineering","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Science and Engineering","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Science and Engineering","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Science and Engineering","Outside London","EO","30","30","26530","27520"
"In post","2021","Digital, Data & Technology","Science and Engineering","Outside London","G6/G7","175","160","52540","48540"
"In post","2021","Digital, Data & Technology","Science and Engineering","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Science and Engineering","Outside London","SEO/HEO","320","300","37980","39650"
"In post","2021","Digital, Data & Technology","Science and Engineering","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","London","EO","10","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","Outside London","SEO/HEO","20","20","37520","37500"
"In post","2021","Digital, Data & Technology","Statistics","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Statistics","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","Outside London","EO","10","10","25540","25560"
"In post","2021","Digital, Data & Technology","Tax","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","Outside London","SEO/HEO","40","40","34250","31990"
"In post","2021","Digital, Data & Technology","Unknown","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","London","EO","60","60","28230","27500"
"In post","2021","Digital, Data & Technology","Unknown","London","G6/G7","585","575","58470","56440"
"In post","2021","Digital, Data & Technology","Unknown","London","SCS level","35","35","99820","93140"
"In post","2021","Digital, Data & Technology","Unknown","London","SEO/HEO","245","245","37810","36730"
"In post","2021","Digital, Data & Technology","Unknown","Outside London","AA/AO","10","10","20420","20140"
"In post","2021","Digital, Data & Technology","Unknown","Outside London","EO","65","65","26070","25560"
"In post","2021","Digital, Data & Technology","Unknown","Outside London","G6/G7","85","85","55060","52580"
"In post","2021","Digital, Data & Technology","Unknown","Outside London","SCS level","15","15","100840","97900"
"In post","2021","Digital, Data & Technology","Unknown","Outside London","SEO/HEO","205","200","34920","32960"
"In post","2021","Digital, Data & Technology","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Finance","Commercial","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Finance","Commercial","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Finance","Communications","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Corporate Finance","London","EO","5","5","[c]","[c]"
"In post","2021","Finance","Corporate Finance","London","G6/G7","20","20","62940","63370"
"In post","2021","Finance","Corporate Finance","London","SCS level","5","5","[c]","[c]"
"In post","2021","Finance","Corporate Finance","London","SEO/HEO","15","15","40660","41900"
"In post","2021","Finance","Corporate Finance","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","Finance","Corporate Finance","Outside London","EO","10","10","24850","24920"
"In post","2021","Finance","Corporate Finance","Outside London","G6/G7","30","30","56290","55410"
"In post","2021","Finance","Corporate Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Corporate Finance","Outside London","SEO/HEO","35","35","35110","36160"
"In post","2021","Finance","Counter Fraud","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data and Technology","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data and Technology","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data and Technology","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data and Technology","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data and Technology","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Finance","Economics","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Finance","Economics","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Economics","London","G6/G7","25","25","58190","55160"
"In post","2021","Finance","Economics","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Economics","London","SEO/HEO","35","35","34600","32790"
"In post","2021","Finance","Economics","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Economics","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Economics","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","Finance","Economics","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Economics","Outside London","SEO/HEO","10","10","34920","36820"
"In post","2021","Finance","Finance","London","AA/AO","65","65","24380","24200"
"In post","2021","Finance","Finance","London","EO","250","240","28710","29000"
"In post","2021","Finance","Finance","London","G6/G7","730","715","61910","59840"
"In post","2021","Finance","Finance","London","SCS level","135","135","91420","85000"
"In post","2021","Finance","Finance","London","SEO/HEO","880","860","39720","39800"
"In post","2021","Finance","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","Outside London","AA/AO","990","825","21090","21130"
"In post","2021","Finance","Finance","Outside London","EO","1125","1065","26020","26350"
"In post","2021","Finance","Finance","Outside London","G6/G7","985","960","56450","54540"
"In post","2021","Finance","Finance","Outside London","SCS level","90","90","88260","81940"
"In post","2021","Finance","Finance","Outside London","SEO/HEO","2225","2140","37030","36780"
"In post","2021","Finance","Finance","Outside London","Unknown","45","45","44080","40150"
"In post","2021","Finance","Finance","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","Overseas","EO","15","15","28310","26670"
"In post","2021","Finance","Finance","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","Overseas","SEO/HEO","15","15","37060","33630"
"In post","2021","Finance","Human Resources","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Internal Audit","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","International Trade","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Knowledge and Information Management","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Knowledge and Information Management","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Knowledge and Information Management","Outside London","SEO/HEO","10","10","32650","34830"
"In post","2021","Finance","Legal","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Operational Delivery","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Finance","Operational Delivery","London","EO","35","30","28410","29000"
"In post","2021","Finance","Operational Delivery","London","G6/G7","25","25","61350","59680"
"In post","2021","Finance","Operational Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Operational Delivery","London","SEO/HEO","60","60","36990","36800"
"In post","2021","Finance","Operational Delivery","Outside London","AA/AO","355","305","20560","20140"
"In post","2021","Finance","Operational Delivery","Outside London","EO","145","135","25880","25560"
"In post","2021","Finance","Operational Delivery","Outside London","G6/G7","35","35","53410","52580"
"In post","2021","Finance","Operational Delivery","Outside London","SEO/HEO","200","195","33750","31810"
"In post","2021","Finance","Operational Research","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other","London","EO","10","10","[c]","[c]"
"In post","2021","Finance","Other","London","G6/G7","10","10","[c]","[c]"
"In post","2021","Finance","Other","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other","Outside London","EO","25","25","22350","21200"
"In post","2021","Finance","Other","Outside London","G6/G7","35","30","58990","62900"
"In post","2021","Finance","Other","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Finance","Other","Outside London","SEO/HEO","60","55","32740","32790"
"In post","2021","Finance","Policy","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Policy","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Finance","Policy","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Policy","London","SEO/HEO","10","10","38170","37540"
"In post","2021","Finance","Policy","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Policy","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Finance","Policy","Outside London","SEO/HEO","10","10","34620","33930"
"In post","2021","Finance","Project Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Finance","Project Delivery","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","Outside London","G6/G7","30","30","57840","53930"
"In post","2021","Finance","Project Delivery","Outside London","SEO/HEO","30","30","34670","33480"
"In post","2021","Finance","Property","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Science and Engineering","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Science and Engineering","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Security","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Statistics","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Statistics","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Statistics","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Statistics","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Tax","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Tax","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Tax","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Finance","Tax","Outside London","AA/AO","15","15","20140","20140"
"In post","2021","Finance","Tax","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Finance","Tax","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Finance","Tax","Outside London","SEO/HEO","25","25","34510","32100"
"In post","2021","Finance","Unknown","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","London","EO","20","20","28440","28160"
"In post","2021","Finance","Unknown","London","G6/G7","60","60","59060","59160"
"In post","2021","Finance","Unknown","London","SCS level","10","10","97240","89760"
"In post","2021","Finance","Unknown","London","SEO/HEO","55","55","38670","38580"
"In post","2021","Finance","Unknown","Outside London","AA/AO","35","30","20780","20140"
"In post","2021","Finance","Unknown","Outside London","EO","20","15","27610","25630"
"In post","2021","Finance","Unknown","Outside London","G6/G7","35","35","55090","52580"
"In post","2021","Finance","Unknown","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Finance","Unknown","Outside London","SEO/HEO","85","80","36440","37530"
"In post","2021","Finance","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Human Resources","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Operational Delivery","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Operational Delivery","Outside London","AA/AO","955","855","21010","21050"
"In post","2021","Grants Management","Operational Delivery","Outside London","EO","540","495","25510","25190"
"In post","2021","Grants Management","Operational Delivery","Outside London","G6/G7","55","55","52480","49770"
"In post","2021","Grants Management","Operational Delivery","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Grants Management","Operational Delivery","Outside London","SEO/HEO","330","310","32740","31110"
"In post","2021","Grants Management","Policy","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Policy","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Policy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Policy","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Human Resources","Digital, Data and Technology","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data and Technology","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data and Technology","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Human Resources","Finance","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","London","AA/AO","70","65","24170","23800"
"In post","2021","Human Resources","Human Resources","London","EO","270","260","28780","28180"
"In post","2021","Human Resources","Human Resources","London","G6/G7","615","595","60860","59470"
"In post","2021","Human Resources","Human Resources","London","SCS level","115","110","89350","82520"
"In post","2021","Human Resources","Human Resources","London","SEO/HEO","860","840","38780","37740"
"In post","2021","Human Resources","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Outside London","AA/AO","1045","950","21350","21130"
"In post","2021","Human Resources","Human Resources","Outside London","EO","930","870","26370","26670"
"In post","2021","Human Resources","Human Resources","Outside London","G6/G7","815","790","55870","54060"
"In post","2021","Human Resources","Human Resources","Outside London","SCS level","50","50","88280","82140"
"In post","2021","Human Resources","Human Resources","Outside London","SEO/HEO","2080","1965","35830","33840"
"In post","2021","Human Resources","Human Resources","Outside London","Unknown","40","35","42090","41040"
"In post","2021","Human Resources","Human Resources","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Overseas","EO","5","5","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Overseas","SEO/HEO","10","10","36890","36460"
"In post","2021","Human Resources","Human Resources","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Unknown","G6/G7","10","5","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Knowledge and Information Management","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Knowledge and Information Management","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Operational Delivery","London","AA/AO","10","5","[c]","[c]"
"In post","2021","Human Resources","Operational Delivery","London","EO","20","20","27740","27040"
"In post","2021","Human Resources","Operational Delivery","London","G6/G7","20","20","57290","57200"
"In post","2021","Human Resources","Operational Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Operational Delivery","London","SEO/HEO","30","30","36740","36800"
"In post","2021","Human Resources","Operational Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Operational Delivery","Outside London","AA/AO","270","235","20890","21400"
"In post","2021","Human Resources","Operational Delivery","Outside London","EO","200","185","25630","25560"
"In post","2021","Human Resources","Operational Delivery","Outside London","G6/G7","40","40","54480","52580"
"In post","2021","Human Resources","Operational Delivery","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Operational Delivery","Outside London","SEO/HEO","190","180","33030","31810"
"In post","2021","Human Resources","Operational Delivery","Outside London","Unknown","145","135","33430","28650"
"In post","2021","Human Resources","Operational Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Operational Delivery","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Operational Research","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Human Resources","Other","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other","Outside London","SEO/HEO","30","30","36330","39330"
"In post","2021","Human Resources","Policy","London","EO","10","10","[c]","[c]"
"In post","2021","Human Resources","Policy","London","G6/G7","10","10","57110","55560"
"In post","2021","Human Resources","Policy","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Policy","London","SEO/HEO","20","20","39740","39160"
"In post","2021","Human Resources","Policy","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Human Resources","Policy","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Human Resources","Policy","Outside London","SEO/HEO","25","25","34370","36030"
"In post","2021","Human Resources","Policy","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Property","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Science and Engineering","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Security","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Security","Outside London","Unknown","20","20","37550","33520"
"In post","2021","Human Resources","Tax","London","EO","5","5","[c]","[c]"
"In post","2021","Human Resources","Tax","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Human Resources","Tax","London","SEO/HEO","10","10","39260","39800"
"In post","2021","Human Resources","Tax","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Tax","Outside London","EO","55","50","26210","25560"
"In post","2021","Human Resources","Tax","Outside London","G6/G7","30","25","54420","52770"
"In post","2021","Human Resources","Tax","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Tax","Outside London","SEO/HEO","65","65","33350","31810"
"In post","2021","Human Resources","Unknown","London","AA/AO","10","10","24060","24490"
"In post","2021","Human Resources","Unknown","London","EO","90","85","28120","27500"
"In post","2021","Human Resources","Unknown","London","G6/G7","210","200","59730","58820"
"In post","2021","Human Resources","Unknown","London","SCS level","35","35","89440","76390"
"In post","2021","Human Resources","Unknown","London","SEO/HEO","205","200","37050","35850"
"In post","2021","Human Resources","Unknown","Outside London","AA/AO","195","180","20680","20800"
"In post","2021","Human Resources","Unknown","Outside London","EO","150","145","25470","25550"
"In post","2021","Human Resources","Unknown","Outside London","G6/G7","115","110","53820","52580"
"In post","2021","Human Resources","Unknown","Outside London","SCS level","10","10","92290","94420"
"In post","2021","Human Resources","Unknown","Outside London","SEO/HEO","280","270","35420","35790"
"In post","2021","Human Resources","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","EO","10","10","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Commercial","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","London","AA/AO","10","10","33630","35900"
"In post","2021","Internal Audit","Internal Audit","London","EO","10","10","31580","32160"
"In post","2021","Internal Audit","Internal Audit","London","G6/G7","75","70","62690","59730"
"In post","2021","Internal Audit","Internal Audit","London","SCS level","20","20","91180","88450"
"In post","2021","Internal Audit","Internal Audit","London","SEO/HEO","95","95","44810","45260"
"In post","2021","Internal Audit","Internal Audit","Outside London","AA/AO","10","10","24560","21840"
"In post","2021","Internal Audit","Internal Audit","Outside London","EO","40","35","27500","26720"
"In post","2021","Internal Audit","Internal Audit","Outside London","G6/G7","120","115","56590","54400"
"In post","2021","Internal Audit","Internal Audit","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","Outside London","SEO/HEO","355","340","39530","39980"
"In post","2021","Internal Audit","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Operational Delivery","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Policy","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Internal Audit","Policy","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Policy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Policy","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Project Delivery","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Communications","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Communications","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Digital, Data and Technology","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Digital, Data and Technology","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Digital, Data and Technology","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Human Resources","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Knowledge and Information Management","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Knowledge and Information Management","London","G6/G7","10","10","[c]","[c]"
"In post","2021","Legal","Knowledge and Information Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Knowledge and Information Management","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Knowledge and Information Management","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal","London","AA/AO","20","20","25090","25080"
"In post","2021","Legal","Legal","London","EO","165","165","30540","29570"
"In post","2021","Legal","Legal","London","G6/G7","2890","2680","61290","61860"
"In post","2021","Legal","Legal","London","SCS level","285","275","88910","82540"
"In post","2021","Legal","Legal","London","SEO/HEO","470","450","40650","40800"
"In post","2021","Legal","Legal","London","Unknown","5","5","[c]","[c]"
"In post","2021","Legal","Legal","Outside London","AA/AO","25","20","21940","21950"
"In post","2021","Legal","Legal","Outside London","EO","205","200","26550","26970"
"In post","2021","Legal","Legal","Outside London","G6/G7","2760","2525","57540","55610"
"In post","2021","Legal","Legal","Outside London","SCS level","90","90","87890","83400"
"In post","2021","Legal","Legal","Outside London","SEO/HEO","1715","1570","40320","39820"
"In post","2021","Legal","Legal","Overseas","G6/G7","10","10","65590","70740"
"In post","2021","Legal","Legal","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Operational Delivery","London","AA/AO","380","355","23310","23520"
"In post","2021","Legal","Operational Delivery","London","EO","375","350","28940","29620"
"In post","2021","Legal","Operational Delivery","London","G6/G7","40","40","63560","65030"
"In post","2021","Legal","Operational Delivery","London","SCS level","10","10","94630","82500"
"In post","2021","Legal","Operational Delivery","London","SEO/HEO","145","140","36370","35020"
"In post","2021","Legal","Operational Delivery","Outside London","AA/AO","2095","1875","21800","21950"
