"Status","Year","Age","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","50-59","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Charity Commission","Operational Delivery","15","15","30710","29300"
"In post","2021","50-59","Charity Commission","Other","5","5","[c]","[c]"
"In post","2021","50-59","Charity Commission","Policy","5","5","[c]","[c]"
"In post","2021","50-59","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Charity Commission","Unknown","60","55","34700","29160"
"In post","2021","50-59","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Competition and Markets Authority","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","50-59","Competition and Markets Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Competition and Markets Authority","Intelligence Analysis","15","15","58450","55480"
"In post","2021","50-59","Competition and Markets Authority","Legal","15","15","80980","80730"
"In post","2021","50-59","Competition and Markets Authority","Policy","5","5","[c]","[c]"
"In post","2021","50-59","Competition and Markets Authority","Project Delivery","85","85","69100","60850"
"In post","2021","50-59","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Commercial","60","60","46670","47960"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Communications","35","35","39010","36710"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Counter Fraud","90","90","41230","39490"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","260","255","44550","41910"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Economics","25","25","56600","57850"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Finance","80","80","46360","42710"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Human Resources","100","100","43100","40780"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Internal Audit","5","5","[c]","[c]"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","15","15","40750","41600"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Legal","25","25","57340","56950"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Operational Delivery","1140","1085","32730","28110"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Other","15","15","59410","57480"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Policy","620","610","52930","53600"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Project Delivery","100","95","50110","48050"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Property","10","10","[c]","[c]"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Science and Engineering","285","265","47590","44040"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Security","5","5","[c]","[c]"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Statistics","15","15","48440","44280"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","Economics","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","Finance","5","5","[c]","[c]"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","Human Resources","10","10","68460","54460"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","Other","15","15","29210","26480"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","Policy","85","80","50950","51730"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","Project Delivery","35","35","59360","54100"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Education","Commercial","105","105","43710","40300"
"In post","2021","50-59","Department for Education","Communications","65","60","40100","36780"
"In post","2021","50-59","Department for Education","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Education","Digital, Data and Technology","170","165","40310","37100"
"In post","2021","50-59","Department for Education","Finance","170","170","44750","42520"
"In post","2021","50-59","Department for Education","Human Resources","30","25","42480","38090"
"In post","2021","50-59","Department for Education","Legal","20","20","53200","50630"
"In post","2021","50-59","Department for Education","Operational Delivery","400","395","45570","40300"
"In post","2021","50-59","Department for Education","Other","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Education","Policy","550","530","48340","44460"
"In post","2021","50-59","Department for Education","Project Delivery","15","15","49370","50370"
"In post","2021","50-59","Department for Education","Property","165","165","54730","61010"
"In post","2021","50-59","Department for Education","Security","10","10","[c]","[c]"
"In post","2021","50-59","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","Commercial","45","45","40470","37480"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","Communications","40","40","41630","37840"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","220","215","46000","47630"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","Economics","10","10","54340","57730"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","Finance","120","120","44430","40080"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","Human Resources","80","80","47560","48370"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","Operational Delivery","1000","945","28830","26320"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","Other","15","15","40960","32560"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","Policy","430","420","45610","40200"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","Project Delivery","100","95","41980","37280"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","Property","130","125","39720","35900"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","Science and Engineering","360","340","37360","34630"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","Statistics","25","25","39230","31820"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","Unknown","10","10","37280","21050"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","Veterinarian","90","85","52930","51760"
"In post","2021","50-59","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for International Trade","Communications","15","15","54130","54200"
"In post","2021","50-59","Department for International Trade","Digital, Data and Technology","15","15","44680","38540"
"In post","2021","50-59","Department for International Trade","Economics","5","5","[c]","[c]"
"In post","2021","50-59","Department for International Trade","Finance","25","25","46270","38540"
"In post","2021","50-59","Department for International Trade","Human Resources","25","25","51930","50020"
"In post","2021","50-59","Department for International Trade","International Trade","220","220","53540","51970"
"In post","2021","50-59","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for International Trade","Operational Delivery","45","45","38630","33330"
"In post","2021","50-59","Department for International Trade","Other","35","35","33120","28840"
"In post","2021","50-59","Department for International Trade","Policy","20","20","49960","50260"
"In post","2021","50-59","Department for International Trade","Project Delivery","20","20","42710","37010"
"In post","2021","50-59","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for International Trade","Security","10","10","47550","44030"
"In post","2021","50-59","Department for International Trade","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Transport","Commercial","55","50","41520","41230"
"In post","2021","50-59","Department for Transport","Communications","50","50","39510","33350"
"In post","2021","50-59","Department for Transport","Corporate Finance","5","5","[c]","[c]"
"In post","2021","50-59","Department for Transport","Counter Fraud","25","25","30730","26780"
"In post","2021","50-59","Department for Transport","Digital, Data and Technology","250","250","42610","41140"
