"Status","Year","Disability","Organisation","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Digital, Data and Technology","EO","10","10","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Digital, Data and Technology","G7","15","15","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Digital, Data and Technology","HEO","15","15","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Digital, Data and Technology","SEO","15","15","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Economics","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Finance","EO","15","10","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Finance","G7","15","15","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Finance","HEO","10","10","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Finance","SEO","20","20","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Human Resources","EO","10","5","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Human Resources","G7","15","15","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Human Resources","HEO","25","25","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Human Resources","SEO","35","35","45540","44980"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Operational Delivery","AO","15","15","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Operational Delivery","EO","20","20","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Operational Delivery","G7","20","20","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Operational Delivery","HEO","30","30","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Operational Delivery","SEO","15","15","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Operational Research","G7","5","5","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Policy","EO","5","5","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Policy","G7","15","15","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Policy","SEO","10","10","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Project Delivery","G7","5","5","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Project Delivery","HEO","5","5","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Property","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Property","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Social Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Social Research","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Social Research","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Statistics","G7","5","5","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Statistics","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Statistics","SEO","5","5","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Unknown","SEO","5","5","[c]","[c]"
"In post","2021","Undeclared","National Crime Agency","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Crime Agency","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Crime Agency","Operational Delivery","HEO","5","5","[c]","[c]"
"In post","2021","Undeclared","National Crime Agency","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Infrastructure Commission","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Infrastructure Commission","Economics","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Infrastructure Commission","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Infrastructure Commission","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Infrastructure Commission","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Infrastructure Commission","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Infrastructure Commission","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Infrastructure Commission","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Records of Scotland","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Records of Scotland","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Records of Scotland","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Savings and Investments","Other","AA","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Savings and Investments","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Savings and Investments","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland Office","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland Office","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland Office","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland Office","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland Office","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland Office","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland Office","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland Office","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland Office","Property","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Qualifications and Examinations Regulation","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Qualifications and Examinations Regulation","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Qualifications and Examinations Regulation","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Qualifications and Examinations Regulation","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Qualifications and Examinations Regulation","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Qualifications and Examinations Regulation","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Qualifications and Examinations Regulation","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Qualifications and Examinations Regulation","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","Economics","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of the Public Guardian","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of the Public Guardian","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of the Public Guardian","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of the Public Guardian","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of the Public Guardian","Legal","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of the Public Guardian","Operational Delivery","AO","65","60","19860","19930"
"In post","2021","Undeclared","Office of the Public Guardian","Operational Delivery","EO","25","25","[c]","[c]"
"In post","2021","Undeclared","Office of the Public Guardian","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of the Public Guardian","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of the Public Guardian","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of the Public Guardian","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of the Public Guardian","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectorate","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectorate","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectorate","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectorate","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectorate","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectorate","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectorate","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectorate","Planning","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectorate","Planning Inspectors","G6","10","10","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectorate","Planning Inspectors","G7","5","5","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectorate","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Knowledge and Information Management","EO","5","5","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Knowledge and Information Management","G7","5","5","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Knowledge and Information Management","SEO","10","5","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Medicine","G6","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Medicine","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Medicine","SCS level","35","25","103880","95760"
"In post","2021","Undeclared","Public Health England","Medicine","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Operational Delivery","AO","30","20","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Operational Delivery","EO","30","25","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Operational Delivery","G6","30","25","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Operational Delivery","G7","60","55","52520","52610"
"In post","2021","Undeclared","Public Health England","Operational Delivery","HEO","40","35","31280","31370"
"In post","2021","Undeclared","Public Health England","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Operational Delivery","SEO","65","60","39800","40070"
"In post","2021","Undeclared","Public Health England","Property","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Science and Engineering","AO","15","15","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Science and Engineering","EO","15","15","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Science and Engineering","G6","10","10","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Science and Engineering","G7","30","25","52990","52190"
"In post","2021","Undeclared","Public Health England","Science and Engineering","HEO","35","30","32190","31370"
"In post","2021","Undeclared","Public Health England","Science and Engineering","SCS level","5","5","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Science and Engineering","SEO","30","20","[c]","[c]"
"In post","2021","Undeclared","Registers of Scotland","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Registers of Scotland","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Registers of Scotland","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Registers of Scotland","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Registers of Scotland","Operational Delivery","AO","10","10","[c]","[c]"
"In post","2021","Undeclared","Registers of Scotland","Operational Delivery","EO","15","15","[c]","[c]"
"In post","2021","Undeclared","Registers of Scotland","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Registers of Scotland","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Registers of Scotland","Operational Delivery","HEO","10","10","[c]","[c]"
"In post","2021","Undeclared","Registers of Scotland","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Registers of Scotland","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Registers of Scotland","Security","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Registers of Scotland","Security","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Rural Payments Agency","Operational Delivery","AO","10","10","[c]","[c]"
"In post","2021","Undeclared","Rural Payments Agency","Operational Delivery","EO","15","15","[c]","[c]"
"In post","2021","Undeclared","Rural Payments Agency","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Rural Payments Agency","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Rural Payments Agency","Operational Delivery","SEO","5","5","[c]","[c]"
"In post","2021","Undeclared","Rural Payments Agency","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Rural Payments Agency","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Rural Payments Agency","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scotland Office (incl. Office of the Advocate General for Scotland)","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scotland Office (incl. Office of the Advocate General for Scotland)","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scotland Office (incl. Office of the Advocate General for Scotland)","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scotland Office (incl. Office of the Advocate General for Scotland)","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Government (excl. agencies)","Unknown","AA","5","5","[c]","[c]"
"In post","2021","Undeclared","Scottish Government (excl. agencies)","Unknown","AO","5","5","[c]","[c]"
"In post","2021","Undeclared","Scottish Government (excl. agencies)","Unknown","EO","15","15","[c]","[c]"
"In post","2021","Undeclared","Scottish Government (excl. agencies)","Unknown","G6","10","10","[c]","[c]"
"In post","2021","Undeclared","Scottish Government (excl. agencies)","Unknown","G7","30","30","56940","56300"
"In post","2021","Undeclared","Scottish Government (excl. agencies)","Unknown","HEO","30","30","[c]","[c]"
"In post","2021","Undeclared","Scottish Government (excl. agencies)","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Government (excl. agencies)","Unknown","SEO","25","25","[c]","[c]"
"In post","2021","Undeclared","Scottish Housing Regulator","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Housing Regulator","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Prison Service","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Prison Service","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2021","Undeclared","Scottish Prison Service","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Prison Service","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Prison Service","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Public Pensions Agency","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Public Pensions Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Public Pensions Agency","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Public Pensions Agency","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Serious Fraud Office","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Serious Fraud Office","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Serious Fraud Office","Counter Fraud","HEO","5","5","[c]","[c]"
"In post","2021","Undeclared","Serious Fraud Office","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Serious Fraud Office","Counter Fraud","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Serious Fraud Office","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Serious Fraud Office","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Serious Fraud Office","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Serious Fraud Office","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Serious Fraud Office","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Social Security Scotland","Unknown","AA","10","5","[c]","[c]"
"In post","2021","Undeclared","Social Security Scotland","Unknown","EO","5","5","[c]","[c]"
"In post","2021","Undeclared","Social Security Scotland","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Social Security Scotland","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Social Security Scotland","Unknown","HEO","5","5","[c]","[c]"
"In post","2021","Undeclared","Social Security Scotland","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Standards and Testing Agency","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Standards and Testing Agency","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Standards and Testing Agency","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Standards and Testing Agency","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Standards and Testing Agency","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Student Awards Agency for Scotland","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Submarine Delivery Agency","Commercial","Unknown","10","10","[c]","[c]"
"In post","2021","Undeclared","Submarine Delivery Agency","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Submarine Delivery Agency","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Submarine Delivery Agency","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Submarine Delivery Agency","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2021","Undeclared","Submarine Delivery Agency","Project Delivery","Unknown","30","30","46470","45840"
"In post","2021","Undeclared","Submarine Delivery Agency","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Submarine Delivery Agency","Science and Engineering","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Submarine Delivery Agency","Science and Engineering","Unknown","65","60","43990","44000"
"In post","2021","Undeclared","Submarine Delivery Agency","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Teaching Regulation Agency","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Teaching Regulation Agency","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Teaching Regulation Agency","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Transport Scotland","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Transport Scotland","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","UK Export Finance","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","UK Export Finance","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","UK Export Finance","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","UK Export Finance","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
