"Status","Year","Ethnicity","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","105","105","43100","47550"
"In post","2021","Undeclared","Department for International Trade","Female","30","30","44230","38990"
"In post","2021","Undeclared","Department for International Trade","Male","40","40","45170","41690"
"In post","2021","Undeclared","Department for Transport (excl. agencies)","Female","40","40","48210","44480"
"In post","2021","Undeclared","Department for Transport (excl. agencies)","Male","115","115","49670","44480"
"In post","2021","Undeclared","Department for Work and Pensions (excl. agencies)","Female","2430","2030","26940","27570"
"In post","2021","Undeclared","Department for Work and Pensions (excl. agencies)","Male","1905","1795","28290","27570"
"In post","2021","Undeclared","Department of Health and Social Care (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department of Health and Social Care (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Disclosure Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Disclosure Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Driver and Vehicle Licensing Agency","Female","95","80","24960","21590"
"In post","2021","Undeclared","Driver and Vehicle Licensing Agency","Male","140","135","31260","26470"
"In post","2021","Undeclared","Driver and Vehicle Standards Agency","Female","130","120","28970","26780"
"In post","2021","Undeclared","Driver and Vehicle Standards Agency","Male","420","410","29660","27680"
"In post","2021","Undeclared","Education and Skills Funding Agency","Female","30","25","[c]","[c]"
"In post","2021","Undeclared","Education and Skills Funding Agency","Male","35","35","39230","36640"
"In post","2021","Undeclared","Education Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Education Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","FCDO Services","Female","10","10","[c]","[c]"
"In post","2021","Undeclared","FCDO Services","Male","45","40","43460","42240"
"In post","2021","Undeclared","Food Standards Agency","Female","10","10","[c]","[c]"
"In post","2021","Undeclared","Food Standards Agency","Male","15","15","[c]","[c]"
"In post","2021","Undeclared","Food Standards Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Food Standards Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Female","105","100","44820","39360"
"In post","2021","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Male","185","180","50870","48840"
"In post","2021","Undeclared","Forestry and Land Scotland","Female","5","5","[c]","[c]"
"In post","2021","Undeclared","Forestry and Land Scotland","Male","10","10","[c]","[c]"
"In post","2021","Undeclared","Government Actuary's Department","Female","5","5","[c]","[c]"
"In post","2021","Undeclared","Government Actuary's Department","Male","15","15","[c]","[c]"
"In post","2021","Undeclared","Government Internal Audit Agency","Female","5","5","[c]","[c]"
"In post","2021","Undeclared","Government Internal Audit Agency","Male","10","10","[c]","[c]"
"In post","2021","Undeclared","Government Legal Department","Female","15","15","[c]","[c]"
"In post","2021","Undeclared","Government Legal Department","Male","10","10","[c]","[c]"
"In post","2021","Undeclared","Government Property Agency","Female","5","5","[c]","[c]"
"In post","2021","Undeclared","Government Property Agency","Male","15","15","[c]","[c]"
"In post","2021","Undeclared","Health and Safety Executive","Female","75","65","39190","36860"
"In post","2021","Undeclared","Health and Safety Executive","Male","120","115","48810","46090"
"In post","2021","Undeclared","HM Courts and Tribunals Service","Female","420","380","25200","21300"
"In post","2021","Undeclared","HM Courts and Tribunals Service","Male","255","245","25710","21270"
"In post","2021","Undeclared","HM Land Registry","Female","110","95","31840","27130"
"In post","2021","Undeclared","HM Land Registry","Male","140","125","34780","33840"
"In post","2021","Undeclared","HM Prison and Probation Service","Female","430","400","30040","28400"
"In post","2021","Undeclared","HM Prison and Probation Service","Male","725","700","32500","31650"
"In post","2021","Undeclared","HM Revenue and Customs (excl. agencies)","Female","970","840","31660","28130"
"In post","2021","Undeclared","HM Revenue and Customs (excl. agencies)","Male","1500","1420","35270","31810"
"In post","2021","Undeclared","HM Treasury (excl. agencies)","Female","35","30","38100","32320"
"In post","2021","Undeclared","HM Treasury (excl. agencies)","Male","70","70","47300","47200"
"In post","2021","Undeclared","Home Office (incl. agencies)","Female","855","760","32250","28650"
"In post","2021","Undeclared","Home Office (incl. agencies)","Male","1270","1205","33620","29360"
"In post","2021","Undeclared","Insolvency Service","Female","15","15","[c]","[c]"
"In post","2021","Undeclared","Insolvency Service","Male","20","20","[c]","[c]"
"In post","2021","Undeclared","Institute for Apprenticeships and Technical Education","Female","15","15","[c]","[c]"
"In post","2021","Undeclared","Institute for Apprenticeships and Technical Education","Male","10","10","[c]","[c]"
"In post","2021","Undeclared","Legal Aid Agency","Female","15","15","[c]","[c]"
"In post","2021","Undeclared","Legal Aid Agency","Male","10","10","[c]","[c]"
"In post","2021","Undeclared","Maritime and Coastguard Agency","Female","35","35","33410","31700"
"In post","2021","Undeclared","Maritime and Coastguard Agency","Male","70","65","39590","36180"
"In post","2021","Undeclared","Medicines and Healthcare Products Regulatory Agency","Female","25","25","[c]","[c]"
"In post","2021","Undeclared","Medicines and Healthcare Products Regulatory Agency","Male","10","10","[c]","[c]"
"In post","2021","Undeclared","Met Office","Female","25","20","[c]","[c]"
"In post","2021","Undeclared","Met Office","Male","95","95","41060","39750"
"In post","2021","Undeclared","Ministry of Defence (excl. agencies)","Female","625","595","32200","30390"
"In post","2021","Undeclared","Ministry of Defence (excl. agencies)","Male","1445","1420","34760","33300"
"In post","2021","Undeclared","Ministry of Housing, Communities and Local Government (excl. agencies)","Female","30","30","[c]","[c]"
"In post","2021","Undeclared","Ministry of Housing, Communities and Local Government (excl. agencies)","Male","45","45","46330","46120"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Female","80","75","38980","32810"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Male","95","95","45980","42340"
"In post","2021","Undeclared","National Crime Agency","Female","75","70","33880","32260"
"In post","2021","Undeclared","National Crime Agency","Male","110","110","37850","36950"
"In post","2021","Undeclared","National Infrastructure Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Infrastructure Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Records of Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Records of Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Savings and Investments","Female","10","10","[c]","[c]"
"In post","2021","Undeclared","National Savings and Investments","Male","10","10","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office for Budget Responsibility","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office for Budget Responsibility","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office for Standards in Education, Children's Services and Skills","Female","15","15","[c]","[c]"
"In post","2021","Undeclared","Office for Standards in Education, Children's Services and Skills","Male","10","10","[c]","[c]"
"In post","2021","Undeclared","Office of Gas and Electricity Markets","Female","25","25","[c]","[c]"
"In post","2021","Undeclared","Office of Gas and Electricity Markets","Male","50","50","46640","38030"
"In post","2021","Undeclared","Office of Qualifications and Examinations Regulation","Female","5","5","[c]","[c]"
"In post","2021","Undeclared","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","Female","15","15","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","Male","20","20","[c]","[c]"
"In post","2021","Undeclared","Office of the Public Guardian","Female","25","20","[c]","[c]"
"In post","2021","Undeclared","Office of the Public Guardian","Male","40","40","21670","20650"
"In post","2021","Undeclared","Office of the Scottish Charity Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of the Scottish Charity Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectorate","Female","10","10","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectorate","Male","25","25","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Female","350","305","42770","38930"
"In post","2021","Undeclared","Public Health England","Male","185","175","51830","49070"
"In post","2021","Undeclared","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Queen Elizabeth II Centre","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Registers of Scotland","Female","10","10","[c]","[c]"
"In post","2021","Undeclared","Registers of Scotland","Male","15","15","[c]","[c]"
"In post","2021","Undeclared","Revenue Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Revenue Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Royal Fleet Auxiliary","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Royal Fleet Auxiliary","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Rural Payments Agency","Female","30","25","[c]","[c]"
"In post","2021","Undeclared","Rural Payments Agency","Male","65","65","28370","26520"
"In post","2021","Undeclared","Scotland Office (incl. Office of the Advocate General for Scotland)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scotland Office (incl. Office of the Advocate General for Scotland)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Fiscal Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Fiscal Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Forestry","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Forestry","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Government (excl. agencies)","Female","50","50","42990","38540"
"In post","2021","Undeclared","Scottish Government (excl. agencies)","Male","85","80","46690","46600"
"In post","2021","Undeclared","Scottish Housing Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Housing Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Prison Service","Female","120","110","31850","33650"
"In post","2021","Undeclared","Scottish Prison Service","Male","270","245","34610","33650"
"In post","2021","Undeclared","Scottish Public Pensions Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Public Pensions Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Serious Fraud Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Serious Fraud Office","Male","5","5","[c]","[c]"
"In post","2021","Undeclared","Social Security Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Social Security Scotland","Male","5","5","[c]","[c]"
"In post","2021","Undeclared","Standards and Testing Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Standards and Testing Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Student Awards Agency for Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Student Awards Agency for Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Submarine Delivery Agency","Female","20","20","[c]","[c]"
"In post","2021","Undeclared","Submarine Delivery Agency","Male","105","100","45520","43560"
"In post","2021","Undeclared","Teaching Regulation Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Teaching Regulation Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Transport Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Transport Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","UK Export Finance","Male","10","10","[c]","[c]"
"In post","2021","Undeclared","UK Hydrographic Office","Female","15","15","[c]","[c]"
"In post","2021","Undeclared","UK Hydrographic Office","Male","30","25","[c]","[c]"
"In post","2021","Undeclared","UK Intellectual Property Office","Female","10","10","[c]","[c]"
"In post","2021","Undeclared","UK Intellectual Property Office","Male","35","30","44150","40680"
"In post","2021","Undeclared","UK Space Agency","Female","35","35","43420","40050"
"In post","2021","Undeclared","UK Space Agency","Male","45","45","48930","49700"
"In post","2021","Undeclared","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","United Kingdom Statistics Authority","Female","30","25","30410","23520"
"In post","2021","Undeclared","United Kingdom Statistics Authority","Male","45","40","36350","34460"
"In post","2021","Undeclared","Valuation Office Agency","Female","75","70","33300","30000"
"In post","2021","Undeclared","Valuation Office Agency","Male","110","105","39870","37380"
"In post","2021","Undeclared","Vehicle Certification Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Vehicle Certification Agency","Male","10","10","[c]","[c]"
"In post","2021","Undeclared","Veterinary Medicines Directorate","Female","5","5","[c]","[c]"
"In post","2021","Undeclared","Veterinary Medicines Directorate","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Welsh Government (excl. agencies)","Female","95","90","42090","37410"
"In post","2021","Undeclared","Welsh Government (excl. agencies)","Male","140","135","43130","41910"
"In post","2021","Undeclared","Welsh Revenue Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Welsh Revenue Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Wilton Park","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Wilton Park","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Accountant in Bankruptcy","Female","15","10","[c]","[c]"
"In post","2021","Unknown","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Advisory, Conciliation and Arbitration Service","Female","175","165","28530","24250"
"In post","2021","Unknown","Advisory, Conciliation and Arbitration Service","Male","120","120","29900","28250"
"In post","2021","Unknown","Animal and Plant Health Agency","Female","140","130","29330","25330"
"In post","2021","Unknown","Animal and Plant Health Agency","Male","95","85","30060","25750"
"In post","2021","Unknown","Attorney General's Office","Female","20","15","[c]","[c]"
"In post","2021","Unknown","Attorney General's Office","Male","10","10","[c]","[c]"
"In post","2021","Unknown","Cabinet Office (excl. agencies)","Female","2145","2110","42630","32000"
"In post","2021","Unknown","Cabinet Office (excl. agencies)","Male","1890","1880","47930","34550"
"In post","2021","Unknown","Centre for Environment, Fisheries and Aquaculture Science","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Centre for Environment, Fisheries and Aquaculture Science","Male","10","10","[c]","[c]"
"In post","2021","Unknown","Charity Commission","Female","50","45","35340","29160"
"In post","2021","Unknown","Charity Commission","Male","40","40","37580","31580"
"In post","2021","Unknown","Companies House","Female","35","35","29090","24500"
"In post","2021","Unknown","Companies House","Male","60","60","29630","24500"
"In post","2021","Unknown","Competition and Markets Authority","Female","30","25","[c]","[c]"
"In post","2021","Unknown","Competition and Markets Authority","Male","30","30","[c]","[c]"
"In post","2021","Unknown","Criminal Injuries Compensation Authority","Female","25","20","[c]","[c]"
"In post","2021","Unknown","Criminal Injuries Compensation Authority","Male","40","40","25530","24710"
"In post","2021","Unknown","Crown Commercial Service","Female","65","60","35170","34800"
"In post","2021","Unknown","Crown Commercial Service","Male","60","60","31070","27770"
"In post","2021","Unknown","Crown Office and Procurator Fiscal Service","Female","5","5","[c]","[c]"
"In post","2021","Unknown","Crown Office and Procurator Fiscal Service","Male","5","5","[c]","[c]"
"In post","2021","Unknown","Crown Prosecution Service","Female","445","405","38440","30110"
"In post","2021","Unknown","Crown Prosecution Service","Male","235","230","42630","38180"
"In post","2021","Unknown","Crown Prosecution Service Inspectorate","Female","5","5","[c]","[c]"
"In post","2021","Unknown","Crown Prosecution Service Inspectorate","Male","5","5","[c]","[c]"
"In post","2021","Unknown","Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Debt Management Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Defence Electronics and Components Agency","Male","5","5","[c]","[c]"
"In post","2021","Unknown","Defence Equipment and Support","Female","170","160","32770","30420"
"In post","2021","Unknown","Defence Equipment and Support","Male","435","435","31820","29400"
"In post","2021","Unknown","Defence Science and Technology Laboratory","Female","80","75","31950","28650"
"In post","2021","Unknown","Defence Science and Technology Laboratory","Male","205","205","36490","37320"
"In post","2021","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","280","270","44190","40050"
"In post","2021","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","315","315","46240","40050"
"In post","2021","Unknown","Department for Digital, Culture, Media and Sport","Female","95","95","46660","51730"
"In post","2021","Unknown","Department for Digital, Culture, Media and Sport","Male","90","90","48370","44530"
"In post","2021","Unknown","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Education (excl. agencies)","Female","400","375","43750","40230"
"In post","2021","Unknown","Department for Education (excl. agencies)","Male","290","285","42220","36960"
"In post","2021","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","475","440","43190","38750"
"In post","2021","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","385","380","43500","38750"
"In post","2021","Unknown","Department for International Trade","Female","375","370","42470","38540"
"In post","2021","Unknown","Department for International Trade","Male","410","410","46380","39110"
"In post","2021","Unknown","Department for Transport (excl. agencies)","Female","305","300","41780","35430"
"In post","2021","Unknown","Department for Transport (excl. agencies)","Male","390","380","44360","42470"
"In post","2021","Unknown","Department for Work and Pensions (excl. agencies)","Female","3595","3170","27200","27570"
"In post","2021","Unknown","Department for Work and Pensions (excl. agencies)","Male","2390","2330","28960","27570"
"In post","2021","Unknown","Department of Health and Social Care (excl. agencies)","Female","1065","1040","44220","40650"
"In post","2021","Unknown","Department of Health and Social Care (excl. agencies)","Male","760","755","47280","40650"
"In post","2021","Unknown","Disclosure Scotland","Female","50","45","25870","22230"
"In post","2021","Unknown","Disclosure Scotland","Male","40","40","25410","22230"
"In post","2021","Unknown","Driver and Vehicle Licensing Agency","Female","405","345","23300","21590"
"In post","2021","Unknown","Driver and Vehicle Licensing Agency","Male","285","275","28530","21590"
"In post","2021","Unknown","Driver and Vehicle Standards Agency","Female","265","255","28330","26700"
"In post","2021","Unknown","Driver and Vehicle Standards Agency","Male","525","515","28170","26700"
"In post","2021","Unknown","Education and Skills Funding Agency","Female","95","90","39060","36500"
"In post","2021","Unknown","Education and Skills Funding Agency","Male","80","80","44470","39030"
"In post","2021","Unknown","Education Scotland","Female","75","70","49820","47760"
"In post","2021","Unknown","Education Scotland","Male","30","30","[c]","[c]"
"In post","2021","Unknown","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","FCDO Services","Female","5","5","[c]","[c]"
"In post","2021","Unknown","FCDO Services","Male","30","30","41050","41700"
"In post","2021","Unknown","Food Standards Agency","Female","35","30","40540","37910"
"In post","2021","Unknown","Food Standards Agency","Male","35","35","38530","32830"
"In post","2021","Unknown","Food Standards Scotland","Female","35","35","33230","30650"
"In post","2021","Unknown","Food Standards Scotland","Male","60","60","33860","30650"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Female","610","600","46700","44130"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Male","550","545","48130","51420"
"In post","2021","Unknown","Forestry and Land Scotland","Female","30","30","28030","25140"
"In post","2021","Unknown","Forestry and Land Scotland","Male","35","35","28510","26530"
"In post","2021","Unknown","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Government Actuary's Department","Male","5","5","[c]","[c]"
"In post","2021","Unknown","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Government Legal Department","Female","215","195","58470","64680"
"In post","2021","Unknown","Government Legal Department","Male","110","105","60400","65630"
"In post","2021","Unknown","Government Property Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Government Property Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Health and Safety Executive","Female","125","110","37240","31880"
"In post","2021","Unknown","Health and Safety Executive","Male","185","175","46710","45100"
"In post","2021","Unknown","HM Courts and Tribunals Service","Female","1250","1165","22630","21170"
"In post","2021","Unknown","HM Courts and Tribunals Service","Male","700","685","23260","20350"
"In post","2021","Unknown","HM Land Registry","Female","580","545","27040","22350"
"In post","2021","Unknown","HM Land Registry","Male","460","450","29220","22350"
"In post","2021","Unknown","HM Prison and Probation Service","Female","3000","2810","27010","24920"
"In post","2021","Unknown","HM Prison and Probation Service","Male","3455","3350","27440","26300"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","Female","7390","6595","26690","21440"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","Male","7575","7325","28730","25560"
"In post","2021","Unknown","HM Treasury (excl. agencies)","Female","25","25","[c]","[c]"
"In post","2021","Unknown","HM Treasury (excl. agencies)","Male","45","45","45350","40320"
"In post","2021","Unknown","Home Office (incl. agencies)","Female","800","770","31650","27240"
"In post","2021","Unknown","Home Office (incl. agencies)","Male","915","905","32080","25630"
"In post","2021","Unknown","Insolvency Service","Female","340","320","28050","23790"
"In post","2021","Unknown","Insolvency Service","Male","290","285","30880","26290"
"In post","2021","Unknown","Institute for Apprenticeships and Technical Education","Female","20","20","[c]","[c]"
"In post","2021","Unknown","Institute for Apprenticeships and Technical Education","Male","15","15","[c]","[c]"
"In post","2021","Unknown","Legal Aid Agency","Female","70","65","21930","19930"
"In post","2021","Unknown","Legal Aid Agency","Male","65","65","26180","19930"
"In post","2021","Unknown","Maritime and Coastguard Agency","Female","45","40","27940","26590"
"In post","2021","Unknown","Maritime and Coastguard Agency","Male","75","75","31750","26590"
"In post","2021","Unknown","Medicines and Healthcare Products Regulatory Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicines and Healthcare Products Regulatory Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Met Office","Female","75","65","36390","38200"
"In post","2021","Unknown","Met Office","Male","190","180","40550","39750"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Female","1185","1110","33930","30750"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Male","1830","1800","32910","29370"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","Female","100","95","47410","43790"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","Male","125","125","45090","39600"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Female","470","455","40960","36800"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Male","400","400","42790","37900"
"In post","2021","Unknown","National Crime Agency","Female","275","260","39350","36740"
"In post","2021","Unknown","National Crime Agency","Male","400","395","42720","40210"
"In post","2021","Unknown","National Infrastructure Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","National Infrastructure Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","National Records of Scotland","Female","45","40","30480","26160"
"In post","2021","Unknown","National Records of Scotland","Male","40","40","35500","31150"
"In post","2021","Unknown","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","National Savings and Investments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland Office","Female","30","30","41070","37360"
"In post","2021","Unknown","Northern Ireland Office","Male","35","35","40810","36800"
"In post","2021","Unknown","Office for Budget Responsibility","Female","15","15","[c]","[c]"
"In post","2021","Unknown","Office for Budget Responsibility","Male","20","20","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education, Children's Services and Skills","Female","30","30","48670","51360"
"In post","2021","Unknown","Office for Standards in Education, Children's Services and Skills","Male","15","15","[c]","[c]"
"In post","2021","Unknown","Office of Gas and Electricity Markets","Female","10","5","[c]","[c]"
"In post","2021","Unknown","Office of Gas and Electricity Markets","Male","20","20","[c]","[c]"
"In post","2021","Unknown","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of the Public Guardian","Female","105","95","20760","19930"
"In post","2021","Unknown","Office of the Public Guardian","Male","85","80","20850","19930"
"In post","2021","Unknown","Office of the Scottish Charity Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of the Scottish Charity Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning Inspectorate","Female","40","35","33920","26050"
"In post","2021","Unknown","Planning Inspectorate","Male","40","40","42510","47660"
"In post","2021","Unknown","Public Health England","Female","110","90","46010","39390"
"In post","2021","Unknown","Public Health England","Male","55","55","53020","50440"
"In post","2021","Unknown","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Queen Elizabeth II Centre","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Registers of Scotland","Female","80","80","32830","30080"
"In post","2021","Unknown","Registers of Scotland","Male","85","85","31140","30080"
"In post","2021","Unknown","Revenue Scotland","Female","10","10","[c]","[c]"
"In post","2021","Unknown","Revenue Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Royal Fleet Auxiliary","Female","165","165","33120","32700"
"In post","2021","Unknown","Royal Fleet Auxiliary","Male","1670","1670","38060","34460"
"In post","2021","Unknown","Rural Payments Agency","Female","405","375","24520","21050"
"In post","2021","Unknown","Rural Payments Agency","Male","350","345","25360","21050"
"In post","2021","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","Female","30","30","44380","36800"
"In post","2021","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","Male","20","20","[c]","[c]"
"In post","2021","Unknown","Scottish Courts and Tribunals Service","Female","1130","1000","27330","22820"
"In post","2021","Unknown","Scottish Courts and Tribunals Service","Male","535","505","27990","22820"
"In post","2021","Unknown","Scottish Fiscal Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scottish Fiscal Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scottish Forestry","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scottish Forestry","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scottish Government (excl. agencies)","Female","685","650","39360","33620"
"In post","2021","Unknown","Scottish Government (excl. agencies)","Male","630","620","40580","35110"
"In post","2021","Unknown","Scottish Housing Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scottish Housing Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scottish Prison Service","Female","885","835","28510","25870"
