"Status","Year","Age","Profession_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Intelligence Analysis","South East (England)","Outside London","35","35","26690","25830"
"In post","2021","20-29","Intelligence Analysis","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","West Midlands (England)","Outside London","10","10","27730","24880"
"In post","2021","20-29","Intelligence Analysis","Yorkshire and The Humber","Outside London","40","40","32230","27650"
"In post","2021","20-29","Internal Audit","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","London","London","15","15","39020","36580"
"In post","2021","20-29","Internal Audit","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Scotland","Outside London","15","15","34220","33930"
"In post","2021","20-29","Internal Audit","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","London","London","380","380","38490","38040"
"In post","2021","20-29","International Trade","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","North West (England)","Outside London","10","10","28970","31810"
"In post","2021","20-29","International Trade","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","Overseas","Overseas","20","20","39940","36530"
"In post","2021","20-29","International Trade","South East (England)","Outside London","25","25","35790","32120"
"In post","2021","20-29","International Trade","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","International Trade","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","East Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","East of England","Outside London","20","20","28550","26670"
"In post","2021","20-29","Knowledge and Information Management","London","London","85","85","31280","30220"
"In post","2021","20-29","Knowledge and Information Management","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","North West (England)","Outside London","15","15","28550","26670"
"In post","2021","20-29","Knowledge and Information Management","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","South East (England)","Outside London","35","35","26440","26350"
"In post","2021","20-29","Knowledge and Information Management","South West (England)","Outside London","75","75","27270","27000"
"In post","2021","20-29","Knowledge and Information Management","Wales","Outside London","20","20","26360","23830"
"In post","2021","20-29","Knowledge and Information Management","West Midlands (England)","Outside London","10","10","25730","23140"
"In post","2021","20-29","Knowledge and Information Management","Yorkshire and The Humber","Outside London","15","15","24560","25350"
"In post","2021","20-29","Legal","East Midlands (England)","Outside London","55","55","30260","25560"
"In post","2021","20-29","Legal","East of England","Outside London","75","70","28120","25560"
"In post","2021","20-29","Legal","London","London","505","505","37340","33460"
"In post","2021","20-29","Legal","North East (England)","Outside London","40","40","31540","25560"
"In post","2021","20-29","Legal","North West (England)","Outside London","125","125","30170","25560"
"In post","2021","20-29","Legal","Northern Ireland","Outside London","10","10","[c]","[c]"
"In post","2021","20-29","Legal","Scotland","Outside London","100","100","35720","33550"
"In post","2021","20-29","Legal","South East (England)","Outside London","70","70","29990","25560"
"In post","2021","20-29","Legal","South West (England)","Outside London","60","55","30850","25740"
"In post","2021","20-29","Legal","Wales","Outside London","55","55","33840","27920"
"In post","2021","20-29","Legal","West Midlands (England)","Outside London","50","50","27990","25560"
"In post","2021","20-29","Legal","Yorkshire and The Humber","Outside London","90","90","30350","25560"
"In post","2021","20-29","Medicine","East Midlands (England)","Outside London","15","15","27720","26970"
"In post","2021","20-29","Medicine","East of England","Outside London","10","10","29620","30990"
"In post","2021","20-29","Medicine","London","London","15","15","35740","34510"
"In post","2021","20-29","Medicine","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","South East (England)","Outside London","30","25","29710","31010"
"In post","2021","20-29","Medicine","South West (England)","Outside London","30","25","30140","31370"
"In post","2021","20-29","Medicine","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Wales","Outside London","15","15","27800","28850"
"In post","2021","20-29","Medicine","West Midlands (England)","Outside London","10","10","25490","24910"
"In post","2021","20-29","Medicine","Yorkshire and The Humber","Outside London","10","10","[c]","[c]"
"In post","2021","20-29","Operational Delivery","East Midlands (England)","Outside London","1655","1625","23920","23470"
"In post","2021","20-29","Operational Delivery","East of England","Outside London","1620","1585","25470","24890"
"In post","2021","20-29","Operational Delivery","London","London","4380","4330","30190","28720"
"In post","2021","20-29","Operational Delivery","North East (England)","Outside London","1550","1495","23730","22350"
"In post","2021","20-29","Operational Delivery","North West (England)","Outside London","3880","3775","24140","23840"
"In post","2021","20-29","Operational Delivery","Northern Ireland","Outside London","215","205","22520","21430"
"In post","2021","20-29","Operational Delivery","Overseas","Overseas","10","10","[c]","[c]"
"In post","2021","20-29","Operational Delivery","Scotland","Outside London","2110","2060","24010","22430"
"In post","2021","20-29","Operational Delivery","South East (England)","Outside London","2810","2760","26300","25790"
"In post","2021","20-29","Operational Delivery","South West (England)","Outside London","1760","1720","24620","23140"
"In post","2021","20-29","Operational Delivery","Unknown","Unknown","15","15","22100","21310"
"In post","2021","20-29","Operational Delivery","Wales","Outside London","2575","2500","23270","21590"
"In post","2021","20-29","Operational Delivery","West Midlands (England)","Outside London","2345","2300","23650","22850"
"In post","2021","20-29","Operational Delivery","Yorkshire and The Humber","Outside London","2690","2645","24110","23970"
"In post","2021","20-29","Operational Research","East Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Operational Research","London","London","150","145","37590","36160"
"In post","2021","20-29","Operational Research","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","North West (England)","Outside London","30","30","36470","31940"
"In post","2021","20-29","Operational Research","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","South East (England)","Outside London","115","115","30890","28650"
"In post","2021","20-29","Operational Research","South West (England)","Outside London","15","15","29620","28650"
"In post","2021","20-29","Operational Research","Wales","Outside London","10","10","32340","32040"
"In post","2021","20-29","Operational Research","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","Yorkshire and The Humber","Outside London","10","10","28890","30090"
"In post","2021","20-29","Other","East Midlands (England)","Outside London","35","35","21960","20920"
"In post","2021","20-29","Other","East of England","Outside London","65","65","22030","20920"
"In post","2021","20-29","Other","London","London","915","905","32920","30200"
"In post","2021","20-29","Other","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Other","North West (England)","Outside London","75","70","25760","24890"
"In post","2021","20-29","Other","Northern Ireland","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Other","Overseas","Overseas","20","20","36100","37310"
"In post","2021","20-29","Other","Scotland","Outside London","225","220","25170","23450"
"In post","2021","20-29","Other","South East (England)","Outside London","180","180","23130","20920"
"In post","2021","20-29","Other","South West (England)","Outside London","525","515","24030","20920"
"In post","2021","20-29","Other","Unknown","Unknown","370","370","29010","28980"
"In post","2021","20-29","Other","Wales","Outside London","65","60","27470","23830"
"In post","2021","20-29","Other","West Midlands (England)","Outside London","80","80","23300","20920"
"In post","2021","20-29","Other","Yorkshire and The Humber","Outside London","55","55","24230","20920"
"In post","2021","20-29","Planning","London","London","30","25","34780","32120"
"In post","2021","20-29","Planning","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","East Midlands (England)","Outside London","30","25","32100","30200"
"In post","2021","20-29","Policy","East of England","Outside London","25","25","38420","37000"
"In post","2021","20-29","Policy","London","London","6270","6250","39600","35700"
"In post","2021","20-29","Policy","North East (England)","Outside London","35","35","31730","29690"
"In post","2021","20-29","Policy","North West (England)","Outside London","170","165","33760","30820"
"In post","2021","20-29","Policy","Northern Ireland","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Policy","Overseas","Overseas","170","170","37100","34220"
