"Status","Year","Age","Disability","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","30-39","Declared disabled","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","Home Office (incl. agencies)","580","550","31230","25630"
"In post","2021","30-39","Declared disabled","Unknown","Medicines and Healthcare Products Regulatory Agency","5","5","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","Ministry of Defence (excl. agencies)","215","210","31880","27200"
"In post","2021","30-39","Declared disabled","Unknown","National Records of Scotland","15","15","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","Scottish Government (excl. agencies)","160","155","38790","36140"
"In post","2021","30-39","Declared disabled","Unknown","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","Scottish Public Pensions Agency","5","5","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","Social Security Scotland","35","35","28300","26160"
"In post","2021","30-39","Declared disabled","Unknown","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","Transport Scotland","10","10","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","Welsh Government (excl. agencies)","55","50","35470","34490"
"In post","2021","30-39","Declared disabled","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Cabinet Office (excl. agencies)","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","110","105","30950","29270"
"In post","2021","30-39","Declared non-disabled","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Competition and Markets Authority","45","45","61330","59890"
"In post","2021","30-39","Declared non-disabled","Analysis","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Defence Science and Technology Laboratory","85","80","41010","37700"
"In post","2021","30-39","Declared non-disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","35","35","56480","57730"
"In post","2021","30-39","Declared non-disabled","Analysis","Department for Digital, Culture, Media and Sport","35","35","55630","59730"
"In post","2021","30-39","Declared non-disabled","Analysis","Department for Education (excl. agencies)","95","90","47330","46030"
"In post","2021","30-39","Declared non-disabled","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","15","15","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Department for International Trade","35","35","52610","51970"
"In post","2021","30-39","Declared non-disabled","Analysis","Department for Transport (excl. agencies)","75","75","52480","54650"
"In post","2021","30-39","Declared non-disabled","Analysis","Department of Health and Social Care (excl. agencies)","25","25","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Driver and Vehicle Licensing Agency","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Driver and Vehicle Standards Agency","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","15","15","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Government Actuary's Department","40","40","75320","70650"
"In post","2021","30-39","Declared non-disabled","Analysis","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","HM Revenue and Customs (excl. agencies)","115","110","50060","52580"
"In post","2021","30-39","Declared non-disabled","Analysis","HM Treasury (excl. agencies)","30","30","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Ministry of Defence (excl. agencies)","40","40","42340","42790"
"In post","2021","30-39","Declared non-disabled","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","40","35","51690","53130"
"In post","2021","30-39","Declared non-disabled","Analysis","Ministry of Justice (excl. agencies)","80","75","48200","46690"
"In post","2021","30-39","Declared non-disabled","Analysis","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Office for Standards in Education, Children's Services and Skills","55","50","41810","35010"
"In post","2021","30-39","Declared non-disabled","Analysis","Office of Gas and Electricity Markets","25","25","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Office of Rail and Road","15","15","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Registers of Scotland","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Rural Payments Agency","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","United Kingdom Statistics Authority","235","220","39240","37020"
"In post","2021","30-39","Declared non-disabled","Analysis","Valuation Office Agency","15","15","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Analysis","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Animal and Plant Health Agency","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Cabinet Office (excl. agencies)","60","60","58470","54700"
"In post","2021","30-39","Declared non-disabled","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Crown Commercial Service","20","20","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Defence Equipment and Support","50","50","40510","40500"
"In post","2021","30-39","Declared non-disabled","Commercial","Defence Science and Technology Laboratory","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Department for Education (excl. agencies)","40","40","42770","40780"
"In post","2021","30-39","Declared non-disabled","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","15","15","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Department for International Trade","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Driver and Vehicle Licensing Agency","35","35","31510","30890"
"In post","2021","30-39","Declared non-disabled","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","FCDO Services","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","HM Prison and Probation Service","110","105","43360","42630"
"In post","2021","30-39","Declared non-disabled","Commercial","HM Revenue and Customs (excl. agencies)","15","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Institute for Apprenticeships and Technical Education","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Legal Aid Agency","30","25","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Met Office","55","55","40540","38980"
"In post","2021","30-39","Declared non-disabled","Commercial","Ministry of Defence (excl. agencies)","205","195","35200","33300"
"In post","2021","30-39","Declared non-disabled","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Ministry of Justice (excl. agencies)","40","40","31620","32470"
"In post","2021","30-39","Declared non-disabled","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Public Health England","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Queen Elizabeth II Centre","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Submarine Delivery Agency","30","25","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","UK Export Finance","35","30","50290","51250"
"In post","2021","30-39","Declared non-disabled","Commercial","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","United Kingdom Statistics Authority","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Commercial","Wilton Park","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Cabinet Office (excl. agencies)","80","80","50220","54700"
"In post","2021","30-39","Declared non-disabled","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Companies House","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Crown Commercial Service","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Crown Prosecution Service","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Defence Equipment and Support","35","35","29120","27550"
"In post","2021","30-39","Declared non-disabled","Communications","Defence Science and Technology Laboratory","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","25","25","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Department for Digital, Culture, Media and Sport","15","15","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Department for Education (excl. agencies)","40","40","39320","35890"
"In post","2021","30-39","Declared non-disabled","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","50","50","42900","39420"
"In post","2021","30-39","Declared non-disabled","Communications","Department for International Trade","15","15","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Department for Transport (excl. agencies)","30","30","49170","49240"
"In post","2021","30-39","Declared non-disabled","Communications","Department of Health and Social Care (excl. agencies)","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Driver and Vehicle Licensing Agency","15","15","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Driver and Vehicle Standards Agency","15","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Education and Skills Funding Agency","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Food Standards Agency","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","35","35","50370","51500"
"In post","2021","30-39","Declared non-disabled","Communications","Forestry and Land Scotland","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Health and Safety Executive","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","HM Revenue and Customs (excl. agencies)","680","660","29690","25560"
"In post","2021","30-39","Declared non-disabled","Communications","HM Treasury (excl. agencies)","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Maritime and Coastguard Agency","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Medicines and Healthcare Products Regulatory Agency","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Met Office","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Ministry of Defence (excl. agencies)","80","75","37870","34300"
"In post","2021","30-39","Declared non-disabled","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","20","20","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Ministry of Justice (excl. agencies)","35","35","44060","42350"
"In post","2021","30-39","Declared non-disabled","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","National Savings and Investments","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Office for Standards in Education, Children's Services and Skills","15","15","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Office of Gas and Electricity Markets","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Office of Qualifications and Examinations Regulation","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Public Health England","20","20","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Rural Payments Agency","20","15","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","UK Export Finance","15","15","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","UK Intellectual Property Office","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","United Kingdom Statistics Authority","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Valuation Office Agency","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Communications","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Counter Fraud","Cabinet Office (excl. agencies)","20","15","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Counter Fraud","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Counter Fraud","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Counter Fraud","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Counter Fraud","HM Revenue and Customs (excl. agencies)","1215","1180","32760","31810"
"In post","2021","30-39","Declared non-disabled","Counter Fraud","Insolvency Service","20","20","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Counter Fraud","Serious Fraud Office","45","45","42650","40000"
"In post","2021","30-39","Declared non-disabled","Counter Fraud","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Debt","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Debt","HM Revenue and Customs (excl. agencies)","415","375","22730","20140"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Cabinet Office (excl. agencies)","280","275","51920","54700"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Charity Commission","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Companies House","45","45","37520","36680"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Competition and Markets Authority","25","25","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Crown Commercial Service","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Crown Office and Procurator Fiscal Service","20","20","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Crown Prosecution Service","20","20","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Defence Equipment and Support","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","25","25","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Department for Education (excl. agencies)","65","65","39220","36500"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","95","90","42170","44380"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Department for International Trade","15","15","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Department for Transport (excl. agencies)","15","15","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Driver and Vehicle Licensing Agency","155","150","36500","32180"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Driver and Vehicle Standards Agency","35","35","35490","34190"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Education and Skills Funding Agency","40","40","38990","37100"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","FCDO Services","15","15","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Food Standards Agency","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","20","20","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Health and Safety Executive","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","HM Courts and Tribunals Service","40","40","36990","30850"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","HM Land Registry","55","55","41200","43160"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","330","325","37570","31810"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","HM Treasury (excl. agencies)","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Insolvency Service","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Maritime and Coastguard Agency","20","20","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Met Office","225","220","37730","38200"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Ministry of Defence (excl. agencies)","75","75","31410","30750"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","25","20","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Ministry of Justice (excl. agencies)","170","165","47400","47100"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","National Crime Agency","15","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","20","20","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Office of Gas and Electricity Markets","15","15","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Planning Inspectorate","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Public Health England","15","15","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Registers of Scotland","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","Scottish Prison Service","[c]","[c]","[c]","[c]"
