"Status","Year","Disability","Function_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","Outer London - East and North East","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - East and North East","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - South","Croydon","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - West and North West","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - West and North West","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - West and North West","Hounslow and Richmond upon Thames","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Shropshire and Staffordshire","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Shropshire and Staffordshire","Staffordshire CC","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Shropshire and Staffordshire","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Shropshire and Staffordshire","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South Yorkshire","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South Yorkshire","Sheffield","10","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Southern Scotland","South Lanarkshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Surrey, East and West Sussex","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Surrey, East and West Sussex","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Surrey, East and West Sussex","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Surrey, East and West Sussex","West Surrey","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Surrey, East and West Sussex","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Surrey, East and West Sussex","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tees Valley and Durham","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tees Valley and Durham","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Central Scotland","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Central Scotland","Glasgow City","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Central Scotland","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Central Scotland","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands","Walsall","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Wales and The Valleys","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
