"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Tax","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","London","Tower Hamlets","25","25","48590","46850"
"In post","2021","Analysis","Unknown","London","Westminster","45","45","44740","41760"
"In post","2021","Analysis","Unknown","North East (England)","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","North West (England)","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","North West (England)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","North West (England)","Manchester","5","5","[c]","[c]"
"In post","2021","Analysis","Unknown","Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","West Midlands (England)","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","East Midlands (England)","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","East Midlands (England)","Leicester","15","15","38790","33840"
"In post","2021","Commercial","Commercial","East Midlands (England)","Leicestershire CC and Rutland","15","15","43690","49870"
"In post","2021","Commercial","Commercial","East Midlands (England)","Lincolnshire","10","10","[c]","[c]"
"In post","2021","Commercial","Commercial","East Midlands (England)","North Nottinghamshire","5","5","[c]","[c]"
"In post","2021","Commercial","Commercial","East Midlands (England)","Nottingham","35","35","39560","39450"
"In post","2021","Commercial","Commercial","East Midlands (England)","South and West Derbyshire","20","20","52480","53400"
"In post","2021","Commercial","Commercial","East Midlands (England)","South Nottinghamshire","5","5","[c]","[c]"
"In post","2021","Commercial","Commercial","East Midlands (England)","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","East of England","Cambridgeshire CC","50","50","36410","34800"
"In post","2021","Commercial","Commercial","East of England","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","East of England","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","East of England","Hertfordshire","10","10","48170","42300"
"In post","2021","Commercial","Commercial","East of England","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","East of England","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","East of England","Norwich and East Norfolk","90","90","35650","34800"
"In post","2021","Commercial","Commercial","East of England","Peterborough","35","35","40650","36970"
"In post","2021","Commercial","Commercial","East of England","Southend-on-Sea","[c]","[c]","[c]","[c]"
