"Status","Year","Region_ITL1","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","London","SCS level","Female","110","[c]","93400","86540"
"Leaver CS","2021","London","SCS level","Male","140","[c]","104620","96490"
"Leaver CS","2021","London","SCS level","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","London","SEO/HEO","Female","680","[c]","37380","37000"
"Leaver CS","2021","London","SEO/HEO","Male","715","[c]","37890","37410"
"Leaver CS","2021","London","SEO/HEO","Unknown","30","[c]","38430","40010"
"Leaver CS","2021","London","Unknown","Female","90","[c]","[c]","[c]"
"Leaver CS","2021","London","Unknown","Male","40","[c]","[c]","[c]"
"Leaver CS","2021","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","AA/AO","Female","630","[c]","20460","21010"
"Leaver CS","2021","North East (England)","AA/AO","Male","385","[c]","20630","21010"
"Leaver CS","2021","North East (England)","EO","Female","210","[c]","27020","27570"
"Leaver CS","2021","North East (England)","EO","Male","135","[c]","26580","27130"
"Leaver CS","2021","North East (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","G6/G7","Female","30","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","G6/G7","Male","40","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","SEO/HEO","Female","95","[c]","36690","36780"
"Leaver CS","2021","North East (England)","SEO/HEO","Male","105","[c]","36930","35890"
"Leaver CS","2021","North East (England)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Unknown","Female","35","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Unknown","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","AA/AO","Female","805","[c]","20560","21010"
"Leaver CS","2021","North West (England)","AA/AO","Male","595","[c]","20640","21010"
"Leaver CS","2021","North West (England)","EO","Female","370","[c]","26600","27570"
"Leaver CS","2021","North West (England)","EO","Male","310","[c]","26200","26890"
"Leaver CS","2021","North West (England)","G6/G7","Female","85","[c]","59030","55830"
"Leaver CS","2021","North West (England)","G6/G7","Male","75","[c]","61010","57640"
"Leaver CS","2021","North West (England)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","SCS level","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","SEO/HEO","Female","205","[c]","35470","34370"
"Leaver CS","2021","North West (England)","SEO/HEO","Male","185","[c]","36910","35310"
"Leaver CS","2021","North West (England)","Unknown","Female","80","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Unknown","Male","40","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","AA/AO","Female","55","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","AA/AO","Male","50","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","EO","Female","30","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","EO","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","SEO/HEO","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","SEO/HEO","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","EO","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","G6/G7","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","G6/G7","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","SCS level","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","SEO/HEO","Female","55","[c]","35990","36960"
"Leaver CS","2021","Overseas","SEO/HEO","Male","30","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","AA/AO","Female","640","[c]","21770","21010"
"Leaver CS","2021","Scotland","AA/AO","Male","450","[c]","23230","21010"
"Leaver CS","2021","Scotland","EO","Female","280","[c]","27510","27570"
"Leaver CS","2021","Scotland","EO","Male","300","[c]","29380","28140"
"Leaver CS","2021","Scotland","G6/G7","Female","80","[c]","63750","63850"
"Leaver CS","2021","Scotland","G6/G7","Male","90","[c]","64020","61010"
"Leaver CS","2021","Scotland","SCS level","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","SCS level","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","SEO/HEO","Female","185","[c]","38500","37550"
"Leaver CS","2021","Scotland","SEO/HEO","Male","275","[c]","39930","39270"
"Leaver CS","2021","Scotland","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","AA/AO","Female","685","[c]","21030","21010"
"Leaver CS","2021","South East (England)","AA/AO","Male","675","[c]","22150","20920"
"Leaver CS","2021","South East (England)","EO","Female","280","[c]","27080","27570"
"Leaver CS","2021","South East (England)","EO","Male","310","[c]","28130","27570"
"Leaver CS","2021","South East (England)","G6/G7","Female","55","[c]","57590","55110"
"Leaver CS","2021","South East (England)","G6/G7","Male","90","[c]","60010","57490"
"Leaver CS","2021","South East (England)","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","SCS level","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","SEO/HEO","Female","205","[c]","36150","35300"
"Leaver CS","2021","South East (England)","SEO/HEO","Male","275","[c]","36930","36460"
"Leaver CS","2021","South East (England)","Unknown","Female","70","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Unknown","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","AA/AO","Female","445","[c]","20370","20920"
"Leaver CS","2021","South West (England)","AA/AO","Male","415","[c]","20890","20470"
"Leaver CS","2021","South West (England)","EO","Female","265","[c]","25680","26670"
"Leaver CS","2021","South West (England)","EO","Male","265","[c]","25820","26670"
"Leaver CS","2021","South West (England)","G6/G7","Female","70","[c]","58250","56500"
"Leaver CS","2021","South West (England)","G6/G7","Male","150","[c]","57880","55040"
"Leaver CS","2021","South West (England)","SCS level","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","SCS level","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","SEO/HEO","Female","275","[c]","35010","33630"
"Leaver CS","2021","South West (England)","SEO/HEO","Male","450","[c]","36830","36480"
"Leaver CS","2021","South West (England)","Unknown","Female","45","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Unknown","Male","50","[c]","40700","36840"
"Leaver CS","2021","Unknown","AA/AO","Female","30","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS level","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Male","35","[c]","34640","33300"
"Leaver CS","2021","Unknown","Unknown","Female","225","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Male","255","[c]","35470","32400"
"Leaver CS","2021","Wales","AA/AO","Female","595","[c]","20490","21010"
"Leaver CS","2021","Wales","AA/AO","Male","470","[c]","20420","21010"
"Leaver CS","2021","Wales","EO","Female","190","[c]","26860","27570"
"Leaver CS","2021","Wales","EO","Male","205","[c]","28010","27570"
