"Status","Year","Ethnicity","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Black","United Kingdom Statistics Authority","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Unknown","5","5","[c]","[c]"
"In post","2021","Black","Valuation Office Agency","HM Revenue and Customs","Heterosexual / straight","50","45","35190","31060"
"In post","2021","Black","Valuation Office Agency","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Valuation Office Agency","HM Revenue and Customs","Undeclared","5","5","[c]","[c]"
"In post","2021","Black","Valuation Office Agency","HM Revenue and Customs","Unknown","5","5","[c]","[c]"
"In post","2021","Black","Vehicle Certification Agency","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Vehicle Certification Agency","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Vehicle Certification Agency","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Vehicle Certification Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Wales Office","Wales Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Wales Office","Wales Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Wales Office","Wales Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Wales Office","Wales Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Water Services Regulation Authority","Water Services Regulation Authority","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Black","Water Services Regulation Authority","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Water Services Regulation Authority","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Water Services Regulation Authority","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Welsh Government (excl. agencies)","Welsh Government","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Black","Welsh Government (excl. agencies)","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Welsh Government (excl. agencies)","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Welsh Government (excl. agencies)","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Welsh Revenue Authority","Welsh Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Welsh Revenue Authority","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Welsh Revenue Authority","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Welsh Revenue Authority","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Wilton Park","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Wilton Park","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Wilton Park","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Wilton Park","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Accountant in Bankruptcy","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Accountant in Bankruptcy","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Accountant in Bankruptcy","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Accountant in Bankruptcy","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Chinese","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Attorney General's Office","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Attorney General's Office","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Attorney General's Office","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Attorney General's Office","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Cabinet Office (excl. agencies)","Cabinet Office","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Chinese","Cabinet Office (excl. agencies)","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Cabinet Office (excl. agencies)","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Charity Commission","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Charity Commission","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Charity Commission","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Charity Commission","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Companies House","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Companies House","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Companies House","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Companies House","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Competition and Markets Authority","Competition and Markets Authority","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Chinese","Competition and Markets Authority","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Competition and Markets Authority","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Competition and Markets Authority","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Criminal Injuries Compensation Authority","Ministry of Justice","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Criminal Injuries Compensation Authority","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Criminal Injuries Compensation Authority","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Crown Commercial Service","Other Cabinet Office Agencies","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Crown Commercial Service","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Crown Commercial Service","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Crown Commercial Service","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Crown Office and Procurator Fiscal Service","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Crown Office and Procurator Fiscal Service","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Crown Office and Procurator Fiscal Service","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Crown Office and Procurator Fiscal Service","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Crown Prosecution Service","Attorney General's Departments","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Chinese","Crown Prosecution Service","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Crown Prosecution Service","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Crown Prosecution Service","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Crown Prosecution Service Inspectorate","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Crown Prosecution Service Inspectorate","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Crown Prosecution Service Inspectorate","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Crown Prosecution Service Inspectorate","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Debt Management Office","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Debt Management Office","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Debt Management Office","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Debt Management Office","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Defence Electronics and Components Agency","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Defence Electronics and Components Agency","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Defence Electronics and Components Agency","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Defence Electronics and Components Agency","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Defence Equipment and Support","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Defence Equipment and Support","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Defence Equipment and Support","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Defence Equipment and Support","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Defence Science and Technology Laboratory","Ministry of Defence","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Chinese","Defence Science and Technology Laboratory","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Defence Science and Technology Laboratory","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Defence Science and Technology Laboratory","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","35","35","46290","41510"
"In post","2021","Chinese","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Undeclared","5","5","[c]","[c]"
"In post","2021","Chinese","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Education (excl. agencies)","Department for Education","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Chinese","Department for Education (excl. agencies)","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Education (excl. agencies)","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Education (excl. agencies)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Chinese","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for International Trade","Department for International Trade","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Chinese","Department for International Trade","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for International Trade","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for International Trade","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Transport (excl. agencies)","Department for Transport","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Chinese","Department for Transport (excl. agencies)","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Transport (excl. agencies)","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Transport (excl. agencies)","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Heterosexual / straight","100","95","27310","27570"
"In post","2021","Chinese","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","LGBO","15","10","[c]","[c]"
"In post","2021","Chinese","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Undeclared","10","10","[c]","[c]"
"In post","2021","Chinese","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","25","20","[c]","[c]"
"In post","2021","Chinese","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Chinese","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Disclosure Scotland","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Disclosure Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Disclosure Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Disclosure Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Driver and Vehicle Licensing Agency","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Driver and Vehicle Licensing Agency","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Driver and Vehicle Licensing Agency","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Driver and Vehicle Licensing Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Driver and Vehicle Standards Agency","Department for Transport","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Chinese","Driver and Vehicle Standards Agency","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Driver and Vehicle Standards Agency","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Driver and Vehicle Standards Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Education and Skills Funding Agency","Department for Education","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Chinese","Education and Skills Funding Agency","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Education and Skills Funding Agency","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Education and Skills Funding Agency","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Education Scotland","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Education Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Education Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Education Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","ESTYN","ESTYN","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","ESTYN","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","ESTYN","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","ESTYN","ESTYN","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","FCDO Services","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","FCDO Services","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","FCDO Services","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","FCDO Services","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Food Standards Agency","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Food Standards Agency","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Food Standards Agency","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Food Standards Agency","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Food Standards Scotland","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Food Standards Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Food Standards Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Food Standards Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Heterosexual / straight","30","30","38610","35060"
"In post","2021","Chinese","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Forestry and Land Scotland","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Forestry and Land Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Forestry and Land Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Forestry and Land Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Government Actuary's Department","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Government Actuary's Department","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Government Actuary's Department","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Government Actuary's Department","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Government Internal Audit Agency","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Government Internal Audit Agency","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Government Internal Audit Agency","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Government Internal Audit Agency","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Government Legal Department","Attorney General's Departments","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Chinese","Government Legal Department","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Government Legal Department","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Government Legal Department","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Government Property Agency","Other Cabinet Office Agencies","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Government Property Agency","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Government Property Agency","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Government Property Agency","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Health and Safety Executive","Department for Work and Pensions","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Chinese","Health and Safety Executive","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Health and Safety Executive","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Health and Safety Executive","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","HM Courts and Tribunals Service","Ministry of Justice","Heterosexual / straight","45","40","28470","22720"
"In post","2021","Chinese","HM Courts and Tribunals Service","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","HM Courts and Tribunals Service","Ministry of Justice","Undeclared","10","10","[c]","[c]"
"In post","2021","Chinese","HM Courts and Tribunals Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","HM Land Registry","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","HM Land Registry","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","HM Land Registry","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","HM Land Registry","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","HM Prison and Probation Service","Ministry of Justice","Heterosexual / straight","30","30","27920","26480"
"In post","2021","Chinese","HM Prison and Probation Service","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","HM Prison and Probation Service","Ministry of Justice","Undeclared","5","5","[c]","[c]"
"In post","2021","Chinese","HM Prison and Probation Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Heterosexual / straight","115","110","33830","29570"
"In post","2021","Chinese","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","LGBO","10","10","[c]","[c]"
"In post","2021","Chinese","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Undeclared","10","5","[c]","[c]"
"In post","2021","Chinese","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","40","40","36330","31810"
"In post","2021","Chinese","HM Treasury (excl. agencies)","HM Treasury","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Chinese","HM Treasury (excl. agencies)","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","HM Treasury (excl. agencies)","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","HM Treasury (excl. agencies)","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Home Office (incl. agencies)","Home Office","Heterosexual / straight","125","120","31470","28670"
"In post","2021","Chinese","Home Office (incl. agencies)","Home Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Home Office (incl. agencies)","Home Office","Undeclared","20","15","[c]","[c]"
"In post","2021","Chinese","Home Office (incl. agencies)","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Insolvency Service","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Insolvency Service","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Insolvency Service","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Insolvency Service","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Institute for Apprenticeships and Technical Education","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Institute for Apprenticeships and Technical Education","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Institute for Apprenticeships and Technical Education","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Institute for Apprenticeships and Technical Education","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal Aid Agency","Ministry of Justice","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal Aid Agency","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal Aid Agency","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal Aid Agency","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Maritime and Coastguard Agency","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
