"Status","Year","Function_of_post","Organisation","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Finance","Department for International Trade","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for International Trade","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Finance","Department for International Trade","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2021","Finance","Department for Transport (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Transport (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Transport (excl. agencies)","EO","Female","15","15","[c]","[c]"
"In post","2021","Finance","Department for Transport (excl. agencies)","EO","Male","10","10","[c]","[c]"
"In post","2021","Finance","Department for Transport (excl. agencies)","G6/G7","Female","25","25","[c]","[c]"
"In post","2021","Finance","Department for Transport (excl. agencies)","G6/G7","Male","45","45","59180","55340"
"In post","2021","Finance","Department for Transport (excl. agencies)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Transport (excl. agencies)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Transport (excl. agencies)","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2021","Finance","Department for Transport (excl. agencies)","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2021","Finance","Department of Health and Social Care (excl. agencies)","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Finance","Department of Health and Social Care (excl. agencies)","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Finance","Department of Health and Social Care (excl. agencies)","EO","Female","40","40","25700","25340"
"In post","2021","Finance","Department of Health and Social Care (excl. agencies)","EO","Male","20","20","[c]","[c]"
"In post","2021","Finance","Department of Health and Social Care (excl. agencies)","G6/G7","Female","50","50","56770","53360"
"In post","2021","Finance","Department of Health and Social Care (excl. agencies)","G6/G7","Male","45","45","56800","53610"
"In post","2021","Finance","Department of Health and Social Care (excl. agencies)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department of Health and Social Care (excl. agencies)","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Finance","Department of Health and Social Care (excl. agencies)","SEO/HEO","Female","140","135","35140","32790"
"In post","2021","Finance","Department of Health and Social Care (excl. agencies)","SEO/HEO","Male","105","105","35150","32790"
"In post","2021","Finance","Driver and Vehicle Licensing Agency","AA/AO","Female","25","25","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Licensing Agency","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Licensing Agency","EO","Female","20","15","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Licensing Agency","EO","Male","5","5","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Licensing Agency","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Licensing Agency","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Licensing Agency","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Licensing Agency","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Licensing Agency","SEO/HEO","Female","30","30","37430","36600"
"In post","2021","Finance","Driver and Vehicle Licensing Agency","SEO/HEO","Male","30","30","37500","39040"
"In post","2021","Finance","Driver and Vehicle Standards Agency","EO","Female","10","10","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Standards Agency","EO","Male","5","5","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Standards Agency","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Standards Agency","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Standards Agency","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Standards Agency","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Standards Agency","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Standards Agency","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","Finance","Education and Skills Funding Agency","EO","Female","5","5","[c]","[c]"
"In post","2021","Finance","Education and Skills Funding Agency","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Education and Skills Funding Agency","G6/G7","Female","35","30","54610","50630"
"In post","2021","Finance","Education and Skills Funding Agency","G6/G7","Male","30","30","[c]","[c]"
"In post","2021","Finance","Education and Skills Funding Agency","SEO/HEO","Female","35","35","35370","36500"
"In post","2021","Finance","Education and Skills Funding Agency","SEO/HEO","Male","30","30","36230","36780"
"In post","2021","Finance","ESTYN","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","ESTYN","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","ESTYN","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","ESTYN","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","FCDO Services","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","FCDO Services","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Finance","FCDO Services","EO","Female","10","5","[c]","[c]"
"In post","2021","Finance","FCDO Services","EO","Male","10","10","[c]","[c]"
"In post","2021","Finance","FCDO Services","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","FCDO Services","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Finance","FCDO Services","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","FCDO Services","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","FCDO Services","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Finance","FCDO Services","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Finance","FCDO Services","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","FCDO Services","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","EO","Male","5","5","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","EO","Female","20","20","[c]","[c]"
"In post","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","EO","Male","10","10","[c]","[c]"
"In post","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","Female","50","45","55800","57410"
"In post","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","Male","30","30","[c]","[c]"
"In post","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","Female","40","40","36440","36360"
"In post","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","Male","50","50","38370","38080"
"In post","2021","Finance","Forestry and Land Scotland","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Forestry and Land Scotland","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Forestry and Land Scotland","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Forestry and Land Scotland","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Forestry and Land Scotland","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Forestry and Land Scotland","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Forestry and Land Scotland","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2021","Finance","Forestry and Land Scotland","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Finance","Government Actuary's Department","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Actuary's Department","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Actuary's Department","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Actuary's Department","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Actuary's Department","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Actuary's Department","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Internal Audit Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Internal Audit Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Internal Audit Agency","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Internal Audit Agency","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Internal Audit Agency","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Internal Audit Agency","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Internal Audit Agency","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Internal Audit Agency","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Legal Department","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Legal Department","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Legal Department","EO","Female","5","5","[c]","[c]"
"In post","2021","Finance","Government Legal Department","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Legal Department","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Finance","Government Legal Department","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Legal Department","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Legal Department","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Legal Department","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Finance","Government Legal Department","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Finance","Government Property Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Property Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Property Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Property Agency","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Property Agency","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Finance","Government Property Agency","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Finance","Government Property Agency","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Property Agency","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Property Agency","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Finance","Government Property Agency","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Finance","Health and Safety Executive","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Health and Safety Executive","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Health and Safety Executive","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Health and Safety Executive","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Finance","Health and Safety Executive","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Health and Safety Executive","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Health and Safety Executive","SEO/HEO","Female","10","5","[c]","[c]"
"In post","2021","Finance","Health and Safety Executive","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Courts and Tribunals Service","AA/AO","Female","20","20","[c]","[c]"
"In post","2021","Finance","HM Courts and Tribunals Service","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","Finance","HM Courts and Tribunals Service","EO","Female","25","25","[c]","[c]"
"In post","2021","Finance","HM Courts and Tribunals Service","EO","Male","15","15","[c]","[c]"
"In post","2021","Finance","HM Courts and Tribunals Service","G6/G7","Female","20","20","[c]","[c]"
"In post","2021","Finance","HM Courts and Tribunals Service","G6/G7","Male","35","35","59550","58130"
"In post","2021","Finance","HM Courts and Tribunals Service","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Courts and Tribunals Service","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Courts and Tribunals Service","SEO/HEO","Female","80","75","34120","35250"
"In post","2021","Finance","HM Courts and Tribunals Service","SEO/HEO","Male","50","50","35050","34630"
"In post","2021","Finance","HM Land Registry","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Land Registry","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Land Registry","EO","Female","5","5","[c]","[c]"
"In post","2021","Finance","HM Land Registry","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Land Registry","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Finance","HM Land Registry","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Finance","HM Land Registry","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Land Registry","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Land Registry","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Finance","HM Land Registry","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","AA/AO","Female","615","460","20750","20140"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","AA/AO","Male","305","275","20520","20140"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","EO","Female","235","205","26660","25560"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","EO","Male","130","125","26370","25560"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","G6/G7","Female","175","165","58200","59160"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","G6/G7","Male","185","185","57150","52770"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","SCS level","Male","25","25","[c]","[c]"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","SEO/HEO","Female","395","375","35140","35000"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","SEO/HEO","Male","360","350","35770","36160"
"In post","2021","Finance","HM Treasury (excl. agencies)","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","Finance","HM Treasury (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Treasury (excl. agencies)","EO","Female","5","5","[c]","[c]"
"In post","2021","Finance","HM Treasury (excl. agencies)","EO","Male","10","10","[c]","[c]"
"In post","2021","Finance","HM Treasury (excl. agencies)","G6/G7","Female","20","20","[c]","[c]"
"In post","2021","Finance","HM Treasury (excl. agencies)","G6/G7","Male","25","25","[c]","[c]"
"In post","2021","Finance","HM Treasury (excl. agencies)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Treasury (excl. agencies)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Treasury (excl. agencies)","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Finance","HM Treasury (excl. agencies)","SEO/HEO","Male","10","5","[c]","[c]"
"In post","2021","Finance","Insolvency Service","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Insolvency Service","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Insolvency Service","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Insolvency Service","EO","Male","5","5","[c]","[c]"
"In post","2021","Finance","Insolvency Service","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Finance","Insolvency Service","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Finance","Insolvency Service","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Insolvency Service","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Insolvency Service","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Finance","Insolvency Service","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Finance","Institute for Apprenticeships and Technical Education","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Institute for Apprenticeships and Technical Education","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Institute for Apprenticeships and Technical Education","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Institute for Apprenticeships and Technical Education","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Institute for Apprenticeships and Technical Education","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Institute for Apprenticeships and Technical Education","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Maritime and Coastguard Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Maritime and Coastguard Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Maritime and Coastguard Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Maritime and Coastguard Agency","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Maritime and Coastguard Agency","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Maritime and Coastguard Agency","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Maritime and Coastguard Agency","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Maritime and Coastguard Agency","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Maritime and Coastguard Agency","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Finance","Maritime and Coastguard Agency","SEO/HEO","Male","10","5","[c]","[c]"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Finance","Met Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Met Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Met Office","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Finance","Met Office","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Finance","Met Office","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Met Office","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Met Office","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Finance","Met Office","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","AA/AO","Female","150","135","21540","21130"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","AA/AO","Male","75","70","21550","21130"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","EO","Female","305","290","27390","26670"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","EO","Male","130","130","28090","26930"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","G6/G7","Female","100","95","60730","58000"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","G6/G7","Male","100","100","62290","59730"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","SCS level","Female","15","15","[c]","[c]"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","SCS level","Male","25","25","[c]","[c]"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","SEO/HEO","Female","395","375","39340","37980"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","SEO/HEO","Male","310","305","40740","40580"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","Female","35","30","58460","53650"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","Male","20","20","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","Female","30","25","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","AA/AO","Female","10","5","[c]","[c]"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","EO","Female","65","60","26690","26410"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","EO","Male","30","30","25510","26410"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","G6/G7","Female","55","55","60930","58130"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","G6/G7","Male","70","70","62840","61110"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","SEO/HEO","Female","135","135","39550","39400"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","SEO/HEO","Male","110","105","41160","41840"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Crime Agency","AA/AO","Female","10","5","[c]","[c]"
"In post","2021","Finance","National Crime Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Crime Agency","EO","Female","5","5","[c]","[c]"
"In post","2021","Finance","National Crime Agency","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Crime Agency","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Crime Agency","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Crime Agency","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Finance","National Crime Agency","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Finance","National Savings and Investments","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Savings and Investments","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Savings and Investments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Savings and Investments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Savings and Investments","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Savings and Investments","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Finance","National Savings and Investments","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Savings and Investments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Savings and Investments","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Finance","National Savings and Investments","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","EO","Male","[c]","[c]","[c]","[c]"
