"Status","Year","Function_of_post","Organisation","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Digital, Data & Technology","Planning Inspectorate","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Planning Inspectorate","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Planning Inspectorate","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Planning Inspectorate","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Planning Inspectorate","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Digital, Data & Technology","Planning Inspectorate","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Planning Inspectorate","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Planning Inspectorate","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Public Health England","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Public Health England","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Public Health England","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Public Health England","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Public Health England","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Digital, Data & Technology","Public Health England","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Public Health England","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Public Health England","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Public Health England","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Public Health England","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Public Health England","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Public Health England","SEO/HEO","Heterosexual / straight","35","35","36820","36330"
"In post","2021","Digital, Data & Technology","Public Health England","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Public Health England","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Public Health England","SEO/HEO","Unknown","20","20","[c]","[c]"
"In post","2021","Digital, Data & Technology","Queen Elizabeth II Centre","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Queen Elizabeth II Centre","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Queen Elizabeth II Centre","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Queen Elizabeth II Centre","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Queen Elizabeth II Centre","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Queen Elizabeth II Centre","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","EO","Undeclared","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","SEO/HEO","Undeclared","20","20","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Prison Service","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Prison Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Prison Service","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Prison Service","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Prison Service","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Prison Service","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Prison Service","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Prison Service","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Prison Service","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Prison Service","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Prison Service","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Prison Service","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scottish Prison Service","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Submarine Delivery Agency","Unknown","Heterosexual / straight","45","45","38010","37670"
"In post","2021","Digital, Data & Technology","Submarine Delivery Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Submarine Delivery Agency","Unknown","Undeclared","10","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Submarine Delivery Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","The National Archives","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","The National Archives","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","The National Archives","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","The National Archives","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","The National Archives","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","The National Archives","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","The National Archives","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","The National Archives","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","The National Archives","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","The National Archives","SEO/HEO","Heterosexual / straight","35","30","40420","36740"
"In post","2021","Digital, Data & Technology","The National Archives","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","The National Archives","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","The National Archives","SEO/HEO","Unknown","25","25","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Export Finance","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Export Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Export Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Export Finance","SEO/HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Export Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Export Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Export Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","SEO/HEO","Heterosexual / straight","90","90","37820","35340"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","SEO/HEO","Unknown","35","30","38300","35340"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","EO","Unknown","20","20","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","G6/G7","Heterosexual / straight","30","30","63980","63480"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","SEO/HEO","Heterosexual / straight","65","65","41930","39540"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","SEO/HEO","Unknown","45","45","39500","39120"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","EO","Heterosexual / straight","35","35","24080","23050"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","EO","Unknown","40","35","23490","23050"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","G6/G7","Heterosexual / straight","140","135","52560","50090"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","G6/G7","Unknown","65","65","53220","50090"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","SEO/HEO","Heterosexual / straight","140","135","34630","36030"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","SEO/HEO","Unknown","115","115","34270","36030"
"In post","2021","Digital, Data & Technology","Valuation Office Agency","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Valuation Office Agency","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Vehicle Certification Agency","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Vehicle Certification Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Vehicle Certification Agency","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Vehicle Certification Agency","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Vehicle Certification Agency","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Vehicle Certification Agency","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Vehicle Certification Agency","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Veterinary Medicines Directorate","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Veterinary Medicines Directorate","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Veterinary Medicines Directorate","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Veterinary Medicines Directorate","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Veterinary Medicines Directorate","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Veterinary Medicines Directorate","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Welsh Revenue Authority","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Welsh Revenue Authority","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Welsh Revenue Authority","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Welsh Revenue Authority","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Welsh Revenue Authority","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Welsh Revenue Authority","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Welsh Revenue Authority","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Welsh Revenue Authority","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Welsh Revenue Authority","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Wilton Park","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Wilton Park","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Wilton Park","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Wilton Park","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Wilton Park","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Wilton Park","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Wilton Park","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Centre for Environment, Fisheries and Aquaculture Science","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Centre for Environment, Fisheries and Aquaculture Science","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Centre for Environment, Fisheries and Aquaculture Science","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Charity Commission","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Charity Commission","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Charity Commission","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Charity Commission","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Charity Commission","G6/G7","Unknown","[c]","[c]","[c]","[c]"
