"Status","Year","Age","Function_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Unknown","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Derbyshire and Nottinghamshire","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","East Anglia","Outside London","10","10","21900","21430"
"In post","2021","16-19","Unknown","East Wales","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Eastern Scotland","Outside London","45","45","21430","21150"
"In post","2021","16-19","Unknown","Essex","Outside London","10","10","21980","21430"
"In post","2021","16-19","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Greater Manchester","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Inner London - West","London","10","10","28000","27600"
"In post","2021","16-19","Unknown","Kent","Outside London","30","30","21700","21430"
"In post","2021","16-19","Unknown","Lancashire","Outside London","20","20","21010","21010"
"In post","2021","16-19","Unknown","Leicestershire, Rutland and Northamptonshire","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Merseyside","Outside London","10","10","21360","21430"
"In post","2021","16-19","Unknown","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Northumberland and Tyne and Wear","Outside London","30","30","21650","21010"
"In post","2021","16-19","Unknown","Outer London - East and North East","London","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Outer London - West and North West","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","South Yorkshire","Outside London","15","15","21530","21010"
"In post","2021","16-19","Unknown","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Surrey, East and West Sussex","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Tees Valley and Durham","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","40","40","18870","15940"
"In post","2021","16-19","Unknown","West Central Scotland","Outside London","30","30","21020","21010"
"In post","2021","16-19","Unknown","West Midlands","Outside London","10","10","23450","21430"
"In post","2021","16-19","Unknown","West Wales and The Valleys","Outside London","20","20","22110","21010"
"In post","2021","16-19","Unknown","West Yorkshire","Outside London","20","20","22760","21010"
"In post","2021","20-29","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","10","10","34340","31800"
"In post","2021","20-29","Analysis","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Dorset and Somerset","Outside London","10","10","24710","24920"
"In post","2021","20-29","Analysis","East Anglia","Outside London","45","45","25330","24920"
"In post","2021","20-29","Analysis","East Wales","Outside London","350","345","31480","29540"
