"Status","Year","Age","Parent_department","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","30-39","Department for International Trade","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Communications","SEO/HEO","20","20","37090","38540"
"In post","2021","30-39","Department for International Trade","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Digital, Data and Technology","G6/G7","20","20","54840","51970"
"In post","2021","30-39","Department for International Trade","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Digital, Data and Technology","SEO/HEO","10","10","39770","39070"
"In post","2021","30-39","Department for International Trade","Economics","G6/G7","25","25","56570","54650"
"In post","2021","30-39","Department for International Trade","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Finance","G6/G7","15","15","56110","52930"
"In post","2021","30-39","Department for International Trade","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Human Resources","EO","10","10","26800","27210"
"In post","2021","30-39","Department for International Trade","Human Resources","G6/G7","15","15","56480","51970"
"In post","2021","30-39","Department for International Trade","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Human Resources","SEO/HEO","10","10","32850","31970"
"In post","2021","30-39","Department for International Trade","International Trade","EO","10","10","[c]","[c]"
"In post","2021","30-39","Department for International Trade","International Trade","G6/G7","235","235","55460","51970"
"In post","2021","30-39","Department for International Trade","International Trade","SCS level","35","35","74970","73000"
"In post","2021","30-39","Department for International Trade","International Trade","SEO/HEO","110","110","36310","38160"
"In post","2021","30-39","Department for International Trade","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Knowledge and Information Management","SEO/HEO","5","5","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Operational Delivery","G6/G7","5","5","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Operational Delivery","SEO/HEO","10","10","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Other","G6/G7","15","15","55020","54600"
"In post","2021","30-39","Department for International Trade","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Other","SEO/HEO","15","15","35070","32120"
"In post","2021","30-39","Department for International Trade","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Policy","G6/G7","35","35","55060","52570"
"In post","2021","30-39","Department for International Trade","Policy","SCS level","10","10","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Policy","SEO/HEO","25","25","36420","38160"
"In post","2021","30-39","Department for International Trade","Project Delivery","G6/G7","10","10","55400","52550"
"In post","2021","30-39","Department for International Trade","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Project Delivery","SEO/HEO","5","5","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Social Research","G6/G7","5","5","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Statistics","G6/G7","5","5","[c]","[c]"
"In post","2021","30-39","Department for International Trade","Statistics","SEO/HEO","10","10","[c]","[c]"
"In post","2021","30-39","Department for Transport","Commercial","AA/AO","5","5","[c]","[c]"
"In post","2021","30-39","Department for Transport","Commercial","EO","10","10","26510","26530"
"In post","2021","30-39","Department for Transport","Commercial","G6/G7","15","15","57800","54760"
"In post","2021","30-39","Department for Transport","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Commercial","SEO/HEO","40","40","36630","35740"
"In post","2021","30-39","Department for Transport","Communications","AA/AO","10","10","21590","21590"
"In post","2021","30-39","Department for Transport","Communications","EO","20","20","26190","26470"
"In post","2021","30-39","Department for Transport","Communications","G6/G7","25","25","57010","54760"
"In post","2021","30-39","Department for Transport","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Communications","SEO/HEO","45","45","38580","39470"
"In post","2021","30-39","Department for Transport","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Corporate Finance","G6/G7","5","5","[c]","[c]"
"In post","2021","30-39","Department for Transport","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Counter Fraud","EO","10","10","27290","26470"
"In post","2021","30-39","Department for Transport","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Digital, Data and Technology","AA/AO","25","25","21400","21590"
"In post","2021","30-39","Department for Transport","Digital, Data and Technology","EO","85","85","27020","26470"
"In post","2021","30-39","Department for Transport","Digital, Data and Technology","G6/G7","50","50","58900","56490"
"In post","2021","30-39","Department for Transport","Digital, Data and Technology","SEO/HEO","180","180","38010","36550"
"In post","2021","30-39","Department for Transport","Economics","G6/G7","35","30","57080","54800"
"In post","2021","30-39","Department for Transport","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Finance","AA/AO","10","10","21330","21590"
"In post","2021","30-39","Department for Transport","Finance","EO","20","20","27220","26700"
"In post","2021","30-39","Department for Transport","Finance","G6/G7","35","35","58420","54760"
"In post","2021","30-39","Department for Transport","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Finance","SEO/HEO","45","45","36310","35060"
"In post","2021","30-39","Department for Transport","Human Resources","AA/AO","10","10","21300","21590"
"In post","2021","30-39","Department for Transport","Human Resources","EO","25","25","27190","26470"
"In post","2021","30-39","Department for Transport","Human Resources","G6/G7","20","20","58380","54760"
"In post","2021","30-39","Department for Transport","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Human Resources","SEO/HEO","55","50","34980","32480"
"In post","2021","30-39","Department for Transport","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Knowledge and Information Management","SEO/HEO","15","10","37440","39040"
"In post","2021","30-39","Department for Transport","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Medicine","G6/G7","5","5","[c]","[c]"
"In post","2021","30-39","Department for Transport","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Operational Delivery","AA/AO","1290","1105","21300","21590"
"In post","2021","30-39","Department for Transport","Operational Delivery","EO","485","465","28110","26700"
"In post","2021","30-39","Department for Transport","Operational Delivery","G6/G7","15","15","59360","54760"
"In post","2021","30-39","Department for Transport","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Operational Delivery","SEO/HEO","185","185","37100","35380"
"In post","2021","30-39","Department for Transport","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Operational Research","SEO/HEO","15","15","37260","39040"
"In post","2021","30-39","Department for Transport","Other","AA/AO","5","5","[c]","[c]"
"In post","2021","30-39","Department for Transport","Other","EO","30","25","28650","29970"
"In post","2021","30-39","Department for Transport","Other","G6/G7","10","10","66050","66230"
"In post","2021","30-39","Department for Transport","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Other","SEO/HEO","30","30","35590","35060"
"In post","2021","30-39","Department for Transport","Policy","AA/AO","15","15","21120","21590"
"In post","2021","30-39","Department for Transport","Policy","EO","30","30","27450","26470"
"In post","2021","30-39","Department for Transport","Policy","G6/G7","155","150","57600","54760"
"In post","2021","30-39","Department for Transport","Policy","SCS level","15","10","76010","73890"
"In post","2021","30-39","Department for Transport","Policy","SEO/HEO","135","135","37760","38650"
"In post","2021","30-39","Department for Transport","Project Delivery","EO","15","15","27220","26740"
"In post","2021","30-39","Department for Transport","Project Delivery","G6/G7","65","65","58130","54760"
"In post","2021","30-39","Department for Transport","Project Delivery","SCS level","10","10","77580","75000"
"In post","2021","30-39","Department for Transport","Project Delivery","SEO/HEO","75","75","37580","38650"
"In post","2021","30-39","Department for Transport","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Property","EO","10","10","26720","26470"
"In post","2021","30-39","Department for Transport","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Property","SEO/HEO","10","10","34010","31210"
"In post","2021","30-39","Department for Transport","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Science and Engineering","G6/G7","15","15","57340","54700"
"In post","2021","30-39","Department for Transport","Science and Engineering","SEO/HEO","40","40","41590","42890"
"In post","2021","30-39","Department for Transport","Security","AA/AO","20","20","25910","25390"
"In post","2021","30-39","Department for Transport","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Security","G6/G7","15","15","57490","54700"
"In post","2021","30-39","Department for Transport","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Security","SEO/HEO","35","35","40740","43360"
"In post","2021","30-39","Department for Transport","Social Research","G6/G7","5","5","[c]","[c]"
"In post","2021","30-39","Department for Transport","Social Research","SEO/HEO","10","10","42260","42680"
"In post","2021","30-39","Department for Transport","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Statistics","G6/G7","10","10","59500","56150"
"In post","2021","30-39","Department for Transport","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Statistics","SEO/HEO","15","15","40000","42470"
"In post","2021","30-39","Department for Transport","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Transport","Unknown","G6/G7","20","20","58930","54920"
"In post","2021","30-39","Department for Transport","Unknown","SCS level","10","5","[c]","[c]"
"In post","2021","30-39","Department for Transport","Unknown","SEO/HEO","15","15","37500","35430"
"In post","2021","30-39","Department for Work and Pensions","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Communications","SEO/HEO","5","5","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Operational Delivery","AA/AO","25","20","21420","22160"
"In post","2021","30-39","Department for Work and Pensions","Operational Delivery","EO","35","35","27210","26410"
"In post","2021","30-39","Department for Work and Pensions","Operational Delivery","G6/G7","20","20","55200","53430"
"In post","2021","30-39","Department for Work and Pensions","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Operational Delivery","SEO/HEO","155","155","43800","41480"
"In post","2021","30-39","Department for Work and Pensions","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Science and Engineering","EO","10","10","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Science and Engineering","G6/G7","5","5","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Science and Engineering","SEO/HEO","65","60","35500","32660"
"In post","2021","30-39","Department for Work and Pensions","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department for Work and Pensions","Unknown","AA/AO","4350","3750","21210","21010"
"In post","2021","30-39","Department for Work and Pensions","Unknown","EO","8630","8060","28150","27570"
"In post","2021","30-39","Department for Work and Pensions","Unknown","G6/G7","440","425","56680","54070"
"In post","2021","30-39","Department for Work and Pensions","Unknown","SCS level","25","25","83390","77480"
"In post","2021","30-39","Department for Work and Pensions","Unknown","SEO/HEO","1345","1295","34360","31990"
"In post","2021","30-39","Department of Health and Social Care","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Commercial","G6/G7","15","15","52670","51500"
"In post","2021","30-39","Department of Health and Social Care","Commercial","SCS level","10","10","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Commercial","SEO/HEO","25","25","37410","40650"
"In post","2021","30-39","Department of Health and Social Care","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Communications","EO","10","10","27290","27270"
"In post","2021","30-39","Department of Health and Social Care","Communications","G6/G7","45","40","57980","55070"
"In post","2021","30-39","Department of Health and Social Care","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Communications","SEO/HEO","35","35","37630","37100"
"In post","2021","30-39","Department of Health and Social Care","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Digital, Data and Technology","G6/G7","45","45","56190","53620"
"In post","2021","30-39","Department of Health and Social Care","Digital, Data and Technology","SCS level","5","5","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Digital, Data and Technology","SEO/HEO","50","50","37120","36750"
"In post","2021","30-39","Department of Health and Social Care","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Economics","G6/G7","15","15","56060","54400"
"In post","2021","30-39","Department of Health and Social Care","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Finance","EO","15","15","25100","24070"
"In post","2021","30-39","Department of Health and Social Care","Finance","G6/G7","25","25","55910","53360"
"In post","2021","30-39","Department of Health and Social Care","Finance","SEO/HEO","75","75","35870","36820"
"In post","2021","30-39","Department of Health and Social Care","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Human Resources","EO","5","5","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Human Resources","G6/G7","15","15","57580","53100"
"In post","2021","30-39","Department of Health and Social Care","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Human Resources","SEO/HEO","30","30","35440","35930"
"In post","2021","30-39","Department of Health and Social Care","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Intelligence Analysis","G6/G7","65","65","57690","53360"
"In post","2021","30-39","Department of Health and Social Care","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Intelligence Analysis","SEO/HEO","5","5","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Knowledge and Information Management","AA/AO","15","15","21040","19770"
"In post","2021","30-39","Department of Health and Social Care","Knowledge and Information Management","EO","15","10","25960","25610"
"In post","2021","30-39","Department of Health and Social Care","Knowledge and Information Management","G6/G7","35","35","53250","52610"
"In post","2021","30-39","Department of Health and Social Care","Knowledge and Information Management","SEO/HEO","70","65","36230","36330"
"In post","2021","30-39","Department of Health and Social Care","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Medicine","G6/G7","30","30","55980","53830"
"In post","2021","30-39","Department of Health and Social Care","Medicine","SCS level","45","40","88440","89370"
"In post","2021","30-39","Department of Health and Social Care","Medicine","SEO/HEO","15","15","37310","39770"
"In post","2021","30-39","Department of Health and Social Care","Operational Delivery","AA/AO","70","60","20620","19760"
"In post","2021","30-39","Department of Health and Social Care","Operational Delivery","EO","125","110","25820","26880"
"In post","2021","30-39","Department of Health and Social Care","Operational Delivery","G6/G7","210","205","55950","53860"
"In post","2021","30-39","Department of Health and Social Care","Operational Delivery","SCS level","10","10","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Operational Delivery","SEO/HEO","350","325","36260","37190"
"In post","2021","30-39","Department of Health and Social Care","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Other","EO","5","5","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Other","G6/G7","35","30","57000","53830"
"In post","2021","30-39","Department of Health and Social Care","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Other","SEO/HEO","40","35","37340","40450"
"In post","2021","30-39","Department of Health and Social Care","Policy","EO","15","15","26660","27270"
"In post","2021","30-39","Department of Health and Social Care","Policy","G6/G7","250","240","58530","54410"
"In post","2021","30-39","Department of Health and Social Care","Policy","SCS level","30","30","77600","73430"
"In post","2021","30-39","Department of Health and Social Care","Policy","SEO/HEO","135","130","36140","36820"
"In post","2021","30-39","Department of Health and Social Care","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Science and Engineering","AA/AO","75","65","21750","21720"
"In post","2021","30-39","Department of Health and Social Care","Science and Engineering","EO","60","55","26170","26880"
"In post","2021","30-39","Department of Health and Social Care","Science and Engineering","G6/G7","125","120","56530","53830"
"In post","2021","30-39","Department of Health and Social Care","Science and Engineering","SCS level","5","5","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Science and Engineering","SEO/HEO","400","375","36340","37260"
"In post","2021","30-39","Department of Health and Social Care","Statistics","G6/G7","10","10","53490","53120"
"In post","2021","30-39","Department of Health and Social Care","Statistics","SEO/HEO","5","5","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Unknown","EO","10","10","26840","27140"
"In post","2021","30-39","Department of Health and Social Care","Unknown","G6/G7","20","20","57280","53360"
"In post","2021","30-39","Department of Health and Social Care","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Department of Health and Social Care","Unknown","SEO/HEO","25","25","36960","36820"
"In post","2021","30-39","ESTYN","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","ESTYN","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","ESTYN","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","ESTYN","Inspector of Education and Training","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","ESTYN","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","ESTYN","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","ESTYN","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","ESTYN","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","ESTYN","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","ESTYN","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Communications","SEO/HEO","10","10","35880","37910"
"In post","2021","30-39","Food Standards Agency","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Counter Fraud","SEO/HEO","10","10","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Digital, Data and Technology","G6/G7","10","10","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Digital, Data and Technology","SEO/HEO","10","10","37750","37910"
"In post","2021","30-39","Food Standards Agency","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Intelligence Analysis","SEO/HEO","5","5","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Legal","G6/G7","5","5","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Legal","SEO/HEO","5","5","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Operational Delivery","EO","30","25","26820","26750"
"In post","2021","30-39","Food Standards Agency","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Operational Delivery","SEO/HEO","35","35","34170","32830"
"In post","2021","30-39","Food Standards Agency","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Policy","G6/G7","15","15","56840","56130"
"In post","2021","30-39","Food Standards Agency","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Policy","SEO/HEO","40","40","35870","37910"
"In post","2021","30-39","Food Standards Agency","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Science and Engineering","SEO/HEO","20","20","36060","35090"
"In post","2021","30-39","Food Standards Agency","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","Veterinarian","SEO/HEO","10","10","37850","37910"
"In post","2021","30-39","Foreign, Commonwealth and Development Office","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Foreign, Commonwealth and Development Office","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Foreign, Commonwealth and Development Office","Commercial","G6/G7","5","5","[c]","[c]"
"In post","2021","30-39","Foreign, Commonwealth and Development Office","Commercial","SEO/HEO","20","20","37280","38500"
"In post","2021","30-39","Foreign, Commonwealth and Development Office","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Foreign, Commonwealth and Development Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Foreign, Commonwealth and Development Office","Communications","G6/G7","20","20","55850","55430"
