"Status","Year","Disability","Ethnicity","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Mixed","East of England","Heterosexual / straight","50","50","29600","27570"
"In post","2021","Declared disabled","Mixed","East of England","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","East of England","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","London","Heterosexual / straight","300","285","39160","33810"
"In post","2021","Declared disabled","Mixed","London","LGBO","60","60","39870","35050"
"In post","2021","Declared disabled","Mixed","London","Undeclared","40","40","37370","32710"
"In post","2021","Declared disabled","Mixed","London","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Mixed","North East (England)","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Declared disabled","Mixed","North East (England)","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","North West (England)","Heterosexual / straight","100","90","27940","25690"
"In post","2021","Declared disabled","Mixed","North West (England)","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","North West (England)","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","North West (England)","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Scotland","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Scotland","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Scotland","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","South East (England)","Heterosexual / straight","75","70","31570","29290"
"In post","2021","Declared disabled","Mixed","South East (England)","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","South East (England)","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","South East (England)","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","South West (England)","Heterosexual / straight","65","60","33500","28520"
"In post","2021","Declared disabled","Mixed","South West (England)","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","South West (England)","Undeclared","10","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Wales","Heterosexual / straight","40","35","27030","27570"
"In post","2021","Declared disabled","Mixed","Wales","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Wales","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","West Midlands (England)","Heterosexual / straight","60","50","28090","27570"
