"Status","Year","Disability","Ethnicity","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","Asian","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Social Research","G7","10","5","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Social Research","HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Social Research","SEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Statistics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Statistics","EO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Statistics","G7","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Statistics","HEO","30","30","34990","34470"
"In post","2021","Declared non-disabled","Asian","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Statistics","SEO","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Tax","AO","245","220","20330","20140"
"In post","2021","Declared non-disabled","Asian","Tax","EO","245","230","27120","25560"
"In post","2021","Declared non-disabled","Asian","Tax","G6","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Tax","G7","100","100","54600","52580"
"In post","2021","Declared non-disabled","Asian","Tax","HEO","390","375","33710","31810"
"In post","2021","Declared non-disabled","Asian","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Tax","SEO","90","85","39980","38630"
"In post","2021","Declared non-disabled","Asian","Unknown","AA","40","30","20310","20230"
"In post","2021","Declared non-disabled","Asian","Unknown","AO","1960","1655","21750","21010"
"In post","2021","Declared non-disabled","Asian","Unknown","EO","3805","3525","28950","27570"
"In post","2021","Declared non-disabled","Asian","Unknown","G6","65","60","68730","66640"
"In post","2021","Declared non-disabled","Asian","Unknown","G7","220","215","55560","54700"
"In post","2021","Declared non-disabled","Asian","Unknown","HEO","480","470","34630","34550"
"In post","2021","Declared non-disabled","Asian","Unknown","SCS level","45","45","91060","89960"
"In post","2021","Declared non-disabled","Asian","Unknown","SEO","200","200","40180","40310"
"In post","2021","Declared non-disabled","Asian","Unknown","Unknown","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Veterinarian","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Veterinarian","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Veterinarian","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Veterinarian","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Veterinarian","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Veterinarian","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Commercial","AO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Commercial","EO","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Commercial","G6","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Commercial","G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Commercial","HEO","40","40","32830","33000"
"In post","2021","Declared non-disabled","Black","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Commercial","SEO","45","45","43410","42890"
"In post","2021","Declared non-disabled","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Communications","EO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Communications","G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Communications","HEO","30","30","35730","35010"
"In post","2021","Declared non-disabled","Black","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Communications","SEO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Corporate Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Counter Fraud","EO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Counter Fraud","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Counter Fraud","HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Counter Fraud","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Digital, Data and Technology","AO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Digital, Data and Technology","EO","60","55","28340","28170"
"In post","2021","Declared non-disabled","Black","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Digital, Data and Technology","G7","60","60","57700","57460"
"In post","2021","Declared non-disabled","Black","Digital, Data and Technology","HEO","105","105","33930","33670"
"In post","2021","Declared non-disabled","Black","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Digital, Data and Technology","SEO","85","85","42830","41970"
"In post","2021","Declared non-disabled","Black","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Economics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Economics","EO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Economics","G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Economics","HEO","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Finance","AO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Finance","EO","50","50","28400","28860"
"In post","2021","Declared non-disabled","Black","Finance","G6","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Finance","G7","60","60","56280","56470"
"In post","2021","Declared non-disabled","Black","Finance","HEO","90","90","34390","33640"
"In post","2021","Declared non-disabled","Black","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Finance","SEO","75","75","43260","42960"
"In post","2021","Declared non-disabled","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Human Resources","AO","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Human Resources","EO","45","45","28830","28670"
"In post","2021","Declared non-disabled","Black","Human Resources","G6","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Human Resources","G7","30","25","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Human Resources","HEO","65","65","33790","33930"
"In post","2021","Declared non-disabled","Black","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Human Resources","SEO","50","50","42970","42240"
"In post","2021","Declared non-disabled","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Inspector of Education and Training","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Inspector of Education and Training","G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Inspector of Education and Training","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Inspector of Education and Training","SEO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Intelligence Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Intelligence Analysis","AO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Intelligence Analysis","EO","25","20","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Intelligence Analysis","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Intelligence Analysis","HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Internal Audit","AO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Internal Audit","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Internal Audit","G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Internal Audit","HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Internal Audit","SEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","International Trade","EO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","International Trade","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","International Trade","G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","International Trade","HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","International Trade","SEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Knowledge and Information Management","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Knowledge and Information Management","AO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Knowledge and Information Management","EO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Knowledge and Information Management","G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Knowledge and Information Management","HEO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Knowledge and Information Management","SEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Legal","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Legal","AO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Legal","EO","45","45","29280","29570"
"In post","2021","Declared non-disabled","Black","Legal","G6","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Legal","G7","150","145","57690","57600"
"In post","2021","Declared non-disabled","Black","Legal","HEO","50","50","35060","36160"
"In post","2021","Declared non-disabled","Black","Legal","SCS level","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Legal","SEO","40","35","42180","42500"
"In post","2021","Declared non-disabled","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Medicine","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Medicine","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Medicine","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Medicine","G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Medicine","HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Medicine","SCS level","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Medicine","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Operational Delivery","AA","285","275","22100","21980"
"In post","2021","Declared non-disabled","Black","Operational Delivery","AO","1665","1545","25180","23520"
"In post","2021","Declared non-disabled","Black","Operational Delivery","EO","1150","1095","28450","28670"
"In post","2021","Declared non-disabled","Black","Operational Delivery","G6","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Operational Delivery","G7","80","80","53840","53120"
"In post","2021","Declared non-disabled","Black","Operational Delivery","HEO","500","485","34450","34470"
"In post","2021","Declared non-disabled","Black","Operational Delivery","SCS level","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Operational Delivery","SEO","195","190","43980","41970"
"In post","2021","Declared non-disabled","Black","Operational Delivery","Unknown","580","565","30640","28200"
"In post","2021","Declared non-disabled","Black","Operational Research","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Other","AA","25","20","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Other","AO","100","95","23590","23620"
"In post","2021","Declared non-disabled","Black","Other","EO","140","135","27480","27730"
"In post","2021","Declared non-disabled","Black","Other","G6","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Other","G7","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Other","HEO","70","70","33480","34020"
"In post","2021","Declared non-disabled","Black","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Other","SEO","45","45","41450","41970"
"In post","2021","Declared non-disabled","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Planning","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Planning","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Planning","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Planning","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Planning","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Planning Inspectors","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Planning Inspectors","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Policy","AA","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Policy","AO","70","65","24780","24370"
"In post","2021","Declared non-disabled","Black","Policy","EO","180","175","29180","29300"
"In post","2021","Declared non-disabled","Black","Policy","G6","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Policy","G7","150","150","55560","54160"
"In post","2021","Declared non-disabled","Black","Policy","HEO","215","215","34300","33950"
"In post","2021","Declared non-disabled","Black","Policy","SCS level","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Policy","SEO","160","160","41090","41220"
"In post","2021","Declared non-disabled","Black","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Project Delivery","AO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Project Delivery","EO","60","60","27670","27960"
"In post","2021","Declared non-disabled","Black","Project Delivery","G6","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Project Delivery","G7","70","70","55500","57050"
"In post","2021","Declared non-disabled","Black","Project Delivery","HEO","125","125","33670","34020"
"In post","2021","Declared non-disabled","Black","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Project Delivery","SEO","115","115","40930","40980"
"In post","2021","Declared non-disabled","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Property","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Property","EO","35","35","28380","29200"
"In post","2021","Declared non-disabled","Black","Property","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Property","G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Property","HEO","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Property","SEO","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Psychology","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Psychology","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Psychology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Psychology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Psychology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Psychology","HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Psychology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Science and Engineering","AO","30","25","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Science and Engineering","EO","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Science and Engineering","G7","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Science and Engineering","HEO","70","65","32900","32330"
"In post","2021","Declared non-disabled","Black","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Science and Engineering","SEO","50","50","41330","40470"
"In post","2021","Declared non-disabled","Black","Science and Engineering","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Security","AA","35","35","20960","20310"
"In post","2021","Declared non-disabled","Black","Security","AO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Security","EO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Security","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Security","G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Security","HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Security","SEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Social Research","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Social Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Social Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Social Research","HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Social Research","SEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Statistics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Statistics","EO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Statistics","G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Statistics","HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Statistics","SEO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Tax","AO","55","50","20690","20140"
"In post","2021","Declared non-disabled","Black","Tax","EO","90","85","27750","25560"
"In post","2021","Declared non-disabled","Black","Tax","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Tax","G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Tax","HEO","130","125","34330","36160"
"In post","2021","Declared non-disabled","Black","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Tax","SEO","35","35","40540","41760"
"In post","2021","Declared non-disabled","Black","Unknown","AA","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Unknown","AO","720","660","22750","22640"
"In post","2021","Declared non-disabled","Black","Unknown","EO","2240","2145","29780","31060"
"In post","2021","Declared non-disabled","Black","Unknown","G6","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Unknown","G7","80","75","55890","54700"
"In post","2021","Declared non-disabled","Black","Unknown","HEO","280","275","35380","36160"
"In post","2021","Declared non-disabled","Black","Unknown","SCS level","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Unknown","SEO","115","110","40340","40600"
"In post","2021","Declared non-disabled","Black","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Veterinarian","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Veterinarian","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Veterinarian","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Veterinarian","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Veterinarian","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Veterinarian","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Communications","EO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Corporate Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Counter Fraud","G7","[c]","[c]","[c]","[c]"
