"Status","Year","Disability","Function_of_post","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","Internal Audit","HM Revenue and Customs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","HM Revenue and Customs (excl. agencies)","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","HM Revenue and Customs (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","HM Revenue and Customs (excl. agencies)","SEO/HEO","40","35","39610","40530"
"In post","2021","Declared non-disabled","Internal Audit","Institute for Apprenticeships and Technical Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Maritime and Coastguard Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Maritime and Coastguard Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Maritime and Coastguard Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Maritime and Coastguard Agency","SEO/HEO","10","5","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Met Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Met Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Ministry of Defence (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Ministry of Defence (excl. agencies)","EO","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Ministry of Defence (excl. agencies)","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Ministry of Defence (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Ministry of Defence (excl. agencies)","SEO/HEO","60","60","37870","34970"
"In post","2021","Declared non-disabled","Internal Audit","Scottish Prison Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Scottish Prison Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Scottish Prison Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","UK Hydrographic Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","UK Hydrographic Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","United Kingdom Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","United Kingdom Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Wilton Park","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Attorney General's Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Attorney General's Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Attorney General's Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Attorney General's Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Cabinet Office (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Cabinet Office (excl. agencies)","SCS level","45","40","88840","80070"
"In post","2021","Declared non-disabled","Legal","Cabinet Office (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Charity Commission","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Companies House","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Companies House","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Companies House","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Competition and Markets Authority","EO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Competition and Markets Authority","G6/G7","95","90","66870","71370"
"In post","2021","Declared non-disabled","Legal","Competition and Markets Authority","SCS level","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Competition and Markets Authority","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Criminal Injuries Compensation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Criminal Injuries Compensation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Crown Office and Procurator Fiscal Service","G6/G7","145","135","67540","68470"
"In post","2021","Declared non-disabled","Legal","Crown Office and Procurator Fiscal Service","SCS level","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Crown Office and Procurator Fiscal Service","SEO/HEO","355","330","47740","52490"
"In post","2021","Declared non-disabled","Legal","Crown Prosecution Service","AA/AO","825","735","22740","21950"
"In post","2021","Declared non-disabled","Legal","Crown Prosecution Service","EO","900","825","28190","28430"
"In post","2021","Declared non-disabled","Legal","Crown Prosecution Service","G6/G7","1950","1805","58110","55610"
"In post","2021","Declared non-disabled","Legal","Crown Prosecution Service","SCS level","65","65","92940","88150"
"In post","2021","Declared non-disabled","Legal","Crown Prosecution Service","SEO/HEO","460","435","35350","34480"
"In post","2021","Declared non-disabled","Legal","Crown Prosecution Service Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Crown Prosecution Service Inspectorate","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Crown Prosecution Service Inspectorate","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Crown Prosecution Service Inspectorate","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Crown Prosecution Service Inspectorate","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Debt Management Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Defence Science and Technology Laboratory","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Defence Science and Technology Laboratory","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Department for Education (excl. agencies)","G6/G7","40","40","60850","61680"
"In post","2021","Declared non-disabled","Legal","Department for Education (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Department for International Trade","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","FCDO Services","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","FCDO Services","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","FCDO Services","G6/G7","35","20","57090","57760"
"In post","2021","Declared non-disabled","Legal","FCDO Services","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","30","30","68640","68710"
"In post","2021","Declared non-disabled","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Government Legal Department","AA/AO","30","30","23740","23800"
"In post","2021","Declared non-disabled","Legal","Government Legal Department","EO","210","205","28740","27580"
"In post","2021","Declared non-disabled","Legal","Government Legal Department","G6/G7","1205","1105","58870","55280"
"In post","2021","Declared non-disabled","Legal","Government Legal Department","SCS level","135","125","84180","80200"
"In post","2021","Declared non-disabled","Legal","Government Legal Department","SEO/HEO","145","145","39040","43920"
"In post","2021","Declared non-disabled","Legal","Health and Safety Executive","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Health and Safety Executive","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Health and Safety Executive","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Health and Safety Executive","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Health and Safety Executive","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","HM Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","HM Courts and Tribunals Service","EO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","HM Courts and Tribunals Service","G6/G7","170","160","58730","57330"
"In post","2021","Declared non-disabled","Legal","HM Courts and Tribunals Service","SEO/HEO","675","590","40220","42130"
"In post","2021","Declared non-disabled","Legal","HM Courts and Tribunals Service","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","HM Land Registry","EO","30","30","27920","27130"
"In post","2021","Declared non-disabled","Legal","HM Land Registry","G6/G7","85","75","66200","65970"
"In post","2021","Declared non-disabled","Legal","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","HM Land Registry","SEO/HEO","35","30","37360","33840"
"In post","2021","Declared non-disabled","Legal","HM Revenue and Customs (excl. agencies)","AA/AO","60","55","21870","21440"
"In post","2021","Declared non-disabled","Legal","HM Revenue and Customs (excl. agencies)","EO","115","105","27010","25560"
"In post","2021","Declared non-disabled","Legal","HM Revenue and Customs (excl. agencies)","G6/G7","195","185","61630","59160"
"In post","2021","Declared non-disabled","Legal","HM Revenue and Customs (excl. agencies)","SCS level","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","HM Revenue and Customs (excl. agencies)","SEO/HEO","320","310","34360","31810"
"In post","2021","Declared non-disabled","Legal","HM Treasury (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Insolvency Service","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Insolvency Service","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Institute for Apprenticeships and Technical Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Institute for Apprenticeships and Technical Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Legal Aid Agency","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Legal Aid Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Legal Aid Agency","G6/G7","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Legal Aid Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Legal Aid Agency","SEO/HEO","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Maritime and Coastguard Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Maritime and Coastguard Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Maritime and Coastguard Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Met Office","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Met Office","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Ministry of Defence (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Ministry of Defence (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Ministry of Defence (excl. agencies)","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Ministry of Defence (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Ministry of Defence (excl. agencies)","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Ministry of Justice (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Ministry of Justice (excl. agencies)","EO","15","10","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Ministry of Justice (excl. agencies)","G6/G7","45","40","59610","57170"
"In post","2021","Declared non-disabled","Legal","Ministry of Justice (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Ministry of Justice (excl. agencies)","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","National Crime Agency","G6/G7","10","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office for Standards in Education, Children's Services and Skills","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office for Standards in Education, Children's Services and Skills","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of Gas and Electricity Markets","G6/G7","60","60","62130","63000"
"In post","2021","Declared non-disabled","Legal","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of Qualifications and Examinations Regulation","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of Rail and Road","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of the Public Guardian","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of the Public Guardian","EO","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of the Public Guardian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of the Public Guardian","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Office of the Public Guardian","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Planning Inspectorate","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Public Health England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Public Health England","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Public Health England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Registers of Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Registers of Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Registers of Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Scottish Courts and Tribunals Service","AA/AO","60","55","21200","20850"
"In post","2021","Declared non-disabled","Legal","Scottish Courts and Tribunals Service","EO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Scottish Courts and Tribunals Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Scottish Courts and Tribunals Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Scottish Courts and Tribunals Service","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Scottish Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Scottish Prison Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Scottish Prison Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Scottish Prison Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Scottish Prison Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Serious Fraud Office","G6/G7","35","30","56240","53970"
"In post","2021","Declared non-disabled","Legal","Serious Fraud Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Serious Fraud Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","UK Export Finance","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","UK Hydrographic Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","UK Intellectual Property Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","UK Intellectual Property Office","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","UK Intellectual Property Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","UK Intellectual Property Office","SEO/HEO","15","10","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","UK Supreme Court","EO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","UK Supreme Court","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","UK Supreme Court","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","UK Supreme Court","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","United Kingdom Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Water Services Regulation Authority","G6/G7","10","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Welsh Revenue Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Advisory, Conciliation and Arbitration Service","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Advisory, Conciliation and Arbitration Service","EO","65","65","24520","24250"
"In post","2021","Declared non-disabled","No function","Advisory, Conciliation and Arbitration Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Advisory, Conciliation and Arbitration Service","SEO/HEO","80","80","33880","31120"
"In post","2021","Declared non-disabled","No function","Animal and Plant Health Agency","AA/AO","555","520","21840","21050"
"In post","2021","Declared non-disabled","No function","Animal and Plant Health Agency","EO","555","525","26680","26280"
"In post","2021","Declared non-disabled","No function","Animal and Plant Health Agency","G6/G7","155","150","54950","54320"
"In post","2021","Declared non-disabled","No function","Animal and Plant Health Agency","SCS level","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Animal and Plant Health Agency","SEO/HEO","635","600","36690","36520"
"In post","2021","Declared non-disabled","No function","Attorney General's Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Cabinet Office (excl. agencies)","AA/AO","80","80","24220","24490"
"In post","2021","Declared non-disabled","No function","Cabinet Office (excl. agencies)","EO","225","220","27960","27500"
"In post","2021","Declared non-disabled","No function","Cabinet Office (excl. agencies)","G6/G7","600","590","58120","54740"
"In post","2021","Declared non-disabled","No function","Cabinet Office (excl. agencies)","SCS level","155","150","84820","76030"
"In post","2021","Declared non-disabled","No function","Cabinet Office (excl. agencies)","SEO/HEO","545","540","36340","35590"
"In post","2021","Declared non-disabled","No function","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Centre for Environment, Fisheries and Aquaculture Science","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Centre for Environment, Fisheries and Aquaculture Science","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Charity Commission","EO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Charity Commission","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Charity Commission","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Companies House","AA/AO","185","165","21670","22490"
"In post","2021","Declared non-disabled","No function","Companies House","EO","90","80","26160","25670"
"In post","2021","Declared non-disabled","No function","Companies House","G6/G7","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Companies House","SEO/HEO","45","40","35700","36240"
"In post","2021","Declared non-disabled","No function","Criminal Injuries Compensation Authority","AA/AO","55","50","20030","19930"
"In post","2021","Declared non-disabled","No function","Criminal Injuries Compensation Authority","EO","40","40","23070","22640"
"In post","2021","Declared non-disabled","No function","Criminal Injuries Compensation Authority","G6/G7","10","5","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Criminal Injuries Compensation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Criminal Injuries Compensation Authority","SEO/HEO","45","40","29470","28340"
"In post","2021","Declared non-disabled","No function","Crown Commercial Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Crown Commercial Service","EO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Crown Commercial Service","G6/G7","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Crown Commercial Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Crown Commercial Service","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Crown Office and Procurator Fiscal Service","AA/AO","620","550","21920","22220"
"In post","2021","Declared non-disabled","No function","Crown Office and Procurator Fiscal Service","EO","270","260","27230","26570"
"In post","2021","Declared non-disabled","No function","Crown Office and Procurator Fiscal Service","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Crown Office and Procurator Fiscal Service","SCS level","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Crown Office and Procurator Fiscal Service","SEO/HEO","275","260","34570","34150"
"In post","2021","Declared non-disabled","No function","Defence Science and Technology Laboratory","AA/AO","40","40","18250","17710"
"In post","2021","Declared non-disabled","No function","Defence Science and Technology Laboratory","EO","45","45","23860","22780"
"In post","2021","Declared non-disabled","No function","Defence Science and Technology Laboratory","G6/G7","725","695","51230","46720"
"In post","2021","Declared non-disabled","No function","Defence Science and Technology Laboratory","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Defence Science and Technology Laboratory","SEO/HEO","740","720","32770","29070"
"In post","2021","Declared non-disabled","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","195","190","27950","27680"
"In post","2021","Declared non-disabled","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","1425","1390","58700","56380"
"In post","2021","Declared non-disabled","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","230","220","81930","74330"
"In post","2021","Declared non-disabled","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","1150","1130","38220","38720"
"In post","2021","Declared non-disabled","No function","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Department for Digital, Culture, Media and Sport","EO","85","85","27740","26180"
"In post","2021","Declared non-disabled","No function","Department for Digital, Culture, Media and Sport","G6/G7","395","385","57570","53290"
"In post","2021","Declared non-disabled","No function","Department for Digital, Culture, Media and Sport","SCS level","65","65","85850","75500"
"In post","2021","Declared non-disabled","No function","Department for Digital, Culture, Media and Sport","SEO/HEO","325","320","35850","34020"
"In post","2021","Declared non-disabled","No function","Department for Education (excl. agencies)","AA/AO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","No function","Department for Education (excl. agencies)","EO","140","135","27380","26000"
"In post","2021","Declared non-disabled","No function","Department for Education (excl. agencies)","G6/G7","705","675","56470","54160"
