"Status","Year","Ethnicity","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Chinese","Other","AA","5","5","[c]","[c]"
"In post","2021","Chinese","Other","AO","10","10","[c]","[c]"
"In post","2021","Chinese","Other","EO","15","15","[c]","[c]"
"In post","2021","Chinese","Other","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Other","HEO","5","5","[c]","[c]"
"In post","2021","Chinese","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Other","SEO","5","5","[c]","[c]"
"In post","2021","Chinese","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning","AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning","G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectors","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectors","G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Policy","AA","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Policy","EO","15","15","[c]","[c]"
"In post","2021","Chinese","Policy","G6","10","10","[c]","[c]"
"In post","2021","Chinese","Policy","G7","35","35","55360","53760"
"In post","2021","Chinese","Policy","HEO","40","40","35000","34070"
"In post","2021","Chinese","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Policy","SEO","25","25","[c]","[c]"
"In post","2021","Chinese","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","G7","5","5","[c]","[c]"
"In post","2021","Chinese","Project Delivery","HEO","10","10","[c]","[c]"
"In post","2021","Chinese","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","SEO","10","10","[c]","[c]"
"In post","2021","Chinese","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","AA","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Psychology","AA","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Psychology","AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Psychology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Psychology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Psychology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Psychology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Psychology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Science and Engineering","G6","5","5","[c]","[c]"
"In post","2021","Chinese","Science and Engineering","G7","10","5","[c]","[c]"
"In post","2021","Chinese","Science and Engineering","HEO","15","15","[c]","[c]"
"In post","2021","Chinese","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Science and Engineering","SEO","20","15","[c]","[c]"
"In post","2021","Chinese","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","AA","5","5","[c]","[c]"
"In post","2021","Chinese","Security","AO","10","10","[c]","[c]"
"In post","2021","Chinese","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Social Research","AA","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Social Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Social Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Social Research","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Social Research","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Statistics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Statistics","G7","10","5","[c]","[c]"
"In post","2021","Chinese","Statistics","HEO","5","5","[c]","[c]"
"In post","2021","Chinese","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Statistics","SEO","10","10","[c]","[c]"
"In post","2021","Chinese","Tax","AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Tax","EO","15","15","[c]","[c]"
"In post","2021","Chinese","Tax","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Tax","G7","10","10","[c]","[c]"
"In post","2021","Chinese","Tax","HEO","20","20","[c]","[c]"
"In post","2021","Chinese","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Tax","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","AO","65","55","21490","21010"
"In post","2021","Chinese","Unknown","EO","85","80","28610","27570"
"In post","2021","Chinese","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","G7","20","20","[c]","[c]"
"In post","2021","Chinese","Unknown","HEO","20","20","[c]","[c]"
"In post","2021","Chinese","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","SEO","15","15","[c]","[c]"
"In post","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Veterinarian","AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Veterinarian","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Veterinarian","G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Veterinarian","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Veterinarian","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Veterinarian","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","AO","5","5","[c]","[c]"
"In post","2021","Mixed","Commercial","EO","20","20","[c]","[c]"
"In post","2021","Mixed","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","G7","5","5","[c]","[c]"
"In post","2021","Mixed","Commercial","HEO","20","20","[c]","[c]"
"In post","2021","Mixed","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","SEO","25","25","[c]","[c]"
"In post","2021","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Communications","AO","5","5","[c]","[c]"
"In post","2021","Mixed","Communications","EO","15","15","[c]","[c]"
"In post","2021","Mixed","Communications","G6","5","5","[c]","[c]"
"In post","2021","Mixed","Communications","G7","20","20","[c]","[c]"
"In post","2021","Mixed","Communications","HEO","30","25","[c]","[c]"
"In post","2021","Mixed","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Communications","SEO","30","30","41470","41020"
"In post","2021","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Corporate Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","EO","5","5","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","SEO","5","5","[c]","[c]"
"In post","2021","Mixed","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Digital, Data and Technology","AO","5","5","[c]","[c]"
"In post","2021","Mixed","Digital, Data and Technology","EO","35","35","27690","26670"
"In post","2021","Mixed","Digital, Data and Technology","G6","10","10","[c]","[c]"
"In post","2021","Mixed","Digital, Data and Technology","G7","55","50","55990","54990"
"In post","2021","Mixed","Digital, Data and Technology","HEO","50","50","33740","33630"
"In post","2021","Mixed","Digital, Data and Technology","SCS level","5","5","[c]","[c]"
"In post","2021","Mixed","Digital, Data and Technology","SEO","55","50","41780","41970"
"In post","2021","Mixed","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Economics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Economics","G6","5","5","[c]","[c]"
"In post","2021","Mixed","Economics","G7","35","35","55460","54660"
"In post","2021","Mixed","Economics","HEO","40","40","34400","33880"
"In post","2021","Mixed","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Finance","AO","10","10","[c]","[c]"
"In post","2021","Mixed","Finance","EO","20","20","[c]","[c]"
"In post","2021","Mixed","Finance","G6","5","5","[c]","[c]"
"In post","2021","Mixed","Finance","G7","30","30","54830","53430"
"In post","2021","Mixed","Finance","HEO","35","35","32700","32730"
"In post","2021","Mixed","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Finance","SEO","35","35","43040","42360"
"In post","2021","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Human Resources","AO","15","15","[c]","[c]"
"In post","2021","Mixed","Human Resources","EO","20","20","[c]","[c]"
"In post","2021","Mixed","Human Resources","G6","10","10","[c]","[c]"
"In post","2021","Mixed","Human Resources","G7","35","35","55640","55600"
"In post","2021","Mixed","Human Resources","HEO","40","40","33420","33550"
"In post","2021","Mixed","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Human Resources","SEO","30","30","41540","41960"
"In post","2021","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Inspector of Education and Training","G6","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Inspector of Education and Training","G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Inspector of Education and Training","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Inspector of Education and Training","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Intelligence Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Intelligence Analysis","EO","20","20","[c]","[c]"
"In post","2021","Mixed","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Intelligence Analysis","G7","10","10","[c]","[c]"
"In post","2021","Mixed","Intelligence Analysis","HEO","20","20","[c]","[c]"
"In post","2021","Mixed","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Intelligence Analysis","SEO","10","10","[c]","[c]"
"In post","2021","Mixed","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","G6","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","SEO","5","5","[c]","[c]"
"In post","2021","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","International Trade","G6","5","5","[c]","[c]"
"In post","2021","Mixed","International Trade","G7","10","10","[c]","[c]"
"In post","2021","Mixed","International Trade","HEO","10","10","[c]","[c]"
"In post","2021","Mixed","International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","International Trade","SEO","5","5","[c]","[c]"
"In post","2021","Mixed","Knowledge and Information Management","AA","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Knowledge and Information Management","G7","5","5","[c]","[c]"
"In post","2021","Mixed","Knowledge and Information Management","HEO","10","10","[c]","[c]"
"In post","2021","Mixed","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Knowledge and Information Management","SEO","5","5","[c]","[c]"
"In post","2021","Mixed","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Legal","AA","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Legal","AO","5","5","[c]","[c]"
"In post","2021","Mixed","Legal","EO","45","40","28100","27670"
"In post","2021","Mixed","Legal","G6","35","30","69350","68730"
"In post","2021","Mixed","Legal","G7","140","130","55530","54070"
"In post","2021","Mixed","Legal","HEO","30","30","[c]","[c]"
"In post","2021","Mixed","Legal","SCS level","10","10","[c]","[c]"
"In post","2021","Mixed","Legal","SEO","20","20","[c]","[c]"
"In post","2021","Mixed","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Medicine","AA","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Medicine","AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Medicine","G6","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Medicine","G7","10","10","[c]","[c]"
"In post","2021","Mixed","Medicine","HEO","10","5","[c]","[c]"
"In post","2021","Mixed","Medicine","SCS level","10","10","[c]","[c]"
"In post","2021","Mixed","Medicine","SEO","5","5","[c]","[c]"
"In post","2021","Mixed","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Operational Delivery","AA","115","105","20420","20600"
"In post","2021","Mixed","Operational Delivery","AO","995","920","24200","22680"
"In post","2021","Mixed","Operational Delivery","EO","660","615","27830","26780"
"In post","2021","Mixed","Operational Delivery","G6","30","30","[c]","[c]"
"In post","2021","Mixed","Operational Delivery","G7","75","70","56340","54290"
"In post","2021","Mixed","Operational Delivery","HEO","325","315","34280","33570"
"In post","2021","Mixed","Operational Delivery","SCS level","15","15","[c]","[c]"
"In post","2021","Mixed","Operational Delivery","SEO","170","165","43050","40840"
"In post","2021","Mixed","Operational Delivery","Unknown","350","330","30260","30210"
"In post","2021","Mixed","Operational Research","AA","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Operational Research","G7","5","5","[c]","[c]"
"In post","2021","Mixed","Operational Research","HEO","5","5","[c]","[c]"
"In post","2021","Mixed","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Other","AA","10","10","[c]","[c]"
"In post","2021","Mixed","Other","AO","55","55","22580","21580"
"In post","2021","Mixed","Other","EO","75","70","27130","26950"
"In post","2021","Mixed","Other","G6","15","10","[c]","[c]"
"In post","2021","Mixed","Other","G7","25","25","[c]","[c]"
"In post","2021","Mixed","Other","HEO","65","65","32060","33290"
"In post","2021","Mixed","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Other","SEO","25","25","[c]","[c]"
"In post","2021","Mixed","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Planning","AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Planning","G6","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Planning","G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Planning","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Planning","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Planning Inspectors","G6","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Planning Inspectors","G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Policy","AA","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Policy","AO","25","25","[c]","[c]"
"In post","2021","Mixed","Policy","EO","95","95","27760","27730"
"In post","2021","Mixed","Policy","G6","70","70","66750","65440"
"In post","2021","Mixed","Policy","G7","260","255","54530","53600"
"In post","2021","Mixed","Policy","HEO","255","255","33860","33640"
"In post","2021","Mixed","Policy","SCS level","40","40","79490","73010"
"In post","2021","Mixed","Policy","SEO","140","135","41000","40300"
"In post","2021","Mixed","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Project Delivery","AO","5","5","[c]","[c]"
"In post","2021","Mixed","Project Delivery","EO","35","30","26800","26670"
"In post","2021","Mixed","Project Delivery","G6","20","15","[c]","[c]"
"In post","2021","Mixed","Project Delivery","G7","60","60","55210","54760"
"In post","2021","Mixed","Project Delivery","HEO","70","70","33890","34020"
"In post","2021","Mixed","Project Delivery","SCS level","5","5","[c]","[c]"
"In post","2021","Mixed","Project Delivery","SEO","65","65","40480","40150"
"In post","2021","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Property","AA","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Property","AO","5","5","[c]","[c]"
"In post","2021","Mixed","Property","EO","25","25","[c]","[c]"
"In post","2021","Mixed","Property","G6","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Property","G7","5","5","[c]","[c]"
"In post","2021","Mixed","Property","HEO","20","20","[c]","[c]"
"In post","2021","Mixed","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Property","SEO","20","20","[c]","[c]"
"In post","2021","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Psychology","AA","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Psychology","AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Psychology","EO","10","10","[c]","[c]"
"In post","2021","Mixed","Psychology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Psychology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Psychology","HEO","10","10","[c]","[c]"
"In post","2021","Mixed","Psychology","SEO","10","10","[c]","[c]"
"In post","2021","Mixed","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Science and Engineering","AO","10","10","[c]","[c]"
"In post","2021","Mixed","Science and Engineering","EO","35","35","26270","27150"
"In post","2021","Mixed","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Science and Engineering","G7","30","30","53190","53830"
"In post","2021","Mixed","Science and Engineering","HEO","50","50","31680","31950"
"In post","2021","Mixed","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Science and Engineering","SEO","55","55","40560","40280"
"In post","2021","Mixed","Science and Engineering","Unknown","5","5","[c]","[c]"
"In post","2021","Mixed","Security","AA","10","10","[c]","[c]"
"In post","2021","Mixed","Security","AO","30","30","[c]","[c]"
"In post","2021","Mixed","Security","EO","15","15","[c]","[c]"
"In post","2021","Mixed","Security","G6","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Security","G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Security","HEO","15","15","[c]","[c]"
"In post","2021","Mixed","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Security","SEO","10","10","[c]","[c]"
"In post","2021","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Social Research","AA","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Social Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Social Research","G7","5","5","[c]","[c]"
"In post","2021","Mixed","Social Research","HEO","10","10","[c]","[c]"
"In post","2021","Mixed","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Social Research","SEO","5","5","[c]","[c]"
"In post","2021","Mixed","Statistics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Statistics","EO","5","5","[c]","[c]"
"In post","2021","Mixed","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Statistics","G7","5","5","[c]","[c]"
"In post","2021","Mixed","Statistics","HEO","15","15","[c]","[c]"
"In post","2021","Mixed","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Statistics","SEO","5","5","[c]","[c]"
"In post","2021","Mixed","Tax","AO","45","45","20190","20140"
"In post","2021","Mixed","Tax","EO","35","30","26810","25560"
"In post","2021","Mixed","Tax","G6","15","10","[c]","[c]"
"In post","2021","Mixed","Tax","G7","35","30","55320","53150"
"In post","2021","Mixed","Tax","HEO","70","65","33190","31810"
"In post","2021","Mixed","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Tax","SEO","15","15","[c]","[c]"
"In post","2021","Mixed","Unknown","AA","15","15","[c]","[c]"
"In post","2021","Mixed","Unknown","AO","525","475","21750","21010"
"In post","2021","Mixed","Unknown","EO","1025","970","28610","27570"
"In post","2021","Mixed","Unknown","G6","35","35","68110","66440"
"In post","2021","Mixed","Unknown","G7","130","125","55590","54700"
"In post","2021","Mixed","Unknown","HEO","220","215","34190","34190"
"In post","2021","Mixed","Unknown","SCS level","30","30","88570","80840"
"In post","2021","Mixed","Unknown","SEO","95","90","40640","40450"
"In post","2021","Mixed","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","Mixed","Veterinarian","AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Veterinarian","G6","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Veterinarian","G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Veterinarian","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Veterinarian","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Veterinarian","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","EO","5","5","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","G7","5","5","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","SEO","10","10","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Communications","SEO","5","5","[c]","[c]"
"In post","2021","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
