"Status","Year","Age","Region_ITL3","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Durham CC","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Durham CC","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Durham CC","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Durham CC","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Durham CC","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Durham CC","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ealing","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ealing","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","EO","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","East Cumbria","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Cumbria","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Kent","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","East Kent","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Kent","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Kent","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","East Riding of Yorkshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Riding of Yorkshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Surrey","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Surrey","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Surrey","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Sussex CC","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Sussex CC","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Sussex CC","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Sussex CC","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Sussex CC","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Sussex CC","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Enfield","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Enfield","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex Haven Gateway","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex Haven Gateway","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex Haven Gateway","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex Thames Gateway","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex Thames Gateway","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Falkirk","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Falkirk","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Falkirk","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Falkirk","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Flintshire and Wrexham","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Flintshire and Wrexham","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Flintshire and Wrexham","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Flintshire and Wrexham","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Flintshire and Wrexham","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Flintshire and Wrexham","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Glasgow City","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Glasgow City","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Glasgow City","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Glasgow City","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Glasgow City","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Glasgow City","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester North West","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester North West","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester North West","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South East","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South East","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South West","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South West","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South West","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South West","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Greater Manchester South West","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South West","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South West","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwent Valleys","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwent Valleys","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwynedd","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwynedd","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwynedd","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwynedd","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hackney and Newham","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hackney and Newham","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Haringey and Islington","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Haringey and Islington","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Haringey and Islington","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Haringey and Islington","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Haringey and Islington","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Haringey and Islington","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Harrow and Hillingdon","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Harrow and Hillingdon","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Harrow and Hillingdon","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heart of Essex","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heart of Essex","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hertfordshire","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
