"Status","Year","Ethnicity","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","London","Heterosexual / straight","75","75","42920","38540"
"In post","2021","Asian","International Trade","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","International Trade","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","International Trade","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","London","Heterosexual / straight","65","60","35510","32490"
"In post","2021","Asian","Knowledge and Information Management","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","London","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Outside London","Heterosexual / straight","35","35","34450","34810"
"In post","2021","Asian","Knowledge and Information Management","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","London","Heterosexual / straight","395","375","50660","51250"
"In post","2021","Asian","Legal","London","LGBO","15","10","[c]","[c]"
"In post","2021","Asian","Legal","London","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Legal","London","Unknown","65","60","54330","54080"
"In post","2021","Asian","Legal","Outside London","Heterosexual / straight","320","305","42250","41740"
"In post","2021","Asian","Legal","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Legal","Outside London","Undeclared","15","10","[c]","[c]"
"In post","2021","Asian","Legal","Outside London","Unknown","50","45","45350","49990"
"In post","2021","Asian","Legal","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","London","Heterosexual / straight","45","45","68240","71480"
"In post","2021","Asian","Medicine","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","London","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Medicine","Outside London","Heterosexual / straight","100","90","66830","74730"
"In post","2021","Asian","Medicine","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Medicine","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Medicine","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Unknown","Unknown","[c]","[c]","[c]","[c]"
